,tag,name,badgeId,trophies,rank,memberCount
0,#V0PV08V9,Bᴇsᴛ ғʀɪᴇɴᴅs🌌,8000059,2200137,1,30
1,#GVQJPP2C,アットホーム(量より質),8000018,2194599,2,30
2,#LJ0QJCGV,The Strongest,8000013,2007679,3,30
3,#28J2L2PGC,PolandPlayers,8000035,1723621,4,16
4,#VPC0GLC9,《♡》,8000059,1693358,5,2
5,#Q28QURJ0,荒野亂鬥俱樂部,8000021,1657285,6,30
6,#2PU928288,Skylog Unity,8000013,1560895,7,1
7,#2022PYYP8,Ase-Baldr,8000007,1516204,8,30
8,#20LQY928R,☣TeamPower☣™,8000023,1482473,9,30
9,#RGQQ880Q,<c7>LEGENDS</c>,8000004,1439980,10,30
10,#GUVJ2PYQ,<c5>Sky</c>🦋☁️,8000055,1388189,11,30
11,#22RUPGUJY,꧁♥︎꧂,8000025,1266251,12,30
12,#LQ000VQL,Golden warriors,8000027,1193863,13,30
13,#29V8RP088,삐까삐까,8000018,1164372,14,30
14,#UUQR2VUP,walfisch,8000025,1159336,15,30
15,#GYQV9CJ,🌵cactos🌵,8000013,1155381,16,30
16,#200QVP09C,RankMasters,8000015,1139146,17,11
17,#2JLPVGQ2C,The Daddy's 💞,8000041,1134183,18,1
18,#29YLGJYRP,La escuridad,8000039,1129920,19,29
19,#C2QJJLVL,Holdenmolch,8000029,1127451,20,30
20,#V2YYULQC,OP|ᴍᴏʀᴛɪs,8000037,1098968,21,24
21,#29QJ8YU92,butterfly🦋,8000049,1089693,22,28
22,#UCVYQRCU,Brawl Power,8000004,1084408,23,13
23,#2CQL8J0P0,슈퍼스타,8000004,1059830,24,30
24,#200LC8PJQ,Thunder Blades,8000011,1056441,25,27
25,#GQYVL229,Stranger Potter,8000019,1048294,26,30
26,#2J299C8RC,ラグナロク,8000029,1040897,27,30
27,#20GU0RLGP,한살림,8000037,1030711,28,30
28,#2QRG0QG2C,ʀɛǟʟ ɨʍքօʀȶǟռȶ,8000006,1025675,29,2
29,#LCJUPY2Q,Brawl Stars btw,8000013,1006977,30,18
30,#LUQGLQVR,Xd Boss,8000023,966933,31,1
31,#JJ982V8R,❄️❄️СНЕЖНЫЕ❄️❄️,8000055,960659,32,30
32,#9UCURGC8,KRALJEVI SRBIJE,8000029,944049,33,3
33,#2G0GY9VCY,Twitch pledik,8000055,941982,34,30
34,#C2GR8RQU,УВУШЕ4КА,8000057,932231,35,5
35,#2L8J0V98Y,🥀Only Legends❤,8000007,921854,36,30
36,#2R00Y299J,llama curseada,8000037,919499,37,30
37,#22PUV88Y9,×|LatamXtreme|×,8000049,910454,38,29
38,#Y9922RU,supereme fight,8000020,902814,39,1
39,#VUUV9V92,使徒保育園區,8000057,898724,40,29
40,#20RP0VQC,Parallel 45,8000035,895620,41,6
41,#22CCQCLPQ,🎮GAMERS☔,8000006,887407,42,29
42,#UU2Y8PLP,乳バンド,8000023,887339,43,30
43,#2Q00LYPGR,아이파크캐슬,8000000,884015,44,30
44,#2YQ02PGVG,Не придумали,8000039,878985,45,30
45,#2C99R080J,EEE brawlMANDA,8000037,877893,46,30
46,#YCVV9UYJ,General Zot,8000004,863645,47,30
47,#GYG0CUV2,EMANUEL🙏❤,8000025,861412,48,2
48,#22UQ0GPJQ,<c7>BANANKI</c>,8000017,856909,49,29
49,#L2LY2PRL,Клуб:  #L2LY2PRL,8000030,856305,50,30
50,#Y2UL2L99,КенигКлабс,8000037,843210,51,30
51,#9P8R99VQ,TwentyØnePiløts,8000021,842554,52,3
52,#2RGG2V2L9,Ukraine Team,8000034,841226,53,30
53,#2QG0YYUQJ,無言のお家,8000034,839630,54,30
54,#VVGUG9RP,<c0>KAOS </c>,8000023,838157,55,2
55,#2J88VVPRU,Reply Totem,8000043,821424,56,30
56,#29YQQJ2VC,星星戰隊,8000037,820793,57,30
57,#URRGUQGQ,Друзья BRAWLERS,8000037,805834,58,30
58,#2YPU90UCC,Greece,8000057,804683,59,14
59,#2G8UY9820,nicka,8000018,801019,60,30
60,#2C2L2PYPQ,엔진ENGINE11,8000036,799691,61,30
61,#2G2P0CVG0,СКИЛЕТИКИ,8000016,796050,62,30
62,#2CPJURC8G,MankiyoZz,8000004,790124,63,26
63,#2GY20JURL,전설의요괘,8000059,786285,64,30
64,#2CGLGLVRQ,BaBaN eSports,8000037,766962,65,26
65,#20L20VGP8,Hong Kong Guy,8000056,758350,66,30
66,#2C20V9PP0,PakkGoust,8000047,752069,67,27
67,#QLGLYCUV,I Re d'Italia,8000059,748853,68,30
68,#QJUVCUUC,🔥سبرايز👻2,8000004,746097,69,30
69,#29CLRUVG9,💚Air|🐸Frogs🇩,8000027,744462,70,30
70,#2CJGLC0VG,LMDM,8000053,743101,71,30
71,#29LPQQQVG,赤盾道,8000037,743076,72,30
72,#2C9JV0P8Q,ReinasDelDrama,8000023,738560,73,30
73,#2CYLQU29G,OH CIT ON,8000044,735922,74,30
74,#2JUG0RPR0,Crystal Candy,8000047,734582,75,30
75,#2GPUCYVYJ,Мегакопилка,8000009,732170,76,30
76,#QJQURQQ9,гей клуб🏳️‍🌈,8000004,727716,77,22
77,#29YLYQL2Q,God's Of War,8000029,724907,78,2
78,#U2YCU08J,YOYOYOFCNANANA,8000021,724863,79,5
79,#2J8GP2YVP,Легенды,8000013,723765,80,30
80,#29JLUVQYG,Chillin House,8000004,721608,81,30
81,#QJ8JRP9Q,自由株式会社,8000029,715768,82,30
82,#2LCVQGJ20,galletitas 2.0,8000031,715265,83,30
83,#2L8GGQR2J,✨Dark|Eternal✨,8000007,712610,84,26
84,#908VPLJL,AFG BOYS,8000007,711480,85,25
85,#20QCRQV2U,Team irreal,8000029,709221,86,17
86,#28Q89UGCY,BSF BrawlFamily,8000049,702505,87,30
87,#2R98C0U8L,Aldiboyz,8000039,698243,88,29
88,#2G8089RLY,Bat ramdom 😱,8000035,697287,89,30
89,#2JUJ9VJ29,TO | Ohio 🛡️,8000004,693933,90,30
90,#QGUQ28Q0,ICE|BRAWL STARS,8000007,692167,91,9
91,#Q2PCUULL,666😈,8000037,692026,92,30
92,#Q9PLQ29Q,العرب للعالمية,8000023,690971,93,28
93,#2CPVV0LVR,DSU,8000023,688655,94,30
94,#28GG8QQR0,ブロスタ部,8000004,685322,95,30
95,#28UL0LQ8V,Lêxiâ❦︎,8000041,683700,96,1
96,#2PPYJGU2G,ARDEI LU'ANDREI,8000007,683595,97,9
97,#2C9VC8VYJ,cisid,8000041,683580,98,30
98,#2C88CVG2V,호키포키,8000055,683540,99,30
99,#298V9G200,chips,8000050,681399,100,30
100,#8RYJCQJC,白堊戰隊,8000059,680692,101,29
101,#9J892Q2Q,aktb,8000046,679187,102,28
102,#22Y0P002P,Gryzonie,8000053,674386,103,30
103,#PPVJRGGC,❤AŞK❤,8000009,672899,104,7
104,#2CGL98PJC,친 구,8000000,671768,105,30
105,#2JC80LYLC,A FEW GOOD MEN,8000031,669270,106,27
106,#28VVR2YYV,FAY_AFG_LEGEND,8000023,667674,107,28
107,#2GR8QPCPU,Приведешки,8000057,665663,108,26
108,#2CC2Y2UUL,DVGS team's,8000036,664295,109,30
109,#2C9Y88GUU,메가 저금통,8000049,663574,110,28
110,#29LQLRJGL,The Mob,8000046,658114,111,30
111,#2RL0R02UG,Club #2RL0R02UG,8000045,656239,112,30
112,#2GPPJ8C28,СКАРОХОДЫ,8000056,656144,113,30
113,#VLR9UGPP,team nicomax,8000037,655663,114,17
114,#2J2Q0GLYP,FR club,8000045,655493,115,4
115,#2JPJ0YGRJ,ツッカ教,8000018,653414,116,12
116,#9CJ2LGJ2,Polskie Dodzo,8000000,652578,117,3
117,#2G9JYJR8R,тюленьчики,8000055,651344,118,10
118,#2GJQGU2GV,Russia Team Pro,8000005,649313,119,28
119,#QGP89CQY,✨LATAM✨,8000040,646104,120,30
120,#YC80VQLG,Tim los capos,8000019,642201,121,30
121,#2YUYQGCRG,RX Outcasts,8000033,641237,122,29
122,#299G0JRVV,Сел на кактус,8000013,640521,123,30
123,#2CLYJQR80,Dream,8000050,640253,124,29
124,#29GCUY9YR,تفضل يا قلبي🫣,8000027,639552,125,30
125,#29Q9J2CG2,бабушка покажи,8000040,635697,126,30
126,#2GYYPPYGJ,🍊furyyyTEAMS🍊,8000039,634331,127,29
127,#29J0LLRRP,Brawel klasa,8000019,631689,128,29
128,#8CRRVQ92,CANIMIZ SIKILIR,8000018,631167,129,28
129,#98GYRVYG,5 к кубков,8000021,630386,130,30
130,#JCLVP0YV,이우아,8000036,629120,131,30
131,#2C280UJP9,번개,8000033,626950,132,30
132,#2JJCJQLCV,anonimowy,8000014,622024,133,30
133,#2C0C9PQGG,고수들 모여라,8000029,621957,134,30
134,#QQV282Q,Knaks Friends,8000004,621632,135,30
135,#8QVCRQLV,Пати долбоёбов,8000009,620989,136,30
136,#29RQUQJVR,Клуб ТОП,8000021,619053,137,27
137,#2JJ2JPRPQ,KRB,8000050,618037,138,30
138,#2GUPY89GR,honey#1,8000029,614204,139,30
139,#2RUJ99VGU,Meat Chiefs,8000038,613959,140,30
140,#2CY9VUJJP,GrzybulceV2 🍄,8000006,612319,141,30
141,#2P0000CC8,Fate Simps,8000017,611841,142,30
142,#PUUCYVY2,Titan Nøva Mx,8000057,609897,143,29
143,#299Q0VLV0,士兵力量,8000019,605628,144,29
144,#209J2VLJJ,several tops|🦋,8000039,604729,145,29
145,#2QLQJQVYC,아기상어,8000046,602802,146,30
146,#LR8LUYPP,СЕРЕБРЯНАЯ ПУЛЯ,8000036,598104,147,30
147,#2QJVV2R9J,England,8000007,595512,148,29
148,#RYCULUQY,몽이,8000013,594302,149,30
149,#29CLLU822,동네축구,8000037,593111,150,30
150,#2JJ2JJQGG,착한 클랜,8000037,592166,151,30
151,#2PYR0PQCU,indo legend,8000006,591798,152,8
152,#2JLCY2Y0Y,Ops Winners,8000037,586914,153,30
153,#2C8J9VJ29,바선생 아빠,8000037,586475,154,30
154,#2CP09CQ2Q,ZeroQuadro,8000051,584169,155,29
155,#QYGYCCV2,skills64,8000037,581547,156,30
156,#2CP8U99C,Vanstars Asia,8000002,581077,157,1
157,#QJQQLU0J,los humildes,8000059,580680,158,24
158,#2YLVUCCJG,Polish Gang,8000011,580671,159,19
159,#P9GYJU2,weed star,8000033,580145,160,27
