,tag,name,badgeId,trophies,rank,memberCount
0,#U08RPUU2,Brawl Invictus,8000003,2135337,1,30
1,#28VR8VQ20,YGF |DARKNES,8000016,1932235,2,9
2,#292Y2JRVL,BrawL TikTokS,8000010,1905068,3,1
3,#28RPU802C,Козаки_UA,8000027,1707820,4,30
4,#28PYRUUPV,LUN4TICS,8000004,1473384,5,30
5,#289G99Y2G,★DarkSecret★,8000006,1133917,6,27
6,#82VYLQQ9,P.N.A.Y,8000006,1101471,7,30
7,#PJJCYC8R,マイクラ,8000043,1079969,8,30
8,#29UJ0YP2J,ми УКРАЇНЦІ⭐,8000018,1077314,9,3
9,#2YRYQR8GL,NOLIFERI,8000057,1060854,10,27
10,#CUL08UU9,кароль бравла😎,8000029,1047202,11,28
11,#CGVUQJUV,Masters Rus,8000029,1023688,12,23
12,#2QY0VPGR0,Albanian people,8000049,1007647,13,30
13,#2R2QQQ0UQ,Hørrat,8000029,995561,14,24
14,#2J2J0J9RJ,THE RESISTANCE,8000023,986205,15,30
15,#2R2CRRRVY,Tatakae,8000007,972728,16,30
16,#LRCUCRUP,THE LEGENDS,8000029,909507,17,30
17,#2RYQ00JGU,ALBANIA KBS,8000029,907533,18,30
18,#29LUQYRCR,LA BANDA,8000013,897634,19,29
19,#20UVR9Y8R,CLUB BLUFRESH,8000039,893081,20,30
20,#JPY09C8P,🌠GECE🌠,8000059,875552,21,30
21,#2QPYL2QV2,best klub,8000045,874692,22,30
22,#2Q8Q0PRL,кабанчики,8000011,873704,23,30
23,#28QUQ9RLL,IR_Team,8000055,850807,24,30
24,#29YRQ8PRP,THE LEGENDS,8000029,818388,25,30
25,#Y989RGYG,<c9>red</c>room,8000006,811576,26,1
26,#2J9CCPYPG,<c7>Dead</c>Boy,8000007,790622,27,21
27,#2L9YLCRV8,ᶜᵘᵖᵃ ᴄᴜᴘs🍭,8000023,790414,28,1
28,#2G89LJYRJ,BFF,8000023,784404,29,30
29,#2G8Y2UC22,ALBANIA,8000048,779735,30,30
30,#2CR8LLJ9Y,행복한 브롤,8000046,767588,31,30
31,#2C2RPQQVV,레전드,8000055,762392,32,30
32,#2PPYJGU2G,ARDEI LU'ANDREI,8000007,758732,33,9
33,#PY2VLL90,Albania,8000021,755487,34,30
34,#2JCLYULGG,KING TEAM,8000029,749565,35,30
35,#28VLPLR80,Black Eagles,8000019,746479,36,28
36,#YJYVQJP9,الملوك,8000059,746065,37,30
37,#2CLY8VRYL,ALBANIA🇦🇱🇦🇱,8000055,735907,38,30
38,#2GY80VGJG,TTM|Carry👑🔥,8000023,729980,39,30
39,#QRUUQ02Y,HIGERRI,8000008,728479,40,30
40,#YGRRCP88,malaya zemlya,8000008,712595,41,29
41,#QL2C90LU,Legendary 💫✨⚽,8000023,698397,42,30
42,#YC2UYRVJ,ALB🇦🇱-GANG,8000023,693544,43,30
43,#2G2JQLVLY,👑🇦🇱👑,8000023,692984,44,26
44,#2J0CCQ88G,Albania,8000036,687019,45,30
45,#2CRUYQC09,ليوث الصحراء,8000049,686291,46,27
46,#2Q8980G8Y,meuf bonne❤️😏,8000010,662476,47,27
47,#9GRP89U0,team infiniti,8000018,662317,48,30
48,#29GCPC8PJ,Helium Gang,8000055,657382,49,30
49,#2CRUYCPR2,Freddy_Fazbear,8000029,655879,50,30
50,#2Y9Q0PL9J,BORN 2 WIN💤,8000037,655270,51,30
51,#2J2JRYLPG,한국인 모여라,8000037,655015,52,30
52,#GYCV9JJC,Albania,8000037,652774,53,30
53,#QCGPULQ0,Ukraine kozaki,8000009,651573,54,30
54,#QY90YJGC,THE|『ʟᴇɢᴇɴᴅ』,8000007,641385,55,30
55,#29LLQYCLC,Albenian team,8000037,639260,56,27
56,#2PGQLVLJC,Albania Esport,8000057,638685,57,30
57,#VU8URPGJ,COVID-19,8000023,637068,58,6
58,#2R00Y89GV,hard work,8000011,631368,59,30
59,#U2QPV8JL,sztos,8000018,627719,60,29
60,#2C99R2LPU,돼지저금통pig,8000047,626934,61,30
61,#QGLPRC9U,IllyrianGuard,8000023,624589,62,30
62,#209Q09QC9,❅MΐⱥMor❅❤️,8000005,623392,63,28
63,#29R88LCVP,DONNER💫💛,8000019,622199,64,30
64,#282PCJYJ0,Family ro,8000029,613582,65,28
65,#LLYYY0YC,BRAWL STARS,8000000,611985,66,30
66,#2G0PYJCCL,lagendarys😎,8000041,611124,67,20
67,#2JGR0CVYP,🦈OP|ALBANIA✨,8000023,601277,68,29
68,#29QP22YCU,al.capone,8000037,600160,69,30
69,#208UV80VC,бухие✨печеньки,8000029,597743,70,4
70,#29PJ9QQPQ,BS ALBANIA,8000035,596803,71,30
71,#PLC2JL8Y,BR Albania,8000036,589469,72,30
72,#298GCQGPL,🇹🇷KANKALAR,8000037,588190,73,30
73,#2LJ98LYCC,Albanian Boys,8000023,588182,74,30
74,#Q2Y9RRQV,Albania,8000043,581688,75,29
75,#90P8UU8G,PLAY4FUN ALB,8000029,581314,76,30
76,#2G0U8VJQC,P9 LEGENDS,8000029,581004,77,30
77,#QQ90L8LU,The pride 🦁,8000013,576409,78,30
78,#VUJLL2YR,Tiktoksuchtis,8000029,575410,79,29
79,#90JR92YJ,Conejos,8000011,574264,80,28
80,#QP2CU2CU,OTR_ME_ZEMER,8000029,570871,81,30
81,#292PVR9PP,Die Krassen,8000058,569177,82,30
82,#2JC0VRJYJ,Українці🥑🇺🇦,8000058,568378,83,30
83,#LQVJ2C9J,SHQIPE,8000006,567681,84,30
84,#2Q9Q8RR8V,Hell of albania,8000004,565382,85,30
85,#2902QVY2Q,amici,8000029,564562,86,30
86,#29U2GJQU8,السعوديه 🇸🇦💚,8000027,561694,87,30
87,#LYVQG900,Pros AL 🇦🇱,8000023,561089,88,30
88,#2C0QLL890,乞食だお,8000057,552890,89,19
89,#2QV0RRYG0,GX ToTeM,8000027,550934,90,1
90,#2CY8Q0YJ,РОССИЯ,8000013,547199,91,27
91,#YJ8GGV8U,ALBANIAN,8000037,541101,92,30
