,tag,name,badgeId,trophies,rank,memberCount
0,#JUQG9G80,PERU 7 :),8000007,1783606,1,2
1,#29JVUJUJY,Twisk,8000059,1486248,2,29
2,#2CLCL2YGR,Galaxy Storm🌠,8000023,1458634,3,30
3,#2JVUQPY8G,Alone >.<,8000015,1405148,4,30
4,#2YV8RJPV8,OS OPs,8000014,1402297,5,1
5,#920PYYJG,Dz Kings,8000025,1304040,6,29
6,#2CYYGQGPY,DZ|HUNTER★,8000059,1276766,7,29
7,#UPR880CY,《TR SEVDALISI》,8000000,1256398,8,30
8,#28P29JCQ,☣️Dz Legend☣️,8000045,1248232,9,29
9,#82GLY22J,dz legends,8000037,1243753,10,30
10,#UU9YU0R9,ꜱᴍᴜʀꜰ🐣,8000049,1211072,11,14
11,#2G2Y29RYG,DZ|AKATSUKI を,8000037,1210916,12,30
12,#2G8CPLRQJ,easy win 😎,8000037,1204266,13,30
13,#2PYG20GC9,❄️Dz Warriors❄️,8000053,1200541,14,29
14,#28QQ2JV09,مملكة العراب👑,8000027,1180401,15,30
15,#CRVCY828,TEAM PUMA,8000000,1175357,16,30
16,#2JG0JV8RR,BLAK,8000003,1111315,17,30
17,#2QPJVCCCV,DZ |KINGS BRAWL,8000055,1092535,18,30
18,#2J0LLCQ8Y,Die Pablos,8000023,1071589,19,26
19,#8LGYG808,dz,8000021,1070955,20,30
20,#29LC2JVPL,Yayoufi💀🇩🇿,8000021,1054662,21,30
21,#2Q9RRU0UG,DZ-GANG,8000057,1050525,22,28
22,#29802R0RU,اساطير,8000006,1049896,23,29
23,#289R8J08Y,طقطقة😆😜🖤,8000037,998655,24,30
24,#2R989VQ80,bba 34,8000037,990068,25,30
25,#J9L0PJRQ,Szukam Chłopaka,8000024,978859,26,29
26,#QYVCQYQJ,DZ,8000049,975574,27,30
27,#22G9RUPCC,THE Masters,8000059,974068,28,30
28,#2G2G8U2Y2,NJ | CLAN,8000035,964960,29,30
29,#299RQ2QQR,<c9>we noob</c>,8000018,964302,30,30
30,#2GQ0C2QR8,Legends dz,8000035,960331,31,30
31,#2YUCUYGQG,FC J’TE TARA,8000056,955865,32,30
32,#2QJ82YC9U,Courage🌟🥇,8000019,954673,33,30
33,#Q80UC0LY,cross stars,8000006,944081,34,30
34,#2L2LUCUUY,ر<c7>م</c>ضان✨,8000025,934888,35,30
35,#VP0UQY2,К Победе!,8000059,912222,36,25
36,#QQG0RQ0Y,THE LEGENDS,8000035,909060,37,30
37,#VVY8GQV9,おなかすいたよ🍖🍔🍟🍕,8000039,906082,38,25
38,#2R8VVG2YC,換男人跟換衣服一樣,8000057,897699,39,28
39,#2JQUVQLYC,DK | KING 👑🔥,8000029,895172,40,30
40,#2RPVJG8PQ,Algérie goste™,8000057,880704,41,29
41,#VUL92989,Ｔｏｘｉｃ_ＶＸ☣️,8000034,879146,42,30
42,#2G8URRR2V,العائلة🇩🇿,8000014,853645,43,29
43,#QJ09VQP0,ARAB|STARS💫,8000002,848487,44,29
44,#2QURR0CUL,قريبا كلان مستر,8000035,846378,45,30
45,#YLGRJQ02,仲良しクラブ,8000039,842065,46,30
46,#QGLPCP8P,𝕒𝕣𝕒𝕓𝕤💫,8000018,839304,47,29
47,#292RUPPVJ,unstoppable 🇩,8000034,838308,48,30
48,#QG9JVV22,𝕭𝕾 𝕿𝕰𝕬𝕸,8000043,836052,49,30
49,#V0CJQJC8,👑KINGS👑™,8000029,833006,50,30
50,#LV0Y8QCV,spintcha,8000036,824845,51,30
51,#Q8VPP828,نقابة العالم,8000056,820317,52,28
52,#Q0UQPUC8,one piece,8000035,818890,53,30
53,#22R9PGQLY,Algérie 🇩🇿,8000021,812514,54,30
54,#2Q8VYCRJY,ALGERIA/DZ,8000027,808726,55,29
55,#2CQGRRUJP,DZ,8000047,805688,56,28
56,#20JV2V9QC,<c5>ikiՏօմӀ</c>,8000055,797555,57,11
57,#L0YUJGU9,les G4B,8000023,788547,58,28
58,#29G0GL0VC,ابطال؁العرب؞,8000000,788045,59,30
