,tag,name,badgeId,trophies,rank,memberCount
0,#29JLUVQYG,Chillin House,8000004,2101377,1,30
1,#V0QJ9RV2,Top_Rus,8000017,2055087,2,30
2,#YC9Y0QGY,Alpha Centaury,8000025,1924195,3,27
3,#9QCPR999,Jammo TV,8000023,1188541,4,30
4,#UGGG8CUG,Nie mam legendy,8000013,1175464,5,29
5,#RV08Y8P,mega barley,8000025,1078469,6,30
6,#88VYCR82,🌜моои🌛,8000029,992254,7,30
7,#2JR0LL8J0,MONSTER 😈,8000008,969491,8,30
8,#2029PUVLQ,Leyendas,8000029,943349,9,29
9,#2YUY88QPQ,FAMILY,8000044,924382,10,30
10,#QGC9URPJ,⭐MEGA🔥STAR ⭐,8000023,921633,11,30
11,#20LLQ8Q2R,Vamos a jugar,8000008,894334,12,30
12,#UCYJPGL8,Milk Is Power,8000023,888804,13,30
13,#VYP8QVVP,Skips Realm,8000057,860870,14,30
14,#CRU9J2CC,affensalat,8000016,844474,15,30
15,#QGPP0QGV,кар,8000027,842998,16,28
16,#RGQGURQJ,los amigos,8000029,841620,17,28
17,#2RVQ0PGU,🍫💗IUBITI💗🍫,8000004,834513,18,30
18,#2QY2G0QJ9,Cross time,8000023,789826,19,11
19,#2C0QU0L0R,夜空～藍薔薇,8000046,785435,20,29
20,#2CLCGGRPR,EGG에그,8000019,778438,21,29
21,#290YLUJJ2,一起加油吧！🐣💛,8000057,775486,22,30
22,#2LL9822YR,тут про,8000059,758802,23,30
23,#28V90JV28,Selena Gomez,8000035,756310,24,30
24,#9CUCR09L,G.R.M.,8000033,748569,25,30
25,#2QV8Q8J08,ハンド/bot,8000032,743956,26,30
26,#Q98PLGQJ,🌪TORNADO ™🏴‍☠,8000000,743381,27,30
27,#V8LLYJ9C,SEVİLİYOSUN👉💕,8000010,724952,28,30
28,#L2QR8J2Q,los panas,8000059,722867,29,30
29,#2G09PU808,Green Day Flow,8000035,712854,30,29
30,#G9809JVP,Kiler Mafia,8000021,712706,31,22
31,#YGQUG8LU,Topix Family,8000022,712314,32,28
32,#2QCPVJ908,Happy Campers,8000048,710972,33,30
33,#QJL8PLPU,Top G <,8000037,705520,34,30
34,#2989QR0RV,the gang gang,8000057,703969,35,27
35,#2QJ00G8VV,MOMENTE007,8000023,701622,36,30
36,#2QUQR8YJ9,strawhats,8000008,694743,37,30
37,#2CLJRL982,♡︎Darry Onix🐉,8000045,692650,38,30
38,#QLU2CVUG,Wolcome,8000036,688220,39,30
39,#22CUU2J9U,RED X,8000053,675868,40,30
40,#2G992U8GP,Got Legends,8000053,659503,41,30
41,#2989RJL82,Mr_enderdog,8000037,659002,42,30
42,#2QPJVYU9G,CK4 CHAK4LON,8000029,658418,43,30
43,#2LRR0GG0C,mexicanos uwu♡,8000025,645516,44,30
44,#2PG0LL2J9,FIRSTLY SOCCER,8000029,644983,45,12
45,#22QV89LJ2,FC MAEVE,8000029,641050,46,21
46,#2C8PY0YLC,LeonnelBrawl,8000014,639854,47,30
47,#28RL0CCPG,Glasses gang,8000000,638614,48,29
48,#2JVRYJ0Q0,응애클럽,8000056,637466,49,30
49,#2P82QC8VC,+ 10yaş sevgili,8000028,635543,50,12
50,#20R2QQ98C,ㄥoyal™️,8000027,634880,51,2
51,#22C0GCU8U,G+ eSports,8000000,630711,52,4
52,#2L8LRY2Q0,THE ENDES,8000029,628878,53,30
