,tag,name,badgeId,trophies,rank,memberCount
0,#22U22YCJC,Zombi|Team🧟‍♂️,8000004,2912617,1,18
1,#2LJV0CRLR,ȶɦɛ ʟɛɢɛռɖֆ,8000021,2309689,2,29
2,#L09GCCJL,Terzo piano,8000040,1520570,3,23
3,#VG08UL9P,polsalm,8000029,1253183,4,29
4,#VUJG20J9,BS|Warriors,8000057,1182249,5,30
5,#29RGJCQQ2,Gods of wars,8000027,1135530,6,30
6,#20G0QQ0RV,I LEGGENDARI,8000029,1127904,7,1
7,#82RYQGGV,Catalunya,8000006,1030084,8,30
8,#2JY2GVJQ0,Españoles🇪🇸✨,8000023,997472,9,29
9,#2Y88C28YC,DK<c7> GODS</c>,8000057,984196,10,30
10,#2RGYRRV8G,SOY ESPAÑOL,8000029,918598,11,30
11,#8PLQ2PRJ,301 CREW,8000059,915491,12,30
12,#2LRLGYGL8,✨ORDEN✨,8000018,912836,13,22
13,#2CR8PG2VV,LEGIONS,8000029,897467,14,30
14,#2GP2LQJ2G,Imperio Estelar,8000021,882031,15,30
15,#2RJ20UVJQ,✨Los Mains✨,8000041,872360,16,30
16,#9JULL8LQ,Anonymous,8000004,867338,17,30
17,#YRQCJLVJ,Alianza LDC,8000023,854391,18,30
18,#29L29R9PY,Abraza Arbustos,8000037,840450,19,30
19,#28V2PL0QP,Bombarderos,8000056,840147,20,29
20,#29RPL8R2L,БЕЛЯШ✨🗿🥐,8000029,836129,21,30
21,#29QJC92GL,구독과 좋아요 나이뜨~,8000037,826101,22,30
22,#L2Q8GPUU,ESQUIPULAS GT,8000057,820798,23,30
23,#Q9J9RRJ9,<c3>AG10</c>,8000043,808862,24,30
24,#2P2RRVJL2,홀릿군단,8000059,805825,25,30
25,#2QPL0JJGP,Clan Hub,8000037,804999,26,28
26,#2CL9VUV0P,xLeague,8000037,793431,27,30
27,#JR0UQ9VG,Prietenia❤️😈❤️,8000025,791233,28,28
28,#2C9C92U29,마지막,8000023,790296,29,30
29,#2GU98V8Q8,PatriCastill0,8000041,777726,30,28
30,#2CYJYU0JR,🇦🇩🏳️‍🌈🚀,8000049,775887,31,30
31,#CPQRR92P,mongolos,8000029,771216,32,30
32,#2LJ2J0CJV,🇹🇷C2W E-Sport,8000023,739591,33,2
33,#28RJUGQ98,THE RØMĀŃØS,8000031,736359,34,30
34,#2G8CJL8G0,For The Win,8000029,730300,35,30
35,#2R229QYLG,OneGods,8000023,729727,36,30
36,#2G9Q2LGUP,✨|SuperBrawl|✨,8000049,728298,37,27
37,#28RV9PQ0L,MY KING 👑,8000023,724792,38,30
38,#J09G2CVV,UYUWA,8000009,714934,39,28
39,#2GVU9JY2Q,Los Fénix Rojos,8000037,714193,40,30
40,#2RGCCP0YC,Team|Lions🦁💥,8000018,713548,41,30
41,#29GV8JUUU,🤑Insanidady🤑,8000058,709489,42,30
42,#VPCLGGUU,☄️✨🌌GALAXY🌌✨☄,8000052,709006,43,30
43,#UYLPL9UP,أساطير العرب,8000023,693230,44,2
44,#2CYVLCGR0,XKatsu,8000049,692501,45,30
45,#2LVUYPLRP,fiction,8000025,688329,46,30
