,tag,name,badgeId,trophies,rank,memberCount
0,#Y88YYPLC,the freinds,8000059,2087968,1,30
1,#UPPV200C,White Lotus AB,8000002,1941002,2,20
2,#J98YLY8Q,A DREAMS,8000007,1576945,3,29
3,#2R2VYQ0J9,<c5>The O.G</c>,8000054,1409022,4,30
4,#2QYQ982VL,топы мира,8000023,1390813,5,29
5,#QRJ2JLUJ,knok king NL,8000029,1349281,6,25
6,#JG2RPQQ9,Fulger Family,8000053,1333060,7,27
7,#2CP9ULCQG,xKylo,8000059,1214765,8,29
8,#2QV9LJR9G,小粉杯,8000018,1208422,9,29
9,#2YC9Q98,LIHKG,8000028,1201392,10,30
10,#280PCUP8C,THE BAT FAMILY,8000011,1159507,11,3
11,#C88GLRJC,最高| <c4>MøÐ</c>,8000059,1095593,12,4
12,#UL8Y9VQL,Zanahoria,8000017,1084576,13,30
13,#20VQYP98C,碧幻劍客突擊隊,8000000,1084064,14,30
14,#RRGCQ92,自然醒咖啡,8000051,1050107,15,30
15,#LRYP0CVC,RL-BUKHARA™#2,8000029,1024308,16,17
16,#QR2LV22,BrawlConPapas,8000056,1019337,17,7
17,#2PYVVUCRL,🔥EFSANELER🔥,8000011,962762,18,2
18,#PV9YCCJC,Mildom,8000000,914705,19,30
19,#2J9QQJYUJ,Os serviços pro,8000006,879484,20,30
20,#2G9PJC2R2,☔️Топеры🎋,8000029,820736,21,29
21,#29Y0RJQ9V,Team Pilha CR,8000037,802502,22,29
22,#9Y8L2GLC,Slovakia trend,8000058,799082,23,25
23,#QLYP89VR,Tropa dos Noia,8000037,771348,24,30
24,#2CLJCCCV,🌘GECE🌘,8000029,768385,25,30
25,#2QRCGP908,SoldianArmin⚡⚔,8000007,767358,26,30
26,#LGG2VC9J,HK傳奇宮殿,8000029,758664,27,28
27,#GUR2928U,THE KAPPER TEAM,8000006,758529,28,30
28,#V2J9CPQG,♥️SEVGILI❤️,8000029,742380,29,5
29,#2Q9JLU9V2,_DenLend_,8000029,740535,30,30
30,#YVPV89YL,假的碧幻劍客突擊隊,8000037,740291,31,30
31,#QUGQV9GY,브롤 마스터,8000008,737372,32,30
32,#VGVYVGQG,SParkle | bs™,8000059,734631,33,30
