,tag,name,badgeId,trophies,rank,memberCount
0,#229G89QP,⭐LeagueStars⭐,8000053,1409928,1,25
1,#QPVRRV9L,Лега блин,8000016,1353005,2,30
2,#2P9YYLRQ2,✨乇ㄥ|ㄒ乇™️✨,8000028,1334705,3,30
3,#V0CJQJC8,👑KINGS👑™,8000029,1282103,4,30
4,#UGJYJUCV,Dostluk|Team,8000039,1233800,5,18
5,#PJUG90LG,Марвел,8000025,1198308,6,30
6,#2YJ8JG9JV,🖤YALQUZAQ🖤,8000001,1187449,7,28
7,#2C8QCPJUG,👌|5k Korea,8000021,1090935,8,30
8,#PPVGUPGJ,BROS FAMILY,8000055,1000989,9,30
9,#UUGU9CVJ,Go~Go,8000018,914332,10,19
10,#VJ8VQUYY,エルプリモのしりのあな,8000034,891210,11,30
11,#QQRJJRY0,ENE KING,8000047,887429,12,26
12,#29LP2YCRY,게임하는 사람들의 클럽,8000002,860896,13,30
13,#JJ982V8R,❄️❄️СНЕЖНЫЕ❄️❄️,8000055,852565,14,30
14,#29U2VG029,Pipers Pantry,8000029,837978,15,2
15,#28Q9CLGJG,BOIKA,8000000,834643,16,30
16,#29Y2VJQ2J,🚀Nx Bloshed ☄️,8000031,831953,17,30
17,#29LJGCR0L,дед инсайды,8000023,831007,18,29
18,#2QV288GVL,クラブリーグはやって欲しい🙏,8000058,817673,19,29
19,#2CL0JCYUY,СЕМЬЯ СПАЛЬНИК,8000007,795521,20,30
20,#209GUPVVR,МОЧЕВОЙ ПУЗЫРЬ,8000057,792378,21,30
21,#QYJUL0GL,<c2>MONSTER</c>,8000004,783585,22,26
22,#2YRYJPU9G,неfj,8000051,762985,23,30
23,#2GG222922,Активы СНГ,8000045,753888,24,24
24,#2GYPCQVCQ,Eswqax🦆,8000024,731502,25,30
25,#PVLLGQ0V,기어,8000000,717276,26,29
26,#R82YGCU0,BUSAN,8000016,695009,27,30
27,#QPCLUQJR,les Capello,8000023,690665,28,30
28,#LGPJC02Q,asadclub,8000029,686951,29,1
29,#Q0V9Q9V2,Squeak patch🥇,8000037,671393,30,26
30,#2QLU2PQP8,鳳梨史派克發大財,8000017,670571,31,29
31,#2JVYYGG9R,글긱비의하루,8000057,665430,32,30
32,#298QJUVVJ,•BS|Legion•™,8000047,664892,33,30
33,#QU0UU09U,Brawl legends,8000023,664450,34,27
34,#V9L9UGCP,Floppy Family,8000011,657333,35,30
35,#L0288CPQ,いただキーマカレー,8000004,655807,36,30
36,#YJ9Q99JL,barátok❤️❤️❤️,8000025,651742,37,30
37,#2CRYCQ09Y,Даник плохой,8000018,648150,38,30
38,#20CJYJY98,КОЛЮЧИЙ СПАЙК,8000009,646007,39,11
39,#2Y9Y98QQV,El trío emo,8000007,645743,40,30
40,#29V2J8VLG,i master|2.0,8000019,644779,41,12
41,#2LPGQGLPV,киберспорт,8000034,643220,42,29
42,#UR08LRGQ,крутые котики😼,8000048,640941,43,28
43,#29GRCVL22,نجوم براول❤️‍🔥,8000006,638362,44,30
44,#2QYU02QUU,Srbačka Braća,8000021,631700,45,29
45,#QLGL8RQ9,VIRTUS.PRO,8000037,620921,46,30
46,#2PL0UCLYL,T.M.Y2010,8000057,618940,47,30
47,#QPPPLUYJ,benim kedilerim,8000057,610400,48,26
48,#LQQLG8RJ,라지벌랄라,8000035,603673,49,30
49,#2CQUPCCUV,흑우들의쉼터,8000037,598329,50,30
50,#2JUG9QCLV,Zirro🥶,8000052,587943,51,30
51,#28JUUP2UR,kankalar,8000032,586983,52,29
52,#C0QLG90C,ꪖꪶ☦︎︎ꪖ𝘳𝓲ꪖ♕,8000025,586679,53,30
53,#28PGP0UCL,fori ford,8000047,583223,54,30
54,#2YG0QY2VG,PUP's Team,8000021,582995,55,20
55,#G00L0GRQ,Belgium Bears,8000025,582993,56,30
56,#2G88RJ00V,Bro dal 1995,8000030,579107,57,30
57,#LPPCYP9P,СпуКеРы,8000013,570875,58,30
58,#Q2P28G9G,YANLİZ KİZ💔,8000023,569797,59,15
59,#2RQG29CP,일찐,8000004,559506,60,30
60,#QRGPG0LG,QA_GAME,8000037,552243,61,26
61,#VP2JJ8L2,Head|Shoters,8000023,552152,62,29
62,#QY9890G0,그림이 아주 좋아 구독,8000034,550242,63,30
63,#82LYL9UR,❤😍SONIC😍❤,8000037,549876,64,30
64,#2YLUGCLRU,chonchos,8000055,547902,65,26
65,#R00UG8J2,😈КРЫСИ😈,8000029,542633,66,23
66,#2L888QGRQ,우리 클럽 입니다,8000006,542539,67,30
67,#2CGL09RPY,teletubisie są,8000035,536574,68,28
68,#2GY9PQ8LL,BrawlPypci,8000042,535694,69,30
69,#28VPV0VJY,кузя лакомкин,8000005,532336,70,29
70,#JVV29G2J,петухи садовой,8000023,531364,71,30
71,#28GG9R98L,도현,8000048,526332,72,30
72,#U99RVJ8Q,wyspa miłości,8000025,524898,73,4
73,#LPLQ9RLV,Fantom(gg),8000037,523629,74,30
74,#28UYQVY2L,Топ 1 мира,8000037,523034,75,29
75,#29Y08QLJP,ウルトラこうすけ,8000047,521316,76,28
76,#2C98999LG,ねっぺのギョギョリータ,8000058,519472,77,22
77,#2QYC9P80V,루팡,8000034,513533,78,30
78,#JULCJLYR,❄DIE ZERSTÖRER❄,8000021,511248,79,30
79,#2G8VULV8V,ז3 המלכים,8000055,506763,80,30
80,#228UL20QG,os top br,8000007,503830,81,24
81,#28QL2UYJY,SQR_TEAM🔥🥶,8000037,501567,82,30
82,#29JR9LQLQ,🐭LUcky STar🔥,8000054,500051,83,26
83,#QQ2QLJRY,ÖZ DÜŞMAN,8000007,496819,84,10
84,#2GY90LLP8,프로군단,8000029,496055,85,30
85,#RYUPVLJV,고수들의 생활,8000023,495886,86,30
86,#2CP0QPYLJ,🔥 GOATS 🔥,8000037,492465,87,30
87,#2Q0LGQ202,TOXICS♣,8000036,488447,88,26
88,#2JG822UYP,세계대회 나갈 클럽,8000033,486572,89,30
89,#YUYLYJJU,LOS PROS 2.0,8000059,485507,90,30
90,#29LQ0QUV2,СПИДРАНЕРЫ,8000049,485452,91,29
91,#2PLYJ00RL,🍔КАЙФ🍕,8000008,483292,92,26
92,#22YGR90JV,Перемога,8000049,482393,93,30
93,#2Q2YCQG2P,Бобрикус,8000035,482277,94,30
94,#20R8RVJGY,PAMUK ŞEKERLER,8000029,475741,95,11
95,#29LP09Q2Y,NPC마을,8000030,474997,96,27
96,#QJL9LU90,어쩔잼민군다,8000043,471945,97,30
97,#2C98UP0Q8,ORSI,8000021,468411,98,30
98,#Q8R9GVL0,LOS MEMEROS,8000018,468026,99,24
99,#2JJVQ88VQ,Anglobang💎,8000041,460464,100,24
100,#2JUQVL8P2,ברללה בעמ,8000031,459785,101,26
101,#29LPQPP8G,Шарфики,8000023,456543,102,24
102,#J9RQVL2Q,AMICI VERI ❤️,8000018,447814,103,29
103,#2J9QUJU0Q,<c9>AlonFox</c>,8000023,446903,104,30
104,#PCJPRY0V,LOS PANAS,8000049,446653,105,30
105,#29JCUPQG8,Wonder✨Team,8000059,445592,106,28
106,#Q09VPP9V,🇹🇷TÜRKLER🇹🇷,8000029,444216,107,28
107,#20V2Y809G,fc owee 🐀,8000023,443806,108,30
108,#2JCQ0PYG0,Navi|Fan Death,8000055,443180,109,30
109,#28J8LV2L8,각성3,8000046,442689,110,30
110,#V8CCLJVJ,Ęlite,8000007,439772,111,15
111,#2C9LLYQ9L,ТОП МИРА😶‍🌫️,8000029,439078,112,30
112,#2CL2R0GGG,🐣AqiX❤️{Ax}🦋,8000057,438297,113,28
113,#29YCL8GVU,hiper dragons,8000053,438062,114,27
114,#2C9J8UU2Y,UKRAINIAn KLAn,8000056,437221,115,30
115,#2CRRR90UR,NBX/LEGEND🔥,8000023,436587,116,30
116,#9L2LJ9Y9,Gang Stars,8000019,436108,117,2
117,#29QVCG8GR,АРТЁМ ГЕЙ,8000035,435314,118,30
118,#VUJY9YRY,SПРАУТИК ТТ,8000047,434341,119,30
119,#29YRCU08G,Ж*ПА БОБРА,8000039,434294,120,29
120,#2CLPVJVJR,Друзья на веки,8000018,428847,121,30
121,#VPQ9P92P,BTS TR,8000025,426806,122,28
122,#28CVUCRQG,s t r o n z i,8000036,425956,123,18
123,#292GQRUPL,UKRAINE,8000027,425885,124,30
124,#CY9ULYVV,UMU,8000052,425721,125,25
125,#2J8UV8QQJ,Golden Hand,8000055,420486,126,29
126,#2P8GUYVPR,Носок Судьбы,8000035,417397,127,30
127,#2YPGJ80GU,멀티스트라이크 캐인경,8000013,416982,128,30
128,#2YJQRJ2LJ,TEAM FISCH,8000003,414832,129,30
129,#V9C8UGYP,🤡THE CLOWN🤡,8000023,413951,130,1
130,#2LLU2RGLP,Family club,8000007,413003,131,30
131,#GJQQV88R,arkadaşlar,8000029,410363,132,27
132,#2J9UURULG,Navi|Club,8000029,407215,133,30
133,#2QC02V0Q9,про new игроки,8000006,402117,134,29
134,#PJ29VG2Y,ЛЫСЫЕ КУКУРИНЫ,8000043,399272,135,30
135,#2YCYCJPGU,popota,8000058,392383,136,30
136,#2G9CPVV89,Cactus 🌵🌵,8000009,391840,137,30
137,#2YP2R8UGV,los mamadicimos,8000022,391381,138,28
138,#98YLYGJC,♥️kankalar♥️,8000025,391005,139,8
139,#2GCCRGPY8,смешарики777,8000034,390039,140,25
140,#29PPVV9C0,ОГОНЯТА,8000056,388989,141,29
141,#2C9UL8C0C,신민섭사랑해,8000055,388199,142,30
142,#2YLVV9GJQ,Дед снежок💙,8000057,384690,143,30
143,#2PCR0VY9C,EN İYİ KULÜP,8000059,384606,144,30
144,#RU0V2PL,so op powerd 3,8000039,384365,145,30
145,#Q02YUJ8Y,黃金幻想,8000004,384337,146,30
146,#L0UVQL92,топ ігроки,8000029,383605,147,30
147,#2UYR8CVV,Mix Red Ayz,8000029,382354,148,30
148,#8002U922,Casa de chaves,8000019,380038,149,30
149,#8QV098Y9,pt2011,8000016,379695,150,30
150,#CPGG0CU0,🎈BlackBull🎈,8000018,379660,151,3
151,#29LJYQLLC,頻繁にしゃべるクラブ,8000035,379087,152,30
152,#2QGQGCY9Q,Werderu,8000055,378713,153,15
