,tag,name,badgeId,trophies,rank,memberCount
0,#298J2R0VG,Indian|Legends,8000004,2181408,1,30
1,#2PPUQQCC9,🌵SPIKE_ARMY🌵,8000013,2123692,2,29
2,#29QP2VUUY,S H O W Z Y,8000027,1582018,3,30
3,#20L2PUQQY,I LEGGENDARI,8000029,1495803,4,2
4,#22J8PR9PP,SANTA SQUAD A#1,8000018,1323001,5,30
5,#V0CJQJC8,👑KINGS👑™,8000029,1282094,6,30
6,#R2YC8GCQ,Cult of Noobs 2,8000023,1249139,7,30
7,#UP0VJR8V,Academy|FRIENDS,8000022,1192068,8,9
8,#229URJQ98,NewWorldOrder,8000023,1140865,9,13
9,#2G88Y9RQY,Defense Grid,8000018,1116872,10,30
10,#2CPG0VJRR,AntarcticEmpire,8000059,1086431,11,30
11,#2JRUGGQU2,"О НЕТ, ТОПЫ",8000000,1052451,12,30
12,#VGY2C2QL,JR_CLUB MUNDIAL,8000025,1038036,13,30
13,#2C0CP9VRQ,DarkCløud,8000023,1032818,14,29
14,#LCPQCQ2Y,⚡️KINGCLUB⚡️,8000059,1008896,15,25
15,#CPJ99UP8,I pro dell'anno,8000023,965368,16,30
16,#Y29GCYQC,noodles,8000004,909456,17,30
17,#2RU0CQ9RL,ドッヘンアイア,8000022,887535,18,30
18,#28U2GCJ8Y,СТАРР РОБЗИ,8000006,886973,19,30
19,#9V0LLJ02,ғᴀɪʀʏ ᴛᴀɪʟ,8000055,883824,20,30
20,#29JPVCLPQ,Delightful,8000052,883800,21,29
21,#2JY92LUJV,Tax Evasion,8000057,873564,22,30
22,#2R2YUURC8,Arctic Empire,8000021,871431,23,30
23,#2LLCJPGY0,FreeDragon✊🏼🥱,8000029,866043,24,4
24,#P90C2JPP,MIĘDZYBRODZIE B,8000029,856512,25,4
25,#29920028,디시인사이드,8000002,854413,26,4
26,#JCPQ288Y,그냥다와,8000018,837237,27,30
27,#QR22QVL2,TURKEY ESPORTS,8000006,833118,28,29
28,#2CRP0UJGV,🥇Choom🥇,8000011,826812,29,30
29,#C202PQ09,BS|Turkey🇹🇷,8000004,826579,30,6
30,#8CPPV08U,Conquistadores,8000013,812738,31,30
31,#2GYRU9CJC,<c4>TECHNO</c>,8000003,769365,32,30
32,#2YQG099L8,우리 가족,8000059,766000,33,30
33,#2G8LRGY8J,LA BANQUISE 🐧,8000057,761313,34,29
34,#2G2RRL0,潜水局,8000049,750639,35,30
35,#20CCJLJ29,KasX |Team,8000023,749036,36,29
36,#2J8R292CV,Los malotes,8000051,735909,37,30
37,#29UJPLLJU,I CORVI fenici,8000011,732669,38,1
38,#2C2CQLCGQ,브롤 즐겜방,8000029,729725,39,30
39,#CYQJPRVR,рашидосы,8000027,719050,40,29
40,#2RUL2P2JL,우리클럽,8000024,716573,41,30
41,#22YYUV22,Team España,8000019,710246,42,1
42,#J0Q0QJPL,iubiti😘,8000029,707393,43,28
43,#Q88P0RP2,잘 못하면 맞는클럽,8000003,702175,44,30
44,#YVGLYGPR,鳳凰,8000029,698607,45,30
45,#2GYQ0YP0Y,H.I.D,8000038,687492,46,30
46,#9RQPJCPU,ByCarloX squad,8000004,686764,47,26
47,#2C0J9ULLP,NY_TKD,8000004,678968,48,30
48,#8JVYJ9LP,Gheddo,8000004,673893,49,29
49,#2JUL2Q9Q2,Tower Targeters,8000006,664313,50,29
50,#2RJC2C2,MEXICO,8000005,660512,51,30
51,#2QVY02LC0,BABUSHKA,8000057,659437,52,30
52,#22P22C9Q0,MİNİK KAKTÜS,8000000,657299,53,9
53,#LRRQJPYL,Team Freedom,8000055,656814,54,24
54,#8G0QRRYJ,home,8000004,653994,55,30
55,#2GLG0RR8U,BadWater :),8000009,650739,56,30
56,#2LL2VJ9LR,NO RANDOMS,8000006,650619,57,29
57,#2LJCQ88GV,約嗎,8000031,633666,58,30
58,#2CYGY0Y8,Arabs Gang,8000016,632956,59,3
59,#2JCQPYYGL,C.L.S Hyper,8000012,632589,60,29
60,#JCQ0PG92,🔥Los amigos🔥,8000029,632098,61,30
61,#202QYY9GQ,Level 7,8000016,619586,62,30
62,#2JPJ28UJP,messi,8000049,618178,63,27
63,#2JR9Q28G8,불타는 고수 🔥,8000037,614575,64,30
64,#82898JVG,Los Pros xd,8000018,611331,65,30
65,#28Y98VQL8,SEDM,8000037,610897,66,29
66,#2C80G802Y,SINGULARITY,8000045,605913,67,30
67,#28GC0V8JG,Клуб Winx,8000035,602979,68,30
68,#8LLLC8V,Gasteix Royale,8000019,602178,69,29
69,#LG928R2R,massiu y ronas,8000022,601997,70,30
70,#28VYVJPQ2,PrincessPenny🥵,8000025,601031,71,30
71,#2JGU2P0JQ,DOMINO DUDES,8000036,600866,72,30
72,#2JVJRG0V9,맥도날드,8000055,599587,73,26
73,#2QLYQC0YY,Team-Pommes,8000023,598406,74,30
74,#2C2Q9V9YV,KlatkaDlaMużyn,8000022,597008,75,30
75,#2RRYR2RUV,트롤모임,8000000,595862,76,30
76,#802VLY9C,Пупы,8000023,595575,77,26
77,#Y82GCQQV,sai covid-19,8000029,594612,78,2
78,#U2LPC2U8,RAMING BOSS,8000004,593189,79,29
79,#QC0CLGVQ,Kairos and kill,8000037,591878,80,30
80,#2RVVY8G0L,мощные снаряды,8000022,590783,81,30
81,#2C98RUGUJ,konold gang,8000034,587522,82,30
82,#QLY89989,I PINGUINI,8000029,587410,83,30
83,#VVJVLPL2,WOJOWNICY WOJAN,8000019,584592,84,1
84,#J8UPG00,INTER-QUE,8000026,582770,85,28
85,#2RU98LPQP,양배추식사,8000018,575359,86,23
86,#2R2C8Y8QP,Fat L,8000038,573784,87,30
87,#2JJ989PRJ,40K,8000036,573290,88,27
88,#JR0Q9G0U,김유신,8000018,570640,89,30
89,#2G0P892R9,Эль примо луффи,8000034,569362,90,30
90,#2P8L898GP,サカナの帝国,8000001,568227,91,30
91,#299PRQURG,Meow warriors,8000025,567497,92,28
92,#GJCCUGG8,LEGENDÄRES TIEM,8000037,564977,93,30
93,#22JRJRR9Q,❌NUDA❌,8000023,560907,94,29
94,#2RQGQJ08J,农民,8000057,555659,95,30
95,#28G2GY8J8,🌼PAPATYA🌼,8000016,555098,96,4
96,#2029PRQ8Q,Grayscale,8000057,544129,97,29
97,#2JU2JG9GY,조원중 브롤방,8000018,542591,98,28
98,#2C0JLRCGU,쓔쓔,8000022,542435,99,30
99,#28QVVJCRY,ramen brawlers,8000032,533220,100,30
100,#2RUC29PC8,DONATIKO,8000028,532543,101,30
101,#2GGUJC9UL,noodles,8000004,531794,102,30
102,#Y8Y9VJR,Flamin' Elite,8000019,530531,103,30
103,#LPLQG9LJ,Fiesta circus,8000034,528592,104,30
104,#VUYU8QC2,Dutch Brawlers,8000025,526916,105,24
105,#2CGGR0QC9,lilnicgies,8000041,522898,106,30
106,#QR8LY0CC,나통아리아,8000013,516299,107,30
107,#2RYC8LG2R,BRAWL ⭐⭐⭐,8000018,514364,108,30
