,tag,name,badgeId,trophies,rank,memberCount
0,#JQYCJ8RL,GOD OF CLUBE,8000016,1290921,1,30
1,#28CYYQ9YP,🔥AkUmA🔥,8000024,1290595,2,30
2,#2G0RUQJUR,☀️Summer Line☀️,8000027,1203712,3,28
3,#RJ982PRU,BS-esports,8000000,1110606,4,28
4,#UCVYQRCU,Brawl Power,8000004,1105510,5,13
5,#2JVQ8G8PQ,¡ARRIBA ESPAÑA!,8000034,959873,6,30
6,#P00Y9VUR,遊び,8000048,881095,7,30
7,#2GJ8C928G,second poteau,8000037,832654,8,30
8,#2G292RVUL,JNT,8000023,754898,9,30
9,#2G99Y8LYV,LAUD THURRRR 🙉,8000035,737774,10,30
10,#2C9VQC2Y0,Shadow Warriors,8000027,725977,11,29
11,#29LRLG8J8,Sigma🗿,8000052,725485,12,30
12,#QJVU2RLJ,메가 저금통,8000034,715495,13,30
13,#209Q09QC9,❅MΐⱥMor❅❤️,8000005,706544,14,28
14,#QRVQR8RV,. ZINGO.,8000048,696338,15,30
15,#2JJQY8RVU,SpotenyKropacek,8000006,693633,16,28
16,#JGQ828RU,Team OWEE,8000023,685662,17,28
17,#2C22CCL9L,복귀 클럽,8000000,664531,18,30
18,#RC82P8J9,JAJA eSports,8000029,661452,19,28
19,#2CJGUJJQC,ППППППППППППППП,8000045,653406,20,30
20,#2QVVR0RGR,marvel !,8000059,621588,21,29
21,#ULY0G98C,Supercell gönnt,8000041,615682,22,30
22,#28JV2UQ8U,PLS PLS PLSjoin,8000057,609950,23,30
23,#29YPCQYPQ,Spiked Red,8000005,595111,24,29
24,#QYYVUPGV,Hyra best,8000040,584669,25,26
25,#2G8CPC89J,ㅋㅋㄹ삥뽕,8000059,574916,26,30
26,#28CC2RG00,<c4>BLUFIRE</c>,8000001,566997,27,3
27,#29CLPP990,Zaodi🔥🇬🇪,8000023,561370,28,30
28,#28LRRP8VP,Кириешки,8000051,548939,29,29
29,#VGJ2C8Y2,АРМИЯ КОТИКА,8000026,505922,30,29
30,#PPC8U9U,el PROmo,8000059,493898,31,30
31,#2G98J2090,CHAVALAS,8000041,493286,32,22
32,#LP8G0J8R,BRAWL_TEAM,8000007,487247,33,29
33,#2YJGLP0VU,Ich mag Käse 🧀,8000025,484908,34,30
34,#98UQQYY9,e-Friends pro,8000013,479280,35,29
35,#20PJRJC90,Los macarrones,8000000,475463,36,23
36,#2YV8RY0LJ,돼지바와친구들,8000031,468289,37,26
37,#2G9R82PRY,ZenciCemal,8000041,467315,38,30
38,#CP2VVYUQ,😜~DELİLER~😜,8000023,467129,39,8
39,#92PQ2CPL,Minesweepers,8000003,466449,40,3
40,#UP0QVG9Y,❤️Sevgililer❤️,8000014,459101,41,3
41,#RUULLVQV,KSA 🇸🇦💚,8000000,453435,42,30
42,#2JP22UUY2,개잘핵 상수들,8000023,452698,43,29
43,#29LGPPJYQ,.....,8000029,447483,44,28
44,#2GPP9GQPJ,Pobre jack,8000035,446168,45,30
45,#2JR28JQ9U,푸른중자위대,8000037,443680,46,30
46,#2JJJV8YUQ,원추리,8000057,437783,47,30
47,#2LCPQVY8J,😈АУФ😈,8000029,437127,48,30
48,#2CP8LRR0C,꿀잼들의 모임,8000005,434648,49,30
49,#2JVUY8C2R,세준 군단1,8000037,430967,50,29
50,#UJ2028QV,Миша,8000037,425027,51,30
51,#2RL98C2C0,Kursk Region CH,8000025,424544,52,22
52,#U8YJP88U,PX/MITOS,8000013,423883,53,7
53,#2G980ULL0,INFINITY SECOND,8000055,422566,54,29
54,#2C008GQPU,brawlernistit,8000042,422089,55,29
55,#20V8JPRCC,Ecuador,8000042,419531,56,18
56,#UUP8092R,Brawl Akademia,8000026,419155,57,26
57,#QCRR8R2Q,😎Yenilmezler😎,8000007,417357,58,30
58,#2G8JY90YV,Nur FCB,8000057,416944,59,30
59,#2CQY2CQ2L,fos brawlers,8000031,415355,60,30
60,#L0QRLLQC,Elite alakulat,8000029,413108,61,29
61,#VP9RRJPR,горлт,8000047,406265,62,27
62,#228YPU8PR,"삼겹살,오리고기,돈까스",8000019,403968,63,29
63,#JGLPQ2V0,Les rejetés,8000025,399476,64,9
64,#2JLQ902G2,🍞хлебозавры🍞,8000025,397425,65,30
65,#RGQ2JCVP,ØP|FRINDS,8000023,395232,66,3
66,#PPLUGLVG,ישראלים בלבלב!✨,8000028,393147,67,2
67,#28VLCYU28,humi dobrodruh,8000059,391792,68,22
68,#298082RLP,sonchins,8000047,389541,69,29
69,#2G2RR2RVC,PİXSELL🖤,8000033,382992,70,28
70,#29JL88RLR,🐺 ALCATÉIA 🐺,8000004,380706,71,30
71,#JCGYGYLG,KL DAWIDA !,8000025,380249,72,30
72,#2GLP8G08G,los primos,8000029,373919,73,30
73,#UC098URG,amour/amitié,8000029,362089,74,28
74,#8VCLCLLQ,🍀AMICI💚,8000033,361814,75,27
75,#202C9UYR2,OPTIMA,8000004,357493,76,5
76,#209JJLGG9,AYF_RU все вице,8000006,357445,77,24
77,#2QYGJPCQ,ÉLIT3,8000019,357099,78,30
78,#2CR9JQ8GG,CLOWNS,8000021,353259,79,21
79,#2GPYCRGLL,19212,8000027,352432,80,30
80,#2G8JQGPJ8,Italy 3,8000004,352272,81,30
81,#2Q2PLJLCJ,GAMER | PRØ,8000038,352069,82,30
82,#229UJ0VV0,I FENOMENI⚡🔥,8000023,348698,83,3
83,#2RY9VP29Y,ALPTRAUM,8000034,346848,84,27
84,#289CUR98,Timkeso real,8000013,345841,85,27
85,#2CJ0UUPJR,호랑,8000033,343617,86,30
86,#JQ9G0VPR,CREEK KINGS,8000028,342671,87,9
87,#2YP28J90C,CHAPES? 🤗,8000013,340868,88,19
88,#JGQ98JJU,DAVIDOV TEAM,8000002,339075,89,1
89,#80UUYJR8,Lithuania,8000046,338796,90,29
90,#QG82C20Y,ϟITACITY FCϟ,8000003,337300,91,15
91,#C0Y2G2C,Ruins Club,8000013,335000,92,30
92,#288G890Y9,森林之神隊,8000029,332335,93,30
93,#9JYC80RL,יחי המלך,8000020,330833,94,29
94,#2QCVGRGY8,Løst Guardians,8000004,327413,95,30
95,#29Y08CG8C,Bslegends,8000049,327014,96,30
96,#2C0YJC828,токсики монстры,8000035,327002,97,27
97,#UU20GC0Y,888888,8000021,320916,98,14
98,#RUPYVLVJ,Alevli Simsek,8000019,317498,99,30
99,#2G9RJYLC0,שולשלת סבא,8000059,315246,100,30
100,#CU8J9QCL,ekipa friza,8000019,311982,101,28
101,#VL8V2QQL,Барсуки,8000025,311246,102,13
102,#GVR8YJJ2,⚡I PRO⚡,8000003,307222,103,21
103,#2YL88QR9V,🇹🇷TÜRKİYE🇹🇷,8000029,306575,104,26
104,#29QRCYCPP,공평한 클럽입니다,8000004,305727,105,30
105,#GRPC90,ORIGEN,8000000,304969,106,28
106,#2CPG08V8R,SonOyunBükücüle,8000049,302383,107,24
107,#C8GCCPQ2,Brawl stars,8000000,300139,108,17
108,#2C2URQYL8,❤️🔥AŞK🔥❤️,8000006,299104,109,3
109,#Y20VG20Y,крутие,8000023,297797,110,19
110,#29J9PY0RJ,Прувет,8000050,296928,111,25
111,#2LU0UUQPV,ᴄʀɪᴍsᴏɴ ᴛɪᴅᴇ♡,8000029,296770,112,1
112,#2C80QR98,BALKAN|Light🌌,8000021,296175,113,1
113,#2G2YLV9QQ,소통클럽2기,8000004,295487,114,29
114,#2UPPVYJC,жерава,8000029,294836,115,29
115,#GLPYJ80G,단우Tv,8000029,294690,116,28
116,#2J0CY0CCV,R. I .P Techno,8000043,293524,117,22
117,#2PJGV980U,PRO,8000037,292524,118,25
118,#JJV2PLC9,ванч,8000016,291701,119,15
119,#V0JL89VP,s # red stadion,8000024,290551,120,30
120,#Q9RLCU,ketaminafina,8000013,287747,121,26
121,#YQQL2VCP,a cool club,8000007,287347,122,30
122,#29LP8VV90,miss hana,8000059,284988,123,29
123,#YUG0J0QR,Team|WP,8000025,281287,124,30
124,#RJUPQVY0,los pro gamers,8000029,280574,125,30
125,#VGJYQVGU,Los Alosneros,8000033,279609,126,30
126,#2QQ0V2U2Y,BRAWL STARS,8000004,276900,127,29
127,#PJRJLL9Q,참치마요 김밥,8000029,275752,128,20
128,#GJCL0RUP,BTS BLACKPİNK,8000004,273115,129,25
129,#9RRCVU9R,Lubo 08,8000023,271580,130,15
130,#PLLPGPP9,БОЕВЫЕ КОТЫ,8000057,271362,131,28
131,#220G992GP,Bawz Army,8000030,269550,132,22
132,#28PJUQYUU,Liga do Caos,8000034,268553,133,14
133,#2G2QR9JYP,Сигма,8000023,268195,134,30
134,#2LL99Q8Q,ASİL TÜRKLER,8000023,266755,135,21
135,#28VUC0RUL,kelkit2941,8000007,266537,136,12
136,#2R08VPCUP,LEGO,8000024,263973,137,25
137,#8P2P9UCP,BAKCELL,8000003,258939,138,29
138,#2JQCJVL2L,Os Gallegos,8000035,258936,139,29
139,#29CJGLU0J,😞💔😭,8000029,258823,140,2
140,#UYJ0RGG0,WFG,8000007,257777,141,27
141,#2GCVV8VUY,чижики,8000013,257136,142,21
142,#29LJJ2QJ9,ARKADAŞLAR,8000023,257051,143,12
143,#2L2JYGCJ2,😜kanka😜,8000007,255926,144,6
144,#VV9Q0JJV,DOMADORES 🇪🇦,8000057,255845,145,27
145,#28R99VL0Y,PIANTA,8000019,254406,146,28
146,#200LP28YG,erkekler kızlar,8000011,252251,147,2
147,#2GYPCR2LG,GREYSANDRO,8000037,251628,148,20
148,#QRLRYJP2,검정그림자,8000016,251401,149,29
149,#YJ2C0RJ2,Porc’Ndio,8000017,250831,150,26
150,#G0VUVRVY,نقاتل لكي نفوز,8000007,246529,151,28
151,#G2LRJ9RU,efsanevi kulūbū,8000029,245907,152,28
152,#2JY0YYLPC,korea club,8000030,244239,153,20
153,#2J90L898G,Toxiki🥀⚡,8000053,243986,154,15
154,#22Q9RQY,Cebolla Boba,8000013,243867,155,28
155,#28C9CGYLC,אלופי האלופים,8000019,243834,156,21
156,#Y0QU980Q,brawl equipo,8000017,243024,157,28
157,#22PJP02VL,시후이노니,8000023,241570,158,30
158,#UGULG0QY,스카이로,8000056,239551,159,30
159,#89U9PCYU,English,8000027,238323,160,30
160,#UVY2PPQ0,GNOME,8000023,238310,161,29
161,#Y9QY88LC,Guatemala,8000021,237932,162,29
162,#2Q2PP88JQ,Noob jr,8000058,237893,163,19
163,#29LLRUVUQ,ALTIN ÇAĞ,8000029,237607,164,22
164,#V00Q9GG,шмаль,8000023,237314,165,30
165,#8PGPUG8,dElWarriO,8000025,236041,166,30
166,#29JJY9UUL,Lipowa brawl,8000044,235573,167,19
167,#2J80RRYCJ,sedláci,8000043,235503,168,27
168,#28CVYVP9L,ソーナンス,8000029,235344,169,30
169,#2C2L0R0J9,SK Gaming,8000046,234619,170,23
170,#2UYPVRU8,MiawAug,8000004,233683,171,28
171,#QQ9CJVQ9,issjw,8000035,233141,172,30
