,tag,name,badgeId,trophies,rank,memberCount
0,#2PUUYJLQL,XIII Legion,8000029,4000458,1,29
1,#2G2QGCRL2,GStars Power,8000014,3327187,2,30
2,#2QV0RCUC2,Legion Augusta,8000037,3250884,3,29
3,#VL9JLRJ,ILKA GAME,8000014,3103703,4,30
4,#RVUURC9G,🔥Red Dragons🔥,8000029,2566558,5,1
5,#2QQR99809,...,8000023,1928426,6,30
6,#V8JVC9Y0,CHAMPİONS,8000025,1832253,7,30
7,#29U2090R2,TeamRaiper,8000045,1757346,8,30
8,#2RR8QG8G,PastelDequeijo,8000029,1606576,9,29
9,#2PUGVGRJL,Legion I Flavia,8000029,1605572,10,29
10,#G8UQV0Y2,бонжур картошки,8000023,1476502,11,30
11,#UJCJLLLJ,חרדים בנשמה,8000018,1464788,12,25
12,#JJURV2QL,MIDNIGHT,8000023,1443728,13,2
13,#QPVRRV9L,Лега блин,8000016,1378001,14,30
14,#QUJ9JYCG,اسطول شعر احمر,8000023,1325362,15,30
15,#2P22U889P,「Ţhę」`FłąśH☆🌠,8000027,1255198,16,29
16,#20PCJ8U8V,Warriors of Lig,8000029,1246547,17,30
17,#QPCLUQJR,les Capello,8000023,1243462,18,30
18,#QCPVQC2C,ReBorn🖤11,8000033,1224639,19,30
19,#VJ80V28J,ENDIKHUB 2,8000023,1141648,20,8
20,#8VYVUV0R,THE NOBLES,8000009,1116334,21,2
21,#2G0U0QC2J,Old Team|AM🇦🇲,8000021,1112347,22,30
22,#2CYVQGJ28,Адская Боль,8000023,1086580,23,29
23,#URVYYC2J,Slovak Elite🌟,8000027,1055630,24,30
24,#29QJ89L9C,<c2>GS</c>|BJK,8000025,1052801,25,30
25,#2CY8CG02J,🌺Pink Vision🌺,8000011,1041874,26,30
26,#29RLLU8RU,Arm-Smile🇦🇲🔥,8000037,1035777,27,29
27,#2GU8RJUL8,Legion Claudia,8000029,1029588,28,6
28,#JGGU9CVY,۞ᴋɪᴛsᴜɴᴇ۞,8000021,1016795,29,4
29,#2QV228QJ8,Bullet Echo,8000059,1006136,30,30
30,#2JVCRY29U,The Titans,8000036,1005601,31,30
31,#V99R0GRP,<c7>✨|Frenz</c>,8000029,997415,32,3
32,#88VYCR82,🌜моои🌛,8000029,972423,33,30
33,#2J9PGR20C,Badminton Lin,8000035,957147,34,30
34,#202LUP9JJ,<c7>PRO</c>,8000004,932745,35,2
35,#29RR0LRPC,BadBoy Esports,8000057,920492,36,29
36,#29GGC8RR0,<c8>ＬＯＶＥＬＹ</c>,8000010,917977,37,8
37,#29LP00GGQ,Purple_club,8000041,895769,38,30
38,#29LR9URGC,My World🌍,8000021,895253,39,28
39,#2080Y9CU9,KIDS BRAWL🇦🇲,8000029,887637,40,29
40,#2C9UQLPG8,ossetian hawks,8000007,887415,41,30
41,#2JCQV0JUR,A # A ABC,8000047,886591,42,30
42,#8JJPRP2L,Legion Dacia,8000029,884510,43,29
43,#2CQC9PLR9,Domínio do Ódio,8000040,871469,44,29
44,#2G88GYVUV,DRAGONS IL,8000016,867475,45,30
45,#29Y28VJYV,ARM Holding,8000025,861661,46,28
46,#9222L8JR,@ШОКЕРФЕЙС@,8000034,856056,47,30
47,#Q9JC2PCG,BRAWL AMIGOS,8000023,848371,48,30
48,#YQV0U8YJ,ТОПЫ ЛИГИ,8000037,832475,49,30
49,#2JRCVR9J2,K.O.M.A.Z,8000029,830160,50,30
50,#2RVU8YV2V,NewLegends,8000027,821553,51,27
51,#2JCRRR0LC,pivofanat club,8000023,811331,52,30
52,#2RPLR99PQ,PELMEN,8000059,799305,53,30
53,#LUJGJC99,POLSKIE ROŚLINY,8000047,776459,54,30
54,#29JUUY8UJ,Elite,8000002,773428,55,29
55,#2C2LC89JU,_otm❤️club😎👎_,8000029,773386,56,30
56,#20Y82RC89,Hay,8000046,753106,57,29
57,#2JL90L829,ПРЕДАТЕЛЬИ✌,8000054,746630,58,30
58,#9RVJCQ2Q,fino señores,8000021,744647,59,30
59,#2JVYU0QY8,vinchers team,8000055,744166,60,30
60,#2CLJCCCV,🌘GECE🌘,8000029,740899,61,30
61,#2QY0PU2U2,1 место🇦🇲🇦🇲,8000023,739167,62,30
62,#2JGVL9P0J,Wild Wild West,8000023,726650,63,27
63,#2G99C880L,Hayerov🇦🇲✌️,8000004,723310,64,29
64,#QR2YU0RV,ARM GANGSTER,8000059,723173,65,29
65,#2CPYPV9PU,Просто в соло,8000034,718706,66,30
66,#2G9YQJU80,LA5,8000023,718303,67,30
67,#VP9YRJR2,La Familia 🤗😊,8000059,716621,68,30
68,#C8VYLLG8,Edo-Bedo,8000057,712219,69,29
69,#9CQUYJVL,猴强削,8000020,706222,70,29
70,#28PUGYUP9,Relics HAWKS,8000003,705708,71,30
71,#2QQGG9LRR,Тик токерский,8000044,704135,72,30
72,#2CGLUVYLG,Бандерас 🇷🇺,8000059,694336,73,30
73,#22RQL2R9Y,ASKIM💙💜❤️,8000025,694244,74,10
74,#29G92R0QC,хижина👅кентов,8000043,694189,75,30
75,#2YPU0GYGL,🇦🇲Հայերով🇦🇲,8000021,692539,76,30
76,#2PVUGL2UP,Sharm|Armenia,8000049,678098,77,30
77,#R2Y9PGVY,Armenia Elite,8000006,670112,78,30
78,#29GPUYGCP,ArmGamers,8000051,662923,79,28
79,#29RGG99Q2,Armenia Noah,8000037,655413,80,30
80,#2JL9GYPVY,Армия Рол,8000023,653818,81,30
81,#RQCQQ0VL,Geceyi Sevenler,8000010,651148,82,4
82,#2RLV8UUUJ,любители мам,8000035,649521,83,26
83,#28CQQVPLC,ggttt,8000059,649398,84,28
84,#JCLQ9C0G,Леон,8000019,648887,85,8
85,#CCJ8CY9G,청담동 박박이,8000057,648253,86,30
86,#2C0PUU88P,LosUwU,8000036,645612,87,30
87,#28GLPVP90,DRINKS BR,8000037,645594,88,30
88,#29QRQPQPV,ARM🇦🇲🤍🖤 god,8000021,644653,89,30
89,#2G9VCY82V,Pitbike|Team🔥,8000049,642865,90,27
90,#2C2UQQU2V,САКУРА112,8000037,642708,91,30
91,#28Q8YJRQ,Michis crew,8000033,641463,92,19
92,#28RQU82V9,meuf belle,8000004,639770,93,28
93,#2C2QRUJYQ,Angel’s Eye,8000004,639292,94,29
94,#LQ0VLJJP,ННИ,8000036,638070,95,30
95,#2JYLRJGCR,эх шарик..,8000039,634478,96,30
96,#209U89RU8,ЭНДЭР-БУБЕДЖ,8000039,634042,97,30
97,#ULLVRR2G,브롤스타즈,8000029,634024,98,29
98,#2P8G8PYV8,😈ANONYMOUS 2😈,8000047,628065,99,28
99,#YQVGRC22,İYİLERİN GÜCÜ😇,8000009,626470,100,12
100,#2C98JUCLG,<c5>BIGBO$$</c>,8000034,625275,101,29
101,#2809Q0R8L,Areg YT,8000037,622987,102,30
102,#29GQVQL0Q,ARM_LIONS🇦🇲✝️,8000045,618420,103,30
103,#Q0JJ08UR,🇦🇲Հայերով🇦🇲,8000006,618138,104,25
104,#29022228C,POISONG,8000036,617289,105,30
105,#29YGLPQUV,T.H.J,8000054,616646,106,30
106,#202CYVPGG,🇦🇲KILLER🇦🇲,8000049,616332,107,28
107,#28P8PYVRY,TOP CLAN ARM,8000035,616032,108,30
108,#2RRGVRJL2,ПАБЛЁНОК,8000037,615052,109,28
109,#2LUVUGJRG,братеки,8000029,610696,110,30
110,#2JJJVLL0R,[Arm]Yerevan,8000023,609718,111,30
111,#29C28VGLC,Academy Dark🏴,8000035,607959,112,30
112,#2LC8P2VC8,√|νєησм 💥,8000057,604126,113,27
113,#29Q890Y0V,MER @NTANIC,8000023,601363,114,29
114,#2QYQ9GLCC,DABLOX,8000057,600069,115,30
