,tag,name,badgeId,trophies,rank,memberCount
0,#2YVG28QG2,Adult League,8000031,1204485,1,30
1,#2988L9CL2,LOS PANETES,8000053,1170875,2,28
2,#QUC0Q289,Легион,8000027,1090911,3,24
3,#29P9G9RQR,Sons Of Greece,8000002,922296,4,14
4,#28CRV8LRJ,кукумберы,8000013,878486,5,30
5,#LVLU0J9Y,الحياهـ❤️.حلوه],8000025,878394,6,30
6,#2YY9GV9GV,YT:Florian BS,8000029,876849,7,30
7,#C8PCC29G,Ðєαтн νєиσм,8000004,859748,8,30
8,#QYUUVQQP,Ro Romania🇷🇴,8000056,795823,9,27
9,#QPYJYR0C,The sami squad,8000014,744391,10,30
10,#29RRCR0PP,Team Swift,8000059,703017,11,30
11,#29QUVJG9C,🌃 Fabir's Team,8000041,687394,12,29
12,#YC8RR8RG,🖤YANLIZLIK🖤,8000058,672460,13,3
13,#29L9JVGLY,مظلومين 😔😔😔,8000059,660428,14,29
14,#2LJY2Q8R9,ЛЕ0Н ИЩЕТ МАТЬ,8000048,654392,15,28
15,#URRL9VGR,lets go,8000023,653419,16,30
16,#G09JQ209,בראולר פגום,8000050,638953,17,30
17,#2QVR22QY2,Asla vazgeçme!!,8000034,637062,18,26
18,#QQC2V9RG,★T▴H▴E▴ G▴A▴N▴G,8000021,633194,19,30
19,#29QJ2VL2P,Los hacer legen,8000059,622461,20,29
20,#22RJRLGR9,OS CAPUDOS,8000007,608446,21,1
21,#LCLJPPR9,🔥PICANȚII🔥😈,8000019,580042,22,8
22,#QP09LYP9,A+,8000029,576250,23,30
23,#20U8QU8VL,ابطال براول,8000049,565338,24,30
24,#9JG09LY8,Nova Ir,8000025,558610,25,18
25,#CYUCCYLU,Russia Brawler,8000029,550187,26,26
26,#2GUP0ULY9,зебр,8000057,539785,27,30
27,#2RVQCQVGG,OP is OP,8000029,537278,28,30
28,#Q989GV9J,مدينة الاصدقاء,8000055,535701,29,30
29,#QGQUPY0P,أساطير العرب,8000005,528876,30,30
30,#9JPGQQUY,I LOVE YOU ❤,8000021,528470,31,29
31,#2QLR08GCP,Pfannenkuchen,8000058,517890,32,29
32,#JYCL988P,bs_hikaye05,8000025,499501,33,1
33,#20L8G98C0,Kocury Bambika,8000021,488467,34,1
34,#LQV8RVQV,hi,8000041,483364,35,30
35,#2G9VY28LG,Эгемберди сила,8000035,477099,36,28
36,#RRPC2U9Q,أسطورة حية,8000035,476410,37,29
37,#209L2RYV8,sand,8000057,474979,38,30
38,#2CR09Y0GV,bs_home,8000047,473601,39,30
39,#C029YJP9,WHITE SHARK,8000000,473584,40,2
40,#2YU0LLCQG,starx,8000006,469826,41,30
41,#QLLVL0VY,👑جلادين👑,8000036,469630,42,20
42,#2C8LGJCCJ,떡잎마을방법대,8000017,463041,43,30
43,#28020UQ9Y,الكويت,8000029,460963,44,29
44,#2222RGV9,ArubaVikings,8000004,460826,45,27
45,#Y8YV0J90,S.O.V.U.N.I.A,8000013,450551,46,14
46,#29JUQPPY,LEON VS SPİKE,8000023,440561,47,28
47,#2RGP0VL2R,까꿍이,8000047,435934,48,30
48,#22J98L8G8,die gewiner,8000036,425593,49,29
49,#2JJYYYG2C,Lubię arbuzy,8000001,424364,50,30
50,#CC28QGUY,<c2>TÜRKİYE</c>,8000029,423171,51,25
51,#QP0RJ9R2,ELIZA.MELIO❤,8000025,421021,52,4
52,#G2P2PGP2,somos catalanes,8000026,413858,53,29
53,#2C8U08JQJ,goferki,8000005,404383,54,29
54,#29RRUC9GU,جيش الاسلام☪️❤️,8000036,403045,55,30
55,#2J2GLLJQG,محطموا العضام,8000003,398716,56,30
56,#2LP0Y9GQC,ใครเล่นเก่งมา,8000055,398515,57,21
57,#2JJCQC9PL,짐승당,8000047,396394,58,30
58,#2YG2P829G,ADALET,8000007,389839,59,13
59,#CGQVQ80U,ÖS LĘGËNDÁRÌØ🍀,8000018,386931,60,2
60,#RYUVY92G,ТОЛЬКО ПАРАМ,8000013,385696,61,29
61,#2CYGUCPJ2,Bratishkin_Top,8000021,385332,62,18
62,#QGJJRL8V,ode.ym,8000032,376468,63,20
63,#JJV9V88J,mart28,8000035,376197,64,30
64,#QV89C9Q,漢寶寶之王,8000023,376150,65,30
65,#LCPP82LP,KARDEŞ MIYIZ ?,8000029,373552,66,29
66,#22CRJRPVV,Timaubinmacher,8000034,372747,67,26
67,#LCGJCQGL,Україна,8000017,372022,68,30
68,#29L0LRU22,👑🥇WINNERS🥇👑,8000025,371728,69,30
69,#2882CU0LU,ГУЛЬ|1000-7,8000029,370824,70,30
70,#2JJUY2R2U,VoBroTik,8000019,368910,71,15
71,#QLL8YLJ2,ESSA LESZEK,8000032,365530,72,28
72,#2CJJV2CYC,니정원 쌍둥이,8000058,363023,73,29
73,#U8UVYL0,أبطال القطيف,8000023,361354,74,29
74,#CPLJJPG0,💖KANKALAR💜,8000025,360787,75,29
75,#29YRPYVCR,THE BEST OF 1,8000059,357723,76,29
76,#29LYPV2LY,FJB,8000040,353221,77,30
77,#2GPG0JQR8,ישראל איתנו בלב,8000013,352115,78,30
78,#29LVL92LG,kupa kasma ligi,8000018,349791,79,25
79,#22PVQ0QQY,YT|π¥Dg,8000029,349701,80,23
80,#2GYGC2VG8,Школяра,8000031,349080,81,30
81,#28GLG0YQJ,GLI IPPOPOTAMI,8000008,343468,82,30
82,#J8R8JYJ2,софия2.0,8000021,343446,83,30
83,#QGVJUJL2,ATUM ENLATADO,8000032,341659,84,29
84,#2JGL2PJ98,حي العطلات,8000007,338487,85,30
85,#VG2UGJJ0,Elite Recruits,8000057,334014,86,23
86,#28Q00QG9P,OLD STARS,8000016,323444,87,29
87,#JC9CPV9Y,Sadece davetle,8000023,321343,88,7
88,#29LGR9Q02,مصمم فينسيوس 🇸,8000023,312144,89,30
89,#Q28QYQ9J,пока тика,8000059,310809,90,26
90,#28VRRVYP2,stx 4F,8000013,307220,91,29
91,#2G082V28Y,proДаня,8000051,306419,92,26
92,#2C00LRUGC,nNablux YT,8000034,301276,93,23
93,#V8G2CR9R,kraloj,8000042,300964,94,26
94,#2CJ20RL2G,POLAKI🔥,8000027,299947,95,17
95,#P80GGU2C,m.m fussball,8000029,299430,96,20
96,#UQ02YGRC,SXB ON TOP,8000033,297089,97,28
97,#2LV2929V0,PAPA FRITA,8000037,295455,98,30
98,#QJJQRGPC,legia,8000025,289866,99,30
99,#CRYQQRC2,Amit Games yt,8000027,289338,100,25
100,#PUVLU9QC,🇺🇦я і ти🇺🇦,8000058,288412,101,30
101,#LC8VJQPR,L !!! LOL,8000029,288157,102,30
102,#2YJUVJRCP,pieski,8000006,284947,103,30
103,#C80UL9V9,роллл,8000023,283001,104,30
104,#28L9PCGU2,REX.TEAM.1Q,8000034,282157,105,30
105,#2LRLR0LLY,A. S. A. L. A,8000049,281745,106,26
106,#C9CGPPVY,(БАН) РОБЗИ,8000029,278976,107,28
107,#2RUCG092G,Мария♡_Star1,8000021,278344,108,30
