,tag,name,badgeId,trophies,rank,memberCount
0,#2LQ02JR8R,<c2>ＬＯＣＫＥＤ</c>,8000023,1684125,1,1
1,#UJYPYJV2,🔥i leggendari,8000037,1082014,2,3
2,#2CLY0RYLY,Pizza|BS,8000029,1032347,3,30
3,#2PGVUYRQR,BRAWL STARS ITA,8000026,940614,4,24
4,#L02URQCV,SUPER AÑA CLUB,8000000,732148,5,30
5,#QQCQLVRG,sbghartberg/güt,8000035,732137,6,24
6,#2RCG2L0Q0,Club #2RCG2L0Q0,8000027,728052,7,30
7,#29PY9LJ0G,(∂ + m) ψ = 0,8000023,686570,8,29
8,#U999JLV,yonkostars,8000029,675288,9,30
9,#VGQV8YL8,SANGE DE LEU😈,8000029,673051,10,2
10,#JYYJQL9Y,ITALY ACADEMY 2,8000029,669076,11,30
11,#L2Y2U0VP,БАЛКОННЫЕ ШНЫРИ,8000013,626847,12,30
12,#V2LU2GR0,💔TOXICIDAD😈,8000029,611331,13,30
13,#2QCLCLRU8,Stream Snipers,8000048,605665,14,30
14,#JQJJUJCG,ITALIA❤️,8000029,571114,15,19
15,#2CRRGQUUQ,TT|Lucky|Bam,8000007,568189,16,30
16,#2R88JV0Y8,Requiem,8000004,567855,17,30
17,#2JPR92RL9,Ratten E Sports,8000057,564322,18,29
18,#208L0CRGC,TÜRKİYE GÜCÜ,8000027,555597,19,12
19,#CCJG802V,Buenas >:D,8000023,552469,20,22
20,#2Q8G0L9G8,6э любимки💕,8000001,510605,21,30
21,#2JVCYUU02,TheyCallMeClan,8000029,490972,22,30
22,#29U9CY0UL,tob x bot,8000025,487496,23,30
23,#2J822JPYC,JUDOUKRAINE,8000009,472518,24,24
24,#288J0C8QY,<c8> POWER</c>,8000041,467717,25,29
25,#2GPQL00RU,die brotbrecher,8000057,467584,26,30
26,#2JGL0U8C2,무원무도관 화이팅!,8000057,463424,27,30
27,#2Q2LJV9VR,Türkiye🇹🇷🇹🇷,8000006,458879,28,28
28,#2CJU8QGPL,포브군단,8000004,422060,29,30
29,#YPJJUPR,Da Pros,8000026,415417,30,30
30,#2GQUU0009,Jlucas,8000057,412509,31,30
31,#2GQJGJQGP,red squid,8000037,403593,32,23
32,#2LPY89LVJ,🐥Nisoş🐥,8000029,395926,33,29
33,#2JYLJPLQL,FAMILIA SAD,8000026,389611,34,18
34,#8GQLRR8R,送愛到荒野,8000031,389194,35,30
35,#2G8YLR2J9,kaleciler,8000059,387665,36,30
36,#PQCQU02,242 champions,8000023,384148,37,30
37,#2LYJLL2JJ,ChristosArmy,8000013,382027,38,29
38,#2C0YUYJ8J,학테,8000003,368211,39,21
39,#2G8RUL9YG,THE DAME,8000049,345385,40,30
40,#2QU09V2PQ,우주를 날아,8000031,344190,41,29
41,#90U9LVJ2,БЛЭТ,8000022,339927,42,24
42,#V02VG8J2,Bienvenue,8000019,337385,43,11
43,#YRUL2PUJ,прошки🥱,8000030,326172,44,30
44,#VUVRJUP2,КОПИЛКА,8000029,325944,45,30
45,#V09LPL82,Kankalar❤,8000025,323356,46,15
46,#Y0U8YU8J,МЭЛ,8000024,320313,47,18
