,tag,name,badgeId,trophies,rank,memberCount
0,#YR2QQV0L,вольт и гейл,8000013,1335652,1,9
1,#22Y0902LC,LetssgoBrandon,8000047,891066,2,30
2,#29VLQR2LQ,Trident Stars,8000018,657790,3,30
3,#22VC9QVR0,Gremliny,8000008,652241,4,30
4,#28Y0YGCLP,ATOM,8000023,616774,5,2
5,#VVUCPUR,246Merkas,8000000,612397,6,30
6,#22UY82U2U,מלכי הבראולרים,8000019,598374,7,24
7,#2CQU2PJUQ,타이거택,8000034,577217,8,30
8,#2JYGJLLPY,Blue Bolts,8000053,535696,9,29
9,#2JJUU2PR8,おぱんこ,8000039,524887,10,29
10,#2J8Y9QUVY,Жесткие Отчимы,8000055,513929,11,30
11,#2CPQLPRJ,火焰王,8000037,511907,12,26
12,#2L08CC88G,Los kardachian,8000039,508316,13,30
13,#LCC9QRCP,Слава Україні,8000049,452102,14,30
14,#CPLVVYYJ,❤AŞK❤,8000029,447969,15,6
15,#2PPVCRQ80,sevgili,8000021,423838,16,21
16,#JYP9R82J,Hauptschüüleeer,8000025,407318,17,23
17,#2YYYU8PU9,Для друзей,8000043,404992,18,30
18,#P998CUQC,Pecora Nera,8000004,396189,19,29
19,#LP8YYC0Q,Turtle Clan,8000002,393839,20,30
20,#2J98C8PL9,Illest Ones👌🏻,8000006,379225,21,30
21,#GYJ00JLQ,LEGENDARY 250,8000035,370305,22,26
22,#LRPRRYR2,sanju6É,8000049,366580,23,30
23,#Q2JYLR0Q,OG,8000004,365122,24,19
24,#2JU0PUCUU,Chaos Crew,8000023,353217,25,30
25,#2RYVQ08P,kankalar😍,8000006,347839,26,1
26,#29LV2QVCV,الاتحاد السعودي,8000029,340284,27,30
27,#Q2PQLJG8,интернете,8000006,336609,28,26
28,#CPQRRUP9,Prudents,8000015,332587,29,22
29,#JQYC0YQP,Lorens family,8000013,323292,30,1
30,#2CP8GQU0J,kozaki z 5a,8000035,322508,31,30
31,#PG80Q8UG,Frostly Boyz,8000055,322007,32,30
32,#2R0QURP8Y,9Б,8000036,321952,33,17
33,#Y8QPG2,MEGA ITALY,8000029,321781,34,17
34,#Q8VG8J0J,有傳奇就是強,8000007,321291,35,28
35,#UL8C9LYU,Minced Chowder,8000004,316921,36,13
36,#29YLCQ920,超牛,8000030,316203,37,30
37,#UYU0PJVJ,asticots-69,8000004,315417,38,22
38,#9LLGCRC,Menacing,8000010,313232,39,14
39,#20Q0VR92,DoubleM#,8000016,307971,40,17
40,#2QRGL2LJY,YBJ/LAZ,8000059,305884,41,18
41,#292Y999PL,CrissFamily❤️,8000018,304083,42,2
42,#9PRVLQ9Y,CALVO!!!,8000007,300751,43,30
43,#2CPCULJ9Y,eatmybaby,8000049,298317,44,30
44,#2C0RQY0CP,Gente Fina [A|J,8000027,297346,45,18
45,#2QPRYLR90,FC LeoN,8000007,295362,46,23
46,#282CGJGQ2,БЕБРЫ,8000037,295213,47,23
47,#29CLRYYC2,6değerli,8000022,295202,48,21
48,#99V8L8,L.E.F.M. Mercs,8000004,292274,49,29
49,#C002P0CQ,"cjcb ,kznm",8000057,289649,50,10
50,#QL8PY9P2,нубики🤪😎🥴,8000049,281465,51,30
51,#UJJVPP0,Club #UJJVPP0,8000017,280810,52,28
52,#2J922G0JP,Club #2J922G0JP,8000035,276039,53,29
53,#298VYLQV8,spring🌸/봄,8000010,273823,54,29
54,#99UVQ2U0,fortino,8000029,269212,55,30
55,#UUYYQ0L2,💗BİZ KNKYIZ💗,8000029,269027,56,3
56,#2YPURYQR9,1000 kilo,8000029,269000,57,2
57,#2QC0LGL2G,The Top Men,8000012,264809,58,29
58,#2QCUPRGGL,спайки,8000013,263996,59,29
59,#22RU0V99L,Bananas Group,8000029,263221,60,17
