,tag,name,badgeId,trophies,rank,memberCount
0,#UVLLLLYQ,Legio X Victrix,8000049,3626344,1,30
1,#2QG2CV9YV,Edelweiss🐙,8000021,3579915,2,1
2,#2QV0RCUC2,Legion Augusta,8000037,3250890,3,29
3,#VL9JLRJ,ILKA GAME,8000014,3129429,4,30
4,#CVYP0VVR,ADVENT,8000059,1917877,5,30
5,#2PYU9JR0Y,TT|LeGenDs|,8000037,1759115,6,6
6,#898292CL,Legion Inferior,8000049,1623419,7,30
7,#299GVL0V2,Legio X Gemina,8000029,1621600,8,29
8,#2GPYYU0VL,Legion Traiana,8000029,1611069,9,29
9,#2GYPL0UUR,Legion Ferrata,8000029,1608492,10,29
10,#8JJPRP2L,Legion Dacia,8000029,1606357,11,29
11,#2PUGVGRJL,Legion I Flavia,8000029,1605518,12,29
12,#2CQGYQVGC,Legio Fretensis,8000029,1603123,13,29
13,#2CLRL9L0L,Mal1nky,8000029,1364528,14,29
14,#2J2J08UQY,Eclipse 🌒,8000018,1351464,15,30
15,#2QURQJCJR,XXXTENTACION,8000023,1347594,16,30
16,#28VVLJ9JG,Brawl Kings,8000021,1340045,17,30
17,#2JCU2JGQ0,TM|Active,8000029,1319799,18,30
18,#29G0CC29V,Bounty Hunters,8000057,1296501,19,30
19,#292JVJYVC,RK|ELITE,8000033,1283075,20,30
20,#2JQJ2YGV8,X|STREAM,8000023,1271104,21,30
21,#R98UUVVL,🌠PaRaDisE🌠,8000046,1267995,22,30
22,#208UGYR0Y,DoZaRi,8000011,1244733,23,30
23,#2JL2JVL2R,°PARADISE°,8000023,1243706,24,29
24,#2CP92RVQR,🌪️TORNADO🌪️,8000031,1234521,25,30
25,#R9PRUP2,Mobile Game,8000029,1232072,26,30
26,#2LRPGYLJR,dungeon master,8000057,1228078,27,30
27,#2QCPGUG0J,🥀Topaz Team🥀,8000029,1227583,28,30
28,#2GU8RJUL8,Legion Claudia,8000029,1221968,29,6
29,#2GGPPQVY0,Жлоб,8000037,1220638,30,30
30,#2R8C82809,INSTIGATORS,8000055,1210885,31,30
31,#Y2JVQ202,Dragons 🐲🖤,8000043,1207276,32,30
32,#2RGPQPJ20,Flame Hurricane,8000029,1200509,33,30
33,#QRR0LVP0,<c7>Elite</c>BY,8000029,1191121,34,26
34,#2C89229YC,Sandstorm🌪,8000017,1183548,35,30
35,#202UQLQ98,Семейка Барлеев,8000043,1182899,36,30
