,tag,name,badgeId,trophies,rank,memberCount
0,#J98YLY8Q,A DREAMS,8000007,1576953,1,29
1,#28L0UUV9L,ЁКАРНЫЙ БАБАЙ🔥,8000023,1391451,2,9
2,#2R09RJRPC,Owion Hydbrids,8000055,1035605,3,29
3,#20UYGCJJY,IR|GANG_HISTORY,8000016,960574,4,3
4,#C2URCG9G,влюбленные,8000023,894473,5,30
5,#2RU9CGVGU,Simulacra,8000037,890461,6,30
6,#2JR22CJPG,Bridge 4,8000029,829837,7,30
7,#YYQJ0L02,Микрочелики,8000013,771970,8,30
8,#2QQU9292U,Midnight Suns,8000037,765276,9,30
9,#292L022JQ,Windrunners,8000031,753428,10,30
10,#20CCJLJ29,KasX |Team,8000023,708793,11,29
11,#2JJJL0U9L,THE 501 PIRATES,8000004,677571,12,22
12,#298PUUG22,Ghostbloods,8000035,619789,13,30
13,#29RVCRCLR,Pilota Plaza,8000048,606899,14,30
14,#CP2VCQC2,KELLE AVCİSİ,8000037,592171,15,30
15,#2G90U2229,Dorf love,8000057,589041,16,28
16,#29JPUQ0VG,TRIBE|CHAOS,8000023,583554,17,29
17,#2RGVPQCG9,beu,8000019,544488,18,30
18,#29YYPGJPY,Los panas :v,8000023,540659,19,18
19,#PQL09YR,TÜRKİYE⭐⭐⭐,8000004,530423,20,13
20,#YYUCYRJJ,Kings OF Poland,8000023,495216,21,23
21,#QVLP0J9P,I MIGLIORI 2❤,8000004,488154,22,1
22,#2JRVPPJCQ,X77X🖤🤍,8000001,485939,23,30
23,#QYGV2J29,준비완료,8000018,480597,24,30
24,#L2C8QY8V,LightningBolts⚡,8000022,473050,25,30
25,#2Q9PY9PVG,W'FasTq,8000037,466647,26,6
26,#2C0JP9PY8,원중,8000029,450455,27,30
27,#2GP2QUP0U,بس للمسلمين,8000047,442312,28,29
28,#PPQ8JVCQ,Русские Ветеран,8000010,398761,29,23
29,#2Q8UUU8CG,Silent Crow😈,8000039,380050,30,14
30,#R0VQ2JLQ,양마왕,8000059,372396,31,30
31,#2JC8VQCPP,동부초,8000004,372024,32,25
32,#2JR2UJY8Y,501_Noobs,8000045,362444,33,30
33,#2L029CQ9,Neon,8000035,356938,34,18
34,#2GGV2UV08,steffo,8000035,356173,35,30
35,#29JVLC0LP,Україна,8000013,354551,36,25
36,#200CCQQYR,Team NxM,8000027,346553,37,17
37,#282J8UYGC,Profi Killer,8000029,346519,38,30
38,#C2CVR0QP,特攻隊長〆Cbotta,8000029,337832,39,30
39,#QV999JU9,SOLO PROS,8000049,337449,40,20
40,#2JQU9C0UL,Fiksau,8000059,337037,41,27
41,#2822VQLRL,LOS INDIJENAS♣,8000025,335914,42,22
42,#20URLVGL9,Best trend😘,8000052,333273,43,30
43,#282P2RL8Y,Russian family,8000011,325150,44,20
44,#2QCG800UP,teammate,8000047,321841,45,30
45,#2Q9ULPJLP,KAWAII | KLAN,8000039,316592,46,26
46,#2PQP20QG,신비아파트,8000043,316166,47,30
47,#202QUVVCY,🔹️GLS|mistic🔹,8000028,313311,48,30
48,#Y08C08RV,보석,8000022,311825,49,30
49,#2GGJUJ90L,Funeral Parlor,8000004,311596,50,30
50,#VL0PQUC9,<c7>SKOOMA</c>,8000035,307037,51,3
51,#UYUUR2Y9,코로나19를 이겨라,8000018,306176,52,30
52,#22P082V,Parakeeted,8000004,305053,53,22
53,#2YP89P0VG,Spartacus,8000037,304305,54,30
54,#2JV8GP88Y,GucciPurple,8000025,302542,55,30
55,#2LUGUJYPG,аргентум,8000047,300991,56,30
56,#2C9YJY8CC,oddly victors,8000039,298893,57,20
57,#28YVYR9LC,ПуТь СиЛы,8000029,298785,58,28
58,#2J80R9PVR,왕갈비 수원is청춘,8000037,298438,59,30
59,#P0JPULP,Resident evil,8000013,294813,60,18
60,#8RU292LQ,Ку-Клукс-Клан,8000029,292841,61,25
61,#2P92JJ0R,KANKALAR,8000000,278228,62,30
62,#PJVPVYVU,дракошки,8000006,277580,63,30
63,#8QUGVQJC,пацаны и мальчи,8000018,276208,64,28
64,#2GPYG2PQ0,잘생긴 자들의 모임,8000023,269866,65,30
65,#22RRJ8U90,Беларусь🥔🇧🇾,8000027,267854,66,18
66,#GG9JPQRQ,Got Play,8000029,262368,67,7
67,#CQ0QCRJC,GLI AMICI CAMER,8000004,261101,68,7
68,#VJVUC2Y0,遊戲王,8000047,259614,69,19
69,#VJGLYV2Q,Belizean Mafia,8000029,255757,70,29
70,#2Q2C8PQYJ,Красный Перец,8000037,255167,71,18
71,#VJ9R2G0L,мы топы😎😎,8000013,252218,72,29
72,#2898LY0JG,гнролш,8000013,252034,73,24
73,#V0JYC9YQ,ЧЕРЕП,8000016,252001,74,22
74,#L08VQRRQ,Secret Gang,8000011,251642,75,18
75,#JL20VLV9,Team Suprime,8000000,249061,76,19
76,#2PCJYCYGU,1_#_1,8000023,246060,77,18
77,#R9QR8GRP,М_А_С_Т_Е_Р,8000029,242887,78,29
78,#C0Y29UVU,YUVA,8000029,239204,79,30
79,#YYYCRCLG,LE COPPE ALTE,8000005,232526,80,30
80,#92LQYV8P,бебра,8000037,230453,81,28
81,#C9YRGR9J,siciliani,8000029,229891,82,30
82,#LRV0LRPR,авы,8000002,229791,83,30
83,#282JLRJR8,Vali lst,8000059,228823,84,30
84,#298C0PLG,os mestres,8000036,224618,85,30
85,#29LPLJ00L,mazandaran,8000033,223255,86,30
86,#2C9J280RP,ППС,8000049,222549,87,15
87,#2JUQPV2RC,les potes,8000048,220753,88,29
88,#2YPUV820Q,teamsters,8000021,219582,89,21
89,#2QQ2CJYP2,JORDAN/\64●《♤》,8000057,218867,90,12
90,#2GPG0LCYJ,Segapalle,8000051,218246,91,30
91,#VJ8R8RQJ,TR-EMPİRE×,8000057,217265,92,12
92,#29L2JQ9P9,Клуб для всех,8000029,216133,93,30
93,#29PRRU0R2,АРБУЗИКСКВАД🍉,8000059,215358,94,30
94,#28CQG2CRC,EraKamu,8000029,215205,95,30
