,tag,name,badgeId,trophies,rank,memberCount
0,#2QP208U0,YOWIS NEVER DIE,8000040,1479752,1,28
1,#2C8LJGU9L,МегаКопилка,8000025,886492,2,30
2,#VRGJJGLY,СУПЕР ТИМА,8000027,881826,3,29
3,#2C99G0C9U,the caos,8000037,784258,4,30
4,#CLLQ0RGJ,❄️ICE❄️STAR™,8000055,757384,5,30
5,#208UJ9RL,Neks,8000055,736345,6,12
6,#2C8Y8U9JJ,Gaspard_19_BS,8000057,665796,7,30
7,#29CRL2LP9,💜KANKALAR💜,8000025,655032,8,3
8,#299GLY9JY,MUSHRMS ✌️❤️,8000025,615459,9,30
9,#2R0JL0YJL,путь нового жет,8000013,596186,10,27
10,#2CG2J8C8V,🇺🇦Ukraine🇺🇦,8000017,554098,11,29
11,#2G2YG2P8L,ICE Star⭐❄️,8000052,545957,12,26
12,#2GQVJ820V,LooT,8000023,526379,13,20
13,#UJ908992,토끼 가족,8000021,500084,14,30
14,#PCYY00JR,Efsane Babalar,8000000,495977,15,23
15,#2G2C0G2CG,🦇TT|Mortis🦇,8000057,479282,16,9
16,#22GY2QLGQ,GOOD CLUB,8000019,450968,17,4
17,#2C9YGVYV8,Barraba🗣️🏴‍☠️,8000029,439078,18,30
18,#2C0LJUY98,круті пісюни,8000043,410046,19,30
19,#28Q9CG8V2,ваз 2114 топ,8000058,408781,20,30
20,#2CP09YL8L,Мегокопилка,8000037,397252,21,30
21,#GYVGPP0P,Star Games,8000019,383840,22,30
22,#GV282QVJ,BOMBACI MULAYIM,8000029,381601,23,30
23,#22PVYQ22V,😈winners😈,8000045,369745,24,27
24,#2Y9JQQUQ9,BREEEEEE,8000035,365685,25,23
25,#298PGV9G2,Bermy,8000049,360862,26,27
26,#2C2P2CGUY,BrawlImperium👑,8000029,352485,27,30
27,#220UJJ2RP,BS|TEAM 💖,8000045,351012,28,28
28,#2CJ2Y8GY0,AQUA,8000052,336218,29,30
29,#2JVGQJG0Y,GlЕБYШЕKteam,8000013,331122,30,30
30,#28CU8J99J,best friends 💞,8000025,325194,31,13
31,#29QRVPG2Y,бс бравл,8000021,323440,32,24
32,#GJQQV88R,arkadaşlar,8000029,321711,33,27
33,#20RJQ8JRJ,Relax Gaming,8000023,306306,34,29
34,#28UPV2PY,пирог,8000035,302031,35,23
35,#2CQQ8CUG2,귀신이다!!,8000057,297002,36,22
36,#9YP9Y02Y,Team Royal,8000029,295919,37,30
37,#29R9VQ9RV,Игровой клуб,8000045,293597,38,23
38,#9YLPUG0Q,지우,8000029,293332,39,28
39,#2R2ULP2VV,iZich,8000037,290339,40,16
40,#2J0GRLYYR,BRAWL KİNG👑,8000029,290256,41,13
41,#29PV9CR9R,Я ЧЕБУРЕК,8000026,289803,42,29
42,#P2RPJPQY,los chingonotes,8000047,282594,43,30
43,#2G0C9GC20,掐你七辣凎（總戰隊）,8000049,279289,44,30
44,#VCRLQ9PQ,хвост леона,8000023,279255,45,26
45,#22RPRJYPR,рты,8000042,273618,46,24
46,#L9UG0LVJ,🖤Бравл_Клуб🖤,8000040,271251,47,27
47,#YRP8GCRQ,4 аклас,8000029,270065,48,29
48,#282VVL2J9,🦆PATINHOS🦆,8000049,267210,49,28
49,#YP2LGYUR,김태훈,8000018,267172,50,27
50,#2C08Y92J0,Masters|Team,8000055,264569,51,9
51,#280U08P2L,cools türkiye,8000037,262915,52,21
52,#2JRQC9UJU,Forza Roma,8000004,262115,53,30
53,#2JJ2CCV2G,La Team TITI,8000039,259832,54,30
