,tag,name,badgeId,trophies,rank,memberCount
0,#UQQGVYGQ,Little and Big,8000021,1348432,1,14
1,#G0209LQU,JoinOfJoinNiet,8000001,1049855,2,1
2,#GU2PP00R,Brawl Stars VIP,8000029,856575,3,30
3,#JP08G2QV,ПОКАЗ СКИНОВ👻,8000057,823317,4,30
4,#2QCJG29RU,Shisener,8000004,763380,5,29
5,#22JLVG09G,AFGM GENESIS,8000007,734330,6,4
6,#P90C2JPP,MIĘDZYBRODZIE B,8000029,685143,7,4
7,#JU2LUVPQ,VURULDUM KALBİM,8000025,679610,8,29
8,#LLQJRYJY,Los campeones,8000057,636337,9,30
9,#2990YLRYC,THT | BEE,8000000,618625,10,30
10,#JLVR8LC2,..ⁿᵉᵉᵈᵧₒᵤヅ,8000002,561630,11,1
11,#2QVQJQ99P,BlingBlitz Team,8000029,546381,12,26
12,#2JV9QUYPU,∂σğ∂υ güηεşιм,8000010,495967,13,4
13,#2CP8PRV2V,3 РЕЙХ,8000009,492293,14,30
14,#Q2PY9PQ,LA PANDILLA LOL,8000002,443717,15,27
15,#PRJR88RR,中級者入ってーーーーー,8000007,438978,16,30
16,#2JYGR02G0,ZETA,8000057,430221,17,22
17,#L8JVRYV8,<c6>Kankam�</c>,8000011,415016,18,12
18,#JG8PJJP8,💔YALAN💔,8000029,414260,19,6
19,#2LCRRGQVQ,LegendBorn?💔,8000029,407870,20,1
20,#JLQLCCVU,💪Prieteni💪,8000059,402084,21,18
21,#2LL8V0Y8Q,EKMEK SPOR,8000023,398258,22,28
22,#GLRPJ2GL,Brawl stars,8000010,382903,23,2
23,#2CJ9U9UYQ,자군단,8000057,381675,24,25
24,#2GGQJCYRG,Night Army,8000059,381548,25,26
25,#L2YLUUYP,ROMANIA,8000018,373879,26,30
26,#2Y2L0V0UU,🏔️Sharp Flame,8000059,365312,27,12
27,#29PCJ9090,Демони,8000004,357982,28,18
28,#QRUV22J9,🍆 🍓 맛 우유,8000021,339508,29,30
29,#2QURU8GLQ,한국 🇰🇷,8000013,326467,30,30
30,#20GQQ0VRL,KIZILELMA,8000008,322794,31,20
31,#2YLP0Q0GU,Toxic Huns,8000023,321299,32,9
32,#2P92JJ0R,KANKALAR,8000000,309386,33,30
33,#28JCUYYV0,lex1v1,8000027,306114,34,30
34,#VJLQ9U0U,BFF,8000058,300033,35,29
35,#QJL0UU0R,OBONENT,8000046,288675,36,30
36,#CVGJ999L,лига лег,8000049,287708,37,30
37,#2G8JPGQQY,Panther310,8000044,287061,38,19
38,#2R8YQ9JQL,Team |Gamers,8000029,277931,39,16
39,#282CUCVJR,ЧЕРНЫЙ ХОХОЛ👒,8000007,275690,40,14
40,#20JYL0L99,統合失調症,8000057,267719,41,30
41,#2JUPYLR09,cookie ninjas,8000052,265990,42,15
42,#8JP2P08C,MUNDO PRO,8000052,262537,43,6
43,#VY0G0CU,DRUK BRAWLERS,8000029,260409,44,29
44,#8G8GVUYP,morte aos BIBI,8000008,256247,45,28
45,#Y99RV8VG,Ворон,8000035,250265,46,30
46,#CQ9R09YR,KİZLAR😜🌈,8000010,249760,47,21
47,#UJP9Y8VQ,ヒカリアレ.HiQ,8000029,245483,48,30
48,#2JP80QYQY,7г 💛Brawl Star,8000029,244374,49,15
49,#LJQ20VGR,Королевство Che,8000049,243506,50,30
50,#22U99V2JG,Cl_Clash,8000018,241790,51,27
51,#2CGG8PC82,사려,8000058,236253,52,25
52,#2CRURLR0P,БОКС ОБЪЕДИНЯЕТ,8000037,234087,53,29
53,#2C0UP22Y2,VIP ELITY Z 7A,8000059,231194,54,18
54,#2GPRY9J0V,♡모티스♡,8000025,230531,55,30
55,#2J0VRCYL,잘하는팀,8000003,230291,56,29
56,#RL2GC0VV,@die##8473+gang,8000007,229611,57,29
57,#2LJU22LCL,30 РАНГ ВОРОН,8000050,228521,58,25
58,#2C9QR2U9L,Brawl Army,8000007,227522,59,12
59,#8GGPCGV9,PAGO P.O,8000017,223987,60,19
60,#2R98PLVRP,ᕙ(⇀‸↼‶)ᕗ,8000034,223864,61,15
61,#292QCRCC8,faer😈,8000049,220967,62,17
62,#2PRY90JRJ,גוונים המלכים,8000021,220335,63,29
63,#2JRVY8UGG,양희훈천재바보,8000010,217608,64,27
64,#2C0YYR2C9,나닛 클럽,8000013,217575,65,30
65,#RVU88RYR,Мы все киллеры,8000007,216344,66,24
66,#2090C2CGU,gayboys,8000035,214877,67,19
67,#PJVQ0QLQ,Bucka Lakók,8000019,214014,68,30
68,#2J9Y8QYJ,Дима про hfieie,8000057,211012,69,27
69,#PGUQCP9G,AŞK,8000037,210792,70,30
70,#C0YRGQR8,냠씨 가문,8000059,210135,71,29
71,#2LLYR2LYP,телепузики,8000059,204841,72,25
72,#2PYQV0Y0Q,BebraTeam,8000059,204542,73,11
73,#QRPQV8G,metanle zubis,8000000,204263,74,26
74,#2PCCCCJQJ,miska na stul,8000050,203853,75,30
75,#PJ8QUPUR,Kings Forever,8000006,203125,76,2
76,#80JP9Y0Q,악마,8000007,202534,77,28
77,#L2LC8PQG,世界最弱をなめるなよ,8000050,201932,78,30
78,#UQJU2Y9C,KoDi Gang,8000027,198527,79,21
79,#2C92J9JG8,이지구에 있는사람만들어오셈,8000056,197984,80,19
80,#LVLR2U2L,НОМИР-1,8000029,197053,81,20
81,#2LPL2UP0J,МИНИ ИГРЫ,8000059,196958,82,22
82,#JU2U2L2P,кинжал,8000029,196721,83,21
83,#28YGJPYGY,extra klan,8000027,194057,84,30
84,#2GULCUGLP,정말 멋진 친구들,8000039,193196,85,30
85,#8P80RUUU,GOD:STAR SQUAD,8000041,192778,86,30
86,#2LGLPGCLR,DARCS 81,8000029,192093,87,30
87,#Q9UCU2Y8,GEZI PARKI,8000034,191744,88,10
88,#2PQ0V8V20,sgravo,8000017,191599,89,13
89,#20CJUGLQC,СПАЙКУШЫ,8000025,191277,90,30
90,#2J9CGCYQL,zxc dead man,8000004,190502,91,10
91,#VYYPYV8G,про здесь,8000029,188786,92,29
92,#QRQG2V02,ДЕНЬГАМИ,8000022,188667,93,30
93,#2YVRCRRLL,5yago,8000027,187834,94,23
94,#LGVGV8Y0,סססס,8000029,185567,95,23
95,#Y8QJGC82,루가족 가문,8000032,185394,96,22
96,#LQGGGYY2,ПРАЙД Львов👊💪,8000054,185357,97,28
97,#CQV2LR9Y,Казахстан 🇰🇿,8000027,185204,98,30
98,#YUYYG8J9,МСТИТЕЛИ,8000018,184819,99,14
99,#P8VR0VV8,мы топы,8000053,184667,100,21
100,#9CYL2YQ,Smilek,8000029,183543,101,2
101,#P2R2UJC2,цтвлч,8000006,182418,102,26
102,#229RYRVP0,футболисты,8000023,182290,103,28
103,#28CLYYCVJ,Los Humildes,8000035,181876,104,30
104,#VGGPPU9J,CORONA,8000004,180307,105,10
105,#JLVVCPQP,Друзі на завжди,8000025,179837,106,22
106,#2PUV2LJJU,짬뽕이와짜장이 드루와,8000000,178802,107,25
107,#2PP8QYJJP,BOSNA KENT SİTE,8000059,177548,108,27
108,#299GJ2Q8P,Крутые,8000059,175809,109,30
109,#L8G200RJ,За СССР,8000037,175706,110,30
110,#28RQ2082Y,хщй,8000010,174282,111,16
111,#YJ28C09Y,Отряд Бомжей,8000013,172904,112,23
112,#QYY0CYPQ,搞笑界扛霸子丨待到菊花爛漫時,8000057,171046,113,17
113,#VUCJG80R,МАДАРА УЧИХА,8000053,170393,114,29
114,#CGCR9RL9,A Few God Home,8000056,170293,115,27
115,#CC0UPJRL,Beste,8000056,168398,116,28
116,#UGYQ2YU0,team argan,8000000,168354,117,28
117,#V9GJGVGU,луд,8000006,166334,118,26
118,#2J80YQP89,로쿤이돈,8000041,166107,119,30
119,#2CJ8PRGG0,Brawl Army,8000037,165105,120,16
120,#2R0QQL9L0,별이준,8000049,165014,121,29
121,#288RVPR22,인싸 인싸 핵인싸,8000059,163396,122,26
122,#2LC80UCR0,только топы,8000049,160829,123,9
123,#2900CLL8,plis,8000019,160795,124,24
124,#2GYLPYCY2,АпМегаКопилки❤️,8000037,160641,125,9
125,#2YGVRUV0R,Team Peru,8000059,160033,126,29
126,#2CG9PVLUV,춘자게이,8000048,158787,127,15
127,#CQCJGUC0,noko тим,8000023,158571,128,28
