,tag,name,badgeId,trophies,rank,memberCount
0,#29PP2RPQR,<c5>MARVEL</c>,8000055,3004068,1,30
1,#G980GUJY,CLAN (-F-),8000018,1521188,2,30
2,#92LRQ,X-Force Bolivia,8000037,1505445,3,30
3,#8828P9L0,Team GV,8000029,1499931,4,30
4,#G0PR8GQ2,»Bubble♡Gum«,8000010,1436563,5,30
5,#VJ0PR90U,<c4>OMEGA X</c>,8000033,1399930,6,30
6,#2RQCQJVJG,LEGENDS DREAMS,8000037,1345641,7,30
7,#2Y0G0JPPV,★ʙᴏʟɪᴠɪᴀˢᵗᵃʳˢ★,8000018,1319985,8,29
8,#2JYJ8U8V8,Serviron,8000059,1317894,9,30
9,#2GYQUJCPV,Imperio LatamGG,8000029,1308239,10,30
10,#2R9UG29VC,A-B-C-D,8000057,1307341,11,30
11,#2YV2GJL8J,THE BURNING ICE,8000059,1265482,12,30
12,#229RGPPGG,Club de Amigos,8000013,1255755,13,30
13,#2GJ9CCLUG,"SCZ_BRAWL""B""",8000045,1231551,14,30
14,#2GPQVYQ90,TheDead,8000008,1210757,15,30
15,#2YYU0GL,SCZ_BRAWL,8000043,1206535,16,30
16,#28JYU2CYJ,X-Force Latin,8000025,1206072,17,30
17,#2LR0V8RCP,AutoFireGod's™,8000059,1202334,18,30
18,#V9RYR80,☆LatinosDeath☆,8000023,1185869,19,30
19,#2JVUUJU8R,NETS GAMING,8000025,1166037,20,30
20,#2QUYUCUYL,ωø͢͢͢lf†eaϻ🐺,8000000,1153548,21,30
21,#8VJRLC,Os brawls,8000019,1144969,22,26
22,#28GGJYQRP,AJAR MM,8000039,1139603,23,30
23,#28GUUR0YP,Team RG🐲,8000049,1138829,24,27
24,#2L29L982Q,god lag,8000056,1135207,25,30
25,#20GGC2VV0,the best,8000037,1130987,26,30
26,#YRJ2RCCJ,ClanDrek🔰,8000048,1128692,27,30
27,#200G2UJVY,Brotherhood X,8000037,1127550,28,28
28,#9LPLJY,Team X Force,8000029,1127104,29,30
29,#22Q8Q082J,<c9>WeaponX</c>,8000004,1122942,30,30
30,#2YUYVRUU9,TESELIA,8000043,1121477,31,30
31,#2R9Q88V,OHANA.BRAWL.BO,8000034,1099341,32,30
32,#2CLQPPJ88,LA TRIFECTA,8000035,1084429,33,30
33,#2PUV09VJP,el campeon,8000029,1057397,34,30
34,#29YVRQYRU,LA GRAN MANADA,8000021,1055322,35,29
35,#2QRLLJUYG,LEYENDAS🔱⚡️,8000025,1055178,36,30
36,#22CCPGLJV,SANGRE NUEVA,8000037,1053572,37,30
37,#LUJ22Y,CABRALANDIA,8000029,1046249,38,30
38,#VUU88RJ,50 legendarios,8000023,1035788,39,30
39,#LLRJP8C8,Lobo gelido,8000059,1032618,40,30
40,#2JLLU2UC8,LATAM,8000029,1030859,41,30
