,tag,name,badgeId,trophies,rank,memberCount
0,#2L02RGUCG,NewHorizon🥀,8000006,1833717,1,27
1,#2L2UQ2LR8,бравл мини игры,8000056,1125101,2,29
2,#22CV8RJ8L,CZ/SK GAMERS,8000018,947166,3,11
3,#GYG0CUV2,EMANUEL🙏❤,8000025,759807,4,2
4,#28YJ0PJRU,The Tropics,8000055,740056,5,30
5,#QQUGRPPQ,los PatotaHeros,8000039,696854,6,4
6,#CGL28LP8,Zehir,8000012,641245,7,1
7,#PR0U20Q0,птичий стояк,8000022,589298,8,27
8,#CUUP8RGU,✨❤️KANKALAR❤️✨,8000023,560790,9,3
9,#29QLYLV02,Only_real GaNgS,8000057,551032,10,28
10,#2CRJLR88R,Hanghwa가버렷,8000034,538017,11,30
11,#2CJCCVYRU,THE BRAWL BOYS,8000047,533174,12,30
12,#29QP8J00Y,Time for 60K,8000030,497647,13,30
13,#29GQ920J2,HL Brawlers,8000046,496300,14,30
14,#2YQ22Q9R2,dlack,8000029,487300,15,22
15,#2C0RYJRPG,나니군단,8000053,482709,16,30
16,#2RQQCCJQ0,вован и валерон,8000005,462000,17,30
17,#2GGGVV8L0,Günay,8000023,439565,18,28
18,#2YQCR8G2,nubs,8000021,433869,19,30
19,#RLG208R2,Die o Freunde,8000041,417899,20,30
20,#28PLUP8JU,Way Too OP,8000003,417654,21,21
21,#29LCYYVJU,~ 🧼🌟~,8000018,415957,22,1
22,#2QQQLV9U2,de groene noob2,8000043,413161,23,30
23,#CY9UCJQP,TEŞKİLAT☠️🇹🇷,8000021,404256,24,30
24,#28J0G2Q08,Ukrainian Team,8000021,385021,25,9
25,#2J0QL82L2,Do U Xavier?,8000006,370973,26,24
26,#2Y8R8U2U0,конюшня,8000014,367280,27,27
27,#2LG89LQG0,Дрим.,8000004,358147,28,30
28,#YLLLQL,Popodo,8000018,357996,29,30
29,#2GPPY2RCL,ישראל🇮🇱🇮🇱,8000021,349083,30,30
30,#298YCU0Q8,bk dokeys,8000027,343322,31,30
31,#2C28CVUYJ,Короли силовой,8000008,335693,32,30
32,#2R2ULUP2,patat&saus,8000037,331778,33,29
33,#2YCVV9Q28,DE PUSHERS,8000004,322197,34,30
34,#QQPPJ28C,KÜRD❤️TÜRK,8000059,321392,35,15
35,#J0C2PGYJ,haki gaciora,8000009,313734,36,27
36,#YYQR2UUJ,boefjes,8000025,304122,37,30
37,#2LQQG0VUJ,челы👀,8000059,293504,38,30
38,#V0UJC99Y,топ лучших,8000029,290946,39,25
39,#U8PVQ8CV,heemskerkjes,8000046,288569,40,27
40,#YU8V9R9,MuchDank,8000013,278879,41,29
41,#2PQPJL9J8,Жижный амогус,8000013,276499,42,27
42,#GQGL2G29,Brawl stars,8000005,273634,43,28
43,#2G29JQ99U,andris ATG YT,8000045,272221,44,30
44,#2Q99LR0Y9,gewoon kaasje,8000005,268746,45,30
45,#809Q0LQP,ARISTOCRATS,8000027,268148,46,14
46,#JPVYP98J,опасная зона,8000004,267791,47,26
47,#2CLULYGQV,QR7,8000021,264450,48,27
48,#2YRP88U0U,Akif is kaster,8000019,261603,49,22
49,#2GVVU2UVG,De gang,8000037,261274,50,26
50,#2YV2PY0JQ,지환이,8000018,259582,51,30
51,#2RVLGRLG2,the_homies,8000037,259382,52,30
52,#VU02CYVR,Смешарики,8000006,256322,53,30
53,#2G9VR8CR0,ANTI-Teamers 😡,8000004,254625,54,30
54,#2QJ9YLCG,ГЕЙ(М) КЛУБ,8000047,254578,55,14
55,#PL8LVV9L,huisboys,8000034,249899,56,22
56,#2Y9G8JPQ9,de legendary's,8000007,249347,57,25
57,#2QJJL082,tyazity clan,8000059,248968,58,22
58,#2RYYRLCC8,Никита Мазепин,8000025,247740,59,21
59,#L90CQGG0,スポーツ大好きマン,8000004,246603,60,30
60,#9JGLQGJP,LA LEGIÓN,8000027,244507,61,30
61,#2QVCJYC0Y,GHOST TEAM,8000052,241760,62,25
62,#2CJ0PRJU2,축구,8000000,240071,63,17
63,#2G9CR89LL,Die Killerherde,8000055,239653,64,30
64,#2JLG29VLQ,TTV_CLUB,8000055,238581,65,13
65,#CGR088UC,Super Guillem,8000033,236118,66,29
66,#2989P9Y8U,YBJ/LAZ,8000058,234961,67,16
67,#222C0J992,KRALLAR,8000029,234019,68,28
68,#2GCU09RVQ,Klin,8000045,232257,69,10
69,#2CYQ80CC2,opas gang,8000020,230880,70,27
