,tag,name,badgeId,trophies,rank,memberCount
0,#CVQRL909,Rɛʋʊʟαȶɨօռ,8000018,2446152,1,8
1,#2GUP9QG9P,Bosnian Legends,8000059,1498626,2,30
2,#20GG9VVRJ,Banjaluka II,8000059,1194029,3,30
3,#Y0PYVQ2C,BALKAN V.I.P.,8000029,1120685,4,30
4,#JPVQYRVJ,‡Zhidos_Ozy‡,8000031,1110586,5,30
5,#2GQVUYVJG,BosnianLegends2,8000037,1096907,6,29
6,#2QCRGYJ8U,Ledeni Balkan,8000027,1084431,7,30
7,#JJYR9YCV,Pro Kajmacenje,8000044,1062794,8,30
8,#29PY8P2QJ,HCX,8000001,1048214,9,29
9,#2G0JQ022G,GoldCodeMythic,8000029,1012061,10,30
10,#28RP0Y0UC,Šmekeri,8000029,1008398,11,30
11,#2JLJ9YJL2,Lisice,8000016,1001414,12,30
12,#28GG9CR0L,Balkan Brawl,8000059,995203,13,28
13,#2GU9RU2G9,BosnianLegends3,8000049,970433,14,30
14,#2RRY80CL2,$BiH$Soldier'$,8000033,969210,15,30
15,#29V0PVCPJ,Noobovi,8000005,954930,16,30
16,#2GL0GY2U0,BosnianLegends4,8000018,953624,17,29
17,#2RJVUJCYY,Clan Lions,8000055,933451,18,30
18,#2C0JQGVCL,BALKAN KINGDOM,8000059,919951,19,30
19,#2GQQVPGYJ,Bosnian Kingdom,8000055,915773,20,30
20,#PCYC2YUP,Balkaton,8000029,885327,21,29
21,#2C2U8VVLY,7star CLUB,8000052,866688,22,28
22,#2JCVY8P2Y,Bosnia Team⚜️💙,8000033,856031,23,28
23,#2CLLR0RYC,TEAM ISMVR,8000025,853903,24,28
24,#L8RUGP92,freze legends,8000057,847926,25,29
25,#GYG0CUV2,EMANUEL🙏❤,8000025,843931,26,2
26,#2Q9YQULVC,BakarGang™,8000021,817000,27,30
27,#2CGJG9082,BALKAN,8000015,808910,28,30
28,#2CRJV2R2C,KLADUSCANI,8000007,807686,29,30
29,#2C8CV00JP,Zmajevi Bosne,8000033,806925,30,30
30,#2G2CV02JJ,NewEstars,8000039,803139,31,30
31,#2GYG008Y0,AKAT,8000019,792656,32,30
32,#GQPRJ00Y,KLAN BALKANACA,8000019,790819,33,29
33,#2CJ0Q222U,Kladžani,8000050,789760,34,30
34,#2RGJ8GUV0,DRUSTVO BJELAVE,8000029,787528,35,30
35,#28UVP0Q28,Balkan Kingdomシ,8000029,778759,36,30
36,#2RLCQYVQP,"SU,Re",8000059,777874,37,24
37,#92YJUPJQ,GLI SBANUNATI,8000018,773263,38,30
38,#29YGJ0J0R,Brawl Colosseum,8000019,770583,39,30
39,#2JQC00PJ,BiH Brawlers,8000008,765897,40,30
40,#2GUC9LQRQ,🔥TheMadHouse🔥,8000034,759517,41,30
41,#29QVP9JQ0,Banja Luka,8000020,753439,42,30
42,#2QQC88PJ8,Balkan Kingdom,8000037,749103,43,30
43,#2LPPQ8GRQ,NoĐani No Party,8000038,746513,44,30
44,#2G00QPJ2L,Daunov sindrom,8000050,740091,45,30
45,#2J92UVG8V,TROVO NAD1R_,8000037,739815,46,30
46,#QRY0YRR2,Cobra Kai,8000037,730897,47,28
47,#UY9V02J2,Zlotvori,8000013,727853,48,30
48,#29R9LQPP9,MT E-SPORTS,8000055,721698,49,23
49,#CJGVVCRY,BALKAN IS BEST,8000005,718334,50,30
50,#2RYV9GR22,SINALCO 69,8000004,717505,51,30
51,#8822L8VR,Banjaluka,8000059,711250,52,30
52,#29RYUL8YG,MAFIA DRAGASANI,8000023,684875,53,30
53,#PL2YUGJJ,Burek s Mesom,8000049,684203,54,30
54,#9RPPJ0YC,BiH army,8000003,684190,55,29
55,#2CL20CLU2,MANIJACI,8000029,677341,56,29
56,#29PR8J0Q2,Niger,8000045,675433,57,30
57,#2RRRPC8UR,Kamosete,8000031,671239,58,30
58,#2JUPJ2JRL,sarajevo,8000000,667255,59,30
59,#2QU8PYGP,BracalskaArmija,8000012,664068,60,30
60,#2GY8CRCGG,GSF,8000027,659817,61,30
61,#2QRYGPRU2,Bosanci,8000057,656396,62,30
62,#2CL2LL0GR,Bad Boys,8000037,655804,63,30
63,#RQ9LP2L,DemonsLoL,8000008,648919,64,30
64,#2L2JRUPVC,Labyrinth,8000037,646603,65,18
65,#QQY9LJYC,NPC kraljevi,8000048,646221,66,30
66,#2JVVUJ0G0,dzigi forever,8000046,641228,67,30
67,#222YJLLLJ,قهرمانان,8000007,640954,68,28
68,#29GQU2R2G,KFCgang2,8000033,638180,69,30
69,#28GLV8QP8,LMAO,8000023,636344,70,30
70,#CCQLVY8G,😎⚡KULERI⚡😎,8000037,635502,71,29
71,#2C9L9JP2P,Bosnian Flops,8000053,631037,72,30
72,#PVV29RYR,tajfuny,8000059,630374,73,29
73,#2C0JCQ9VQ,Serenity UK,8000049,625703,74,30
74,#8RRGJU2V,guta,8000037,624269,75,30
75,#2RV8CLC2G,gg4lifebaby,8000039,621621,76,30
76,#2C92RG9PV,REGIJA-BIRAČ,8000021,608554,77,30
77,#292U80J00,Toxic Banditos,8000050,607829,78,30
78,#CGUQPGJJ,Arminjo YX CLUB,8000049,606231,79,28
79,#2GJ0GGVYL,Balkan Brawl,8000059,603700,80,29
80,#P0VPQGPG,PENYX,8000023,599331,81,25
81,#Y2YUCLCG,zutafasada,8000029,587906,82,30
82,#2C8J80RPL,NAJBOLJA BRACA,8000006,584603,83,28
83,#2C8QRUPCR,Pižini Robovi,8000047,581216,84,30
84,#PQL09YR,TÜRKİYE⭐⭐⭐,8000004,580767,85,13
85,#C02RCRLP,BIH KRALJEVI,8000019,578253,86,30
86,#G9VQUCQ9,onomoje,8000029,577775,87,30
87,#29Y022GQC,isimsizler,8000024,576338,88,30
88,#LP0U9RYP,amigos para s,8000029,572944,89,27
89,#2JG29029R,Sarma,8000059,572422,90,30
90,#2CGCR090C,Bosna,8000002,569753,91,29
91,#VJRR2R0R,good game,8000059,564984,92,30
92,#29GGRLURP,Kita Labarani,8000022,558460,93,30
93,#2G8R20QPJ,JEBI MAME,8000031,557673,94,30
94,#29G89VJCQ,MINIONSI,8000023,552853,95,30
95,#29QCULLRJ,BiH|Kings,8000055,552522,96,30
96,#2L00VJJLR,💮Đřağøñ💮,8000019,550632,97,3
97,#GRL92GRY,PRVI U BIH,8000018,550188,98,28
98,#20YRQVYL9,Juha bez juhe,8000059,549579,99,30
99,#2PY9PPY9J,SARAJEVO,8000025,548489,100,27
100,#UJ28UJ,PINAS PRIME,8000004,545866,101,30
101,#2GGQ2JPJG,Banjaluka,8000021,545470,102,23
102,#QRVQ2PVJ,Killing machine,8000007,542904,103,30
103,#29PJLCVJC,Navlaka,8000059,542178,104,27
104,#2YCU2Y829,OP,8000059,534151,105,30
105,#2CG9Y90QV,Legendice,8000004,533140,106,30
106,#LJ9JV002,KILLER,8000004,524869,107,30
107,#2GP8YUYRJ,CEDEVITA,8000000,516656,108,30
108,#2GU0PYJRR,PSG CUP,8000037,514939,109,30
109,#PQLP9PC2,Hrasnicka cvaja,8000029,513924,110,30
110,#2RJ08JCPU,Not Again,8000012,512711,111,30
111,#2R22PGL0,Banja Luka,8000013,511954,112,30
112,#9CGLQ0G0,Toxic Leaders,8000059,511352,113,23
113,#2JYYP8QL0,G2 najjaca,8000029,504307,114,29
114,#2R989P8QU,kitalol,8000009,503881,115,30
115,#29P2PLLJ2,RAJA BOSANSKA,8000056,503277,116,30
116,#L9GR80YR,Balkan stars,8000004,503058,117,30
117,#2C2YRV9UP,Bosna u srcu,8000029,502249,118,30
118,#Q92G8QUR,BOSNIAN HEROES,8000014,500014,119,29
119,#VU800LPL,🩲🩲🩲🩲🩲,8000039,494902,120,25
120,#22V9PCQP,Bosnia Kingdom,8000055,494884,121,29
121,#PUYVCY2C,Livno,8000037,492951,122,28
122,#2GY80YPQ8,HERCEGOVINA,8000059,492249,123,30
123,#28GYCU2J2,BalkanGang,8000029,491021,124,28
124,#LL802G02,Picke xd,8000055,490147,125,30
125,#28CLJYUUQ,SASTANAK BUDALA,8000055,486550,126,30
126,#QJ0PJ9LJ,ꕤ✟ꕤ,8000057,485348,127,30
127,#2JCQGVPPP,Zenički,8000012,482058,128,30
128,#29QU20G8G,Legende,8000047,481913,129,30
129,#2JVVVVU22,Again Kill You,8000010,481491,130,29
130,#GUGVVGVQ,하쿠나마타타,8000008,481225,131,2
131,#2C8VVQ8Y0,TEKBIR,8000059,480688,132,30
132,#2LCVJG0RV,ludi pilići,8000017,473885,133,30
133,#CVVJQ8VR,GAMERY,8000021,472131,134,30
134,#QJ209P02,MEGA PIG,8000029,471264,135,30
135,#2JJJGLCJ0,LENDÁRIOS 🐊,8000023,468452,136,24
136,#PLV0VJ8P,LJUDINE,8000031,468248,137,30
137,#299LRCQVJ,NightBar,8000059,467135,138,26
138,#RCJQJYC8,Nevesinjci,8000023,465180,139,28
139,#UR9RYQU8,~™KİLLER™~,8000029,463130,140,5
140,#9C8LC89Q,Wir sind Fisch,8000044,460219,141,30
141,#29UVYR90U,клуб влюбленых,8000025,460094,142,30
142,#QJYRPG99,Sáhara kebab,8000019,457247,143,29
143,#29C09808G,Ende,8000017,456929,144,30
144,#29RG9QLRY,free palestinci,8000016,456406,145,27
145,#L8C00CRU,Anime Gang 👻,8000025,455929,146,30
146,#29JPY2PG2,Balkan Brawlers,8000029,453605,147,30
147,#RG0VRPPY,❤🐼Panda❤🐼,8000023,451963,148,6
148,#2VYV22C0,StefanTV Club,8000007,451783,149,21
149,#2C2CUQQR8,Timm1000,8000003,451703,150,30
150,#JC2JCQJQ,Prieteni mei,8000029,451009,151,10
151,#V8LPQ9PR,Ludi balkanci😜,8000053,445118,152,30
152,#L9LVJV8V,balkan,8000049,443298,153,30
153,#PP8LGJJG,kinder pinguin,8000029,441783,154,30
154,#2CP9UPYG8,Kings,8000023,439692,155,30
155,#PVQY2L0L,Novi Miljanovci,8000016,439204,156,28
156,#29GP8RRJV,LETO NOVI,8000027,438856,157,28
157,#2Y0JQRV2,LOSA-PRELOSA,8000015,437001,158,29
158,#28LPGRYPL,BOSNATORI,8000049,434841,159,30
159,#2C2PPQYUY,mehatronika,8000027,434268,160,25
160,#2RCCGGJP0,GG Balkan,8000045,432635,161,30
161,#U2CR809U,RAKIJA,8000029,431536,162,30
162,#29U8QV8GJ,Bosnian Bros,8000023,430946,163,29
163,#2CJPVPLJ,3koArmy,8000048,429586,164,26
164,#29RLJUY00,ZMAJEVI,8000003,429518,165,24
165,#PRYQ8RC8,FBiH,8000000,428937,166,28
166,#2C0VCLYYR,Batković,8000029,428315,167,30
167,#URL9C2VP,Balkan,8000029,428010,168,29
168,#UGJLYLVQ,Fayz,8000015,424734,169,21
169,#29GRRU2VV,SUPCI RG,8000043,424351,170,30
170,#2G9R9YL0V,Stroja,8000027,422183,171,30
171,#VJPUJ0CL,BIH,8000029,421526,172,30
172,#20GL22YP9,Amkokomerc,8000055,421449,173,29
173,#VR9UVVU8,BosnianWarriors,8000027,421255,174,29
174,#L9LPQ89R,Balkan Band,8000004,420102,175,30
175,#QJQVL8L0,Prospekti,8000034,417630,176,30
176,#PQLV280J,Darryl's Club,8000036,416785,177,30
177,#YRV999PG,прошники,8000010,415125,178,22
178,#YYQYYJ2,BALKAN STARS,8000037,414946,179,23
179,#2JGLV9CQ0,we ballin xd,8000033,412984,180,24
180,#2CP8Q00YC,Hadalji 🇧🇦,8000006,412356,181,30
181,#2GUYVQ20P,😈Gang Goenen😈,8000041,410595,182,4
182,#2C9GR2PQL,BosnianLegends5,8000023,409612,183,29
183,#2P0YUY2RQ,PINPEX,8000057,407460,184,30
184,#20P29Y0LU,GG|burazeri,8000046,406907,185,30
185,#2CRQRQ9PC,Dg Balkan,8000019,403288,186,29
186,#2G9PYYQRG,Balkan Legue,8000036,402367,187,30
187,#2PYUYJ20G,ribarska,8000007,397689,188,30
188,#JJJGCRR9,🇧🇦BOSNJE🇧🇦,8000021,396121,189,30
189,#28Y2LQRCJ,Team ㄗ乇ㄗ丨れ口丂,8000037,395775,190,30
190,#LLRU8GQQ,Wisstaa,8000057,394266,191,30
191,#20G9Y8GRJ,DEBELA GUMA,8000004,392541,192,30
192,#8L289PYG,MAFIA GAMERS,8000006,392418,193,19
193,#2G2JRLRYP,The Brawl Crew,8000013,391268,194,30
194,#20VYG0UVV,Balkan Gods,8000055,389880,195,29
