,tag,name,badgeId,trophies,rank,memberCount
0,#JQ2CVU9G,Śpiochy Sandy™,8000027,1470261,1,14
1,#22LJYCJQ8,Rassismus=Nein,8000017,988464,2,13
2,#2Q0RJ2PP,SDRAG GANG [S7],8000052,977174,3,1
3,#2PGL8U00U,SEVİLMEDİKii😭,8000048,796491,4,2
4,#2LYQP9VY0,대한민국 만세,8000046,789366,5,26
5,#JC2JCQJQ,Prieteni mei,8000029,747205,6,10
6,#QJRRQQY8,大家都要來我的戰隊,8000023,733333,7,29
7,#2QVJR20PU,♨️444|SYBLUS♨️,8000023,712703,8,30
8,#2GVRRRLPG,ヒマナッツサブの部屋,8000057,700450,9,30
9,#2JJY8YUP9,Deutschland,8000059,657875,10,29
10,#28RUVLP8P,*SkWeR*,8000036,632253,11,30
11,#280YJ2VQQ,Diablillos 😈,8000014,552241,12,30
12,#RV28G80Y,klub dla pro,8000029,477321,13,29
13,#2YJG9UG82,Sano,8000023,437113,14,19
14,#29GRR2C00,DOSTLAR,8000045,421011,15,29
15,#2P88QRY0L,Team Onyx,8000018,371542,16,7
16,#22PQ9GGL9,SF|clan cthulu,8000022,364814,17,26
17,#2GYPRQPCR,LOSPANITAS012,8000057,362996,18,24
18,#2L0J2LJP9,어으으아어,8000037,360586,19,30
19,#2GLU8ULU2,PAPERDOSU,8000057,351236,20,30
20,#2G8YCGQG,휴게소,8000000,336209,21,30
21,#22QVPP0PR,НОРМАЛЬНЫЕ ЛЮДИ,8000002,332646,22,5
22,#99ULY0LY,contra debochad,8000004,324774,23,26
23,#2JY9CUGUR,EXire,8000001,323827,24,20
24,#8C9Q9QVU,butifarra.cat,8000024,323213,25,26
25,#G29L8YRC,крутой гоша,8000035,318124,26,24
26,#JUU0PVV0,NaBo,8000021,315841,27,25
27,#2P92JJ0R,KANKALAR,8000000,309386,28,30
28,#292PVUQ0L,아무나 2기,8000033,307823,29,29
29,#2JGRVYL8Y,LEGENDA_Team👑,8000049,304449,30,30
30,#2GLJ8PQQ8,@gro085,8000050,300787,31,17
31,#8JLQU8UL,modesto isidoro,8000023,293993,32,18
32,#29882J02G,Bloodhound SSC,8000037,289963,33,28
33,#99UPVJ2U,фанклуб фреджа,8000025,289909,34,17
34,#29CQQPU9U,왕가 탕후루,8000046,289254,35,30
35,#LU8VCUG0,Україна,8000032,286067,36,23
36,#2R8J29V82,топ4иКи😎👎,8000037,281624,37,29
37,#290220GRQ,укр топ,8000004,275209,38,23
38,#29RJLPG8J,Bot ♾,8000028,265359,39,30
39,#QYRLL890,камыши,8000014,262549,40,29
40,#UQ20GL2R,макс лол,8000023,262199,41,30
41,#U2PJ8RYJ,LES GEEK,8000029,261559,42,2
42,#C9VCU8J9,***сури***2,8000021,254087,43,30
43,#L2CQGR29,Venazos,8000004,250692,44,16
44,#CPPV9V8J,Hale özel,8000059,244004,45,28
45,#9GRQPVQ9,ASHER,8000011,242407,46,19
46,#VLJ9L20Q,SAS 3 KAFA,8000021,240423,47,28
47,#P9PR9G00,cartones,8000032,233655,48,30
48,#2289PQP82,Я [Жи]гуль😈,8000035,232883,49,17
49,#QC8QGUUU,YA ALLAH,8000029,232634,50,29
50,#20RUU92JU,Team Polend,8000007,229526,51,17
51,#2YP09GC98,MAHALLE E-SPOR,8000007,227553,52,30
52,#2CYJYU828,찐 다사태권도,8000020,227192,53,25
53,#2P9RYCG0V,exodia,8000056,223078,54,30
54,#20C80CCPP,ABAB,8000029,222769,55,26
55,#UP992Q8Y,lil teccas,8000051,221834,56,21
56,#90RCPYYU,рыбка топ 1,8000027,221401,57,30
57,#PLUCLYY2,золотая семечка,8000009,219222,58,29
58,#28U8980CU,힘내라 대한민국,8000029,218353,59,23
59,#Y228U9U,Snalvers_ButtJr,8000016,218286,60,30
60,#28JPYY2L2,الابطال,8000027,218281,61,29
61,#Y8PURG8U,Micutzii,8000000,212836,62,30
62,#UV0YU8YC,GMECERI,8000016,211428,63,30
63,#RUGU9PJY,주영지호,8000008,208192,64,28
64,#LG0RRLGV,pepsi famili,8000013,207781,65,25
65,#8J2QL8QY,Lipman,8000009,207525,66,10
66,#2JG9RCCR8,натуралы сила,8000055,206110,67,28
67,#2RJRPV82,cualquiernombre,8000010,206065,68,26
68,#GCQCJLU,Los Premo,8000009,202161,69,14
69,#R2R0LR9Q,CLAN DEI CORVI,8000022,201707,70,30
70,#88URLJGR,snipux,8000029,201030,71,28
71,#UJY8VPC8,В7і пР1,8000057,200592,72,17
72,#CCCQYCUU,ЭТО ТОП КЛУБ,8000007,200148,73,24
73,#C2G0RY00,roobzi,8000029,198225,74,29
74,#280GR9G9P,Сургут,8000025,198207,75,28
75,#20UYJ882U,PROOYUNCULAR,8000029,196385,76,22
76,#GUCQYPL8,BRAWL SUCHTIS,8000016,195848,77,23
77,#CL8PUGYQ,sota jengi,8000004,195224,78,29
78,#LLP2VL08,3 SİLAHŞÖRLER,8000059,194502,79,22
79,#9YYLP9LQ,Edvardbil,8000021,193209,80,23
80,#LP82P2U2,戰鬥之神,8000023,191541,81,11
81,#2L8RLRY08,Depth of Death,8000059,191188,82,17
82,#2C9P8J8QG,[NAVI],8000059,191018,83,9
83,#V8Q9L0G8,Top España,8000016,190198,84,30
84,#22U2GR9LC,АУЕ БУСТЕР,8000004,189744,85,30
85,#29YPQ9G2C,Ливнул,8000000,188883,86,17
86,#28PRVR8LP,оно оно оно,8000008,188863,87,30
87,#LL9CYQR,ЧиТЕрыПОцы777,8000029,188698,88,27
88,#J8GPJCUU,Q & QQ,8000000,186358,89,30
89,#8CL9GG0R,King Klasse 4c,8000033,184570,90,30
90,#2GYGUP09P,Hot Guys,8000037,184549,91,17
91,#2929RLQGC,The God Players,8000047,181775,92,30
92,#2G9V8R90G,sigma|sizur,8000037,181449,93,10
93,#GVC0Q8,اكلان الوتشيها,8000033,180784,94,29
94,#VV0YGJRU,GABZ 2,8000019,180294,95,25
95,#2CPGP2GQG,UWU$♡,8000057,180230,96,30
96,#2GGPJ80GY,"👑TR "" TEAM 👑",8000053,180023,97,27
97,#2YR9VUP8R,GG|NOOB,8000059,179023,98,22
98,#2PCR0J8UV,Наруто ки1мен,8000049,179013,99,30
99,#29YGCY8GU,brodis craks,8000007,178002,100,22
100,#YUUPG8JR,colla llança,8000029,176810,101,17
101,#Y98GJYR9,Eno,8000014,176690,102,28
102,#QQUYVRVY,Nidje veze,8000016,176319,103,26
103,#RVRPCJCP,TIK TOK GOLD❤️,8000018,175809,104,30
104,#2GCQ0PLU0,Family,8000037,173959,105,9
105,#2RYJ0C829,ЛЕЗГИЯР,8000037,172181,106,26
106,#2QCLYQG2P,Nur die coolen,8000024,171811,107,20
107,#RYRQR999,Ham Burger,8000013,171382,108,30
108,#2PRJP9VUL,Sdvbeast,8000059,171366,109,28
109,#289VLPPCC,сосу носок,8000059,171358,110,30
110,#28U8JPQGC,гусиная армия,8000053,168223,111,26
111,#2PPJQYYQG,LA NATURA,8000011,168221,112,30
112,#LY9R9UPY,Dax Team,8000023,168218,113,19
113,#Q0JUYGYL,里昂,8000005,167964,114,30
114,#20GRQGUVU,los Pupi,8000057,167922,115,28
115,#PJLLUU80,Баба Шер,8000023,166594,116,27
116,#28J2GP90C,Nexus Squad🐙,8000041,166193,117,8
117,#2L8C9P9,Claudio 780,8000021,163785,118,30
118,#JRY090PY,друзья,8000043,162855,119,24
119,#C0V909UJ,дом Бравлеров,8000017,162281,120,23
120,#2JPGQGQGV,киберспорт,8000026,160665,121,28
121,#2CYCYL8R9,YİĞİT VEEYMEN,8000035,160441,122,30
122,#LJJJYUQ2,김형석,8000004,160284,123,27
123,#2PY088P8C,otaku gamer,8000029,159891,124,28
124,#2Q8RJLJJQ,Spin to Love,8000021,159140,125,25
125,#2G2800Y9V,Relámpago cian,8000053,158853,126,27
126,#2JL8U99J8,EPL,8000040,158302,127,29
127,#88YJPY9,DRAGON,8000023,156822,128,28
128,#8L8GUY9,BABA PRO,8000017,156475,129,30
129,#RP0LJL9,ЧИКИБАМШТАНЫ,8000023,156392,130,29
130,#V9G9J0G0,AD| TEAM,8000058,154788,131,19
131,#VY0QQUUQ,б5,8000049,154598,132,29
132,#22R2QPV9R,Семёрачка,8000043,154196,133,16
133,#8Y0QCUY,YOUTUBE TEAM,8000008,154030,134,27
134,#280YYUGJL,GG|LORD elite™,8000029,153644,135,19
135,#LQP8Y9VQ,C00L kids,8000010,153474,136,30
136,#292LYVYC0,Komaadi,8000027,152605,137,30
