,tag,name,badgeId,trophies,rank,memberCount
0,#U8LG0CQ0,Snus🖤,8000011,1604872,1,30
1,#2P2CVL9VL,未來之地,8000029,1218422,2,2
2,#22LYCVJ0P,Blue+?,8000055,1126569,3,30
3,#288LJLYR8,だから私は族,8000047,972556,4,29
4,#QC9RVYR8,WenoRain⛩️,8000023,958437,5,30
5,#2GCG2CG9L,BONDING,8000055,937134,6,28
6,#202UUPVV8,🖤Balkan🖤,8000005,914965,7,30
7,#LPV2UCC0,Elite Blue,8000004,899890,8,25
8,#22GL8L9JR,NTR,8000018,847644,9,30
9,#LYGPJ2U2,подвал для гиив,8000057,803855,10,30
10,#C8ULPP9L,ur good 2.0,8000005,771947,11,29
11,#L9YYPJ82,СССР,8000019,761159,12,23
12,#2JURVQ0YL,Survivors,8000057,754751,13,30
13,#2CGUJUUJC,My Friends💅,8000034,738494,14,30
14,#2JRQQG0G9,幹嘛這樣,8000059,690414,15,29
15,#8VC09V2C,mode zombie,8000027,686591,16,2
16,#JRJPU09G,la team fr🇫🇷,8000029,674741,17,22
17,#28VC9UJU9,Electric family,8000019,673520,18,7
18,#ULYYYRQQ,Leny hasse dich,8000029,668174,19,30
19,#QQPPRRVG,I❤️Capybara🦫,8000034,666889,20,30
20,#QRVCLY8U,Galaxyﾠﾠ🥋,8000038,629785,21,30
21,#YGUUCYJ0,Bravest_Brawler,8000055,619421,22,5
22,#QU8PUR29,KOA//AİLESİ,8000000,619332,23,3
23,#20Q0QR0LP,ITA,8000029,603218,24,30
24,#2LVVC2CJL,team gogos,8000036,602387,25,27
25,#2C8VL0JJU,Cool kids,8000034,596615,26,28
26,#228U0PQL9,Revenants©🥀,8000025,559862,27,30
27,#9P920CGJ,아무나들어와!,8000034,556425,28,30
28,#2C80PPJP9,da boys,8000017,555909,29,30
29,#2PC8VVYRG,🇮🇹ITALIANI🍕,8000058,501539,30,20
30,#2YLUV089U,brawlers pablos,8000046,501220,31,30
31,#L89UJLG8,🥇🥇🥇🥇🥇🥇🥇,8000018,474645,32,30
32,#2JV2JJP09,CF클럽,8000033,461795,33,30
33,#2RGCGUCL2,Pilots#,8000052,460394,34,21
34,#2GP9U2QJP,ネタキャラの集まり,8000057,447153,35,30
35,#2J9C8GJ88,evoza rg,8000039,444258,36,28
36,#2J9V0LPRJ,вступи пж,8000031,434689,37,28
37,#2JURRCCPV,🍃Bong🍃,8000013,431275,38,30
38,#2CG2QC2RU,Por nstars,8000047,428121,39,30
39,#YPPG802C,Ку-Ми-Ки,8000037,426961,40,25
40,#2PL8CCJRC,YENİLMEZLER,8000051,417764,41,30
41,#280J8J2PP,아다리신발려언,8000035,413069,42,29
42,#2R088P9GJ,New era✍,8000042,406449,43,29
43,#2RGG0LLC9,T.A.B.S.A.,8000005,402877,44,23
44,#YYUCV229,Leon's Club,8000007,392364,45,23
45,#GY0CURCQ,❤KANKALAR❤,8000018,392087,46,2
46,#208VCL8U8,Gangster Team,8000036,391009,47,30
47,#2C8PQ9JPR,РУБЛИ,8000059,387510,48,30
48,#2R89RP8QG,🍌банан🍌,8000017,386546,49,16
49,#29GRYLV8P,LET'S GOO BABY,8000035,384630,50,30
50,#2CGPR9PPQ,palacios🎂🍰,8000003,384002,51,26
51,#P0R0VJ0,dernitaistcool,8000029,383873,52,29
52,#2QGL8Y0RJ,Слави Трифонов,8000016,383618,53,30
53,#2QP8GQG8L,AND,8000035,374790,54,15
54,#2CJVU2VP2,NAVI,8000039,369881,55,21
55,#2J8PY0QL8,КУСТИ 3000,8000049,369340,56,30
56,#LU9U8LU0,💫🖤GİZEMLİ🖤💫,8000029,363845,57,3
57,#V9GCL20J,СПАЙКИ ТАЩУТ👍,8000036,356316,58,30
58,#Y8LJUQ8U,God_Xulian,8000009,354915,59,29
59,#28C9Q2Q9L,상상2,8000018,354063,60,30
60,#2UJJ9R2V,Gli Aloe,8000055,349748,61,28
61,#L9GVLVPV,Team Gary,8000058,345217,62,24
62,#2JV8U908P,신평중학교,8000036,342322,63,30
63,#29RLPJ82J,Pro,8000058,340133,64,30
64,#CQPC92UQ,❤️Kankalar❤️,8000013,335382,65,25
65,#9YCY9CVV,原野活動隊,8000029,329122,66,26
66,#202GGLY99,Brawl Stars777,8000057,325494,67,25
67,#28YVL0LGG,Zocker !!!!,8000034,320395,68,30
68,#2QUQR0Y0Q,CottaConnect,8000042,320084,69,28
69,#RUR92L90,słodkie pandy,8000027,318326,70,29
70,#22PGYVLL2,雑談の部屋,8000018,316283,71,30
71,#QR8RRGG2,синій привид,8000031,313000,72,30
72,#2JLQ0JP8P,FinBridge Clan,8000037,311227,73,28
73,#2JGV2LVYC,[TT] Vadim432,8000031,303289,74,30
74,#GQGLQ8LL,дЕвА4кИ,8000025,302799,75,12
75,#LC0GJRV9,RATONII,8000028,301007,76,10
76,#RYQUR9UQ,HOFVI AK,8000037,299814,77,29
77,#RQ9P8C0R,T.K.M. THE BEST,8000023,299512,78,29
78,#VULCJYC2,The best❤️‍🔥,8000011,297245,79,23
79,#VL90LV9,VeryDapperGang,8000029,295531,80,30
80,#9GUY0VVL,설추니,8000013,294051,81,30
81,#VRPUVPCV,ПриЗраКи 👻,8000057,293844,82,22
82,#2GRQ2Q82,Los Bichos,8000018,290473,83,30
83,#22LJ8CP98,KRESTINATOR,8000013,290037,84,21
84,#JG2CU8YR,엉덩이탐정,8000017,288715,85,30
85,#UG9JV992,GLN Reunited,8000029,287087,86,13
86,#VQ99CJG0,Hun Fighters,8000012,286170,87,29
87,#CVV8LUPC,FANTA YT,8000021,277519,88,16
88,#28UU8LQUV,joran bawz,8000007,273953,89,29
