,tag,name,badgeId,trophies,rank,memberCount
0,#2CGJYPUQP,BulgarianR,8000003,1781414,1,30
1,#2GCCUQLY8,Bulgarian Army,8000037,1612432,2,29
2,#2GLPR0RJY,BulgarianTeam,8000055,1608556,3,30
3,#2R0JQG80J,Bulgarian Stars,8000052,1496800,4,30
4,#2LLRVJ88L,Misfits,8000045,1359043,5,30
5,#2CLJRYV92,Code Apocalypse,8000039,1341052,6,30
6,#2RQU8RL2L,New heroes,8000036,1333720,7,30
7,#2922GJCPV,VV power,8000029,1306862,8,30
8,#PVR2GP2,<c4>Guards</c>,8000000,1271652,9,30
9,#29UV8V0U,Brawls eSports,8000008,1254469,10,19
10,#29VVGGPC2,ScreameRs,8000013,1251601,11,30
11,#Y9Q9QUP8,umnite,8000004,1215349,12,30
12,#2JRGYPUQY,TheUndertakerBG,8000011,1210713,13,30
13,#CVLPL0G,Elena Ivanova,8000025,1209511,14,30
14,#29Q0JVY0L,Logic Community,8000021,1181158,15,30
15,#29YJYLCGV,Bulgarian Army2,8000037,1168158,16,30
16,#28PPC82UJ,Калчета,8000019,1138086,17,29
17,#2RRR2PQ2C,MasterClass,8000019,1133368,18,30
18,#P8YLPJL2,Bulgaria,8000023,1127665,19,30
19,#2C8C2VJYJ,BulgarianPros™,8000025,1110595,20,30
20,#2JCLLJQ2L,Stardust Gaming,8000002,1106495,21,29
21,#2RR8UGRC,DimoAcademy1.0,8000038,1088302,22,30
22,#2GCR8VQJR,GalacticFoxes🌌,8000041,1080877,23,30
23,#2GYP2LR09,Bulgarian Elite,8000057,1077722,24,29
24,#220YJJ0LY,Seek&Đestrøy™,8000034,1068340,25,30
25,#2J8GQLCLY,Bulgaria,8000029,1053582,26,29
26,#2CPLCQQ9R,9d8k7p,8000000,1042379,27,30
27,#22L8C8LJY,BG GANG,8000033,1041360,28,30
28,#2C0CQ990Y,<c5>BG NAVI</c>,8000058,1040622,29,30
29,#2GV09J2C8,DungeonCraft,8000013,1033489,30,29
30,#22UGVP22P,Global Team 2,8000056,1030943,31,30
31,#29QPY22GY,Chidory,8000050,1012369,32,30
32,#2JU9GRUPP,BulgarianStars™,8000018,1010238,33,29
33,#VY2C0QL,Dimo Academy YT,8000003,1010181,34,30
34,#2JQQUV022,Top G,8000037,1006041,35,28
35,#2PCCRVCLY,2ch/yoba,8000006,1002611,36,30
36,#2R8YQQ090,VladislavPro,8000059,1002440,37,30
37,#QVLJ20V8,Вики 02😍😍😍,8000025,998320,38,30
38,#2GCGC0GG,BG Empire,8000018,990274,39,30
39,#VJP0L09J,HELIOS,8000018,975189,40,30
40,#LVV2UQQU,Musaka,8000013,968485,41,29
41,#2C0Y8YUP0,лудитеее,8000020,964224,42,28
42,#22YJCPQU8,Propleari_bg,8000023,958282,43,28
43,#2GRC22JUG,BGN|WRLD2227,8000007,953592,44,30
44,#22VJJC8G0,BG TITANS ARMY,8000059,950696,45,30
45,#22UG29YR0,Have fun,8000014,944013,46,30
46,#2G2Y8PJVG,Mega,8000058,943390,47,29
47,#2G8VJ0VJU,BG/Dimo,8000040,943060,48,30
48,#2YCPU88JJ,BIG Лебовски!,8000032,942692,49,30
49,#20JLC99P,DataKur,8000007,942145,50,30
