,tag,name,badgeId,trophies,rank,memberCount
0,#22C0V8PGQ,BIBI,8000059,787275,1,7
1,#29LRLG8J8,Sigma🗿,8000052,725485,2,30
2,#2C8Q0G08P,Kociaki1g,8000033,698086,3,29
3,#9P2YJC,la palestre,8000019,673716,4,26
4,#2JUY2GJ8U,Warrior's,8000025,632321,5,30
5,#28U9PYC8,SkySide,8000029,627995,6,30
6,#LU2CC0JU,RED🏓,8000035,572671,7,30
7,#9QJPQYY,Army Of Weyes,8000007,559978,8,28
8,#9JYRLGCV,al-quaida,8000004,533804,9,30
9,#2YGUQ2UV,BLITZKRIEG,8000007,521808,10,27
10,#QJ8YQJLG,Legia Warszawa,8000012,511114,11,29
11,#2RQPVQC0Y,Ghost Stars🤯☠️,8000039,490534,12,24
12,#29Q090RVJ,klub dla.sigm,8000057,482199,13,30
13,#2RR9YR9JL,Master,8000037,477653,14,21
14,#2C2RLGU29,Club #2C2RLGU29,8000022,452621,15,30
15,#202GYC89,the3clowns,8000047,412130,16,16
16,#2GRJ90GUR,haos,8000021,405823,17,22
17,#VVRGV8Q,SL Bots,8000025,401989,18,27
18,#ULLRR0L,Patola,8000006,396474,19,30
19,#22GY2QLGQ,GOOD CLUB,8000019,388181,20,4
20,#22RUVL0UY,говкек,8000059,375130,21,30
21,#2C8R2CLJG,Szefy polski,8000023,370952,22,26
22,#299UR9VU0,team golden,8000018,353098,23,28
23,#8YLPCGV,226 Brothers,8000005,344092,24,16
24,#U9UVGU0U,BURKINO,8000017,324594,25,22
25,#22PYVLJQV,BF_226🇧🇫🇧🇫,8000021,323114,26,15
26,#28L92PCJR,najlepszy,8000034,320555,27,30
27,#2R8LC9QJG,Stupid Team,8000035,314479,28,28
28,#2QC8YL2U8,IPSA 1 MEDIO A,8000041,308826,29,18
29,#28C0CVJQ,TUTTI VICE PRES,8000025,303993,30,12
30,#8PP9GVV9,TEAM Assassin,8000048,299510,31,27
31,#2YYY8R2J9,STRIKERS,8000021,298361,32,15
32,#2QYJJ9CLY,'_BVB_',8000037,293283,33,22
33,#20CC0L0LR,KAZAKHSTAN 🇰🇿,8000029,278655,34,30
