,tag,name,badgeId,trophies,rank,memberCount
0,#QRRP2C20,Dark_I/Knight,8000003,1565411,1,30
1,#20LQY928R,☣TeamPower☣™,8000023,1482499,2,30
2,#R09QU22Y,Nova Bro,8000007,1211321,3,28
3,#2L8J0V98Y,🥀Only Legends❤,8000007,926314,4,30
4,#29JY8JQ0J,I Caymani,8000047,866799,5,30
5,#2202V0GVP,TT house,8000007,823346,6,1
6,#GJCRVR8Y,nick cave,8000015,805452,7,30
7,#2Y2RRJ0UP,чебуречная,8000047,789100,8,28
8,#2C99CJVYQ,broken heart💔,8000005,762900,9,29
9,#9UCURGC8,KRALJEVI SRBIJE,8000029,691989,10,3
10,#2JVPLV9PG,암살 클랜,8000025,649325,11,30
11,#YJYQUVU9,@Skull_Ticklers,8000050,646932,12,30
12,#28YL2JRLJ,🎯קליעה למטרה🎯,8000025,636800,13,24
13,#2QYLQUV0R,крутые челы🤑,8000011,636517,14,30
14,#VLG9YLUU,PROJECT Z,8000057,623352,15,30
15,#LRVCQPUG,League Of Hero,8000003,596460,16,30
16,#2GLUP8VLR,OneLamel,8000044,583183,17,27
17,#20C900CYP,i cocchinozzi,8000007,546068,18,28
18,#209PR9QVQ,BrawlTop,8000025,544518,19,30
19,#QC9GG2P2,UK|Esport,8000039,538858,20,30
20,#2JUUGVUR8,날강두,8000034,526957,21,30
21,#20U8UP9Q,IWONNABEWINSTON,8000007,524155,22,27
22,#2QQRLP0U8,devianze,8000023,512246,23,30
23,#2JURUU9GU,i broder,8000041,504651,24,30
24,#LPJQPY8,Gucci G4ng,8000009,496791,25,28
25,#2C9Q99VL2,NightSpace 🌃,8000039,486878,26,29
26,#GY29VYRL,i burundiani,8000013,481881,27,30
27,#200CRLVCQ,senyortodopoder,8000034,469762,28,29
28,#JYJQRV9U,Ay Işığı,8000029,451986,29,5
29,#2YJPR2RLV,⚡ZeRo GeRoeS⚡,8000007,446499,30,30
30,#VYGUG8L,fassa,8000020,446037,31,30
31,#2GY82YRR2,Nicholas.Brs,8000049,425611,32,30
32,#2C2UYVRP0,Win,8000030,423410,33,30
33,#2G90J28LV,Les Collégiens,8000016,420833,34,30
34,#29CGVPJQR,꿀꿀단모여라!!!!,8000011,417716,35,29
35,#U0PPQ0PL,Крутые БИБИ,8000005,417609,36,22
36,#2JCLGYCR2,EGOIST🗣️,8000059,407602,37,29
37,#2Q9Q09GLU,triști😔,8000010,404701,38,29
38,#2CG8GR9R9,abenojar clab,8000009,383978,39,25
