,tag,name,badgeId,trophies,rank,memberCount
0,#20LL8VQQJ,Pilvax Kávéház,8000022,1219131,1,30
1,#2GUUCULJU,Tw@Life☠√Go☠,8000030,1162243,2,29
2,#29GUCUGCG,Annihilation 👑,8000055,1142069,3,29
3,#20J0CL0RG,club cameroun,8000059,957196,4,30
4,#V2CPYGU,Be Stobon,8000035,859037,5,30
5,#R8LLJ2GG,БРАВЛ ГРОМ,8000003,793333,6,14
6,#C8RV0G9Q,JUDE,8000056,775436,7,30
7,#2C9VJR8VU,XY/Gaming YT,8000054,774732,8,29
8,#28PCR0QRY,The Exotic Crew,8000059,750259,9,30
9,#VL8UG220,lespotes,8000018,719643,10,30
10,#2JCPJYRCV,In_The_Darkness,8000029,703391,11,28
11,#988CYY8R,Evanaissance,8000045,688841,12,30
12,#2CGYY22R,紅色,8000004,653597,13,29
13,#PP22RVVC,Meng_11_TP,8000034,651611,14,30
14,#2RGPG8YPR,City Of Saints,8000013,638545,15,30
15,#2GYLV8YGR,Les Grillons,8000056,633994,16,30
16,#29QJYGV20,smile킬러,8000057,622636,17,28
17,#RRQR0PJJ,Aedrin,8000021,597443,18,2
18,#2JJ82PJ99,BRAWL MONARCH,8000023,580052,19,30
19,#8GV9LRL0,one for all,8000029,578013,20,30
20,#29P22C9G8,8280,8000004,528889,21,30
21,#9VVP8PP0,Клубная лига,8000002,528646,22,25
22,#2GLGL0YYC,天宮,8000029,525881,23,25
23,#2C2Q982VR,노노카,8000035,509962,24,30
24,#2GY82YPYL,Ee Gg Ee,8000029,500184,25,28
25,#90CLPVVV,The king of god,8000004,489665,26,7
26,#2JGLU8C8V,PROSTOV'10 AYAA,8000041,485039,27,26
27,#QLL9CJ80,nouveau club237,8000001,468668,28,26
28,#V82CCPRU,Riders BSC,8000017,454548,29,30
29,#2G22CR9GR,Wer Clan,8000040,448581,30,30
30,#2GV0UURRP,Foxtrivial,8000049,427910,31,27
31,#2YYQQV92U,BVB,8000021,417395,32,30
32,#2GRPUPUG9,stobon 1.2,8000000,407995,33,18
33,#29CLQJLLY,MMA|Шелли✓®,8000037,403125,34,28
34,#G299R2,demise,8000017,402943,35,15
35,#2GPYYJYL9,pomidorówka,8000037,396461,36,30
36,#LJUVGRJR,OLYMPE237,8000007,393457,37,18
37,#2C9GCUC0Q,KOREA IN NONOKA,8000035,391337,38,20
38,#YG820GC2,cameroun,8000048,375055,39,30
39,#2JQJ8C99C,Les Zigoullieur,8000004,368666,40,30
40,#2C2YL82YV,les parisiens,8000029,361200,41,22
41,#JRUL9PUP,@#$%&@#$%&,8000059,346607,42,30
42,#20R29RYGL,C # CLUB,8000037,346586,43,27
43,#2JQ9Y0LV9,☠️AFTERLIFE☠️,8000037,344933,44,15
44,#22UUYLQ0G,Cite verte,8000027,343943,45,26
45,#2QU0C0G9,GS,8000006,343442,46,30
46,#UL2RJR20,bala,8000059,338747,47,27
47,#2CJVJLJ0V,I❤️‍🔥Cameroon,8000007,329194,48,26
48,#2JCQV8LYL,현준따까리모임,8000049,325946,49,30
49,#2CQRGP9P8,도비들에세계,8000035,322961,50,29
50,#2JLPRRY8U,ROYAL.F,8000029,309883,51,27
51,#28L9UQP88,xorazm,8000057,309242,52,18
52,#2CPP8RVGV,CX🇨🇲,8000059,303700,53,27
53,#22RY999YG,zirvemahalesi,8000003,299778,54,30
54,#2G92JULJQ,ÇPCB Brawl,8000035,287342,55,28
55,#29CUVY9JR,Pdeláčci,8000016,286267,56,30
56,#9PY0298Y,njewaclub2000,8000003,285781,57,19
57,#2JGYCY2JG,<c7>繁華熱鬧孤兒院</c>,8000059,282313,58,12
58,#CCJJUUCJ,TR BİRİNCİLİĞİ,8000029,277946,59,30
59,#2RRCPVYP2,무릉초등학교,8000034,276165,60,29
60,#2RPYQ9GQG,CGI,8000033,275613,61,17
61,#29QCR90G2,CODEMAGIC RO,8000025,274286,62,4
