,tag,name,badgeId,trophies,rank,memberCount
0,#29P89U29L,ROŻKI LOU,8000021,1572758,1,30
1,#28LLP2JUG,⛩️Royal Hell⛩️,8000006,983058,2,30
2,#R8JV2UC2,ЛЕГА КЛУБ,8000057,856259,3,26
3,#22RUU2LUG,TÜRKİYE,8000023,770246,4,3
4,#22YYUV22,Team España,8000019,733393,5,1
5,#20U9U9UL0,лимо6,8000022,593068,6,29
6,#2PGC92C2P,ATLANTIS,8000025,592060,7,28
7,#QLG8V9L8,Polska gurą,8000049,527195,8,30
8,#CR9L9RPJ,meuf +mec😍,8000006,516751,9,30
9,#29UVYR90U,клуб влюбленых,8000025,502316,10,30
10,#2J8R2RYYL,логово жидких,8000008,485854,11,22
11,#2GG8YJ9GY,HoRu$,8000029,457707,12,26
12,#RR2R28JG,Koko Stars,8000006,456451,13,10
13,#2R2V0GLRC,♠←BőŖŽ→♠,8000031,438207,14,26
14,#2J0VJJ222,K.C.,8000023,425815,15,29
15,#GCGRVGP,AMERICA,8000023,424965,16,30
16,#GV9G9UYJ,TripleA,8000021,423402,17,29
17,#2RGL29022,Los olfamidas,8000045,394997,18,20
18,#2L292CJRP,pjw,8000018,391901,19,30
19,#2QQC2CCVL,쌍코피,8000020,335388,20,30
20,#22V20Q0LJ,pro team go,8000013,313523,21,28
21,#L8CJG9PY,Dream Chile,8000006,303553,22,30
22,#CL8C2JP0,La Palma,8000029,293737,23,26
23,#2C2GRJVJ2,저는 개돼집니다,8000026,290895,24,29
24,#P8RV9QLJ,Brawl Legends,8000004,290104,25,30
25,#2J2VUG9JU,Big Glock,8000035,285898,26,16
26,#2QQ2C2L,Kool.Kids.Klub,8000013,282303,27,30
27,#RR0RRG9Y,уголек,8000029,280259,28,30
28,#2Q02PCUL2,Bruno stinkt,8000022,270217,29,29
29,#28GQ982RR,ORDA DE MANCOS,8000017,268131,30,22
30,#2U09UQL0,홍삼골드,8000016,262925,31,29
31,#JVYCY09P,YT:ПЫШ ПЫШ,8000059,257171,32,11
32,#2R08VYRGR,los braulers ll,8000017,251741,33,30
33,#2YULLCR2Q,COW FOREVER,8000021,248073,34,22
34,#2U0U0Y08,Ghost,8000013,247332,35,30
35,#2J0U0V8CR,Defend Your Sel,8000035,246622,36,18
36,#PG20UUQP,abdesiz girme,8000029,245900,37,28
37,#UG98JP09,Zirvedeki KURT,8000021,243989,38,29
38,#CVVJCJ0,陳爾鍵,8000046,243256,39,29
39,#2C8LYPRUP,Kuvano Jajce,8000045,243061,40,30
40,#20LJRQP8Q,Spartak Trnava,8000007,237678,41,28
41,#Y0UCRJYY,что-то,8000015,235923,42,21
42,#2JYUU8JQR,czarnuszki,8000038,233551,43,30
43,#2YYPUJ8YJ,DEFIKALTY,8000027,225886,44,19
44,#2GCVYY9UC,DIEGO33,8000001,217647,45,30
45,#2PURRJ2U2,11100000а,8000021,216051,46,28
46,#82UL2VYR,Di Mafia,8000023,211264,47,30
47,#U9G0Y0UC,night killers,8000029,210938,48,13
48,#2GY9J09PL,virusGUM,8000046,210506,49,9
49,#2CQJGQ2VY,성동 친구들,8000047,209857,50,30
50,#CC9QCCG2,free legendary,8000013,208250,51,23
51,#J0PRLQPU,의준 전설,8000029,204622,52,27
52,#VGQC2V2Y,Black historys,8000045,203959,53,30
53,#28C99GL2U,бахилова поляна,8000027,200869,54,30
54,#2CRVR282R,BRAWL STARS,8000046,200310,55,29
55,#2GR0C08JY,алое,8000038,199952,56,27
56,#JVRR2CPP,nani br,8000042,199856,57,18
57,#2280CGPJ2,Legendäres Bral,8000014,198365,58,21
58,#2GPR20CUJ,יחד ננצח,8000049,193798,59,16
59,#2P2RYP,SQDX los santos,8000016,191850,60,25
60,#29VG2QVP0,ישראל החרשנים,8000018,190605,61,28
61,#20CLJJU0,Nova Yeibi,8000013,190378,62,21
62,#QGU8J8PC,AGALAR/FB GS.,8000029,190362,63,25
63,#2890Q8U9V,1.FCE,8000009,189610,64,27
64,#Y2UVUQ08,Kevin 10,8000050,188325,65,12
65,#UG9CPUUY,INY,8000018,188010,66,20
66,#228CRURQ2,SEW/KNK,8000049,187744,67,23
67,#L888RJJ0,ONLY GIRLS,8000055,187540,68,26
68,#2J8LRUP0Q,유찬,8000003,185027,69,17
69,#Q9GGPYC2,ata5706,8000022,184740,70,30
70,#2YCJVPU92,las abuelas,8000018,177770,71,30
71,#2G922VV0U,샌드 바이퍼,8000018,176696,72,29
72,#8YPQL0J9,inox,8000018,174490,73,27
73,#2JL2VPR2L,louPriotiry🥱,8000035,174431,74,29
74,#QG9VLUC0,짱아,8000025,171901,75,28
75,#VVYYQVJG,透心凉™,8000016,171175,76,25
76,#2Q00RR0GC,돈암동5형제,8000016,169484,77,28
77,#CUR8PVVQ,crow space,8000023,164031,78,29
78,#CPVUQRGY,Die Reiskörner,8000017,163869,79,30
79,#Q9V82QY2,מלחים,8000049,163818,80,30
80,#220PVJV2L,kaas armen,8000005,163077,81,30
81,#20GGQVLV2,pro,8000023,162802,82,28
82,#29QLGCP88,топ клуба,8000037,162241,83,16
83,#92QJULYP,학살자880,8000004,160642,84,18
84,#9G0L8URP,viña del ma,8000027,159577,85,29
85,#UYLP8CGG,siamo uniti❤,8000029,159163,86,17
86,#L9YPCJ8L,cromaticos,8000013,158696,87,15
87,#2YJGY0QLU,сосиски,8000005,157223,88,12
88,#28JLCQUQG,Любители ГМ,8000051,156215,89,23
89,#20RUQ8Q0V,Логово бобра,8000018,156069,90,28
90,#RU22CQLU,doslar,8000007,153929,91,30
91,#PPJR200Q,про и нубасик,8000000,152523,92,30
92,#UQ29QRYP,ДОРОА,8000007,152102,93,29
93,#Y0VYQCQ8,쿠리파파,8000022,150590,94,29
94,#2LP2LYV9J,подписчики роба,8000036,148994,95,30
95,#2GG20VPVL,🌞SUN🌞,8000022,147353,96,16
96,#2LJRUYVLQ,Оржа2,8000013,146374,97,28
97,#Q929YG29,Dragon Peak 🐉,8000052,145870,98,30
