,tag,name,badgeId,trophies,rank,memberCount
0,#8UGJQJV0,LégendeFrench⭐️,8000016,1550911,1,30
1,#22LJYCJQ8,Rassismus=Nein,8000017,1503276,2,13
2,#2P0L900JJ,✨KosmoArmy✨,8000004,1338629,3,14
3,#UYVPGPLQ,A Fer Good Men2,8000029,1070804,4,30
4,#RRQUJG89,Gece🌆🌆,8000023,959020,5,19
5,#PG88Q2Q,G-FORCE,8000020,897361,6,29
6,#2GC0UQ998,Murda View,8000031,820680,7,30
7,#2QQV0YLPP,THE 🅱️EST,8000057,758154,8,30
8,#2R0CP9GLR,Гей клуб 9б,8000004,736084,9,30
9,#2G89Y0VCL,socks,8000005,670054,10,30
10,#9UCYJC00,Влад и Даня,8000029,601301,11,22
11,#GJ0CYRQ9,~КРУТЫЕ ДРУЗЬЯ~,8000029,548221,12,29
12,#2GUP2UCQ8,Canadian Shield,8000047,511334,13,20
13,#2CGVLLQ2U,BigBrawlsClan,8000005,497967,14,30
14,#2RQQLYCPQ,the phonies,8000046,484312,15,30
15,#2J88JQ088,ITA |TEAM,8000042,462320,16,30
16,#U2J88PG9,Mortisin Küreği,8000014,451174,17,30
17,#Q2UVQLQQ,GALATASARAY,8000037,430831,18,24
18,#VCPC228R,rys,8000058,428637,19,27
19,#20YR2CV02,жульен,8000043,405913,20,26
20,#2QY0PQCJV,77bayraktar cr7,8000019,376294,21,30
21,#Q2YYP20R,Хахлопалы,8000009,373794,22,21
22,#JQ9QGRJL,TÜRKİYE CLUB,8000023,368238,23,26
23,#2PPG9RRGV,АРМАТА 228,8000057,364151,24,23
24,#28L8URL0Y,Probuzzy,8000037,358292,25,23
25,#CRPVQCGU,biri osurdu,8000037,303135,26,30
26,#28LQ9JLG9,спраутик,8000037,300180,27,30
27,#2GUVVCJY8,"10 „А""",8000037,296640,28,16
28,#VLJ8J00L,Classe 25's,8000037,294252,29,13
29,#G2VR9J29,Fire Team,8000019,293893,30,30
30,#22YV928R,FireRubis,8000004,290986,31,22
31,#QJRJ2QRJ,KLAN NEGROV,8000004,288914,32,30
32,#2CJUC2RP2,клан белочки,8000057,285161,33,29
33,#2GGLPPRVG,TOP4IK UA,8000027,276955,34,15
