,tag,name,badgeId,trophies,rank,memberCount
0,#PPRL8LVP,Sandstorm,8000006,1569968,1,30
1,#2009URLJV,Storm Raiders,8000003,1244326,2,29
2,#2YPGJ28UP,C.JaliscoNuevaG,8000038,988351,3,30
3,#2UR2C88Y,Somos Estrellas,8000018,945518,4,30
4,#2G09R020U,ICE TEAM ❄️,8000031,937420,5,30
5,#29JUQ8GJC,WESO FANS,8000016,844527,6,30
6,#2CLVUVYVY,Panas del Lovin,8000021,844347,7,30
7,#PLPJYGVJ,tnpest,8000029,816600,8,30
8,#RV8JL9YJ,MMA RUSSIA,8000049,812247,9,29
9,#29GCQ2CLJ,TV | Wenxxq💞🥵,8000004,801966,10,30
10,#2GLU9PV0P,alpro 3021,8000056,774383,11,30
11,#QRYG2PUG,Dallo zio 2,8000012,724901,12,30
12,#29J02GVYQ,Brawl Welt,8000041,724315,13,30
13,#QJCLR0CQ,💀WESO💀,8000008,712630,14,29
14,#2GGYGY0J0,GANXO ZGZ KKK,8000029,702192,15,30
15,#8QJ00Q92,AmplifyScience,8000019,701907,16,30
16,#J0Q0QJPL,iubiti😘,8000029,701100,17,28
17,#2JRL0QRC0,Casual Stars,8000059,685513,18,30
18,#2CQYYQV82,gejowski krąg,8000025,650783,19,30
19,#2QQU8PJC8,tocino vecinos,8000056,628967,20,30
20,#29V2Y8RVL,YENİLMEZLER,8000029,617877,21,7
21,#22GJ89C2V,психокидс,8000004,609557,22,29
22,#29L0VGVJ0,BOSS|EMPIRE💥🔥,8000039,605434,23,30
23,#2QV8QPP92,Пупсики🐻,8000057,588155,24,30
24,#2JCPQRCGP,STERLI CHAD,8000027,567191,25,30
25,#2J02VPC0G,Y.J.,8000058,562634,26,30
26,#2QP9Y28YV,sussy,8000057,556417,27,30
27,#20GLL0GPU,<c3>Paralel</c>,8000013,551440,28,6
28,#29PUYVUP0,Entity Reality,8000023,549119,29,30
29,#2Y9RRG82G,забивные,8000051,528762,30,30
30,#2G9YVLGUY,Szkoła Gietek,8000039,516288,31,30
31,#2GGG0VCPL,VS-VIPERS,8000045,508044,32,30
32,#2G9RUGY2R,top bangladesh,8000057,506261,33,30
33,#2JLVP8PQ9,Универс,8000013,503133,34,22
34,#UQV082VU,💙KANKALAR🖤,8000026,492962,35,3
35,#208LV9U99,BC|ღッJigSawღ🍥,8000033,492704,36,29
36,#8CRRVQ92,CANIMIZ SIKILIR,8000018,487287,37,28
37,#L9C9UCGU,los panas,8000003,477142,38,30
38,#2LQ9Q9QUJ,AGA BEEE,8000029,469655,39,3
39,#229UGJ9YC,книжный магазин,8000046,464838,40,30
40,#YJ0LV900,fruit punch,8000007,461786,41,28
41,#2JLUCCVGJ,Stratos,8000004,460673,42,28
42,#22U8L80,Žbun,8000013,458829,43,26
43,#20UC0YUU0,NOOB'S,8000037,457306,44,28
44,#2Q2UCCG2P,this club,8000009,451778,45,29
45,#99ULY0LY,contra debochad,8000004,448965,46,26
46,#22VC2VRL,Desai Warriors,8000049,446295,47,21
47,#2RLCCLGPG,gx è op,8000033,440061,48,30
48,#2LU0LP8L,union,8000023,438723,49,30
49,#2RPJ8VPPL,Amino Jugend,8000037,437096,50,25
50,#2GGCCULGU,GANXO ZGZ KKK,8000037,433901,51,20
51,#2R282UY00,naskel,8000029,427432,52,30
52,#GJRYGPRP,브롤PC방,8000046,427072,53,30
53,#9PQ0YCQR,LOS GRANDE,8000059,422004,54,27
54,#U8GVJULU,el primo fans,8000036,418644,55,30
55,#29RQ9CV8C,GOD OF LEGENDS,8000024,415961,56,30
