,tag,name,badgeId,trophies,rank,memberCount
0,#29QCGRYL,「NF」,8000037,2931925,1,25
1,#28LPVPG9Q,TaSHeR Team,8000004,1991309,2,30
2,#RLQ0P2PR,Ukraine Elite,8000055,1935138,3,27
3,#2GQ2J9VCJ,天道 . 欧♠️,8000053,1582045,4,30
4,#22CGLLYY0,WHİTE TEAM,8000057,1542398,5,4
5,#2P92V2GVP,乱世佳人,8000035,1474871,6,30
6,#2PVRVRC9Q,<c8>Mõrtîs™</c>,8000025,1438370,7,1
7,#2GRCCP9YQ,天道 . 欧♥,8000053,1396306,8,30
8,#2PV8VLLYL,Castle o' Milk,8000025,1382293,9,2
9,#2G9J2JP9R,天道 . 美♠️,8000007,1335405,10,30
10,#2GRRJCYRL,从零开始的养老生活,8000018,1305872,11,30
11,#2GQLVCRQY,柯莱特の幻想书店,8000039,1305030,12,30
12,#2J2LCYVYP,PRO LION YT,8000046,1294736,13,30
13,#R0CL92JJ,Siemanemanoyki,8000008,1276071,14,29
14,#2GJP02RQR,天道 . 美♥️,8000007,1269714,15,30
15,#2GY0JYULQ,乱世佳人-盛世,8000043,1250529,16,30
16,#2RJV2L8VY,天道 . 欧♣️,8000053,1234326,17,30
17,#2GQLYP8Y9,天道 . 亚♠️,8000019,1227554,18,30
18,#LQVR02JQ,林中小屋,8000029,1215915,19,30
19,#2RV00GYUP,天道 . 欧♦️,8000003,1207981,20,30
20,#92VJUP2,小苗苗幼儿园,8000018,1195985,21,30
21,#2LGJPJ9RL,JESSIE ON,8000025,1194581,22,1
22,#V0UQL0L9,SRBI🙂🙃😃,8000055,1187739,23,21
23,#29R2VUY89,H¥DRA||SQUAĎ,8000059,1176932,24,30
24,#9R08V8PR,Nova China,8000039,1169828,25,30
25,#GCPYJLUG,China DE 魔鬼,8000023,1169119,26,30
26,#8JVPV80,划船不靠桨,8000021,1150156,27,30
27,#209LQ2LL8,Heilin Empire🌹,8000004,1145598,28,30
28,#2R0QQ8PGP,A # A AK.PRO♧,8000031,1145342,29,30
29,#2CGQ8UPJV,NBE,8000057,1140188,30,30
30,#9L8QV99L,Trick of China,8000018,1139864,31,30
31,#20QCCGVYJ,御之风Royal wind,8000037,1137536,32,29
32,#2QPRUCV0L,TEAM KERALA,8000049,1128756,33,28
33,#JVJG00JY,地圖編輯器狂熱群2,8000023,1125997,34,30
34,#2GGQJ8GUU,欧洲城,8000035,1123539,35,30
35,#2G929QG0U,Golden Dawn,8000037,1114803,36,25
36,#2GR92GLV8,上海OP | 养老院,8000057,1111961,37,30
37,#2088JQ8CU,H2O,8000059,1099264,38,29
38,#22J822PQG,咸鱼,8000057,1094183,39,30
39,#J88VUYRQ,天王战神,8000023,1089700,40,30
40,#V08LPC8U,东山大佬🦅,8000051,1066417,41,30
41,#982R0J0P,一万又一万,8000025,1062879,42,30
42,#YJ2P2G8G,High Ping 😵‍💫,8000055,1055896,43,25
43,#2JVPU2PVP,MILK WAY TEAM,8000059,1053477,44,30
44,#2298GL8UP,💎EISKRISTALL💎,8000002,1040997,45,28
45,#LQQ8YVU,无往不利,8000029,1028996,46,30
46,#282Y8UUGR,ЛУЧШИЕ!!!,8000007,1009418,47,30
47,#2828RRLQ2,•xXClubXx•,8000025,1005385,48,30
48,#L82CUJV,樱花の幻想,8000010,1005083,49,30
49,#88VYCR82,🌜моои🌛,8000029,992254,50,30
50,#V9PUVYL,摘星星的人,8000018,988911,51,30
51,#2099RRGGU,偶像练习生,8000008,987726,52,29
52,#Q9C9YRJ2,至尊荣耀,8000037,976382,53,30
53,#QC9Q2,哇哈哈,8000018,975337,54,30
54,#2LU80CQ0R,龍華鳳,8000058,966761,55,29
55,#CQ9VRGVL,莫提斯的小屋,8000008,965640,56,30
56,#2GJLQL2VL,天道 . 美♦️,8000007,954190,57,30
57,#8LQL99V,广州,8000029,953070,58,30
58,#2RU0VVU9Q,天道 . 美🤡,8000007,945610,59,28
59,#2RQULUU28,anyway🤷🏻‍♂️,8000013,945416,60,30
60,#2VR9CPP,美少女战士,8000006,937209,61,29
61,#2VRQJ8R,生气加暴躁,8000006,934012,62,29
62,#2YPYPCQU8,LoneWolvesUnite,8000052,924282,63,30
63,#9QV00RRJ,小村和托尔的战队！,8000018,922233,64,30
64,#2P88P0VJ,空想神话,8000000,914886,65,30
65,#2GJCC0VPC,天道 . 亚♥️,8000019,914166,66,30
66,#U9PLC9PJ,卄部落卄,8000023,911063,67,30
67,#CLLQ0RGJ,❄️ICE❄️STAR™,8000055,906107,68,30
68,#2JGJU28Y2,地中海,8000028,905147,69,30
69,#29C8G998L,SLAUGHTER SQUAD,8000026,901704,70,28
70,#QY9CPV9,宅喵学园,8000029,899931,71,30
71,#PRU2JL,崔化俱乐部,8000013,891392,72,30
72,#V0LYPYPG,荒野菜鸡,8000011,879890,73,30
73,#2GCGCYLLU,WE,8000052,871359,74,30
74,#YG0G02,真心兄弟,8000018,869290,75,30
75,#Q8RC0Q98,荒野国际🌀,8000053,866691,76,30
76,#22Y02PJVR,brawl,8000018,851119,77,30
77,#28JYGQVUQ,华夏九州,8000005,847373,78,30
78,#2GQ88GUR,寂静岭,8000021,846850,79,30
79,#LC8P9U8,中华第一,8000023,842656,80,30
80,#2JR0L00Q2,等一份日落,8000039,838859,81,28
81,#J2YLP2QU,Sterlria,8000006,837073,82,30
82,#8GL9U8R9,传奇战队,8000035,825921,83,30
83,#2GVV89P20,精英班,8000033,821601,84,30
84,#VJ98P2U8,Treasure Hunter,8000004,818867,85,30
85,#2JV2YV2GY,Brawl York,8000059,817817,86,29
86,#2GJL9V9QV,TeamClarky #👻,8000057,816481,87,28
87,#UVC8YQ80,One,8000029,812404,88,30
88,#2J0U98CGP,路人站队,8000007,812101,89,30
89,#222JYLQJJ,SAS Eagles,8000031,810877,90,30
90,#29YRCJPR0,枫溪,8000011,810420,91,29
91,#290L092Q,无间道,8000038,808980,92,30
92,#QG2YU9R8,~ NIGHT ~,8000039,807384,93,30
93,#LVP8Q8JL,白给战队,8000039,797962,94,29
94,#2028LLJVR,人类命运共同体交流部,8000010,796666,95,30
95,#20J2VP9VP,ЛОБsterы,8000043,796550,96,30
96,#2L9CJ8C9Q,ты нам нужен,8000000,795566,97,30
97,#PRQ80PG,Vanstars傲视天下,8000008,793101,98,29
98,#URP0UURL,the blood,8000021,791227,99,30
99,#2L0V0YLGG,鴨子呱呱叫,8000043,788178,100,30
100,#2JUYV9J08,<cTentsuki🌙,8000021,787444,101,30
101,#2GJ0R0QJG,中国,8000035,778050,102,30
102,#2C08PLVPC,the bear gang,8000005,771150,103,30
103,#2RCVU2Y2R,天道 . 亚♣️,8000019,767585,104,30
104,#20YVR8YJ,上海 OP Chopper,8000052,766550,105,30
105,#UL0890YY,雷霆,8000011,764882,106,29
106,#CCPPUU9L,TapTap,8000023,757262,107,26
107,#2GJVPPJLV,不是阿柯的粉丝战队,8000057,754452,108,30
108,#20VP2QP89,ZDD,8000025,753646,109,30
109,#8V22PCJ8,红米军团,8000006,753346,110,28
110,#2LCU0VQ2J,Fenomen,8000029,753241,111,30
111,#29C92L9GR,轮回,8000039,753009,112,30
112,#GYYR8YJ,必胜堡,8000037,745801,113,30
113,#2QP0CU8V0,수면재,8000059,745597,114,28
114,#2RCPUQ99Y,天道 . 美🃏,8000007,744516,115,26
115,#2JVR2UJJ9,乱斗中国队,8000046,742763,116,30
116,#22288LRPR,风力(总部),8000037,741859,117,30
117,#UQ8UG,世青搞事大队,8000017,737828,118,29
118,#2CR08VGUG,仙气满满,8000050,737787,119,28
119,#Q928CUU,萌新保护协会,8000018,736773,120,30
120,#22YYUV22,Team España,8000019,733393,121,1
121,#L80QQR8R,佛系领域,8000023,731150,122,30
122,#28YYQPPG,闲人公会,8000014,729325,123,30
123,#2RR00LR2P,超级 無敵 大戰隊🚩,8000029,729193,124,29
124,#RCQ00880,国服养老院总部,8000028,727858,125,29
125,#RGLQ0L,天朝禁卫军,8000000,727811,126,30
126,#GQJQVY8,菜得抠脚的菜鸡在互啄,8000057,727162,127,30
127,#QGYPV9L0,BS Chat,8000029,725752,128,30
128,#RQV28LYC,Team Polaris,8000018,725516,129,30
129,#2QGV8YVR8,道法自然,8000039,724200,130,30
130,#29PR8CPJU,荒野秘密基地,8000051,723255,131,28
131,#228LRUCP2,乱世佳人-倾世,8000057,722371,132,30
132,#LUG9GPL,暮与星辰、盈手赠WYang,8000003,721769,133,30
133,#RYPCJJJ,上海爱丽丝幻乐团,8000006,721285,134,30
134,#222CUCY9R,Team Pro 🇨🇳,8000033,718260,135,30
135,#QYL8RGQ2,<c0>黒悪勢力社團</c>,8000004,715515,136,30
136,#PV0UQ2P8,童年,8000018,714304,137,30
137,#2QQQPY20Y,oj fans club,8000049,712827,138,30
138,#Y8JCGLYQ,Malaysia^,8000057,709088,139,30
139,#28QQUC0R2,The Third Party,8000029,708335,140,29
140,#Y0LVP02,CN猪头帮,8000023,703143,141,30
141,#2J08G200R,功夫阿方,8000016,700662,142,30
142,#YLUPJVP0,中国520,8000037,697810,143,30
143,#LQ2PLY2L,ALL STARS,8000034,696354,144,30
144,#2R028UJPR,Топ 1 Клуб,8000007,695896,145,30
145,#9QRLYY88,夏姬八社,8000009,695257,146,30
146,#2RR0RR0P9,NiNo,8000006,690492,147,30
147,#28PUQYULY,VENI VIDI VICI3,8000033,689699,148,28
148,#2JLVUUGU2,中国人不骗中国人,8000009,688342,149,30
149,#2YPCCRCL8,寂静岭,8000005,687057,150,27
150,#VQ8RUJ9V,☢️ˢᵈEsᴘᴏʀᴛs☢️,8000039,685971,151,4
151,#2JGVP2PC2,GT/Sentesis,8000034,684819,152,30
152,#PCGGVPG8,legedary group,8000029,684455,153,21
153,#8VQG9QC9,TapTap斗殴者公会,8000057,682194,154,30
154,#8YV8PUYQ,牛奶騎士,8000051,674138,155,30
155,#2C2G9U2UU,坤坤战队,8000047,672241,156,30
156,#9YLUVV28,🇨🇳Chian🇨🇳,8000037,671005,157,29
157,#2Q2QJ00J8,爱van♂友谊战,8000018,670340,158,30
158,#2JUCVLRLC,da best in west,8000038,669194,159,30
159,#2RG0PY88C,Byron's Club,8000003,664168,160,30
160,#2JUR09QCY,死神的传说,8000057,662690,161,30
161,#VJ8CL90R,进胃军团（外服分团）,8000018,659825,162,25
162,#2QG20QVU2,Jožikovia,8000057,659378,163,30
163,#2PVYP9LQ9,衛星監督廳,8000037,659308,164,30
164,#2CP9GJP8R,此生无悔入华夏·中国红最闪耀！,8000006,655328,165,30
165,#2GU8GLGYC,椰羊,8000047,654937,166,21
166,#PQJUUR,kuaizero_com,8000050,654818,167,30
167,#2JJ280Q92,SIGMA ˢᵃ |鬼,8000023,654812,168,30
168,#29CPG9PJV,Polska|WIN,8000023,652985,169,29
169,#RRRGPY9V,乐高集团2.0,8000055,652584,170,30
170,#Q08Y8YPP,雷神的理想国,8000047,651520,171,28
171,#GCVYQC82,الفريق الذهبي,8000027,651154,172,28
172,#2QJLGG2VR,冰火的荒野小屋,8000057,649992,173,30
173,#P98VP8Q9,<c月是故乡明🌙,8000023,644909,174,28
174,#2JUVVU98,Laggy Kings,8000003,644537,175,30
175,#2JRGCGVQ0,璃月,8000046,640519,176,30
176,#99JJ2QYU,来自新世界,8000023,640427,177,29
177,#2C0UP2P02,БОЙЦОВСКИЙ КЛУБ,8000004,639645,178,30
178,#2RUVYG2YC,魔仙堡,8000029,639325,179,30
179,#20822VG8V,❦大毛❦和❧大宝❧的家,8000043,638504,180,21
180,#28JLGLYUR,康游动漫轩,8000029,637813,181,30
181,#V0VCC0C2,小雪最牛惹,8000010,635322,182,30
182,#9GV9JLPV,3代目botブラザーズ,8000054,634389,183,30
183,#8U908R8C,下饭菜庄,8000037,632281,184,30
184,#222GJ2JYC,卡卡利科村,8000039,629592,185,30
185,#RLRRGY20,난?,8000029,628989,186,30
186,#9R98QYVJ,XCC EMPIRE,8000000,628209,187,30
187,#PJ0QR0C0,来自深渊,8000023,627712,188,30
188,#P8CJ00LR,DibyaBambi,8000057,626886,189,30
189,#2PGJQP8G9,🐻🍯🐹,8000018,624540,190,30
190,#298PQCYQP,幻想ゾ星辰大海,8000056,624381,191,30
191,#G0PULC0R,不太好吧…………,8000025,623773,192,29
192,#2Y22LJQC,GG Squad,8000007,622383,193,30
193,#GG2L8PY2,Rivor Plate,8000053,620549,194,28
194,#28PCPY0C9,地獄,8000057,619619,195,30
195,#2Q9PVVV9Y,HelptoPuch😀,8000037,619393,196,10
196,#PPU22UCJ,🇨🇳赤红风暴,8000006,618476,197,30
197,#2VRY8UV,魁首,8000035,618041,198,27
198,#YUVYV8,华人之光电子竞技俱乐部,8000009,617569,199,30
199,#2YVPUU92L,荒野实验室Cougars,8000018,613621,200,30
