,tag,name,badgeId,trophies,rank,memberCount
0,#RRY9JPR8,Pasta🍝-AR-MY,8000025,1349488,1,30
1,#2JV09222V,TRIBE_Legends,8000023,872962,2,30
2,#2G202RRLC,Red Bull Cacos,8000007,833671,3,30
3,#2C98U0LU8,Stinky indiana,8000058,811594,4,27
4,#U9800PC,da nice club,8000009,786867,5,28
5,#CPCUGGY9,Dreamers,8000005,769152,6,27
6,#RLLRYQY8,Killer of loses,8000016,650992,7,30
7,#2JUUVUV8R,clan SR,8000006,640802,8,30
8,#QCQUCV88,Fraidou Premium,8000053,627654,9,30
9,#2YYQGUJLC,💖°U°w°U°💖,8000029,584800,10,30
10,#2G2YPVJ90,Ekipa Bananków,8000017,573052,11,30
11,#2YR828LG0,GIZEMLI PRENSYT,8000023,548451,12,2
12,#2C2RC8VL2,Team Patatin,8000009,541765,13,28
13,#2LGRPC8GR,<c9>LA</c> LIGA,8000021,496679,14,30
14,#2LP8YY929,Totallʸ|ʳᵃⁿᵈᵒᵐ,8000025,482485,15,30
15,#PV8C2PJL,謝哥哥的最強戰隊,8000057,457030,16,30
16,#29JYPR29V,BIAŁE MIŚKI,8000045,449942,17,30
17,#QYR2CRCP,MİNECRAFT,8000033,446718,18,30
18,#2CPJJQCUL,היותר מגניבים,8000033,445646,19,28
19,#22V2LUPLP,Геймеры,8000027,431470,20,5
20,#JP9QQGQ,No Matias,8000011,424633,21,28
21,#QPQVQ9LY,Physics Pain,8000036,416335,22,30
22,#2GQJ2GQL9,Шуршайка,8000043,411293,23,28
23,#U8L299VC,TorresDelPacifi,8000019,400877,24,19
24,#2P9U8GCGR,the#kin,8000023,394404,25,1
25,#2CRVR9CVU,Die Senfnöger,8000032,390012,26,30
26,#20JQJLGLU,A Few Good Man,8000057,381616,27,17
27,#2QVVYVP9U,The Thunder’s,8000000,373389,28,30
28,#2Y2RLY9,lecitops,8000022,350989,29,30
29,#2RR8L0LJ8,топ игроки в бс,8000035,346710,30,29
30,#2QPLQY8UU,ClassicGt,8000048,343099,31,27
31,#2CYGYULVQ,69 pose,8000040,340428,32,19
32,#20RGQP0J,DAKN_LAB,8000004,331768,33,29
33,#VCV0RCR0,Птитучка,8000029,326207,34,23
34,#LPUQJCRJ,TEAM|LEYENDA ☆,8000029,318887,35,23
35,#Q9YCU8J2,BestGradesKKG,8000029,315677,36,30
36,#222G0GGQL,Team Oliwka,8000010,313515,37,29
37,#2R8G0VPCQ,tomar753 #1,8000059,313168,38,28
38,#2R828C2LQ,berg son,8000045,310241,39,14
39,#QURL9P0R,GROSCHIBRE GANG,8000024,309778,40,19
40,#L999PL28,Brawl™️🏆,8000049,297143,41,20
41,#R9UQQCQR,Ecuador,8000025,296257,42,30
42,#JUQVRJ0Y,しゃしゃりの小陽,8000008,296070,43,14
43,#CVYUCG8C,Топ,8000029,287782,44,29
44,#2GPL08RQJ,소르,8000014,278648,45,24
45,#VVP2JVCY,Новая Школа,8000057,278280,46,30
46,#2QP2UC29V,Bad Mans,8000039,272881,47,13
47,#28U0LVRQ8,JOSHI gang,8000029,267006,48,26
48,#Y8JGJ00,ardes,8000013,264441,49,26
49,#2JCQQP8YG,shards.,8000052,261603,50,16
50,#2J08JG8LR,los primitos,8000059,258521,51,16
51,#29Y20RCJQ,StaryOnTheTop 3,8000018,258459,52,11
52,#RQ28U08P,Морфий,8000037,255300,53,14
53,#GLP0Y989,GOTHBOICLIQUE,8000004,254272,54,30
54,#992RGQ9U,Dzbany Roku,8000035,249205,55,24
55,#2L2L20RJL,Esfinterdemilan,8000005,242242,56,15
56,#2QYV0UYGG,BEBRIKI|UA,8000056,239730,57,16
57,#28VQCPJG9,эм,8000043,239214,58,23
58,#2C8RQYP0C,gałgany bojowe,8000013,233229,59,29
59,#22GP08RP,ЦСКА2011,8000017,230570,60,30
60,#2C8YRR9YQ,Чпок в пупок,8000035,229697,61,14
61,#VQGP0PRQ,®GG|Рассвет,8000041,228968,62,23
62,#PUQCPVQ0,L'assaut d'Omi,8000022,228044,63,27
63,#G9UJVJ8J,Doble Pump,8000047,220035,64,13
64,#PPGCLQUY,TOP BRAWLERS,8000007,217539,65,23
65,#CR0GJ0C0,NUNGE PRO,8000019,211654,66,30
66,#2JV9UQGP,Square Clan,8000018,211522,67,18
67,#2Q9R0YU8R,нужны тимейты💔,8000011,209278,68,8
68,#229JP8VLV,WHO IS UGLY ?,8000029,208561,69,29
69,#2JC82U8YQ,Wild Story,8000023,207566,70,12
70,#JRJ8URG8,ТАНЯ что вы не,8000006,203211,71,30
71,#2RCVLVJ9,ПРЕЗИКИ,8000028,200302,72,26
72,#PQP9YV88,ARMY Y BTS💜,8000016,200131,73,30
73,#LY8JPGQ9,CNPARIS,8000007,198415,74,19
74,#2RRC80VJY,21. savage gang,8000017,196507,75,13
75,#2299VY9GY,Greaf Team,8000029,196212,76,20
76,#P8LR9YVP,Team caca_xd,8000035,193748,77,23
77,#RURYGYVG,팝콘,8000021,193328,78,24
78,#QQYL2VL,ALLWEEDMANIGGI,8000013,190108,79,17
79,#YJRP09C9,агуски,8000029,189194,80,15
80,#LLQJC8LP,Gangsterking,8000023,188402,81,7
81,#2YV0LQQGV,5a er best,8000036,187398,82,11
82,#YCUP0CU0,⚡Over The Sun⚡,8000056,186818,83,27
83,#2RLRUG0CV,🇮🇳 INDIANS,8000023,185299,84,30
84,#PJUVPVQG,А. Д. Л. И.,8000009,183241,85,16
85,#QQJ8V80Y,라며,8000004,182806,86,30
86,#JUP2YUU9,moo times 2,8000003,179850,87,24
87,#RPR892C2,준우스타즈,8000037,175720,88,27
88,#28CLVQYLV,🇹🇷TURKEY🇹🇷,8000022,174701,89,28
89,#QRQJQ80G,Los pankekes,8000029,173340,90,15
90,#P8YJQQ9V,おうちでマジたらこ,8000042,171283,91,12
91,#YV8GQ9UJ,COOLE FREUNDE,8000057,169816,92,30
92,#RLJ9PG2U,roblox top,8000018,169332,93,7
93,#2R0CJVUVR,215,8000004,168053,94,30
94,#29LV9GL8P,1.116,8000021,167106,95,30
95,#29GUPCCQJ,КОТИКИ1337,8000009,167072,96,17
96,#2GL2CVRUV,ВАНИЛЬ2,8000013,167007,97,18
97,#V9LUYJRU,Teufels Phoenix,8000006,166756,98,30
98,#2CPCRVPP,winning,8000010,166117,99,23
99,#9892JJRY,קינגים,8000019,166094,100,30
100,#RJQYP9Q9,gui fc,8000015,164402,101,27
101,#2PVUGJ28,os palhaços,8000029,164298,102,28
102,#2PG08L9Y9,~♤КЛАН~УЧИХ♤~,8000037,163273,103,29
103,#GQYRQVC,pinoy invaderz,8000019,163234,104,30
104,#2J9QULLGC,UV,8000040,160532,105,11
105,#2R82YGJQQ,양구 지하 클럽,8000052,160465,106,10
106,#2GRP8CU0J,les gamer,8000037,160079,107,11
107,#22GGP822L,ספיק,8000000,157808,108,30
108,#2YPY8YYCY,『Mami』Ve『Bedo』,8000044,157430,109,14
109,#29G0CRPL0,просто клуб,8000023,157361,110,25
110,#QQGV9UJV,Argentina Pro,8000000,155179,111,27
111,#2Y820P2RC,долгопят,8000047,154437,112,9
112,#2GQLU2PGG,broad team,8000013,152634,113,9
