,tag,name,badgeId,trophies,rank,memberCount
0,#PLP8RVGR,Los Vaqueros,8000022,1486138,1,30
1,#22UL8QR9J,GUATEMALA,8000004,1247702,2,16
2,#V0UQL0L9,SRBI🙂🙃😃,8000055,841226,3,21
3,#2Y229G2R,Brawl_gamer_pro,8000004,759174,4,3
4,#YJ9Q99JL,barátok❤️❤️❤️,8000025,682333,5,30
5,#QG8JPJUU,☁️ТвОрОжОк☁️,8000037,661686,6,29
6,#2CLP8VR98,мои отчимы,8000046,654165,7,30
7,#J89V928J,だんで,8000023,641585,8,3
8,#QC2VP8V0,JÓ BARÁTOK,8000019,566137,9,30
9,#29LRQGJLJ,LSP TEAM&,8000029,495485,10,30
10,#J0PLJ298,ктулху,8000029,472181,11,25
11,#2GJ88C9QU,LOS PANAS,8000037,456701,12,28
12,#2GY2G2CY0,Team łysy,8000004,453743,13,23
13,#2Q2VJPRR9,бУдЕшЬ чАй?♡,8000016,451301,14,29
14,#202C2CRYP,FIDANZATI,8000025,428440,15,30
15,#2PV9YJ880,karma|_house,8000055,425639,16,24
16,#2LQULYPVY,김그기,8000023,411109,17,30
17,#2YV020P8Y,시비단,8000016,402920,18,30
18,#2C8YLG99V,Bratku…,8000029,362302,19,29
19,#2G9PJRPCR,вернибауловка,8000001,361002,20,20
20,#9892V8RJ,Lamy,8000029,341429,21,30
21,#2JL0PVQJ0,miss city,8000025,340846,22,27
22,#LGPGPLCJ,ПЕЛЬМЕНИ,8000046,340291,23,25
23,#28P2UYLPC,lenda,8000055,328920,24,30
24,#2CJR90QJV,NAŁĘCZOWIAŃCZYK,8000034,313298,25,30
25,#8P8GUV9Q,INTERMINENTES,8000017,299559,26,30
26,#2CJPQ8QYY,Navi,8000035,288683,27,30
27,#82JYCCQ8,PERÚ (:,8000023,286037,28,30
28,#28LY008CG,братья мамаевы,8000059,273990,29,17
29,#2CRR2U,os jatos cho,8000004,269517,30,23
30,#208UY0200,GT MAX only,8000057,255905,31,25
31,#2YU8GVQJC,the.SAXTO,8000031,254275,32,23
32,#8J8U9Y0V,גברי עולם,8000004,245374,33,24
33,#28CQRY29C,CROATIA GANG,8000050,224167,34,30
