,tag,name,badgeId,trophies,rank,memberCount
0,#9RC00GRQ,⚠TOP™⚠,8000003,1991023,1,30
1,#22Q2C2RJJ,Team Leonidas,8000011,1096862,2,30
2,#2GLR28LJ9,荒野死鱼,8000047,1065416,3,30
3,#9QVYYRUP,BLOOD DIAMOND,8000003,992105,4,30
4,#2R8VLVY2V,Serge Auurier,8000023,834703,5,26
5,#28JU08L22,cadours 🥵🥵,8000035,811617,6,30
6,#2RJQ20GUJ,пустыня спайков,8000013,771536,7,28
7,#22GV88L00,MIGLIORI AMICI,8000029,654851,8,30
8,#2LQ82VJGP,cherche amour💝,8000023,653897,9,30
9,#800CP9PY,💕LES BEST💕,8000010,622799,10,30
10,#LR90GYC,Tenacious D,8000012,616371,11,30
11,#89YU2UY8,I BRAWL BRO,8000021,555070,12,30
12,#CCYPRL8P,💪YENİLMEZLER💪,8000000,540499,13,2
13,#29LY80YVV,Xx Dark Team xX,8000037,517329,14,30
14,#2QVYUV8YQ,+243 gang🔥🔥🔥,8000053,512924,15,30
15,#2J8VQJ0R8,DoDo Millioners,8000037,502500,16,24
16,#2C09Y222U,Гоатманы,8000004,477542,17,30
17,#JY2VUQ8P,Makunza Stars,8000057,473288,18,24
18,#2QJY8JVQY,BABUINOSSALVAJE,8000017,465763,19,30
19,#289PVGG8Q,Khellos,8000047,453341,20,30
20,#2JVGQR22C,Lolitos FC,8000049,428883,21,30
21,#2JJG0YCRL,Magyarok!,8000023,421946,22,30
22,#2CPP0CQVG,ЧВК РАБОЧАЯ,8000023,403173,23,30
23,#2C8Q2CJY8,UWU:),8000047,388658,24,29
24,#C9GL98V8,govdakov2010,8000011,375726,25,28
25,#2JQP88YLG,Kamoši Sk,8000031,355840,26,30
26,#22R28G9PR,QARABAĞ,8000029,341445,27,23
27,#JQVC88PJ,pašáci,8000029,327330,28,24
28,#200R0PRQP,АРМИЯ СОЛЯ,8000059,323329,29,28
29,#88PPCGV8,ScoPe-_-,8000029,317682,30,30
30,#2RU29C0RU,dicastillo/topp,8000033,314855,31,22
31,#2LQU9L8VY,unlocky pikaču,8000033,290171,32,29
32,#2G00PQPUP,Hondureños,8000055,273096,33,28
33,#V8C2288J,Die besten,8000017,272775,34,29
34,#2JYPU28Y8,美少女戦士ハルムーン,8000029,272701,35,18
35,#2QJ2JRV2J,ALTÉRAX 02,8000059,267990,36,27
36,#9QGQQPG,Cactus Bois,8000013,265891,37,30
37,#9V22JRLP,Les gazés,8000000,261767,38,27
38,#CCCLYCVU,抽象ganggang,8000027,255265,39,29
39,#200VVR2C9,2010 DEBA,8000029,254430,40,28
40,#90U9GPY,Malocs,8000045,251700,41,25
41,#20YLP2P,PIRATES V2,8000027,246207,42,29
42,#2C9L2PYVJ,Congo esport,8000057,245451,43,13
43,#QPV8RC8G,НадеюсьТоп,8000017,241446,44,24
44,#CUQRJPJL,SİNSİLER,8000009,241391,45,22
45,#R98G099J,243BRAWLERSQUAD,8000018,240917,46,30
46,#8QV0LL0P,Новый год567,8000025,240503,47,28
47,#2YUPV99VR,ADVENT,8000019,238898,48,30
48,#2CPGQCRY9,RengoLovers,8000049,237223,49,30
49,#208VPJGV,nmkoli,8000005,236086,50,24
50,#2LVPC88CG,I MACACHI,8000055,233554,51,28
51,#LU2Q9PJ9,TEAM_ST4R,8000023,231288,52,5
52,#Q88LQY0Y,chizel,8000021,225021,53,30
53,#JRR20222,Najlepsi XD LOL,8000007,224355,54,20
54,#LUL2Q9GQ,SHADOW GARDEN,8000040,222324,55,27
55,#2CRJP98JJ,Ssanina Squad,8000036,220420,56,30
56,#YGRLYJ0R,Jelonki,8000029,218672,57,26
57,#UGJJP20R,vass kró,8000015,218597,58,19
58,#G9CULQY8,לחיל,8000029,217132,59,19
59,#LLJY2CQQ,наруто,8000033,207119,60,20
60,#290JVCP0J,⚔️⚔️Rebeldes⚔️⚔,8000013,203984,61,10
61,#CRLQGQRP,가자!!!!!!!!!!!!,8000029,199951,62,30
62,#UPVUY0LP,Danes,8000029,194858,63,30
63,#VQG9JVR8,🇹🇷TEAM,8000055,193571,64,20
64,#9CLRCR9Q,02468,8000018,190649,65,30
65,#YRUU09VL,amigo kawan,8000029,190455,66,30
66,#YJCPC0V,dieRentner,8000013,190227,67,27
67,#2QR802QG0,ADAMATÖRLER,8000013,189598,68,29
68,#229PQGG0L,Мы не геи,8000004,187078,69,14
69,#8U2JQVC9,MATAMESO,8000019,186331,70,30
70,#2JPL8QQPG,Güruh,8000036,185913,71,30
71,#LRLJL822,HERO BRAWL,8000007,183842,72,28
72,#P0VCJQQ8,humboldt 5A,8000027,183672,73,28
73,#2LUQVLL8V,뽀삐,8000009,183387,74,26
74,#2QRGGPY2U,g. d. p.,8000036,183022,75,11
75,#2G8JLUGCQ,муфри,8000043,179688,76,22
76,#2PYGPGU8,kdhen,8000016,176648,77,26
77,#VUC92LQ2,ОБУХОВО,8000029,176278,78,17
78,#2CRLJ829J,"동호,하랑 제군들",8000039,175786,79,29
79,#2CPLGRYGL,AWM Gaming,8000035,175666,80,30
80,#C29UPQU0,par hasard,8000013,175590,81,21
