,tag,name,badgeId,trophies,rank,memberCount
0,#VQUGYYL,KHEAZZ BRO,8000009,1450671,1,26
1,#8VGY8RQ,RefuseToLose,8000003,1348696,2,27
2,#29U90YU8P,k31N TEAM,8000000,1320956,3,15
3,#2GY8VQV9V,乱世佳人-创世,8000004,1094428,4,29
4,#UR8RJG8G,Lay'dBackNation,8000002,820447,5,30
5,#JRJPU09G,la team fr🇫🇷,8000029,731196,6,22
6,#2G2R090VU,dream squad,8000040,718523,7,30
7,#2999RPJ82,COPY AND PASTE,8000034,698170,8,30
8,#PV8C00Q0,girassóis 🌻🌻,8000029,685841,9,6
9,#29CYQC8JJ,. СвяТой_ТапоК,8000025,647883,10,29
10,#2C8JJVJCV,De Geitjes,8000035,599434,11,26
11,#JU8UJVLJ,FcZand,8000008,542195,12,27
12,#2YRVGC99Y,Снюсоеды,8000005,420022,13,29
13,#8LCPJGQG,НубЫ_Ф_КеФдаХ,8000025,397355,14,23
14,#2C2VLJRGP,KING'S LANDING,8000023,368185,15,30
15,#208RUVC9,los zumbaos,8000012,368157,16,29
16,#2G9UU22J9,кибер геии,8000029,364913,17,30
17,#22JVY92QJ,NoFriends,8000029,357993,18,29
18,#YQ82UYJG,Даниил Лэнд,8000048,345645,19,28
19,#UG2L28R9,PERALES STARS,8000011,338650,20,20
20,#UJLPRG,US,8000004,322754,21,20
21,#2QVPVY2JR,⚡PUROS KINDERS⚡,8000029,320070,22,30
22,#29CRPLRRP,본동초,8000037,319698,23,27
23,#LRG0G0Q,Vortex Mx 2,8000021,317323,24,30
24,#2RVQQ99PL,アマゾンボトル,8000025,313214,25,14
25,#QP88JGQY,🍍ANANAS🍍,8000041,309346,26,17
26,#9QYLVU,Folletis,8000029,306212,27,25
27,#2Q9YL0YP8,RE$PECT,8000023,292114,28,17
28,#JGV282QJ,hardox,8000057,288540,29,22
29,#2PC8PVR0L,Elite/Nery,8000047,281922,30,23
30,#U0JVRY8C,Ярасть бравлера,8000000,272391,31,6
31,#2JUQ9G9CV,Abat les gnous,8000005,257563,32,13
32,#99C9YJVP,peneconcresta69,8000005,256370,33,30
33,#G0Q8V99,Android ES,8000013,256208,34,29
34,#2CJQP9PQU,Lubimy BS #2,8000029,241100,35,29
35,#2JU2Y2JGL,argenby•sigma❤️,8000034,240563,36,16
36,#29R2GUJU9,уипаны🍥🍥🍥🍥,8000037,231377,37,16
37,#QG0RGG99,I LOVE YOU,8000034,229736,38,21
38,#2LQYY2289,кирил+ника+дима,8000038,228463,39,16
39,#2GRR2VQ88,1030,8000000,226845,40,24
40,#29282C9YG,| VP |,8000007,223021,41,12
41,#2G2ULLPJ0,ARRKAVANO(MLK),8000055,219719,42,30
42,#22PCLL8V8,SZVPS club,8000021,216355,43,18
43,#LJJCYVC9,les macaques,8000034,216333,44,27
44,#VJGLYLG,TSM N|GG3R,8000013,216248,45,23
45,#LQ9PGPC8,Крутые пацаны,8000023,213248,46,18
46,#2JJQU90GR,POPPY MANGO 🥭,8000021,212903,47,9
47,#2C0R8CQPL,Kandağ,8000058,212903,48,18
48,#9JULV229,ПутьСлавы,8000012,211467,49,24
49,#U9L8CLLU,Good Teammates,8000013,211179,50,30
50,#2Q8CUQL02,🖤『ne』💙,8000009,211076,51,9
51,#208LCLJUQ,SHQIPET🇦🇱,8000023,210507,52,8
52,#CUPG8YYV,МЫ ЛУЧШИИ,8000038,201147,53,29
53,#8VGV2VLJ,Из Сотницына,8000029,201084,54,18
54,#2G999RU9,iGodz,8000006,201074,55,12
55,#2Q08QGYVJ,Meg1k,8000036,199948,56,28
56,#2GY8JJ09G,KK | Rage Team,8000059,199120,57,19
57,#22C80PCV9,Ravda,8000029,196356,58,29
58,#920G9C,GLAK,8000013,191831,59,26
59,#290RRUJY,ximuelo,8000017,190072,60,30
60,#2CR8PGYUR,CongoDomination,8000009,187010,61,12
61,#2Y0LCP89G,HAYALET🇹🇷,8000047,186020,62,18
62,#28J89P88V,beste frede,8000020,183735,63,30
63,#2R0890GGR,Only GOATS🐐,8000033,183617,64,25
64,#2Q0YGL2C,XDVIMO,8000007,181553,65,14
65,#22C80PJGU,Okee,8000008,181430,66,24
66,#20P0YGQC8,team moulaga,8000000,180172,67,29
67,#Y9YLLURC,파자마공식클랜,8000018,180102,68,28
68,#JQQ8RVCG,regions CLub🍩,8000028,179865,69,25
69,#28CG9C09V,FTL|E-SPORT 2,8000043,178976,70,13
70,#2GRCC2CYL,Brawl SUS=),8000013,176496,71,12
71,#2LPCCJUYC,zasaden,8000029,176370,72,30
72,#QC9908R9,🚦 신호등,8000058,174679,73,14
73,#2PQL98GPU,los magníficos,8000014,173657,74,27
74,#2GQYGY9RY,PUBG,8000004,172261,75,23
75,#2QPGJP2Y2,amici per tutti,8000047,171190,76,28
76,#2288UR2L0,<c2>GODS</c>,8000023,168778,77,9
77,#LY2CVV00,чят2,8000037,166680,78,30
78,#2YJRG0C9U,BKR|,8000035,166624,79,30
79,#2P8828YGY,no me se nombre,8000004,164379,80,13
80,#CPJ9YV20,le club des ass,8000009,161736,81,22
81,#9VJLUC8Q,club offi matt,8000019,159055,82,3
82,#2G2UL0QRU,А.Ф.Г.М.,8000023,158922,83,27
83,#VPGUULJQ,I fratelli chik,8000019,158775,84,21
84,#2RV80GCLR,Roi celeste,8000037,157835,85,30
85,#28L22QGG0,super leony,8000025,156825,86,18
86,#2QG9R090U,golden fnf,8000035,156018,87,30
87,#2PQQ9L0U9,Клуб Бойз,8000059,155957,88,17
88,#8ULG08VJ,Reinach,8000029,155772,89,25
89,#20LVJQ2V0,schule stettlen,8000003,153912,90,23
90,#280C088GU,россия❤,8000059,153724,91,30
91,#2RLG98PLY,sultanchik,8000045,153059,92,16
92,#VQU0LV0U,Артём и Анита😎,8000047,152555,93,22
93,#Q2U0JYVL,SEMERKAS_KINGS,8000021,150310,94,28
94,#2JQJLRL29,RiccavdoSguotti,8000001,149628,95,11
95,#U2U2QLCP,МЫ КАЗАХИ,8000029,149015,96,29
96,#289CP9JJR,МЕДВЕДКОВО,8000029,147764,97,30
97,#P29YV99Y,peniß,8000004,146793,98,27
98,#29J9PVJ9Q,✨TEAM STAR✨,8000018,145670,99,30
99,#2YVYGJ2QV,Друзья😇😘,8000006,145493,100,27
100,#UJ00LU0L,DIRC,8000022,145369,101,26
101,#20GUVQPCQ,האחים קבוק,8000017,144750,102,28
102,#LY8VYRV0,Ujados(noe),8000009,140947,103,30
103,#VG00UCGV,אלופים,8000029,140126,104,9
104,#8LJVYUP9,Иза Тащит,8000029,140005,105,30
105,#20VQLQP8U,DOGO TEAM,8000024,139978,106,28
106,#29PQ0GVUR,22433,8000003,139070,107,20
107,#2LJYC0PLV,про кел,8000004,138848,108,29
108,#QV8P8280,амо 228,8000013,138693,109,18
109,#2J20VRUYG,4iFLiFe,8000021,137429,110,9
110,#2YYRGLGGG,KaRaBaGh team,8000023,134693,111,28
111,#22GPGY8LV,isla banano,8000006,134157,112,29
112,#29RPL8JL0,ali8152,8000004,134024,113,30
113,#28JR2GY2P,бравлстарсеры,8000042,133786,114,15
114,#Q0CVRCY2,wearrenYTB2.0,8000010,133766,115,22
115,#289J9LR9R,KPOP,8000053,133719,116,25
116,#CC20LQP2,ІЗА 333,8000007,132427,117,27
117,#2GPVRQCU0,sigma 's,8000041,131935,118,9
118,#YL8JYLGU,The Копачи,8000022,131722,119,25
119,#2G29G0J0Y,СССР на диз,8000049,130991,120,13
120,#80R0RPUU,собрание котов!,8000035,128484,121,29
121,#V9QQRL9R,ко ко уу,8000029,127101,122,18
122,#2J828PL0U,банда,8000016,125738,123,26
123,#2PY298LV,crispisala,8000018,125737,124,21
124,#YQLQG0L0,Macho Chickens,8000011,124890,125,13
125,#22RY9LRRG,АУФ😈,8000006,124469,126,30
126,#J0QR2UQJ,Venoom,8000029,124041,127,30
127,#LPQY8G2U,Х/З,8000009,122364,128,27
128,#8QVRRGVR,legennat,8000001,121862,129,29
129,#CVCC0JLQ,саша демид макс,8000049,121415,130,19
130,#2QJ9PCLUP,✓Yoon™✓,8000000,120302,131,7
131,#JRC8Q8R2,جمل,8000029,120221,132,30
132,#228GJ0PQ8,🌵Pablo🌵,8000029,119413,133,13
133,#2JPC8JLR9,щол,8000037,118116,134,29
134,#2PJQCY088,мутант,8000004,116408,135,11
135,#2988YULVV,lima,8000025,115731,136,30
136,#29UC80UJJ,ыыыы клуб рофла,8000023,115216,137,16
137,#2YU9LQ0R2,redadinho_242,8000021,114680,138,18
138,#JJC2RUPL,Эд и Катя КРАШИ,8000029,114572,139,28
139,#2QPUJ88QU,LatinoAmerica😆,8000029,114494,140,29
140,#28PV0JYCV,99+,8000059,113979,141,27
141,#VL0JLP2R,H.O.A,8000029,112713,142,19
142,#2PU9RJQY2,загагулина,8000023,112280,143,28
143,#2L2Q8YY88,ЗАБИВНЫЕ ЧЕЛЫ,8000034,112090,144,29
144,#8V2VRJ0Q,Отважные войны,8000048,111847,145,10
145,#LQLRCVU8,гелек😎,8000007,110525,146,30
146,#89CVLPGY,sucekeket,8000028,110190,147,17
147,#2JU2CGQV,Los Roboch,8000023,110124,148,27
148,#YRUPPUJ0,трудовыерезервы,8000034,110005,149,8
149,#LPLPJQ0P,Спортивные,8000037,109811,150,20
150,#28Y8R9LUC,yumurta zaa,8000029,109499,151,26
151,#JVPJQC9C,БРАТЬЯ,8000029,109334,152,26
152,#2RVV9LU9U,абубандиты/:)!),8000059,109274,153,27
153,#2CJ0C0LVG,040,8000049,108785,154,22
154,#GGY200CU,los orneros,8000009,106992,155,27
155,#29VP909YG,Лега Шмель,8000035,106635,156,24
156,#228RQYRYY,Пончики 🍩,8000028,106481,157,30
157,#2GPJCPURY,DF KILL,8000037,106244,158,9
158,#2L8GURYR8,Maksmm,8000032,105241,159,30
159,#Y0CR29Q9,пуш),8000039,104341,160,20
160,#QC82L0U2,Macacos,8000013,104094,161,9
