,tag,name,badgeId,trophies,rank,memberCount
0,#2QQ90UUYJ,Lychee&Friends,8000023,2601493,1,30
1,#2PGJYV0JU,En<c4>X</c>Štar,8000002,828344,2,30
2,#VQYPPJU2,КАКТУСЫ ВПЕРËД,8000009,788438,3,30
3,#298LUVL8G,Wachines,8000010,664226,4,30
4,#2GYPPY2UL,Alash Orda,8000056,654525,5,30
5,#2900C8GYU,[Los Hermosos],8000037,589493,6,30
6,#2CR88092V,Tłusty Krab,8000037,569986,7,30
7,#29RP9L0L0,Buzzard,8000059,554919,8,30
8,#2CPC2P2,Curacao Stars⭐️,8000007,552440,9,27
9,#G8LV8QVY,the best,8000023,544040,10,30
10,#QPCJYL90,VRAHOUNI,8000035,522580,11,30
11,#UY0QPPLV,ANKARA_eSPORTS,8000027,505496,12,30
12,#29U8U89Y9,Bs|Cold Family,8000031,481435,13,30
13,#29JQQ0Q8R,Gt|Bratva,8000007,468477,14,30
14,#CC28QGUY,<c2>TÜRKİYE</c>,8000029,423171,15,25
15,#2UVG9QJ,Legion of Italy,8000023,417257,16,27
16,#9P8R9LG8,Nyashe Brawlers,8000024,410052,17,22
17,#299VRUYQU,Les reufs 👀✨,8000018,398440,18,29
18,#2QC0Q2L02,mądre człowieki,8000009,375265,19,26
19,#YGCLVRYU,wefuukhard,8000013,350139,20,26
20,#9GCPYY9J,BRAWL MASTERS,8000029,343610,21,25
21,#QJ2GRVYQ,play,8000056,334784,22,30
22,#2J0LC8L0C,Любим Лизать,8000043,332042,23,29
23,#YVY0LQP9,КУЛЬТУРНЫЕ ЛЮДИ,8000059,325598,24,17
24,#RLY02LQP,<c4>GOLDİES</c>,8000028,316403,25,4
25,#VGPUJJGY,<c3>L</c>ice,8000059,312380,26,29
26,#9GUYGV0U,nononononononoi,8000029,309395,27,30
27,#29J9VVLUC,Pixstar,8000033,309319,28,30
28,#29GVLC9C,autistic club,8000005,305493,29,28
29,#G88J8L92,초코버니,8000037,302257,30,30
30,#2LVCUC0R9,İSTİKLAL TAYFA,8000056,296355,31,23
31,#2LY08YJLV,Egor Hause,8000057,290940,32,21
32,#2C80QR98,BALKAN|Light🌌,8000021,286144,33,1
33,#2QYYYJVGG,Red Devil,8000034,281548,34,30
34,#2JYCVPYC9,Os fogo no rb,8000037,272107,35,30
35,#2JJVQLVG9,🇺🇦слава укр,8000047,268135,36,27
36,#UUVY2GR0,Gucci Gang,8000008,258057,37,27
37,#Y8G9PR8R,peaky blinders,8000006,253222,38,18
38,#LYUVUUUC,DOMANİÇ,8000023,249991,39,27
39,#CUQC9RU2,Skittles,8000025,234452,40,29
40,#282UCJRJY,變色龍俱樂部,8000045,233015,41,13
41,#22008YCQU,🌵Пабло🌵,8000027,232151,42,22
