,tag,name,badgeId,trophies,rank,memberCount
0,#22YV0G2QQ,Stars Of Sun,8000006,1906810,1,30
1,#P0RJVYLP,COOL CYPRIOTS,8000029,1299694,2,30
2,#VPQC2JL8,m1np,8000023,1298451,3,30
3,#2GP80LLLV,Singularity™️ 2,8000003,1288544,4,30
4,#Q8U0G9GP,Lost Ronins⚡,8000003,1206728,5,17
5,#20RVQ20Y,Singularity™️,8000003,1195716,6,30
6,#2C29VPY8P,Revenge 😈,8000041,1151561,7,30
7,#2RQQ802VR,CPK's Overworld,8000052,1127403,8,30
8,#29PQUCPV2,Commonality✨️2,8000053,1069459,9,29
9,#8PPRUQ0Y,🥇κον35 🥇,8000041,1023000,10,25
10,#2GLCJCYRR,Halloumi-inu,8000055,953462,11,30
11,#2C2LRJG8U,TBG&B,8000000,930225,12,30
12,#2QVLY8JCG,The Rejects,8000034,923888,13,30
13,#2JUGPJC8R,Cyprus Sleyers,8000057,923634,14,29
14,#8VUJ2Y2V,cyprus Legion,8000029,914050,15,30
15,#2C08JP8VY,✨Commonality 3✨,8000053,913077,16,30
16,#2CQ28LGL9,♡⃝ ʜᴇʟʟᴏ ◡̈ ☽⋆,8000059,894133,17,30
17,#JCPUQCU,WBC,8000049,868086,18,30
18,#C002CRV2,WarriorsCy,8000059,833883,19,27
19,#22PQ9GQ8G,banda bog 000,8000000,816823,20,30
20,#2C2YYR02C,KKTC e-sports,8000006,814528,21,30
21,#P9CLYCU,El Pyramidos,8000002,810452,22,30
22,#CVJLYPR8,KZ Club,8000059,791381,23,28
23,#VJ8RPLYP,ice gang ❄️,8000052,788608,24,30
24,#2LCL9YG8G,nik army💣⚡️,8000037,742195,25,30
25,#2C0GQQ00G,Uniqeness2023,8000053,722951,26,30
26,#2QJCP2UV,pieceOfships,8000028,714874,27,30
27,#2C9Y000QL,B.T.D,8000037,701664,28,28
28,#2JCVY88C2,Cyprus Warrios,8000021,692100,29,29
29,#2RV99VJU,TOP Cyprus,8000029,688654,30,30
30,#VL20UQ9Q,CYPRUS,8000032,677043,31,30
31,#QC89P2Y0,G.O.A.T.S,8000007,675995,32,30
32,#29G9LPGJ9,The Boys 👻,8000057,660655,33,30
33,#29GRQ0P8G,Pro gamers,8000057,646997,34,29
34,#20C0PJLY,Noob fc,8000019,640288,35,30
