,tag,name,badgeId,trophies,rank,memberCount
0,#2YPYR0C8V,Mighty Bosses,8000008,1776044,1,30
1,#VUYUCPQR,Amigos♥,8000035,1668076,2,29
2,#2CPC0Q22G,Andromeda,8000033,1620271,3,30
3,#29JR29V0L,Rangers,8000023,1608000,4,30
4,#R2PV0YY,Czech Legion,8000002,1564977,5,29
5,#29J9PC0YR,Mystic Force,8000025,1541645,6,30
6,#9CULJL2J,Mighty Bosses 2,8000008,1531584,7,29
7,#28J9JLV2Y,Energy™,8000011,1517020,8,30
8,#2YU9UQRPL,CZECH GUILD,8000001,1515840,9,30
9,#2RGP82G28,DrEaM TeAm,8000059,1509247,10,28
10,#QV9CUJV0,RageGaming,8000004,1439863,11,30
11,#2G9C9LRY9,A Few Good Boys,8000055,1431789,12,29
12,#28UYV8PQP,Prometheus,8000017,1404839,13,29
13,#29YR08LQY,Magic Luckers,8000023,1363989,14,30
14,#C8UJ8C2V,CzechKillerCrew,8000004,1346209,15,30
15,#22YG22YU0,InfiniteOdyssey,8000033,1328705,16,30
16,#28YVCLGL9,United Legends,8000057,1309341,17,30
17,#2Y2QCP82P,Brawleři,8000023,1290051,18,29
18,#YQ2828RC,ToTheTop,8000017,1283454,19,30
19,#29ULR9VU8,CZECH KOFOLA,8000029,1282805,20,30
20,#LUGUP92U,morenda,8000037,1270850,21,28
21,#2CJQR0PY0,<c5>Cyprix</c>,8000052,1269752,22,30
22,#2LQRPQ02J,PARTA DEMENTŮ,8000055,1261449,23,30
23,#CCRGRJPC,Pekárna CZ,8000037,1259715,24,30
24,#2RVJVRVY8,MIDESPORTS,8000012,1241100,25,30
25,#2JPVCRGLP,Rybicky,8000039,1238906,26,29
26,#2YQ8CR22R,MISTŘI SVĚTA 😊,8000029,1237280,27,30
27,#2J8P2RQ8P,Good Players,8000027,1236231,28,30
28,#2JPGJLP02,Kukni Socials,8000003,1212976,29,28
29,#URYP299R,Fénixové,8000033,1195222,30,30
30,#CVQVQU2J,ThewThy,8000057,1194526,31,30
31,#28CCR8J08,Bobosáci,8000029,1184849,32,29
32,#28LULGUVU,BRAWL STARS PRO,8000031,1184322,33,30
33,#2GPLYPL0L,mejnyho klubík,8000035,1179149,34,28
34,#2G9JCJCPJ,Chlebáci Cz/Sk,8000016,1178814,35,29
35,#2C8J2RURJ,Czech League,8000029,1177623,36,30
36,#29VPQPC0G,Czech💞🇨🇿,8000018,1174712,37,30
37,#2G8GLLCQU,vláčky,8000034,1170567,38,30
38,#22J082U0L,BEST of CZ,8000004,1165530,39,30
39,#2QL0GQRCG,STRATEGY,8000052,1162713,40,29
40,#2GCV008LP,ELITE CZ/SK,8000033,1156004,41,30
41,#2QPCP9GQ2,Komety 🇨🇿,8000029,1146861,42,27
42,#29UV9C9VU,Legenda 🇨🇿™,8000005,1146368,43,30
43,#U90922CV,KIBOT,8000027,1144994,44,30
44,#92YVRVUJ,Namaste,8000059,1144258,45,30
45,#2QCPLPV2C,🤗GG combo YT🤗,8000037,1142955,46,30
46,#20Y20LUGQ,🌭KLOBÁSKY🌭,8000037,1140156,47,30
47,#28J0J9J2Y,Amigos CZ,8000048,1136599,48,30
48,#98LUVJG,volej 1224,8000006,1135044,49,30
49,#2GPJG890G,VIP boy,8000037,1132472,50,30
50,#29GVR8U08,CZ|Brawl Crew❤️,8000015,1127726,51,30
51,#2C0G2CC89,Brosáci CZ/SK,8000006,1126451,52,30
52,#VLJQJ9L,CZECH,8000000,1125501,53,30
53,#8VUCCQYJ,Black Leons,8000029,1113420,54,29
54,#2YPYPP9VU,GAMExCOM,8000018,1108512,55,29
55,#29YG2U0JJ,Czech Hypers,8000055,1106709,56,30
56,#2CC80RYVP,TheChamps,8000021,1100939,57,29
57,#2C8P028Y0,CzechTrade 🐸❤️,8000043,1100754,58,29
58,#2JLYG0VUR,END😣,8000023,1096360,59,30
59,#2JVGJL20U,Czech Bros❤️‍🔥,8000055,1096191,60,30
60,#LUJR2R2Q,Draci Brno,8000027,1094997,61,30
61,#2G9YVQYPR,<c6>Toasti</c>,8000025,1091468,62,27
62,#2CGYQ8RLV,evil™,8000022,1091432,63,30
63,#L82GLUV8,Czech,8000057,1090682,64,30
64,#QRUYP0U8,comeback,8000027,1080123,65,29
65,#28RJ0LPCV,<c4>For Fun</c>,8000055,1079738,66,29
66,#2R2QPRPLG,🐸Rybníček🐸,8000043,1073073,67,30
67,#29800CLJC,Pulsar™,8000010,1071498,68,30
68,#8G2Y2RPV,Pekárna CZ 2,8000033,1070469,69,30
69,#2CP8CGJUR,CzechLegion,8000058,1068311,70,30
70,#2YU0JJPCU,Shadow team,8000049,1064757,71,30
71,#28VYG8YU0,Kiss of Death💋,8000004,1062866,72,30
72,#29QGQ8CRJ,plesnivé šišky,8000023,1062835,73,30
73,#2GRUV2GCP,borci z borcova,8000005,1061471,74,30
74,#82Q88YPV,Nova Czech 2,8000010,1059830,75,30
75,#2922YC2G9,|AMP|g#ng,8000058,1056464,76,30
76,#2YLJ0P0QR,EQUALISTS,8000025,1056248,77,30
77,#22C80QLGY,CZ Clubleague,8000057,1054839,78,30
78,#8YQ0QPCQ,Zlatý pele,8000017,1052936,79,30
79,#2Q0UQRYYC,road to global,8000029,1051615,80,30
80,#2CL92PC0U,<c7>3XTR€M$</c>,8000021,1043192,81,30
81,#2GYG22R2Q,🔪BS|KILLER🔫,8000007,1034892,82,30
82,#2JUL20J0U,NORDICA,8000010,1033697,83,29
83,#20YUPLGCV,Gold Phoenix,8000048,1028824,84,30
84,#UC9QP2J,Band Magician,8000001,1026864,85,30
85,#GQRR9CPR,Peppa pan Kubíč,8000023,1026310,86,30
86,#22V9PPQ8G,Český Boj,8000012,1023567,87,30
87,#2C829PLGG,🪼🪼🪼🪼🦜🪼🪼,8000031,1023012,88,30
88,#2JVYRJL0U,Black⚫️Friday,8000025,1022707,89,30
89,#8CJRPRY8,cz borci,8000023,1021666,90,30
90,#2CLLU8VCG,PG|BrawlCZ,8000014,1020051,91,30
91,#2C8VCCCCP,CZ/SK ENERGY,8000049,1015881,92,30
92,#29R8R0R2V,xCzechUnityI,8000046,1012907,93,30
93,#922LYC2J,420spotters,8000045,1012786,94,30
94,#2GPGV0LCJ,Cz/Sk 🐐,8000037,1012247,95,30
95,#2C2R8U82J,Džungle🥦,8000045,1011582,96,30
96,#2RU8P2J8R,SUS,8000059,1010901,97,30
97,#2GLJ98JGR,McBlueCZ Oáza,8000031,1008605,98,30
98,#2YQCJQRC0,Rangers. cz,8000046,1004417,99,30
99,#2J2VCJVJ0,GreekLegends,8000023,999934,100,30
100,#2CG80QCYV,Dropři,8000041,997765,101,30
101,#2JU8R0PU0,Elite Stars,8000017,997050,102,30
102,#2P8Y9QUV8,Ukrutný Krůty,8000059,997021,103,30
103,#2CYJ9GL00,GORGII 🦍,8000023,991864,104,30
104,#2G0YG22CV,YXCLOWERS,8000059,986073,105,30
105,#20LQYVQQV,Extra Hráči,8000032,983117,106,30
106,#QG0V0QQJ,CHLEBA 1,8000051,980555,107,30
107,#29RGRRYGP,Kokosky,8000016,979825,108,29
108,#28UYRY9PP,Good_players,8000017,978935,109,30
109,#2JPJRGCRR,hafo,8000036,978547,110,30
110,#2C8CUCCYQ,SPICY🔥KLUBÍK,8000049,975685,111,28
111,#VCL89RQQ,🇨🇿Cesi,8000030,973304,112,30
112,#2CQCJG209,Goat players,8000057,972675,113,30
113,#20L992LQ2,eSport CZ/SK,8000041,972332,114,30
114,#U2YVQL00,MELOUNI,8000057,972149,115,30
115,#2LU8VPRUY,[ÉMONCI],8000009,971341,116,30
116,#2CQ8G2PVJ,Český hráči,8000055,969003,117,30
117,#29JVP0VRP,Big Pig Club,8000008,968508,118,30
118,#2CJ8YUVLV,Komunisti,8000034,967862,119,30
119,#2Y0PRQVGC,ASSASINOS🥷🏻,8000055,966298,120,30
120,#2C89CJQ8G,Pushujeme cz/sk,8000055,959572,121,30
121,#QQPJPY0Q,Club good⚔️⚔️,8000001,958325,122,30
122,#29CRCQ2GC,ŠAŠCI|CZ,8000025,955766,123,29
123,#QGJY9JVQ,Cactus Masters,8000013,953108,124,30
124,#LPCP9YPQ,KANGY,8000013,952952,125,30
