,tag,name,badgeId,trophies,rank,memberCount
0,#2Y2JG2YGY,Exalted Danes,8000018,1457079,1,30
1,#2C90CRPRC,Exalted Heroes,8000018,1389630,2,27
2,#9029P02,Holger Danske 1,8000023,1303799,3,30
3,#2GV2VQR92,Red Dragons,8000037,1243257,4,30
4,#LLUGC828,Danish Assassin,8000002,1233949,5,30
5,#YV9YUQQC,thumbs 🆙,8000008,1231992,6,30
6,#JLYPUG90,rygerkluben,8000013,1219235,7,30
7,#2YUQVGUUY,Qc |Hydro☔️,8000025,1215170,8,1
8,#280RLRRQU,bacon-banden,8000032,1181697,9,30
9,#2G9RURCVQ,Exalted Academy,8000018,1146201,10,30
10,#29QJ8V0JV,Monkey Mind🍻,8000049,1135387,11,28
11,#2RC2JGYUP,Flåden🐬,8000059,1117277,12,30
12,#280R9GYLC,Nasty brawlers,8000024,1080106,13,30
13,#VCUVLRPP,SKÆRSILDEN,8000037,1079529,14,29
14,#2RQYR0LP,Club Lauli,8000004,1076115,15,29
15,#2R92G90P9,[TH] TRYHARD,8000014,1055172,16,30
16,#2YR02UGGV,Blank Stars,8000052,1025764,17,30
17,#2C2UPCGGU,🌨️|IceAge|🌨️,8000027,1022190,18,29
18,#20GL8G280,Party Brawlers,8000029,999327,19,27
19,#2RGY0RQYV,Denmark,8000037,998826,20,30
20,#22RQYVQ9G,Friends,8000037,987266,21,28
21,#828C8289,The camps Dk,8000023,976127,22,30
22,#YLY9LLCG,Fader Ols klub,8000059,958867,23,30
23,#2G8VQUJGL,Brawl Society,8000048,958041,24,28
24,#22Q08QL2L,Dlp|Summer☀️,8000049,946171,25,30
25,#9P8CQJQG,TookaSquad,8000023,932287,26,30
26,#28YJVY0UY,Centerschock,8000020,924905,27,30
27,#292URJ0,Danish Brawlers,8000057,921882,28,30
28,#2RPU0YPLU,BCC Alliance,8000029,915735,29,30
29,#2QJPV8RQQ,PassTheDoobie,8000023,910619,30,28
30,#R2PPGV2,THE CHOSEN ONES,8000016,909408,31,30
31,#JC0GG00,Adam Squad,8000037,905381,32,30
