,tag,name,badgeId,trophies,rank,memberCount
0,#29CGP29R9,⚡️NeXus⚡️,8000025,1541105,1,3
1,#C09RJVP8,Cactos BR,8000000,1280806,2,3
2,#20YQV8YJU,הלב שלי 🖤,8000007,804548,3,12
3,#2GQVUR88V,Stranger,8000021,722524,4,26
4,#29R2Q000Q,Les sans vie,8000057,712035,5,30
5,#PLG8UCJ,one side,8000029,636299,6,30
6,#2QPL920L,Exelsior,8000021,610349,7,29
7,#QGQ22URQ,армия найсиков,8000059,557169,8,30
8,#2GLLCGQGJ,_frozen_monster,8000000,543574,9,3
9,#UL2Q9R8C,축구 팀,8000010,535365,10,29
10,#2CGUQLP9U,brandi’s love,8000022,527368,11,27
11,#2VJRPU,FWC,8000004,526127,12,30
12,#29RQ2J28,I like boyz,8000002,518835,13,30
13,#PR9Q2JQJ,мы сила,8000033,501326,14,30
14,#2C08VPLGU,YERAZ AZE,8000023,407390,15,24
15,#2GRPRQC,egab,8000012,400657,16,27
16,#22JUQY0,SweatiBoiz,8000004,398899,17,29
17,#2LLCCGUPU,Каучуки,8000041,396400,18,18
18,#YJ2Q8G8J,Bookbags,8000013,385718,19,30
19,#8L8RLR0Y,fe,8000019,367835,20,30
20,#2JU9920R9,notti bopp,8000022,332860,21,25
21,#YCV2VCCU,BIENVENUE,8000057,328087,22,30
22,#29RQ82G9G,kobra_team,8000049,327513,23,22
23,#2CPGQ0V8R,🔥PRIME🔥,8000029,322926,24,18
24,#28P9PRJ2,Kaboom,8000009,284259,25,28
25,#QP98VUL0,💀Djib-Brawl 2,8000051,275918,26,19
26,#2PPP80VG0,0чк0,8000048,272498,27,16
27,#VQLJCUY,Malavita,8000029,267179,28,29
28,#UGVYJV9G,FRENCH MASTER,8000003,262037,29,29
29,#9Q9P9UCC,22школа,8000008,250194,30,15
30,#CQ80R0JU,ACN|009™,8000027,248463,31,26
31,#2JR2VPU00,diyarbakır,8000013,247600,32,30
32,#2J9LC82,Automa Ticks,8000039,244450,33,27
33,#2Q2GUVVP0,Yarik120 (:,8000031,234536,34,26
34,#2C2GGVYJV,Big capybara,8000056,234068,35,30
35,#29JG8CJLC,mRstrogYasaw,8000035,233974,36,28
36,#2C990CRG,嗯愛不愛,8000029,233226,37,26
37,#2JJYY8Q0L,🦹лидеры🦹,8000023,230502,38,16
38,#20CQLGV80,5А,8000035,226496,39,30
39,#2J2RYUR0U,Les kings,8000007,225547,40,30
40,#2CC00QPUL,ptroooooooooon,8000047,224322,41,29
41,#9J998J8Q,dikbil,8000013,219015,42,30
42,#2C2PVQR0L,BIG BALL$ BLVD,8000055,215839,43,19
43,#Q0QG99RQ,KJ Gamer Man!,8000004,215278,44,30
44,#2QCQ8J0LR,паштет😋,8000028,213136,45,14
45,#2C0QPCP98,SummerTeam|ES,8000013,208852,46,27
46,#2CGJRQYLL,🇱🇻LATVIJA🇱🇻,8000022,205363,47,30
47,#L8UPCV0,Frontoners,8000025,205054,48,24
48,#20VQGC8V2,⚡C¥NTA⚡,8000019,204699,49,15
49,#28Y9Y2G22,Broken KZ,8000036,204430,50,30
50,#JLJGJ2L9,VIP зона,8000007,200253,51,11
51,#2QVR2L2Y2,les kebab,8000034,199735,52,24
52,#29GPRR2P2,FLAMER,8000027,199218,53,17
53,#L09VPL98,рэдб,8000029,198693,54,30
54,#2QYJQGJUJ,Сииии,8000041,198286,55,27
55,#2GRGYVCUJ,тупо про,8000033,195243,56,11
56,#2Y02V8YJV,dragons123,8000023,194405,57,30
57,#2L2PL09JV,челибобики,8000059,193212,58,30
58,#2PVYLQCJ0,나석,8000029,191319,59,30
59,#29CYLGVLP,Trebor,8000055,187747,60,23
60,#CLPC208Q,Sadece Davetle,8000029,187623,61,5
61,#88Y2R9YR,Lumpis,8000020,187487,62,28
62,#2GGYC08QJ,MÉGA VICTORY,8000059,184089,63,27
63,#29G92L80V,Solevoys Gang,8000055,183211,64,14
64,#2QL2YJ9Q0,obsw 9dr,8000057,180063,65,15
65,#202Q88QVR,DeFukoz,8000006,178137,66,30
66,#UVP0PPYV,mayk pus,8000029,177300,67,29
67,#P0QR0LVY,Brawl team's,8000013,175867,68,29
68,#28R20G08R,HenchMafia,8000029,174563,69,29
69,#2JL2UG08G,puahkay 2,8000037,173711,70,30
70,#2L8Q898C9,BAKS|-чел,8000057,172579,71,10
71,#2LGYGY80C,THE LONELY WOLF,8000019,170662,72,8
72,#22P0J8GQP,TT|titan,8000043,170225,73,30
73,#V2VUQ08U,les cools,8000005,169943,74,15
74,#2PQU9Q9Y9,The vegans,8000024,168671,75,30
75,#28JLJPGUY,золотая модель,8000049,168196,76,30
76,#2RLV9LJ0,KÜRDİSTAN,8000034,167369,77,28
77,#20R8CLQ,buff geylords,8000008,165008,78,19
78,#YVQ9L89Q,киски миски,8000059,160090,79,25
79,#28GLLUGUU,Tim Naruto,8000059,159425,80,30
80,#U8CQ98VC,신씨가족♡,8000031,159235,81,5
81,#29GRU8RCY,The Dad Seekers,8000039,158494,82,6
82,#2CJ0PP8LV,BEYLÖRKEYLÖR,8000006,157311,83,20
83,#2PRQJPLJY,Wariaci Igiego™,8000011,155223,84,18
84,#28RLVRU0G,Top 100,8000056,152108,85,11
85,#2Q9JLYQV0,Команда top,8000013,150756,86,12
86,#22J8GPJP,qp clan,8000029,149324,87,24
87,#28J0PR9J2,les 5,8000015,148656,88,14
88,#2RY8UPUV0,c la famille,8000058,148615,89,30
89,#8JUG9RGG,Rosa,8000013,148506,90,30
90,#GC0JL2JL,MEDIA 1G,8000018,145380,91,27
