,tag,name,badgeId,trophies,rank,memberCount
0,#U2LYR8PJ,💗KANKALAR💗,8000023,1013752,1,2
1,#GP0JGVV2,TORNADO,8000005,1013146,2,1
2,#2YGPCJP2J,massacreure,8000004,749624,3,30
3,#2CGYC00GR,bloody squad🥱,8000035,737293,4,29
4,#22G2RRL0C,X_ØFF,8000007,692600,5,26
5,#29CPCVG9P,么🌿|BS|Family🔥,8000019,668354,6,30
6,#PLVJ92CR,tek OFFICIAL TM,8000018,667690,7,30
7,#2RRV0LRUV,ONEBOBA 27,8000053,630545,8,30
8,#C0G00GG8,КЧАУУ,8000011,594818,9,30
9,#Y9URGJLJ,Бро 👆😈,8000006,550437,10,21
10,#J8VL9UGY,fidanzati,8000008,527800,11,29
11,#29GQY0CUU,🇵🇱Polska🇵🇱,8000037,523444,12,30
12,#2CC9QP9RU,Party,8000006,494732,13,30
13,#2JVYJ9RUU,Maquiyt,8000044,492409,14,21
14,#2GPP2U22U,SB_LEGACY,8000023,487089,15,30
15,#29CVP9R92,Masha teams,8000037,483741,16,30
16,#2G9C8L2GJ,CYBERSPORT TRIT,8000056,478881,17,21
17,#2Q9UR9RUG,VIP MUSE,8000029,464042,18,30
18,#29C8CQJUC,End,8000037,458910,19,25
19,#2GR80UPYJ,🥥COCONOUT🥥,8000009,458299,20,24
20,#29R99RJLC,עם ישראל חי 🇮,8000055,446535,21,30
21,#YYVL8JRQ,DOMINICAN,8000049,442303,22,30
22,#L9URYUGV,🇺🇦Україна🇺🇦,8000021,437528,23,29
23,#2CGRJG8VC,BABALAR,8000023,398554,24,29
24,#2CPPLQL08,STALÓWKA GOATS,8000045,386100,25,30
25,#Y222PRJY,전윤호 와 임준우,8000000,382673,26,30
26,#VQUJJ2VU,Leon,8000029,372781,27,17
27,#2C29V8U9R,lolman,8000049,369319,28,30
28,#2P8LVL08U,DRK,8000010,366266,29,24
29,#QQ8LLRRJ,ligas de clubs,8000007,355425,30,30
30,#UCPC2JVQ,Ярослав топ,8000023,354972,31,25
31,#2GPJR22PL,8Б,8000004,352734,32,30
32,#2YGCGCYUP,🇦🇿TÜRKLER🇦🇿,8000027,336775,33,23
33,#2L80JJQQ,Mexicanos,8000029,319336,34,15
34,#2GYV20JV0,GGEOY,8000029,311983,35,30
35,#2GJC0GJGV,YAMAHA GRIZZLY,8000036,302629,36,22
36,#2J99UUVYJ,O<c0>ne</c>,8000059,292974,37,25
37,#2YY928LJG,БСД,8000044,289637,38,29
38,#V9R2R2CG,los mejores,8000007,286893,39,22
39,#20YJPQL8Q,the dominicans,8000020,284131,40,30
40,#2CRGGCUUL,CHÁBRI (Jozo),8000056,283352,41,20
41,#29YPQPGQ2,DS corporation,8000005,281393,42,20
42,#C2JYLLLG,2A,8000007,263702,43,20
43,#2YQLVJUYJ,Der Nita,8000023,261391,44,30
44,#29JPUPJY0,топы пвп,8000027,261310,45,19
45,#R00UYJJP,брат сёма,8000059,260888,46,28
46,#VVRQ2LCQ,TEAM_RELÁMPAGO,8000003,253578,47,30
47,#2G98LJQCQ,ברול סטאר,8000012,251706,48,30
48,#2CJPRC8RR,0ZhidaTeli,8000059,251320,49,16
49,#UVP9QJQ9,INFERIO SQHAD,8000029,244946,50,24
50,#LP2GJCR,фигоеденороги,8000047,241562,51,24
51,#QL0URQRP,the primo,8000042,238836,52,30
52,#2G9QUVR8R,Тучки,8000047,238828,53,13
53,#2R0L0LV08,лютые побло,8000047,227804,54,13
54,#2CPYYPV09,România fantomă,8000035,226364,55,30
55,#2LYY9QP2U,MONTE GANG,8000053,224517,56,17
56,#288CVGGPV,neymar,8000019,218757,57,26
