,tag,name,badgeId,trophies,rank,memberCount
0,#2Q8UR08QU,ᴛᴇᴀᴍ ᴇʟɪᴛᴇ🥀,8000029,2276096,1,30
1,#GYR0J,Lions eSports™,8000021,1457714,2,30
2,#2C0GCU2GY,A Few Good Guys,8000037,1403068,3,29
3,#QR9R0VJ,Los Imperiales,8000025,1376245,4,29
4,#2GQ9UURLR,IMPERIALES 2,8000025,1319340,5,29
5,#29P0GVCYR,The bosses,8000037,1276801,6,30
6,#2C20VCVJR,ScarFace 3.0,8000041,1267492,7,30
7,#2GCQCGURR,愛<c5>TZ</c>,8000055,1266261,8,26
8,#2J8Y0PU28,El gallinero 🐓,8000018,1236801,9,30
9,#CVQ8QCJ2,Lions Academy™,8000003,1226659,10,30
10,#2GURLL0GY,LD|Force 1,8000055,1220521,11,29
11,#Q22RRYCL,BSA| SquadClub,8000049,1192828,12,30
12,#2GR0CYVJ0,TheStarsCluB,8000018,1174262,13,30
13,#YC0UJR09,TLV|CODE LGV YT,8000023,1167274,14,5
14,#2CGLPPYYV,BRAWL EC,8000016,1166733,15,30
15,#YVUGCPYL,Stranger Dins☆,8000043,1165787,16,30
16,#LU0VRQGG,MC|Granjeros🌦,8000029,1154980,17,30
17,#22VGVLG2,PROS OF STARS,8000018,1154308,18,30
18,#CY80C0CL,los eco pro,8000029,1150961,19,30
19,#U2CV089,●Los dinamitas●,8000027,1146616,20,30
20,#2QGGJGV98,Fénix War,8000041,1141858,21,30
21,#298PP9LRQ,Calvos7,8000004,1138467,22,30
22,#28J8RRJ8R,The Galaxy 🌙,8000052,1136839,23,30
23,#8828V2GG,CrystalMagik,8000041,1130045,24,27
24,#PCPQ29YR,Jugadores Virtu,8000018,1123282,25,30
25,#2QCVU9YUQ,LOS TILINES 👻,8000023,1122706,26,30
26,#2JR8RG0UC,CW|Brawl Pros,8000006,1113048,27,30
27,#2JJ0QQ2PV,DĀRK STĀRS💫,8000049,1107218,28,30
28,#2G8LPGJCL,LosMamiRicos,8000031,1096679,29,30
29,#2CPC8G2PV,Legión EC,8000038,1093508,30,30
30,#2JCCU8VR0,DG|MAFIA,8000033,1088471,31,30
31,#2R0CLUR08,GrandChampions™,8000023,1087598,32,30
32,#2L9L0UVGQ,Activos,8000019,1087452,33,30
33,#2RUR0QC9G,UNA LEYENDA XD,8000053,1083172,34,30
34,#298Y2Q9YV,/_\Delta/_\,8000037,1080177,35,30
35,#L8C8QLP8,grupodestructor,8000004,1079009,36,28
36,#2GCPQC0QU,los Estelares ⭐,8000041,1074676,37,29
37,#220VPGG22,D.S Alternet,8000057,1072753,38,30
38,#2GG099UGU,The Champions,8000031,1071310,39,29
39,#2C9992RLR,KAZUMA CLAN 🤓,8000004,1069352,40,30
40,#2QVPYLV9L,Los Brawlers,8000045,1068490,41,30
41,#2VYYYR9P,ECU OFICIAL,8000029,1068434,42,30
42,#2CQRPUQU2,BB | KING,8000023,1063776,43,29
43,#2LPLVQQJG,🇪🇨Ecuador,8000047,1062022,44,30
44,#PV0Y9VQR,LOS MATA YOSHIS,8000009,1060235,45,30
45,#2JC88VLG9,ECUZ3X,8000049,1050019,46,30
46,#20YJJCGQJ,Pou gang,8000035,1048600,47,30
47,#YV0L09U9,ProGamers,8000036,1047525,48,30
48,#Y0VUV9VJ,CTM CREW,8000037,1045186,49,28
49,#CUGRYPL8,THE WOLFS ツ,8000056,1038588,50,30
50,#2LUQLCL02,Mancos-BS,8000023,1032170,51,29
51,#2GGQ0UP9R,wachiturros,8000034,1024420,52,30
52,#L9C9V2C,ECUADOR (°^°)/,8000016,1018121,53,30
53,#2JVLVVPYR,CandyLand,8000025,1015737,54,29
54,#2PRJ922LG,los pibes 😎👌,8000019,1001531,55,30
55,#VU9LLYG0,THE GHOSTS,8000035,1001191,56,30
56,#2JCUPU9JG,🏆Club Global🏆,8000034,1000542,57,30
57,#9JL9QC8P,ECFUERZA,8000057,997614,58,30
58,#2LJJ2GJYU,Honey Bee,8000018,994932,59,30
59,#2QJPQYPQJ,Los activos 🤑,8000041,994649,60,30
60,#2QUJJPYQV,TEAM ECUADOR🇪,8000037,994461,61,30
61,#2CQ0JY80Q,Desert Thorn,8000013,994358,62,30
62,#28UYP2QQ2,Club Insano,8000047,990215,63,30
63,#2QL8GC9J,Ghosts Gaming,8000008,988447,64,30
64,#8820QJ0R,Chispas,8000048,980022,65,30
65,#2JUGQU298,The Tilines,8000039,976672,66,30
66,#2GG88YC80,Nice Stars JPD,8000018,974101,67,30
67,#2C2LQLG8R,losEcuatorianos,8000029,972296,68,30
68,#28LLJ82GP,Crucetas BS,8000038,963134,69,30
69,#URCCCVCV,Rufanito2.0,8000045,960243,70,30
70,#YCL29VR,nakamas pro☠️,8000037,959502,71,30
71,#2J8GU9L0L,BLACK|DRAGONS♤,8000004,955484,72,30
72,#2JJVYQ20P,los reales,8000049,948899,73,30
73,#2L8PUCYRC,Danielito,8000056,946798,74,30
74,#CL9RJGRQ,Crysis,8000057,943992,75,30
75,#QYJYCGPP,-Star Game-,8000023,940228,76,30
76,#2CGRRQ029,TEAM Z£NO,8000059,935871,77,30
77,#PUYJ8QYQ,Azarado ES,8000037,933319,78,30
78,#20L22P8PQ,top mundial,8000037,932994,79,30
79,#20LVP9CQ0,DARK WAR,8000023,929240,80,29
80,#2LRY09YQY,Fighters United,8000035,929183,81,30
81,#99P98L28,Ecuador :v,8000029,926748,82,30
82,#28CYV80UU,Spike 07,8000033,923993,83,30
83,#JLJCP8UC,merry go round,8000010,923226,84,30
84,#2GJVV8282,P-Primos,8000035,921833,85,30
85,#22PG2VG0G,The Legendarios,8000037,919976,86,25
86,#2JLLJJQ2U,Club Ecuador,8000007,914386,87,30
87,#8YLRL0CU,THE LEYENDS,8000029,914111,88,30
88,#2JCJPCQ08,⚡Jordy Bs⚡,8000041,914047,89,30
89,#29LQ8QPV,Ecuador,8000010,912939,90,30
90,#288JJ98RL,TLS/PRIMOS,8000055,909846,91,30
91,#2R8VRYQL,xd,8000039,906772,92,30
92,#20YP8GUY0,🇪🇨ECUADORGOOD,8000023,906535,93,30
93,#2QGYRP89J,star shadøw,8000006,906260,94,30
94,#2GQGQUU00,LionsAcademy™ 3,8000021,905629,95,30
95,#28J0VCR8,Infinite Brawl,8000057,902162,96,29
96,#2G09QQLLJ,Los Papus Finos,8000041,897257,97,30
97,#LRQU920U,ECUABOT👾,8000039,889211,98,30
98,#22U0GY989,💖Tender Stars⚡,8000049,886864,99,30
99,#2JRC0GU9U,Legends Legion,8000019,886687,100,28
100,#2JUV9J8V9,Ec |JoKeRs |593,8000004,885858,101,30
101,#2902RU0G2,TNKS,8000006,884283,102,30
102,#29288PPC,<c9>€¢Ü</c>Boss,8000004,883681,103,30
103,#20J0CJURY,crisantemos!,8000040,883495,104,30
104,#20QPJCJCC,PAIN ETERNAL,8000023,883248,105,30
105,#2R0GQ08JP,🌠DESTROYER🌠,8000006,883211,106,30
106,#2G0L2U088,NOVA⚡️KINGS,8000023,880326,107,30
107,#29YR9VY2U,Galácticos [EC],8000047,879328,108,30
108,#YVCYJP2Q,XD°|OLD^KINGS,8000052,878868,109,30
109,#2GRUQ892L,Prees Star,8000018,873764,110,30
110,#2RVCCLRVC,Encebollawl 🇪,8000036,869241,111,30
111,#2RGPJR8QP,BrawlStarz✨,8000052,868764,112,30
112,#Q8P8LLJP,Mistic Sport,8000059,865493,113,30
113,#2JR09UCRQ,BrawlLatino,8000029,864219,114,30
114,#2R0CY2J9C,Ecuador,8000029,860090,115,30
115,#8Q0CPQG0,DIOSES,8000006,858247,116,30
116,#PG8RLVGL,Soul Gaming,8000021,857734,117,28
117,#28L98GR8L,⚡PhøenixLegiøn⚡,8000057,855676,118,30
118,#PG9GRC2R,Meg's Club,8000046,853674,119,30
119,#8JURUJ9P,Ecuador,8000007,852232,120,30
120,#JQP929J,⚽️ Los Pillos⚽️,8000018,849226,121,30
121,#2P00CQPP,LosCangris,8000037,845708,122,30
122,#LVC9V82J,RandM,8000041,844284,123,30
123,#2RCPJ8P8L,😈LOS ALIEN😈,8000013,841949,124,30
124,#2LQC9RQCV,🇪🇨Ecuador🇪🇨,8000016,841433,125,30
125,#LVCCP9L9,EcuStars,8000006,838816,126,30
126,#92J9QPL,ECUADOR,8000008,836922,127,30
127,#2C22PRPJU,『 ¡Mango! 』,8000011,836653,128,30
128,#292LJGVVJ,Club  #292LJGVVJ,8000011,831676,129,30
129,#2C2CPCGLQ,GrafiteClub,8000037,829750,130,30
130,#2G2U2RURV,Universe Star,8000018,829602,131,30
131,#VR89V9VU,TRASH GANG 🦇,8000018,827963,132,30
132,#2YRU0VRRJ,BrawliosECU,8000029,825106,133,30
133,#2GGVP9U0R,ECU|Kings🤴,8000029,822669,134,30
134,#290PQ28YV,MENTHOLATUM,8000037,820991,135,30
135,#9GV9RQQ,YonicioDC,8000018,817970,136,30
136,#29YGVYJPG,ECU-BRAWL🇪🇨,8000029,810311,137,30
137,#28CVYL90L,Los amigos,8000007,810294,138,30
138,#Q2U80QLG,PanConQueso,8000013,808611,139,30
139,#2CGL88QLY,ElMundoTrivilin,8000013,804942,140,30
140,#2GJQ2UVVQ,ECUABRAWLERS,8000034,802970,141,30
141,#2Q8GLV2RR,Dioses Exiliado,8000049,802685,142,30
142,#28V9Y2LRY,ExpertLegends,8000023,801814,143,30
143,#29LQLG222,FuentealbillaFC,8000023,800359,144,30
144,#292G2VCGY,:Þ[DB|JP],8000053,800234,145,30
145,#VL8UCU,nova Ecuador◇,8000035,798725,146,30
146,#RLV8G0VC,ECU KinGs,8000002,798615,147,30
147,#U2RG8R8Q,24,8000055,798085,148,30
148,#VVVLCUGV,DEAT |GOHST,8000004,797767,149,30
149,#29U8GC2JJ,AcidRage,8000014,797032,150,30
150,#2QUJ89VJ8,ECUADOR WIN🇪🇨,8000029,795704,151,30
151,#2CLJ2JY9G,Los Insanos,8000047,794795,152,30
152,#PUCPGRJJ,Ecuador,8000011,791693,153,30
153,#2QURUJPU8,Kitty City ヾ(,8000010,791172,154,30
154,#U0LJUPG,IMPARABLES_EC,8000004,791055,155,30
155,#2PPUCG2YG,losgatoswerosXD,8000037,790519,156,30
156,#2RRR0RQJ2,ENPERADORES🤩🆗,8000034,789087,157,30
157,#22GP999LC,QLS | ECUADOR,8000015,788576,158,30
158,#Q099R2JP,LOS FACHEROS🤑,8000018,787198,159,30
159,#2JGCQP8J0,PaNaS,8000043,783391,160,30
160,#299U92989,FAMILIA,8000049,780655,161,30
161,#2L8UPR0YY,Anime and Games,8000018,778470,162,30
162,#2C9Q888RU,<c3>LACOSTE</c>,8000027,777587,163,30
163,#2RR0QGP2,ECUABRAWLERS,8000057,776121,164,30
164,#2JU2VUL2U,¡Los Campeones!,8000029,775992,165,30
165,#JPUV8Q0,Los 7 Pecados,8000018,774358,166,30
166,#2GQ8YYGR8,GILAND🇪🇨,8000057,774122,167,30
167,#2CC29Q0UL,Shark|Gaming,8000059,773154,168,30
168,#290P8C9VY,Sigmas🤨,8000036,772674,169,30
169,#299U0UCP9,Arbi teams :3,8000007,772211,170,29
170,#2J8LYPQVQ,el pro 👍,8000013,771978,171,30
171,#9JVY0YJU,PANAS XD,8000036,769184,172,30
172,#2GQYVCLJQ,[EC] Champions,8000004,766479,173,30
173,#29YJP0YRP,TU MADRE🐣,8000038,765544,174,30
174,#2C0Y88YVC,SN|Starry Night,8000037,761023,175,30
175,#2JQQGC9GP,Milkshake Boix,8000052,760271,176,30
176,#2JUP90JUQ,9D SQUAD,8000037,760066,177,30
177,#2QJPPLCRC,UnSotanoXD,8000049,759752,178,30
178,#28RQ0Q829,TITANES,8000018,758985,179,30
179,#2YQ0CVLR,Chispoping,8000035,757734,180,30
180,#22820C0Y,EcuCampeones,8000019,757278,181,30
181,#2R0J90PRG,POTAXIAS 😱,8000043,756168,182,30
182,#CVJ0QVRG,EL CLUB EC,8000041,756083,183,30
183,#LV9Y2JRJ,Los BAD Randoms,8000023,754701,184,30
184,#29QRCVY2Q,Ecuagaming,8000029,754337,185,30
185,#2VGJP22R,LOS FACHA😎,8000050,753767,186,30
186,#20PVYLYPJ,Ecuador,8000037,748450,187,30
187,#2CQ290L82,LOT/BLACK DRAGO,8000038,748352,188,30
188,#299GLVYPC,Ecuador,8000018,748191,189,30
189,#2920LYU8C,♤LOS MOMAZOS♧,8000029,747981,190,30
190,#2LCQRCQLP,Olympus 4k,8000029,747901,191,30
191,#2QUQCG9UG,Red_legion 🍎🤝,8000006,746037,192,30
192,#VCLJL09,SPYKE PRO,8000007,743537,193,30
193,#GJ0G9QR2,ecuador stars,8000018,740969,194,29
194,#2JVJ0LCPV,THEXxplayxX12,8000029,740771,195,30
195,#20LU9V80L,Los cracks :D,8000033,738952,196,30
196,#22VCC90C,club ecuador,8000002,737968,197,30
197,#2JU2L9GGU,Brawl Kings,8000055,737944,198,24
198,#2QV8UY09U,AMATERASU,8000049,737625,199,30
199,#28U9GUYGL,ECUADOR,8000049,737161,200,29
