,tag,name,badgeId,trophies,rank,memberCount
0,#CLV2U9V9,Legion,8000059,1531392,1,30
1,#2RJ9LGYQC,Renacimiento,8000025,1423584,2,30
2,#2J20JJY8R,Fail Game,8000039,1408187,3,30
3,#29V082PLC,Élite Brawlers⭐,8000052,1384535,4,30
4,#2RCPQLGQ9,Capsule Corp SV,8000018,1362268,5,30
5,#8GP98Y8U,[ÉLITE OFICIAL],8000033,1284627,6,30
6,#2J200JUQ0,Funados NA,8000018,1259652,7,30
7,#2J2R0RQ0V,los papus,8000055,1255409,8,30
8,#PY08RYR,ASSASSINCOC,8000037,1250594,9,30
9,#20QC0JPQQ,Team Mancos,8000000,1237512,10,30
10,#2PQL8GLRJ,亥| Elite SV²,8000057,1235502,11,30
11,#2JCPJ9V0P,Fast Meteor,8000049,1210095,12,30
12,#RQURGY8,Novatos,8000043,1200663,13,30
13,#2L9VG9U28,Demon Hunters,8000037,1182292,14,30
14,#22J0PCGVP,Sopita Maruchan,8000059,1180115,15,30
15,#29RQ92JC0,● SV OFICIAL ●,8000049,1178960,16,30
16,#28C2P08UL,× PINK VENOM ×,8000041,1169192,17,30
17,#20RQGPU89,Secta Demoníaka,8000023,1168458,18,29
18,#2GVP2L289,☢CADEJO INC,8000049,1161540,19,30
19,#YYYCG98G,EL SALVADOR 503,8000004,1152672,20,29
20,#Y0YLJGRJ,Blitzkrieg II,8000008,1148877,21,30
21,#2GC9YRQGU,Sivar BS,8000049,1139337,22,30
22,#2RY89CQ0V,COLISEO REAL,8000035,1131941,23,30
23,#2CRYRP20,El salvador,8000037,1131773,24,30
24,#290QJVVGV,OF GOLD,8000057,1121540,25,30
25,#2Y90UGRQY,th collecte bar,8000052,1120225,26,30
26,#V9GJP0L9,Secta demoníaca,8000023,1117312,27,30
27,#2R8PRQ8QY,UwULandia,8000047,1111312,28,30
28,#2GRV892LL,cristo rey,8000033,1107554,29,30
29,#G9G9L8YP,PUPUSAS 503 SV,8000023,1101773,30,29
30,#2Q0RCRVJ8,Hellfire Club°,8000037,1095012,31,30
