,tag,name,badgeId,trophies,rank,memberCount
0,#2PC2GPQCJ,CAPITÁN AMÉRICA,8000002,1114591,1,29
1,#2JUY0LRG9,E.G gamers,8000059,838366,2,30
2,#29YGCY8R2,☀Солнец&лунА🌑,8000031,735075,3,30
3,#9Q8GYR2V,team arbuziki,8000029,728285,4,8
4,#C9VVVJCP,KANKALARIM,8000021,701873,5,3
5,#2R892V9UC,Family Croor,8000029,624330,6,30
6,#8UQJ0GP2,маляфка,8000055,580803,7,24
7,#2PQV88JU9,☠️TOXIC GEMS💎,8000050,526579,8,29
8,#2GJVG0PJY,KNIGHTSHADOW,8000033,449099,9,12
9,#29RRLQCCR,VOVAelite,8000057,438489,10,29
10,#22YCP9JC0,manfamilli,8000025,398749,11,23
11,#29Q9C9LVV,⚔️RAGNARÖK⚔️,8000053,344250,12,19
12,#2QRUUQJLL,agabuga zg,8000003,317721,13,20
13,#29J8R2CC8,polska górom,8000007,310688,14,30
14,#VLULLY02,TIDERS,8000007,293304,15,6
15,#Y8VRVLP0,Legendarios,8000007,289499,16,29
16,#2GJUG9PY9,Т-993,8000017,286001,17,30
17,#29UY2PP9U,клуб мимов,8000016,273776,18,29
18,#209YYLYGC,Раша,8000058,267914,19,27
19,#20RJV0LCJ,M7CB,8000057,260106,20,30
20,#2RLVQ0U02,nation klub,8000035,256875,21,28
21,#2YP8PVRYR,UCHİHA TEAM,8000003,251943,22,29
22,#2JLL9PG2P,wij in spanje,8000017,251189,23,22
23,#CVPUG2RP,WOLF WHITE,8000017,243751,24,29
24,#2G8PJCQ8U,Los panas,8000029,243220,25,30
25,#20UV982PY,МЕГА ЖОПА,8000023,241484,26,24
26,#28CLPYVPU,Ko<c2>StiLe</c>,8000029,238365,27,14
27,#2C20LQUU0,koko123321,8000005,237374,28,29
28,#2JGQ2YP9Q,Vandaresa,8000039,230758,29,9
29,#2PJGYPVLG,THE LUIGHICHENS,8000005,230283,30,28
30,#JGCJCPP,BarbaKiuTheEggs,8000037,227447,31,27
31,#2J0VRUQ2Q,охонь,8000011,226188,32,27
32,#2YGQCJPGJ,ШЭДЭШЭРЫ,8000037,221281,33,23
33,#VCCCYY2G,КТО ХОЧЕТ ЛЕОНА,8000051,216635,34,28
34,#UQ2YRL02,akrabalar aile,8000008,215347,35,27
35,#JPQ8PR0Q,GQ,8000025,210373,36,29
36,#29YPQCYCG,23000,8000029,198987,37,30
37,#2RPVYVUYC,мы крытые пацик,8000057,198139,38,30
38,#J822LLU,BS Ices,8000013,197674,39,24
39,#22RPVV9L8,Glebas☆☆☆,8000029,197637,40,21
40,#29C20U90J,ALBANIA,8000007,195522,41,13
41,#20J08RJYY,قروب الدوانيه,8000000,191973,42,26
42,#VQC02PQY,ünlü taş,8000026,185847,43,28
43,#JJ2JJ8YQ,Калбатау,8000023,185791,44,28
44,#29LJ00G9C,4bixiz,8000034,181915,45,30
45,#8ULGY8P0,под приколом,8000034,179305,46,21
46,#92YG90YV,friend s,8000007,176631,47,28
47,#2PJQC0QR,ManBraCentral,8000017,175289,48,30
48,#29VRU2UV8,ЗОМБИ БАЗА,8000004,169931,49,25
49,#QY829RR2,Özdenizzz,8000016,169739,50,30
50,#RVVVLQGR,абеес,8000007,164391,51,28
51,#Q9QLJ02J,たすく愛好会,8000017,163846,52,25
52,#28URC0YU2,танкисты 228,8000049,162939,53,29
53,#2CRQUUUJU,SİGMA,8000029,162685,54,23
54,#2YLL2Q898,-PRiETENI-🧡🔥,8000033,158803,55,26
55,#2GGCY9R0G,Brawl Fighters,8000033,157462,56,30
56,#2288YQY92,los insano,8000017,149947,57,29
57,#208ULPPVU,Croor_Team,8000029,148492,58,12
58,#22RVR9U0U,ТОКТОГУЛ,8000018,148175,59,20
59,#20LP0L9QG,CNL ESPORT,8000023,148087,60,22
60,#222UQP0RQ,ПУДЖИ,8000009,147550,61,19
61,#2P9UJLLG,Frank Cheesers,8000003,147273,62,28
62,#28C082GLC,вампирики,8000039,146540,63,8
63,#2Q9VJUCVG,ElimiziSık,8000029,145197,64,13
64,#JGGG9RRL,хулиган 79,8000006,144497,65,29
65,#GQRQ2P92,THUNDERSTORM,8000019,144052,66,10
66,#2C8CLGG8C,KZ equipment,8000006,141997,67,12
67,#2YVQYJL0J,Liski 🦊,8000002,139695,68,28
68,#28LLU8YYV,Han<c4>ma</c>,8000000,139328,69,16
69,#2J9C88CCU,*Geri Dönüş*,8000047,138594,70,11
70,#2C992U0GG,Kankalar😻,8000029,137823,71,21
71,#LP9JRJVL,Cris y Abraham,8000056,137112,72,30
72,#22YJGC2L8,teehee boys,8000029,133427,73,30
73,#YYG20JCJ,rallo furiosos,8000007,131998,74,14
74,#RVCY0JV0,я кузяпетрович,8000004,130648,75,28
75,#2JJRJQCJ8,AZE☪️👑,8000055,130345,76,20
76,#R8UQQYY0,руслан + никита,8000001,127804,77,28
77,#2YVJLG2CQ,LEGENDS,8000028,126809,78,16
78,#2YGUVUPR8,X-Chill-X,8000011,126120,79,28
79,#2P2UCY9V9,привет друзья,8000056,124348,80,29
80,#282GLU9GY,fishy gAng,8000007,123449,81,20
81,#29JQ2J0V0,Arapça tayfa,8000021,121654,82,10
82,#V9V02QLU,😘😘i.u.b.i.t.i,8000025,121571,83,25
83,#20Q9JLPUU,<c4>wave</c>🌊,8000021,120133,84,26
84,#YGRYUL8R,Brawl Stars2458,8000018,119917,85,25
85,#2PP002U80,Neon Ninjas,8000056,119762,86,19
86,#CQGJG2U8,YOUTUBE@,8000048,117810,87,29
87,#29CJLGQJ2,StayTeams,8000015,116382,88,16
88,#2LYLLPYG0,team fortnite,8000029,115689,89,20
89,#LGLC9Y2L,los enemigos,8000004,115351,90,27
90,#UQR90JJY,ЛИДА,8000020,114839,91,29
91,#28LR80GQV,bizimekip,8000056,114117,92,13
92,#2RG9LJ8P,Penelope,8000029,112295,93,25
93,#C9JRRV2R,"⚡KİNG""S TƏAM⚡",8000029,111543,94,26
94,#28CVYRV8J,anelaki onle,8000022,111321,95,15
95,#JRVYYQ8Y,MAX.,8000029,110122,96,28
96,#2R2RUQ82J,зачем я это дел,8000034,110083,97,19
97,#GPLUV9Q0,브롤 brawl,8000000,109009,98,17
98,#R0YGUJLY,Brawl Cat,8000013,108094,99,1
99,#2JGJ90QV8,Кабанейро,8000006,106354,100,4
100,#2YY9LR8Y2,NOOB YBJ,8000022,106168,101,27
101,#2GR9099UG,UNDERGROUND🤍🕸,8000035,105907,102,5
102,#29QQUUG99,العظماء,8000053,105892,103,18
103,#UVJVJQUU,года12456,8000017,105392,104,30
104,#2QGLP8YVC,YTBRFURQAN,8000021,105369,105,24
105,#298RVY20C,ТГ @binbrawltop,8000038,100868,106,7
106,#P2LCQUCC,Саша добрый,8000045,100573,107,29
107,#2JQ2RV99P,Otchim negra,8000043,100322,108,9
108,#L02J82L0,$HACHIKO$,8000056,99253,109,25
109,#Y29QUL0J,БАНДА ТИКТОКЕРО,8000029,97603,110,26
110,#2LR09QYV8,il ha m zz,8000027,95782,111,16
111,#228Q0J9G2,bs gang,8000029,95305,112,16
112,#2JUVU0280,이정석한테 갈굼 당하는 자들,8000048,95132,113,3
113,#UYQQL9C9,ПОЖИЛАЯ НОРКА,8000003,95052,114,27
114,#2G2JQJQ29,TROLLMAN,8000044,94487,115,12
115,#292J2Q0GR,curryWorst,8000010,93694,116,7
116,#GCY2UG8C,эй холоп!!!! 😡,8000025,93197,117,30
117,#9U809GRL,шбш,8000005,93166,118,29
118,#29U0L9Y9G,GQ/1🇹🇷,8000059,91725,119,26
119,#2Y9C298QJ,legeon bebra,8000052,90376,120,8
120,#8UYPPRV2,оккк,8000044,90177,121,7
121,#VCG0YLC9,Сош 1 Ваганова,8000013,90160,122,12
122,#VV2Q8C82,man bra v2,8000029,89427,123,7
123,#2YJ0R8QU9,узумаки,8000037,89091,124,6
124,#2JY0CCQY,гей,8000004,89026,125,18
125,#22V0289GC,Agua panela,8000026,88603,126,26
126,#UUL8PQG2,MORENNO,8000035,88466,127,10
127,#VPVV9P8J,smnt,8000059,87850,128,28
128,#2YCQ2CGJJ,GQ|1 C👑A 🇹🇷,8000049,86418,129,28
129,#LC2UP8YC,челики,8000037,86350,130,7
130,#22RQVPVRR,🐳D͢͢͢ieͥ多rͣdͫe,8000021,86131,131,30
131,#2JJJC2VQQ,TEGPLANET22,8000037,86021,132,11
132,#VGUCV2PV,друзья777,8000057,85339,133,23
133,#UQC200JQ,folladores auto,8000028,85258,134,23
134,#2CP28UUUR,xui,8000057,84715,135,4
135,#PUY8UY8R,Aboba_Team💙,8000029,84367,136,5
136,#288QJU2G0,Neon Ninjas II,8000059,84338,137,28
137,#28U8LJ9GY,Level up,8000014,83807,138,10
138,#2GC90RJRC,Рудольф,8000028,82339,139,16
139,#2LV209200,Jordan Team,8000029,81942,140,6
140,#2YCPYY2CG,Leon army 2.0,8000057,81299,141,16
141,#28ULU9QRV,yldzzz🦁,8000018,80485,142,20
142,#9PG9V9L,Schoko clan,8000029,79461,143,30
143,#2YCYJP8LY,sadece akraba,8000007,78303,144,29
144,#CGLY2YQ8,лл2,8000016,78205,145,26
145,#22LQQC80,cinquettttt,8000022,78035,146,14
146,#22YJGPP2L,клуб гейлов,8000028,76814,147,14
147,#PJULQ0U0,كراشA,8000007,75958,148,29
148,#22LCQ9UU8,Grzyby 🍄,8000038,75749,149,26
149,#2L2JCG82Q,Elijus ir joris,8000029,74918,150,27
150,#20829C9YQ,붕쇄,8000029,74750,151,13
151,#282RURJ2L,роми,8000034,74721,152,23
152,#2YGQUGCR8,CEI MAI TARI💪,8000029,74302,153,27
153,#2JLRQVGV9,клуб дс,8000059,73710,154,6
154,#2PQQVGUQL,crema de guinea,8000001,72991,155,7
155,#2L0L0020L,LORDO,8000057,72858,156,9
156,#YVYQRR8L,тащири,8000013,72796,157,11
157,#2GUPJRGYG,SpikE-Sports,8000037,72792,158,4
158,#CPP98YCP,RiyadB2010,8000029,71218,159,22
159,#YG2YCUYL,я и мы 4 а клас,8000029,71111,160,7
160,#282Y8G9P2,Леон,8000007,70610,161,28
161,#CC2LJRGL,ıspanak,8000022,69401,162,30
162,#22J9VCGJ8,ggry,8000021,69135,163,24
163,#VPLJC8Y2,Sprite 🍀,8000023,68800,164,15
164,#289CV2CR,Backfisch Gang,8000029,68671,165,27
165,#QQU20VYQ,Иллка коза,8000019,68442,166,27
166,#VRUJ0P89,<c3>P15</c>,8000058,68266,167,10
167,#28UYYY9G0,Brawltastisch,8000029,68181,168,27
168,#2YQLPLLLV,Time ursinho,8000022,67900,169,8
169,#2J0JQVVJ2,абоба888,8000047,67870,170,7
170,#2QLYVURL8,polska górą,8000024,64853,171,9
171,#9VP2URPG,Top4ik YouTube,8000006,64833,172,6
172,#VVLGUJP9,familia King,8000011,64758,173,17
173,#2820UYC0U,банинчики,8000003,64287,174,10
174,#VL2PG08Y,дм бро,8000000,64051,175,6
175,#2CJ829QUV,中国人请进,8000035,62943,176,29
176,#20U9VC0V9,~CK TEAM~,8000023,62907,177,7
177,#29L9C9VCC,SOSİS VE SALAM,8000021,62881,178,9
178,#209299LRY,SERHAT X SERHAN,8000037,62735,179,26
179,#2YRVLQRJR,Do you have,8000011,62337,180,27
180,#P22UR9GQ,Buzz's Club,8000007,62218,181,7
181,#2P08LG08L,LOS ESTEPEÑOS,8000016,61873,182,11
182,#VC92P09R,알라몬YT,8000000,61488,183,16
183,#P89UPVL8,[ЧИТ]777,8000000,61382,184,6
184,#2QQLLR88P,ɪʟʏᴀ ᴢᴀɪᴋᴀ🌪️⛩️,8000001,60930,185,6
185,#28G9YRVCU,proacos.,8000017,60697,186,8
186,#R2QGUR82,los gamers 1236,8000025,60225,187,22
187,#20R0J0G2R,die Tomars,8000047,60140,188,9
188,#2GRURJRC9,Brawl_Stars/#/√,8000019,60063,189,18
189,#99QRLQGP,Kulüpleri kal,8000007,59378,190,28
190,#JCYJP98R,퉁이,8000047,59216,191,14
191,#UCCYRY0J,Claraberto,8000019,58990,192,13
192,#22Q99CLG,Daddys Darlings,8000025,58687,193,21
193,#2GP828PV9,Club ramdon🤙,8000047,58267,194,29
194,#C9GPCL22,Jannic,8000037,58156,195,19
195,#2QCGLC00,YALDIRIM GÜCÜ,8000015,57784,196,28
196,#2R2J0QQ8P,G.M,8000025,57718,197,3
197,#JPJ9U99U,Boy you krash!,8000004,57240,198,30
198,#UQ0JLJVY,бравлик 559,8000029,56864,199,6
199,#28QV9UYYL,тузик,8000035,56707,200,7
