,tag,name,badgeId,trophies,rank,memberCount
0,#JJQ8VJYC,Bad`eSportS✨,8000023,1644114,1,18
1,#2YV2CRYQ8,TEAM NATHYTB,8000037,866140,2,30
2,#9CUGJ88Q,MANTECADAS 🍞🍶,8000056,826766,3,30
3,#29CLQV8Y2,летающие пули,8000022,787079,4,30
4,#2LQ82VJGP,cherche amour💝,8000023,663982,5,30
5,#PPVJRGGC,❤AŞK❤,8000009,562516,6,7
6,#QLJ2V8LL,Brawl⚽️Stars,8000029,552897,7,12
7,#GL029LVV,RDZ KOMANDA,8000027,510940,8,28
8,#QQPV2QGL,FC schnakenheck,8000016,499432,9,30
9,#2JV2PYY9U,WILLIE NUBBZ DK,8000039,486864,10,27
10,#2R09JP2CR,токсики [17Ч8],8000025,483291,11,23
11,#2G2C0G2CG,🦇TT|Mortis🦇,8000057,479282,12,9
12,#RP8J9LQQ,злой огуречик,8000026,474213,13,26
13,#2CJ98G0RQ,TKM,8000037,422637,14,30
14,#29CCL09R9,Serdar & Şafak,8000036,418791,15,23
15,#JR0L8V0C,MM MACIEK,8000055,361723,16,30
16,#229CL2082,Papers=🗞🛐,8000055,355803,17,24
17,#R9208UYV,MR.PRISEDENT|TM,8000023,348349,18,30
18,#UQ0JCY2,KingOfTheFire,8000037,345046,19,22
19,#2C8VPCYCU,Ukraine sila,8000000,342882,20,30
20,#2JVLJYYGC,❤️,8000023,342767,21,19
21,#29R20R9U9,ШАЙЛУШАЙ,8000059,335117,22,28
22,#200YYJYL8,Cosmic Storm,8000027,331891,23,16
23,#RQULRPLJ,wu_9,8000013,330223,24,25
24,#2CRJ9R9JQ,VAFLYA,8000057,315205,25,30
25,#2YCGYCRUQ,сероя мышка,8000034,314424,26,29
26,#CP08C2VQ,Таджик,8000007,308420,27,29
27,#R2YPQ0CQ,yasmaş,8000005,306447,28,28
28,#RQUCCL2P,Tesfays,8000007,300916,29,30
29,#2JUC99CCY,pro,8000001,300275,30,28
30,#2Y9V0829G,トロ上げ隊,8000037,289093,31,29
31,#2CJ92P0GL,Legia warszawa,8000043,280263,32,17
32,#QUG0U28G,우리는 꼭 이긴다,8000029,278486,33,26
33,#2CJVLP0Q9,нт брат 😃,8000029,275761,34,29
34,#2C8GYVJV9,3명 모여라,8000048,275027,35,29
35,#29QCR90G2,CODEMAGIC RO,8000025,274291,36,4
36,#2Y290GJPJ,اشباح استارز👻,8000031,274248,37,16
37,#28808GPJQ,Лучший клуб,8000057,269061,38,25
38,#20VPV2URJ,Чёпа,8000013,266712,39,19
39,#2JPRYGCCC,ETXEKUKU ⚽🇧🇷,8000033,266671,40,25
40,#29J0UJ8JC,агафа Школа№15,8000057,262450,41,17
41,#CU2LQP9Y,Zaragoza 3,8000053,261118,42,30
42,#PVG99YJV,tomate le bg,8000023,251745,43,30
43,#LJ22Y028,Вкусно и точка,8000035,251353,44,28
44,#2Y0G2QRRG,las nitas,8000004,247108,45,24
45,#2JQ0RUQVY,sütaş kaşar,8000019,243445,46,29
46,#29YQUJP9C,Trupical🤤,8000039,236411,47,30
47,#28CUPV2GC,CheeseCheddar,8000018,234181,48,12
48,#2LJ9JCRGG,ПЕСЧИНКИ,8000000,232845,49,17
49,#2PQ9P8R2C,sosi lox,8000029,223744,50,22
50,#2CQGRUUQP,Богдан.487,8000020,222405,51,30
51,#CVRGYVLJ,永遠のアオハル,8000057,221945,52,29
52,#JPUG8QYP,DARIUS BOSII,8000029,221007,53,28
53,#2RPPJ0VQJ,123liu,8000013,220913,54,30
54,#2R0LLRRJ0,MegaStarBrawler,8000001,217878,55,28
55,#292YJUC9U,레켓 튜브,8000018,214755,56,27
56,#28RP2YVUC,агафа,8000055,214007,57,13
57,#QJL28VQP,King Weapon,8000054,213654,58,15
58,#28LJ890RR,Spin To Love,8000018,212398,59,30
59,#YPUP9RV0,pereruelaytumam,8000026,211360,60,26
60,#2JRRGLV8Q,"8 ""А"" 😘",8000041,209795,61,14
61,#RUR2RCVP,INDIOAK,8000053,207631,62,25
62,#L8LVPUGG,форт,8000000,205997,63,29
63,#28P29PCUJ,🇹🇷TÜRKİYE🇹🇷,8000027,203728,64,22
64,#200P2Y9CY,Toxics👎,8000023,203513,65,7
65,#ULJJLGVU,BRAWL,8000057,202925,66,16
66,#C20R2JL0,AFK Elite,8000004,199846,67,28
67,#JYPV9JCJ,ека про,8000029,199532,68,30
68,#UY2U9R8Y,🇹🇷LOU🇹🇷,8000016,198774,69,29
69,#VVPQQPY8,FWNAM2,8000056,192969,70,26
70,#GGCC29UL,HARMANLIK,8000004,191434,71,24
71,#LGCYPLUL,sohbet eden gel,8000007,190996,72,2
72,#J0UG9QRQ,Regalbuto,8000025,189422,73,28
73,#2R9R2R2C8,lespeps,8000056,188766,74,20
74,#2J0098GPU,украина,8000042,188608,75,27
75,#2LCPQ0VQL,Bobrava City,8000013,187137,76,12
76,#28CYJRY0C,LEGEND,8000023,186695,77,8
77,#RLQVVJ80,Л - ЛУЧШИЕ,8000014,184203,78,29
78,#VYCUU0YJ,😑😱666$,8000037,178545,79,30
79,#28QPPPPJY,Димон и Витя,8000017,177311,80,28
80,#VG988Q0R,ЛЕСНОЙ:,8000005,176924,81,21
81,#2Q9C0RQYJ,532,8000003,175445,82,29
82,#J2LRGJC8,алга,8000058,174399,83,20
83,#2GJ02Y8L2,❤️Paiper,8000035,173410,84,11
84,#YRJPPPLV,Indian Army,8000056,173052,85,30
85,#RL98GQ9U,<c3>OLS™</c> ツ✅,8000014,172600,86,30
86,#C98JGPCU,Армия света,8000004,172225,87,16
87,#2CLG0R80Y,cabezon,8000025,171608,88,30
88,#222J98JPY,sed sed11,8000000,170939,89,28
89,#28CG8LQRU,킹콩,8000031,170225,90,19
