,tag,name,badgeId,trophies,rank,memberCount
0,#2JVJYGQJU,Hell Imperium,8000027,1495484,1,29
1,#CYQ8Y99R,EstonianBadgers,8000021,1357774,2,30
2,#2GJCLULYG,Mystic,8000006,1235508,3,30
3,#2PGPUYG2P,RPG Royals,8000025,1176164,4,30
4,#2CRY9QGJ2,SKELETON|TEAM☠️,8000000,1158900,5,28
5,#2RURUCLLU,Dangerous Club,8000029,1103658,6,28
6,#2J00PP280,Estonian Kings,8000021,1043444,7,25
7,#2C92QYGVY,King’s Legacy,8000029,1042615,8,29
8,#YQ2V0LJ0,Estonia,8000037,1023609,9,30
9,#2GPPPVY89,Dark Smile |DS|,8000055,1016005,10,28
10,#2C9JYR0PP,DragonZ🐲,8000000,987795,11,30
11,#2CRCJYVGJ,Legacy kings,8000029,954993,12,30
12,#20P8GRPYP,YTюберы и ТТ,8000058,952010,13,30
13,#29J982VCC,Hell Imperium 2,8000023,944798,14,29
14,#9JLGQJJP,Eesti poisid,8000002,935386,15,29
15,#JL98C9JJ,Välgud,8000019,928491,16,30
16,#P89J9C2,Tallinn,8000030,886617,17,30
17,#YPUP2R92,KinG and QueeN,8000023,861638,18,30
18,#CVJRV9LL,המלכים,8000023,857902,19,30
19,#29CVRVRCL,Titanium,8000023,853870,20,30
20,#2G8Y9ULVC,les 4 maîtres,8000023,850655,21,30
21,#LUCPUPJ0,Shadow lords,8000057,840728,22,30
22,#2QVPPVRYC,⚔️VALHALLA⚔️,8000003,836776,23,30
23,#QQVGGLCG,Estonian Lords,8000037,819274,24,30
24,#29LP0V8V2,Est|Legends,8000037,803409,25,30
25,#2QQL2P,Hellad Velled,8000057,787617,26,30
26,#2LGYQ0U0R,Dungeon,8000025,779543,27,30
27,#2J8U299R0,estonian club,8000029,779428,28,30
28,#2CQPRLQ0V,EstonianLegends,8000027,762693,29,27
29,#CU8LGQY9,Only the strong,8000055,761089,30,30
30,#2JYL992QR,Fans tutifruti,8000019,760671,31,30
31,#2CL0YJ2VU,One Above All,8000021,750186,32,29
32,#2LJ8GJP0L,🐺Жорик🐺,8000002,749067,33,30
33,#9CGVCJQ2,Saber Gaming,8000023,737555,34,30
34,#2CYU20URR,kfc people,8000025,727508,35,30
35,#29J9LGRLG,Respower,8000010,727431,36,30
36,#290YGJC2L,Upa söörikud,8000033,723074,37,30
37,#2GGUYLUUJ,Estonia,8000052,710760,38,29
38,#29R0VQQ8Q,no mercy,8000034,710269,39,26
39,#2JYU08LPG,Elite,8000000,707758,40,30
40,#U2U0GRCJ,eesti veri,8000030,700407,41,30
41,#2Y0UQCVVC,Эстония,8000015,691082,42,30
42,#2LQLUPVQU,Pro Pere,8000036,688891,43,29
43,#290PUG9YP,sussi segajad,8000039,679158,44,27
44,#2CC0P2QG2,RE<c5>UNION</c>,8000052,676452,45,30
45,#G022U2UC,Estonia Allianz,8000021,669698,46,30
46,#Q8UYR8YY,Frosty Team🥶,8000004,664554,47,30
47,#2R8YUGG0Y,CANIJEROS,8000049,653971,48,28
48,#22YQ0LJPP,võitjad,8000057,644250,49,30
49,#2LUL992UR,Andromeeda,8000050,640484,50,29
50,#298VY8292,HUSKY FANS,8000019,633410,51,28
51,#ULJ8PJ99,RusEst,8000004,627659,52,30
52,#2GVUGJ80R,Estonia Lite,8000021,627609,53,22
53,#UJC0C2PV,Mini Crox's,8000013,624558,54,30
54,#2LG8GPJPG,Eesti klubi,8000029,620975,55,30
55,#2RGC9UP0Y,GYM,8000035,615195,56,30
56,#2Q089C9QQ,ПАНДОРА,8000029,613402,57,30
57,#CRLCYPU,Nova Estonia,8000052,604910,58,30
58,#2YLQRC0GL,качельки,8000033,604397,59,30
59,#LP8U8JQR,LFODHY GO,8000059,601643,60,30
60,#2GYCP9Y0,UssUd,8000001,598829,61,30
61,#2QPU2QV08,Cryo Blade,8000033,598242,62,30
62,#J0RC92C2,Haagen-Dazs,8000029,591504,63,30
63,#R0QLQR8P,Pro tiim,8000028,587223,64,30
64,#LQG8LR02,eesti,8000029,578746,65,30
65,#2CYRJGQUP,stu FD,8000037,577210,66,30
66,#2LLGQYUYG,ВнатуреНарва,8000057,572572,67,30
67,#2P0GUGYUV,Valga inimes3d,8000011,568338,68,30
68,#2YU2J2VLY,T0SS1CI,8000010,564264,69,19
69,#CLL2Q0U9,NARVASITY,8000029,563144,70,27
70,#280R8RGGU,Aesthetic Life,8000019,561772,71,29
71,#QLQ08GQQ,VIP,8000023,561299,72,30
72,#2CR9PRJY8,𝔖𝔢𝔯𝔦𝔞𝔩,8000039,555501,73,30
73,#22Y9J09VQ,EST Kalurid,8000019,549387,74,30
74,#YLYG0JRV,Eesti Kaselaane,8000029,546596,75,28
75,#QRJLRJR,сахар,8000037,535332,76,26
76,#2G9R98L99,Estland,8000056,532217,77,26
77,#2C9202JRP,eesti mehed,8000021,530616,78,29
78,#2GPYY9RYU,🇪🇪l Love,8000033,527419,79,30
79,#Q0Y2P9U,СЕЛЕКЛУБ,8000008,517009,80,30
80,#8RJVPC02,Eesti,8000053,513016,81,30
81,#GRP8VR2,TALLINN,8000024,508235,82,30
82,#2CR2JQPUL,나는야,8000034,502621,83,27
83,#29QLYQP90,TIMO ON PAKS,8000059,501783,84,30
84,#2JVUU2GU0,<c4>KMK</c>,8000027,495243,85,15
85,#2G2Q0V0L2,EstonianFam,8000000,494296,86,30
86,#2LLRGRUGJ,VKGteam,8000005,492045,87,30
87,#29RRPPG9L,Natural club,8000013,490043,88,29
88,#QY22UL9Q,bmw power,8000013,486151,89,30
89,#2R0C022QP,Eesti,8000029,485839,90,30
90,#R0CV8P0,НАРВА,8000029,482486,91,21
91,#9CJ2LGJ2,Polskie Dodzo,8000000,481763,92,3
92,#2JLJ2UJQG,Гей пати,8000025,480464,93,26
93,#2QV0QG2LL,UA/Diamond,8000021,480308,94,30
94,#RG228JGG,eesti prod,8000004,479982,95,30
