,tag,name,badgeId,trophies,rank,memberCount
0,#2QG2CV9YV,Edelweiss🐙,8000021,3696531,1,1
1,#9R0QPCRL,新蜂蜜中出檸檬,8000029,1337979,2,30
2,#2LPGCVJL9,Night Lovel,8000059,1169293,3,10
3,#9PQ2QU9L,SQUAD OF FRIEND,8000008,1083158,4,30
4,#2RU09282R,吃蝸群眾,8000057,927963,5,30
5,#28RQU82V9,meuf belle,8000004,849571,6,28
6,#2CG9Y2LPV,A5ランクのトン,8000047,809732,7,30
7,#2R2G0VCRQ,Escuadron Gamer,8000052,792347,8,30
8,#20J2LLJLR,Mugiwara,8000004,728392,9,30
9,#2Y99VCGYR,MIKU SUPREMACY,8000002,726410,10,29
10,#LU8JJ29,THE FORS3TR,8000009,471994,11,26
11,#2GGQP9VRJ,Mystic TYLERS,8000002,450665,12,30
12,#29QP09G0V,hyra on fire,8000010,415195,13,26
13,#VL8RLUPQ,⚔️ＭＯＴＲＡＳ⚔️,8000045,403808,14,30
14,#2JJJGCVQJ,MurciaCity🇪🇸,8000050,391591,15,26
15,#28LRUC2PU,D.T.B,8000035,387787,16,24
16,#CLQU8PV2,<c2>NAPİM😎</c>,8000025,381742,17,26
17,#VJU9PRCP,프나펑,8000035,371759,18,18
18,#2QVU0YG0C,탕수육,8000055,354899,19,30
19,#CYU88RLQ,ブロスタ愛好会U12U14,8000011,354844,20,18
20,#UY0UR80,AKT PANUCOS!,8000010,308724,21,29
21,#2C9U8UC2V,os etíopes,8000029,295891,22,28
22,#208VG29UP,ETHIOPIANS,8000023,290310,23,25
23,#CRJP89JJ,Team EQ,8000025,279723,24,30
24,#8U2Q2JQL,BikiniBotton,8000013,273109,25,20
25,#2R88GL2V,ETHIOPIANS,8000029,258951,26,14
26,#2RQJUPYJR,BİSMİLLAH,8000032,250670,27,15
27,#UPLVQGY,The Flash,8000029,247677,28,23
28,#2J2C89UU0,🎃MANGUST🎃,8000031,243227,29,17
29,#YV8V9CP,GEN X,8000007,242706,30,28
30,#2C8CY002L,drippy bois,8000052,241286,31,30
31,#V9GJQV8U,ET SQUALI,8000005,238895,32,30
32,#2RJVYP2UJ,크로우의단검,8000058,238855,33,30
33,#22VQCJJC0,hello1234,8000018,235376,34,29
34,#2QLGGJVQY,שכבת ז👳🏿‍♂️,8000027,230272,35,13
35,#QGP2RYVC,CİPSOOO,8000018,229857,36,30
36,#22JRU29QP,sebu,8000059,223591,37,30
37,#URUGJPRC,how,8000007,223077,38,22
38,#V9J2LQYP,The Ethopians,8000049,221342,39,21
39,#GQPL9G8J,про Масленицу,8000025,221270,40,28
40,#UGLUYPU,10000,8000029,221116,41,30
41,#9PC92LQ9,ethio wakanda,8000037,219271,42,16
42,#V9GG20JR,АБУ БАНДИТ,8000016,208950,43,23
43,#PLGYGC80,lol,8000018,208810,44,15
44,#2YRP20J29,Walkout🇧🇷,8000013,206801,45,29
45,#LP8202RQ,꧁☆TEAM~ ELITE꧁☆,8000041,196711,46,9
46,#209YLYV0R,is the open II,8000019,196331,47,26
47,#2PRVCCQG9,Friends,8000007,195191,48,30
48,#G02LCCGV,PROLAR,8000019,191432,49,25
49,#P8CVG2JY,RoG,8000023,191236,50,24
50,#PCJUU8U0,паа,8000029,188949,51,24
51,#2LRPV8QCC,pana,8000017,188365,52,27
52,#2QJVG0P82,QMISH,8000006,188062,53,30
53,#2QR2PYVCP,крутяши,8000005,187030,54,8
54,#29LPG0R99,the destroyers,8000029,182572,55,25
55,#Q80Y2P08,😈PRO PLAYES😈,8000037,181607,56,30
56,#2QU0YCLVG,Brawl Mustar,8000049,178182,57,6
