,tag,name,badgeId,trophies,rank,memberCount
0,#200GCY8P2,GUNMAN SQUAD,8000013,1825747,1,30
1,#VUG8VV2J,SHADOW TEAM YTB,8000029,822256,2,26
2,#2CPVJ8CUP,Клуб:  #2CPVJ8CUP,8000010,652941,3,30
3,#28UUQQLR2,adejemi,8000044,630906,4,28
4,#2G8RLJ2LP,Monsters Truth,8000025,590816,5,1
5,#8UYCGG2J,MEGA STAR,8000006,577760,6,29
6,#2LRL2LG20,The ragnarok,8000025,570342,7,30
7,#2CP9PYJQL,ziomby34,8000013,569547,8,30
8,#Y88C8CVY,DEATH Z☠️NE,8000008,515797,9,28
9,#2GVUJ8P8R,LOS KABOOMBOM,8000051,510631,10,29
10,#2C8QCVQR2,🖤ToxicGang🖤,8000033,422437,11,28
11,#2QUGQQ8RV,дюп.кубки,8000059,422072,12,26
12,#2R2VUYVC2,La Lucha,8000026,404038,13,28
13,#V8C9P92R,Альто,8000055,386359,14,26
14,#28GPQ8CYP,BRAWL | LEGENDS,8000029,378762,15,30
15,#GY882YQP,mega hrači,8000013,371779,16,29
16,#29RCYR9CG,§×Blue Crown×§,8000021,371188,17,23
17,#Q0JLLYL0,ɢᴀᴍᴇ ᴏᴠᴇʀ👩‍🌾,8000021,368095,18,24
18,#2GR89U2QJ,アイーダ感動したなー,8000022,360792,19,23
19,#2CRU9R2LR,Let's 🐑 friend,8000004,344607,20,30
20,#99LY9LJ,bamba fresca,8000017,337710,21,26
21,#2Y98CC2CJ,NJK,8000016,336510,22,29
22,#2P8822QCY,Chucu Wala,8000013,307283,23,30
23,#J8VL9PRJ,Lone Brawl,8000018,306805,24,19
24,#2LJP8VGQQ,Dynamike_birdy2,8000018,289397,25,13
25,#2RL0YP8YJ,Club  #2RL0YP8YJ,8000053,281948,26,30
26,#2QVVCPGP9,chulos de alca,8000034,281623,27,18
27,#CPC8U2QY,🐺🐺crow🐺🐺,8000037,280782,28,27
28,#220CP9YU9,cauais,8000009,274178,29,26
29,#Y2LUG2VC,team salsabrava,8000013,273873,30,29
30,#2J89CL9JR,lb-insanos,8000008,268965,31,23
31,#220VJQGQG,беброчка,8000037,264367,32,10
32,#20G9LV88Q,بطاطس,8000004,263584,33,30
33,#2PRCCYY0L,©®D1OS3S™,8000004,258479,34,23
34,#920UCGJY,Noob_Star_House,8000058,256561,35,9
35,#20JUQ9RC0,tt_litva_bs🌌,8000021,255244,36,12
36,#JJ9UJ8G9,LOS ROAR TIGRES,8000019,254434,37,30
37,#LGJV8R8R,demoniosxd,8000004,251832,38,24
38,#2PVVC229J,Team_secret,8000037,250691,39,13
39,#U2YVGLY,CrocodileSquad,8000013,249802,40,29
40,#28QUJGGL0,Los pajaritos m,8000019,231358,41,29
41,#2GG8VVQVC,vacas voladoras,8000033,228180,42,29
42,#QGJULQL,Víkingarnir,8000021,219818,43,30
43,#2P2R20LP,Faroe Kings,8000023,217791,44,30
44,#28RCYJCPP,Grande España,8000006,215647,45,28
45,#20P8CYCC0,Los camperos,8000017,213979,46,30
46,#22LLU2U80,repanoxa,8000049,212061,47,20
47,#9QRQGG9,B36,8000003,211261,48,30
48,#C2V2LQ92,ISSCAMJ,8000029,211102,49,29
49,#29GC2CCR2,Regions steam 5,8000059,211045,50,14
50,#2RQ892JGR,DESTROZACLUBS,8000048,207052,51,30
51,#8RCYUU0P,Viterubest,8000021,204953,52,27
52,#20002UPYC,MECHITALANDIA,8000048,204808,53,30
53,#2CGRY9LJJ,OP Mortis🥀,8000008,203562,54,30
54,#JGLVPG08,Пацаны,8000029,200575,55,28
55,#29QRVQ028,DIMMU BORGIR,8000004,200350,56,28
56,#28Y88VRUQ,juegos,8000008,199461,57,30
57,#209V9QJC,soy mejor quetu,8000013,198215,58,22
58,#2QRG2CYGR,lobo muerto,8000057,198152,59,30
59,#22YC2CQYQ,los plums,8000014,195987,60,23
60,#JGV00J08,TEAM GORILLA,8000029,195008,61,30
61,#C9J9Y0Q,SpriteCranberry,8000023,192927,62,30
62,#2QGRJP2QY,velba skula bro,8000059,191213,63,16
63,#UQYCLUVG,Dadom_hata,8000023,190596,64,28
64,#22QP989L2,돼지 꿀꿀이,8000029,183674,65,28
65,#UCGVQ9G,<c3>leche</c>,8000039,182866,66,27
66,#JUJUPUC,foroyar boys,8000057,181973,67,27
67,#UV9JPGRR,boyyyyyyy,8000019,180342,68,30
68,#8RU229P2,KOMA,8000029,180167,69,23
69,#C8Q890U0,aya,8000024,177531,70,27
70,#28JQ8QVL2,9288,8000012,177210,71,30
71,#2CR89U0V2,ratos de esgoto,8000000,174174,72,30
72,#8QVG98V0,los pros zabala,8000017,173189,73,30
73,#22LVLJ8RJ,LOS MECA,8000013,172377,74,21
74,#2QUYGPGCV,Д А Ампылда,8000017,171651,75,30
75,#V0GVVVG2,про бананчик,8000027,168459,76,30
76,#28RJ0PYQ2,[П.В.И.Г.ИТ],8000004,167933,77,8
77,#2L28PGV20,los primos 😎😎,8000052,167833,78,29
78,#2JYRU8QL2,CESDEF,8000059,166898,79,29
79,#2P8Q2PPQQ,rek_xark,8000006,166794,80,30
80,#20PUYRJ2Q,_СИДИМ ДОМА_,8000023,165488,81,27
81,#9Y9L00PC,난고수,8000019,164535,82,28
82,#2GUG0VUGR,primos de aldea,8000030,163241,83,30
83,#PYULJPUJ,Noob Total,8000029,161658,84,29
84,#22YR9CU82,читер 777 555,8000012,160089,85,18
85,#98Q2PYP,mrbeast,8000021,159139,86,28
86,#2P0Y2CJ0R,nananana123098,8000019,158116,87,30
87,#VL0JPQP8,嘿兄弟,8000028,156643,88,30
88,#PLVYVR8,Cerugo,8000015,156011,89,29
89,#200Y9Q0GQ,fani brawl star,8000031,155340,90,30
90,#2VCCCP22,peru,8000007,155119,91,30
91,#29LYU0CRU,§✨AŞK ✨§,8000023,153893,92,2
92,#8Q2Y0YLP,cool,8000055,153332,93,25
93,#2YP2LUQPU,3ESOALBERI,8000007,152733,94,23
94,#9PQ99RPP,pros,8000044,152209,95,28
95,#29YGY28VR,гейклуб,8000059,151009,96,30
96,#220VU02U2,team flow,8000011,150392,97,9
97,#QVVRVV0Q,문현 파워,8000029,150336,98,26
98,#8CVQ0VJU,ultra/*😎😎,8000037,149599,99,28
99,#PUYY8Y8J,MORETTIteam,8000029,148283,100,17
100,#RJJRQJ28,el team azul 2,8000003,148119,101,30
101,#9U2CGLU9,la liga ligosa,8000029,146757,102,27
102,#GC2U00UR,нг.,8000008,146589,103,24
103,#UQUUCRPR,ввву,8000029,146396,104,29
