,tag,name,badgeId,trophies,rank,memberCount
0,#JV8Q00JY,MunkkiHunters,8000013,1607421,1,30
1,#QP9CR8YP,Kivien heilunta,8000049,1573199,2,28
2,#2QVJY0RYC,PuuPällit,8000042,1466021,3,29
3,#2RL8YCQUP,FINLAND,8000049,1429522,4,30
4,#8JGR8Q9U,Pohjantähti,8000002,1421001,5,30
5,#QPVRRV9L,Лега блин,8000016,1413203,6,30
6,#2CP8RU80G,Toxic Make,8000036,1395154,7,29
7,#2028YYRY0,Finnish Horror,8000004,1394049,8,29
8,#2RYVQUUCL,Nebba Hunters,8000036,1328341,9,30
9,#2GV22P298,Mystic Falls,8000037,1297810,10,30
10,#Q28YGRC,Suomi/Finland,8000017,1279937,11,30
11,#2C9CYY2GC,EastSiders,8000007,1275439,12,30
12,#GGQYLLV,SuperSmashTeam,8000013,1268695,13,30
13,#20GVR8UG,<c2>Beasts</c>,8000037,1247179,14,30
14,#2C8GJ9YQ9,Työkalut,8000003,1225862,15,30
15,#2C09G8JYY,SIGMA HUNTERS,8000029,1217980,16,29
16,#202GLVQV9,Мега клуб,8000016,1214258,17,30
17,#GR2GYGV,Myrttiset,8000022,1207139,18,30
18,#2RCUU0RCQ,dark knignts,8000025,1194802,19,30
19,#2RRJUPCGQ,YoU_×|eSport,8000037,1168220,20,29
20,#2RU2CC8R8,CMG Finland,8000025,1167794,21,29
21,#202LP8QGQ,Vain aktiiviset,8000027,1155711,22,24
22,#QP8QRCGJ,《Suomi》,8000039,1155486,23,30
23,#2Y8QQQRJP,Suomi 100,8000033,1145167,24,30
24,#2GJ0LVGU0,Myrttiset,8000043,1144814,25,30
25,#299VRL0JY,Mini Horror,8000050,1142579,26,30
26,#8VQGPU2G,Вконтакте,8000029,1127091,27,13
27,#GQ920GG0,Suur-Suomi,8000003,1122551,28,29
28,#29LJ2YL0,Finland X Royal,8000036,1101720,29,30
29,#2J22CVGV9,Penguins,8000021,1099927,30,30
30,#RRQ2Y2VQ,BRAWL TOP TV,8000029,1096863,31,29
31,#80QG8JYG,Aamutähti,8000018,1094822,32,30
32,#2CPPG9VQR,Меля🤍|ТТ,8000045,1091879,33,30
33,#QLQ2Y0Y,Purple Thunder,8000011,1084498,34,29
34,#229VLYVGQ,Finleaders,8000021,1077553,35,30
35,#QRQ8P8UR,ẞLU£💶CA$H,8000025,1057969,36,28
36,#208PUR8L9,Perunat,8000047,1055493,37,30
37,#2Y9VRVVRG,RFC,8000032,1051881,38,30
38,#2R2L8QCG2,Karvaselät,8000032,1047252,39,30
39,#22LPLP0PR,PdePancakes,8000047,1041123,40,30
40,#289GLPP09,WisperiAkademy,8000029,1040187,41,30
41,#8GYCLUR,Itäkeskus,8000040,1038281,42,30
42,#2GP9Q8YV8,Tosimiehet,8000055,1037413,43,30
43,#2JGJLV0J0,Skill issue🦆,8000009,1036960,44,30
44,#2J2LJLRUY,PuuPällit II,8000042,1036896,45,30
