,tag,name,badgeId,trophies,rank,memberCount
0,#G2VCUPQ,Bladez of Rage,8000023,1672008,1,1
1,#2C2QPLPR9,le carrefour 🌍,8000048,1056418,2,30
2,#2CPJQP2UR,CRD|division☔️,8000009,957168,3,29
3,#QY2QYC0L,FR|Family,8000033,861899,4,30
4,#2G8J9CPJU,🇵🇫I_m_987🇵🇫,8000037,754175,5,30
5,#2JC2PL9RQ,LesPotsdeTahiti,8000007,746561,6,27
6,#2G9VGLJGL,동방초,8000005,653473,7,30
7,#22Q2QL8U2,Magic🪄Brawl,8000033,651196,8,30
8,#QG9PLQ20,🇵🇫987_THT🇵🇫,8000029,641744,9,30
9,#LCYJQVLJ,Akatsuki🥷,8000033,622773,10,30
10,#2GY9PVRUL,форсаж,8000031,609008,11,30
11,#28VCJYJL8,Les Français,8000018,576522,12,30
12,#2LRLJ2G2G,L Pro_Gaming,8000023,563966,13,30
13,#2CG8LCP,Tahitipro,8000041,557298,14,30
14,#2JRUCYJYU,Fire Team🔥,8000037,533122,15,30
15,#RUP9QLY2,TÜRKÜN 🇹🇷GÜCÜ,8000048,471551,16,17
16,#2G9Q2YYCC,One Army,8000057,440697,17,30
17,#29YLURY0Y,RL|RedLegion,8000023,414505,18,29
18,#P8Q2UL8Y,Royal Palms,8000021,398744,19,30
19,#8QVYQ82U,DIDS TEAM’S,8000029,391111,20,26
20,#VCUR0QQG,🌴🌴Raiatea🌴🌴,8000059,372927,21,27
21,#2JCULV8RY,Жосткий клуб,8000023,372466,22,29
22,#2GPY8GUC2,spau family,8000055,363236,23,28
23,#2CC28CLY0,Tahiti Clan,8000037,357837,24,27
24,#G8CJJ8CP,EL ASADITO,8000015,339785,25,30
25,#2R9YJJGG,chungus and NS,8000009,332707,26,29
26,#29R2VY8G9,AKATSUKI_987,8000021,306518,27,29
27,#2RLJ0Q0PP,always together,8000031,290713,28,22
28,#29QY0R2P2,чвк кассиры,8000003,281362,29,20
29,#2PRPCYLQY,Taka987,8000025,277911,30,25
30,#2YYQRGY0Q,pro oyuncular,8000059,271255,31,30
31,#20JCG0GYJ,Exodus987,8000040,270985,32,30
32,#2GVV2PGLP,Phøenix|club,8000022,259305,33,16
33,#LCUJ8QQU,POTATO STAR,8000049,258032,34,30
34,#GQQG0QYJ,baws army,8000014,255980,35,30
35,#U28JC0J9,Bugatti,8000024,255632,36,21
36,#298VY0VQ0,KEE,8000029,247107,37,19
37,#2PLLYVJ,Tahitian Wars,8000005,246043,38,28
38,#8UJLPCUL,Otakus,8000057,238301,39,11
39,#2LPYV99LU,Brice 2008,8000011,237706,40,30
40,#Q2J20ULY,Game🎮Space🌌,8000002,235782,41,30
41,#QG2R2Q2R,V.J blox brawl,8000023,235708,42,30
42,#90Y8YYUR,akatsuki,8000035,235171,43,28
43,#LQLLGV0L,AMIS D’ENFANCE.,8000043,232248,44,18
44,#2Y028VP88,team gaming😀😺,8000029,225317,45,26
45,#2JCV2G2YC,Magic Football,8000027,225081,46,16
46,#20LJJVGVQ,BS*TOSHA✨,8000034,220660,47,29
47,#2QCJPJGGG,лучшие друзья,8000059,218566,48,30
48,#UU9PYGR2,French Army🌴,8000015,212921,49,27
49,#2R8Y29PLG,PLOUF PROOT,8000037,210270,50,17
50,#20C2VRV9U,Russian,8000057,207776,51,28
51,#2YUPVPG9C,lesBFFduCMDR,8000009,206639,52,27
52,#2YUL9RQY8,ГИМНАЗИСТЫ,8000029,198970,53,13
53,#2YVPRGQ80,Brawl Friendsシ︎,8000006,196560,54,30
54,#QCP2YPCR,irfan lost,8000056,196555,55,17
55,#8JGQ8V9,Mēgā fōrt,8000006,194753,56,15
56,#2JCLVCPPR,ailest,8000055,194627,57,9
57,#20Q9YGJL,România,8000007,193662,58,28
58,#QGV28Y8,viriali,8000029,193418,59,17
59,#2QU8PGGUY,FrenchYop,8000052,192889,60,12
60,#2YYGCP0VG,the wolf,8000012,192805,61,30
61,#RJ2R0GJ,RiZen House,8000013,192453,62,30
62,#2GUJR0GJU,tahititop,8000037,191702,63,15
63,#P9LCRLLL,bs_987,8000023,191624,64,19
64,#Q89V28LJ,Dummy bois,8000000,189032,65,28
65,#2JG0V0RYJ,les ziguiguis,8000013,188551,66,12
66,#2QPU8P002,🇨🇵BLUE_BZH🔥,8000022,188265,67,25
67,#2GYU8P0YG,AITO_TOA,8000010,188094,68,17
68,#2QR9YCVR8,Chesty😈,8000038,186846,69,29
69,#2JRLGRULC,GOAT|FC,8000059,186681,70,9
70,#2QRCLVY89,Duck Empire,8000055,185752,71,11
71,#RUJQU8PQ,Цурка класс,8000008,184932,72,30
72,#29JYJJUV2,🇵🇫 F L O P💦,8000029,183319,73,12
73,#222G2J9VY,adana kardaşlar,8000029,182669,74,30
74,#29L2CCPJ2,team_987,8000059,181625,75,27
75,#2882C2P9R,najače,8000002,178760,76,30
76,#2GQ9RCYQ,Fafaru,8000021,178101,77,18
77,#2C8CJR,Tahitian TO'A,8000004,177942,78,23
78,#VRQURCJP,Миша. 1400,8000033,177374,79,28
79,#JY0UPLRJ,United FroXxYa,8000023,177153,80,14
80,#2CGCRRUUG,NORDESTINOS,8000013,175945,81,29
81,#LYU8RQQL,негритяночки,8000027,175139,82,29
82,#Q2RU082V,ZPR,8000023,172979,83,19
83,#228C0PUL2,المحاربون1,8000004,172140,84,30
84,#288PR88RR,large 🍑,8000038,168367,85,16
85,#2YQP2YQY0,🌟<c6>Sky</c>,8000034,166126,86,29
86,#22UJPG9RU,ахмед черт,8000044,166039,87,29
87,#2QR8RY2JV,Pezuñas brawl,8000005,165917,88,28
88,#299RPPUCJ,LA TEAM DES BG,8000037,165307,89,30
89,#2QRUGR20Q,BDS|TEAM,8000046,164433,90,12
90,#U898YRL8,🍕team pizza🍕,8000018,163635,91,1
91,#VGJYJPP8,цкец,8000010,162972,92,25
92,#YV29JQVQ,la famillia 🔥,8000029,162700,93,30
93,#80CLUC22,France 🇫🇷,8000021,160696,94,29
94,#90J2U2QQ,EBDE MA LAAH,8000004,159212,95,10
95,#2RJY9LG,el primo,8000004,159180,96,28
96,#2QRPLGCPL,мы футбалисты,8000029,157437,97,30
97,#228YP2URC,tomar 756,8000000,157389,98,19
98,#VP0Y8GUR,les terreur 2,8000023,157217,99,30
99,#20QGL98PQ,Yura TEAM,8000056,156661,100,28
100,#2QURYUL8Y,tahitian team,8000010,156642,101,29
101,#9RJJRUYV,Tahiti987,8000050,156386,102,30
102,#LLULLYJG,GIGI 🐥🐤💖,8000025,155968,103,19
103,#Q0U8RQ8U,П'ЯНИЙ МОЖОР,8000030,155651,104,30
104,#9VVPC20P,DZER_Tahiti,8000013,153798,105,30
105,#282QRY80P,Россия 💗,8000008,153484,106,20
106,#20YP8CRQG,جيش العرب,8000037,152142,107,29
107,#282UV8028,CHILIPEPER,8000022,151668,108,13
108,#2JP02UPPC,Лютые@Бобры,8000056,151131,109,7
109,#V2QLYYU,les brawlers_13,8000005,150979,110,30
110,#29UV0RCPQ,EJDERHA KİNG,8000010,149542,111,22
111,#2QGP2LC9J,☆legendary☆,8000019,149506,112,11
112,#2J8UJ89CV,БОТ,8000034,148814,113,21
113,#28VGPU8Q0,chatlala,8000036,148534,114,29
114,#22VYL802C,д9д1д8,8000029,147793,115,30
115,#2Q9C28RVG,LES COUSINS XY,8000013,147755,116,30
116,#2GL90UJC9,Tata Ginette,8000029,147668,117,21
117,#28GPCYRQG,GIGACHAD😎🦾,8000059,147319,118,29
118,#2RG09YPUY,Royal Anime,8000021,147234,119,30
119,#2JCQR808G,seul(s),8000049,143790,120,30
120,#28PRCG9Q8,bigre,8000017,143017,121,28
121,#JCUQGC8G,PRO GRACZE,8000029,142913,122,11
122,#2CRUVYYRC,munches,8000011,142581,123,11
123,#2GYJU2RUG,It’s Squad,8000031,142120,124,7
124,#998QV2J2,jsp😜,8000009,141583,125,30
125,#2YL22Q8RU,ELIT RAN,8000047,141282,126,13
126,#2J8CGYGUP,TKM_987,8000031,141088,127,26
127,#U2JJUJ8L,Stranger Things,8000059,140934,128,11
128,#8VUJU00L,clinkclonk,8000026,138789,129,29
129,#8URQ2QV2,les BG de Tahit,8000031,138680,130,28
130,#JJU0QLQY,PRIMO'S,8000013,138506,131,17
131,#2J92PCP8V,Team Pichin,8000035,138220,132,30
132,#28RLUPY8Y,les brawlers,8000059,137520,133,28
133,#2PCGLJCYU,tt|temer5555,8000031,135795,134,30
134,#2J0P9U89P,SiSaSué,8000040,135707,135,29
135,#28QLGRLGR,FOXY NC,8000055,135477,136,15
136,#VJ2V9JRU,놀이터맨,8000018,134990,137,19
137,#98VY8JYL,El muda family,8000020,134843,138,25
138,#2GJGCPLLU,Al & Daïka,8000029,134394,139,19
139,#2GQQ9LC9V,Club tranquille,8000021,133954,140,25
140,#JRCP8Q90,solary,8000023,133925,141,17
141,#2YVGCVYQG,TACSIZKRAL,8000004,133485,142,30
142,#9C8PJL0Q,Asnières 92,8000007,133287,143,22
143,#2JJ8JR0UQ,Сила Сибири,8000035,133233,144,19
144,#2G0QVYRJG,les nulle,8000029,132978,145,28
145,#2PV998Q92,🌼PAPATYA🌼,8000006,132907,146,30
146,#22YGGP9CR,Colette's Club,8000054,132328,147,29
147,#28YU0L9U2,🔥tahiti🔥,8000018,132026,148,27
148,#2LJQCRRLV,KINGS,8000013,131542,149,27
149,#UQ2YG9C,Супер Б,8000015,130796,150,28
150,#20JUP8U9R,14/88,8000034,130584,151,11
151,#22YVLRV8J,pokemon,8000049,130056,152,12
152,#Y8U09PY8,kongorani,8000020,129399,153,29
153,#2YUCCLY2U,🔥PURPLE MAFIA,8000041,129215,154,9
154,#2GP0P08Y,punsmasaah,8000029,129125,155,28
155,#28980CGJ2,КРОН,8000035,129098,156,30
156,#829L08P,TBH_Clan,8000014,128844,157,30
157,#29PPVGRC2,Tahiti,8000034,128397,158,30
158,#GP0QG8YV,Ğ¤Ł¤Æ,8000009,128037,159,12
159,#2C0RJL0V9,la MJNDL,8000009,127911,160,16
160,#2Y2Q9VPRU,تنين |الازرق☔️.,8000003,127375,161,1
161,#P9UU8L08,Demon Flox,8000029,126718,162,29
162,#8V9YCCJG,Tahiti 987,8000041,126633,163,29
163,#2GLYGQPJ8,Amber,8000042,126214,164,26
164,#228JR80YR,тврь,8000058,125971,165,28
165,#P89VJJYQ,Dzza_987,8000019,125852,166,30
166,#2C2RQPP0G,Les pitis chats,8000016,125276,167,12
167,#2LPRY2V9Y,uz,8000051,125110,168,30
168,#Y9JUJCVC,for friends🤍,8000018,124757,169,26
169,#29V0CPQQ,Tahiti,8000004,124221,170,24
170,#2QU2CL888,issia972_rcb,8000059,123405,171,20
171,#2P892QGUV,FORCE Stars🏆,8000056,122993,172,30
172,#ULGCYP9U,М5 и А4,8000021,122828,173,30
173,#2R9829JR,MUR EN OR,8000048,122743,174,29
174,#299JY0CLL,♤♡VIKIG♡♤,8000046,121892,175,28
175,#L9JJQ289,Team Naruto,8000025,121516,176,27
176,#PULPRLG,Tahitian Family,8000013,120141,177,29
177,#88RJLPCL,Tahiti Brawl,8000013,118718,178,14
178,#229QCLCPC,ARDADA,8000059,118693,179,28
179,#2C9GC02YG,Darkness Angels,8000041,118621,180,7
180,#UY929R0U,гриша про,8000005,116219,181,28
181,#2YP9QULPC,JABROS,8000003,116194,182,30
182,#VJYG2C0P,team rion,8000029,115324,183,25
183,#2QQYJUCVP,tc family,8000058,113623,184,15
184,#2G2G0GJLJ,kenji,8000039,112194,185,30
185,#2Y280QQ8C,Клуб: #2Y280QQ8C,8000027,111498,186,22
186,#2YC0JUVJC,FR STAR BE,8000055,110757,187,27
187,#C0R88YYL,девочки из Росс,8000029,110512,188,21
188,#YV8LLY2J,famille leogite,8000041,110344,189,30
189,#2RCJ9Y8P,TTSAH 987,8000029,110317,190,30
190,#2G8VP28CR,La5declm,8000023,110283,191,10
191,#289RR8GYJ,мегель,8000050,109393,192,30
192,#2JG8RRRL,Mooz987,8000022,108594,193,11
193,#UJUGL2GQ,tahiti 987,8000015,108378,194,30
194,#8QC2VG9Y,KCZ,8000029,108139,195,28
195,#Y22PLY00,I_m_Tahiti,8000004,108044,196,11
196,#P0PQCU0V,PMS987,8000017,107723,197,30
197,#22CUG2V2V,<c7>Vip</c>,8000029,107694,198,29
198,#8VJV08VV,1k dino,8000059,107665,199,30
199,#2QJ22YYU2,Team Astral,8000018,107499,200,7
