,tag,name,badgeId,trophies,rank,memberCount
0,#GUR920P,Ливерпуль,8000005,1028707,1,30
1,#JPQJ908G,BrawlStarsArmy,8000035,952177,2,30
2,#YY9L20J8,TheLegendzdary,8000006,949400,3,29
3,#C9QY9P80,Hold-up,8000022,892861,4,28
4,#29LJ8UQP9,road to 50k,8000036,885024,5,30
5,#22RRYYULL,0️⃣Zero Stars🌟,8000037,819122,6,26
6,#29G9LRYY8,сильные🔥,8000037,742307,7,28
7,#800CP9PY,💕LES BEST💕,8000010,720573,8,30
8,#QQLJUPY0,WIN AND OVER,8000005,696087,9,7
9,#2G9V9VYJL,Jzm35⛩️,8000037,680585,10,27
10,#QQVVP9GU,⛩️| Lrst79,8000029,655839,11,25
11,#YJYQUVU9,@Skull_Ticklers,8000050,646901,12,30
12,#2CJ9YRC9Q,MistYY,8000004,594343,13,29
13,#2JVYPRGJ0,👑ZoTaXiOn👑,8000037,589215,14,30
14,#8YVJYP9P,LES AMOUREUX💖,8000011,586771,15,30
15,#2G9YPU2PR,Barbarian Air,8000009,541990,16,30
16,#URC9LL2V,iubiti❤❤😍,8000007,529062,17,16
17,#PCPR9YP8,pro 7a gang,8000029,527811,18,26
18,#2JP9PVL9V,mega_mushki,8000036,526078,19,30
19,#29R8U90U0,김정은의 ASMR,8000025,502227,20,30
20,#2L8V2V9G8,Football team,8000021,501486,21,28
21,#LUUJLRVY,EL|CLUB,8000023,493799,22,2
22,#282LV980R,<c7>NRSxREN</c>,8000004,485865,23,30
23,#20RU8U9PQ,Frankrijk,8000009,465949,24,28
24,#9GUG82YR,Tribute Nation,8000029,454570,25,24
25,#8809RCR9,ermite,8000036,438079,26,27
26,#2C2L2P029,komkommer28,8000018,432758,27,30
27,#UJP9GP09,BOCA,8000011,429483,28,30
28,#UJUP9L2Q,♯お鼻畑,8000035,410051,29,19
29,#2JYU9C08V,tornillo..,8000013,404457,30,28
30,#2GYQC2YG8,Batya_Hyra,8000038,390163,31,24
31,#2G9JPU9Q,わくわくわーくす,8000018,384472,32,27
32,#2YPRLQJCP,東京オモンジ会,8000013,380711,33,28
33,#2G99YC2UQ,Родные,8000030,361016,34,29
34,#2JYJP0209,AGENT ARMPRO,8000053,359220,35,30
35,#20P9CL0LU,OverPower PL,8000005,359118,36,1
36,#QU22CJ0L,bassano sei Hu,8000008,357248,37,25
37,#U8LCGY0Q,Les chArdons,8000004,338753,38,20
38,#CRCRCJJY,CHRISSAN,8000025,336720,39,25
39,#GYG9PURV,fire power,8000022,336358,40,3
40,#QJG9RPQ2,mega kumbara,8000011,335589,41,30
41,#2JY2VLL92,9 au plat,8000039,331599,42,30
42,#2Q09UQV8U,les Uchiha,8000036,329379,43,30
43,#2YQUUGGUP,teateam,8000055,327916,44,30
44,#2GRQ9PGG0,荒野補給戰,8000043,301735,45,30
45,#2Q229L8Q8,AS LENDAS,8000018,295452,46,30
46,#UUCJUP8Q,TR.ÖLÜMSÜZLER,8000023,294061,47,30
47,#QG8QLV8R,08 Club,8000021,292850,48,30
48,#JGP202VU,😎COOL BEYBİLER,8000029,290666,49,4
49,#2UJP2UUU,💢Семьцури💢,8000059,288707,50,20
50,#2CQCGY8RQ,גזר,8000013,287378,51,22
51,#UL0YL8LC,de poepies,8000058,283371,52,30
52,#228JLJVVG,TC|LEGENDS,8000031,279111,53,13
53,#202YPP2JP,3 папы,8000059,277046,54,17
54,#228UY08UG,Отряд про Д,8000021,274596,55,22
55,#RQPQYG82,TEAM TREES,8000039,268563,56,24
56,#LQJGUQ82,бравл сторс,8000027,267778,57,15
57,#2JCLY8G8G,mon club,8000049,267255,58,29
58,#Q8YQPYJP,5D saimbey,8000007,264855,59,22
59,#89R9P0YJ,Леон,8000004,264688,60,14
60,#2G2U8GVGJ,D1,8000029,261632,61,28
61,#29JP2802R,knobbimilch,8000019,259784,62,24
62,#29V02RL8V,ClubGg*_*,8000025,255437,63,21
63,#2VL02G9G,azer,8000005,249973,64,17
64,#2Y02CVUQQ,стоп гуляшам,8000041,249415,65,13
65,#29GVU9RQ8,iyi oyniyanlar,8000050,249099,66,30
66,#2C8R2RRV8,gabincat,8000034,247184,67,30
67,#20C2VCGJC,Brawlity Clan,8000059,246886,68,19
68,#289GQC8Q8,TRANSİLVANYA,8000057,245051,69,1
69,#2VU8P8Q,Los cipotes DK,8000004,243408,70,18
70,#LYLGCYLV,crni cerak,8000037,239561,71,30
71,#VV9C9CQC,eSports Austria,8000033,236643,72,17
72,#28288Y2JU,GAMECLUB,8000006,235375,73,30
73,#LCP8LRGR,кеюкак,8000001,234815,74,30
74,#2C8VQQYL9,zz or zfr,8000035,234216,75,22
75,#2R9VQ2RLP,BusstrublE,8000052,234010,76,14
76,#2CR99P829,7a подлесное,8000025,232556,77,20
77,#2G2YJYYLC,Chill&Co,8000055,232363,78,13
78,#URVGV82Q,SAHRAZ10,8000029,228163,79,20
79,#22PC0U2R9,de bul,8000020,221198,80,30
80,#2P2LC08YU,[Elite] Max5,8000023,220672,81,20
81,#V88UYJYY,Yaşa 2-A,8000023,220578,82,28
82,#2QPL9QV89,гули,8000053,217112,83,30
83,#20YLU9RVP,lol pol is king,8000014,215892,84,19
84,#UY99JCL,Canards Boiteux,8000022,215718,85,30
85,#2QQGYQQ2Y,Соня гей❤🥀,8000006,215515,86,13
86,#8QLJG0V9,FUJISAN／^っ^＼,8000055,214024,87,30
87,#2P29GPGCU,рарау,8000029,213863,88,30
88,#QY88J0YP,B a W e r💀,8000031,213080,89,30
89,#29LJUULYV,[YT]\/DEEP,8000050,211921,90,15
90,#2Y2G9GG9V,CLUB MALAYA2021,8000023,209626,91,25
91,#2G8QQ80J0,crms+mickel,8000033,208860,92,29
92,#QR2RJ9G2,сандаль,8000023,207244,93,29
93,#828V2UY9,Beberbi,8000008,206196,94,11
94,#2QCC0C8VL,антидиз,8000059,205398,95,11
95,#2G2CG0L2Q,ÖLÜMCÜL MAKİNA,8000004,204110,96,16
96,#2882LLJLP,киллеры 220,8000018,203506,97,26
97,#CRPU2YRJ,<c,8000023,199971,98,30
98,#2Q2820UPU,inflammation,8000037,199923,99,13
99,#PPG9QGVC,😈😈😈,8000008,197885,100,16
100,#29JY80C82,Другой,8000037,195580,101,21
101,#29RV0YYGQ,BORING,8000005,195156,102,30
102,#2QQ0Y0C0C,산타,8000059,194370,103,30
103,#UGUCRGQ,E.T,8000029,194305,104,30
104,#YRC0Y2L2,BOLK АГУВ,8000023,189730,105,19
105,#2R9UGLYCY,aptalarlanbrawl,8000036,188036,106,14
106,#20QG99QCY,исус3ррр,8000034,187187,107,28
107,#PCYRJRPP,김시원,8000029,185492,108,20
108,#2QGV8PV9V,leefelix,8000025,185470,109,10
109,#8J9LGJ9G,Hungary,8000057,184804,110,30
110,#2GGP9G0JL,aokigahara,8000057,184662,111,13
111,#Q208CPPR,haramiler,8000000,182378,112,13
112,#2JRJ8JUR8,이런 이름은 없겠지?,8000000,181945,113,23
113,#2YGGLGGPG,про apple,8000025,181261,114,14
114,#2YJ0JL2YC,Brawl Kings,8000037,179897,115,21
115,#2YUYU8R2J,team vysocina,8000052,179700,116,30
116,#JYJV9V8C,☆TÜRK STARS☆,8000014,179422,117,19
117,#LUU9JG82,Türkiye,8000004,174615,118,29
118,#QQCJP88Q,коронновирус,8000000,173150,119,29
119,#2908PR080,EDM|FİGHTBACK,8000055,172566,120,30
120,#JV8GQ2V9,Alle rein,8000013,171851,121,30
121,#9JJ8J00R,bt1,8000036,170197,122,30
122,#298CLVJ0L,RPgear_2,8000006,169721,123,30
123,#2Q8PC90V0,GALATASARAY💖💖,8000029,166915,124,18
