,tag,name,badgeId,trophies,rank,memberCount
0,#2RYLCRLPV,☠KillerMachines,8000021,1067507,1,28
1,#JYQ0ULQL,The Pro Kings,8000025,701384,2,30
2,#UUGU9CVJ,Go~Go,8000018,660626,3,19
3,#2JUPPQJJP,dragon glass,8000058,553788,4,30
4,#2JGL0CY0L,<c6>SAINTS</c>,8000041,536145,5,28
5,#2C0LVQPLU,аогири?,8000009,510245,6,28
6,#QRGRYU00,cr7🐏 messi👽,8000023,478640,7,30
7,#2Y22C0PCR,Tayfa65,8000004,437024,8,29
8,#2QRYV22CP,sossegados,8000049,398860,9,19
9,#8PR89CRJ,зельонка,8000029,390663,10,27
10,#UUY2GY2P,LİDERLER,8000005,377918,11,30
11,#22VPG2VU9,🥵lucitik😰,8000049,370287,12,30
12,#2QYCQG0GU,GG/мужики🇷🇺🥱,8000001,360218,13,28
13,#2JJGYV280,GruppoMamme,8000025,357218,14,29
14,#2JUJUCC99,<c000000>AY</c>,8000046,345894,15,1
15,#V0PL0L20,❄️Ice Gaming ¿❄,8000019,335436,16,3
16,#LV2JJG,booty clapn RAW,8000024,332319,17,29
17,#22QJ2RC2U,Leon666,8000039,327479,18,25
18,#CQ8Y99PC,רותם אמיתי ורוי,8000023,327392,19,23
19,#2R20RP8YQ,DÜRÜMBÜS,8000055,309618,20,27
20,#298PPL29L,чис,8000024,308015,21,28
21,#220CC0LU2,Kulüp ligi,8000049,304732,22,24
22,#29GGQQ088,배영초,8000057,304362,23,30
23,#28GU2UPVU,Nerf life,8000029,300123,24,18
24,#290QRPR2V,KANKALAR,8000021,296585,25,30
25,#2YP8Q0JU8,aşk,8000039,290733,26,29
26,#QRRR9GCG,возвращение бс,8000003,282941,27,29
27,#8V02R2J2,АНИМЕ ТОП,8000004,280779,28,27
28,#2J0JJLUG,Laz,8000023,273819,29,30
29,#2C2U80QPU,3 lü kankalar,8000022,273810,30,13
30,#2G2QJQ00Y,nurka,8000024,272661,31,23
31,#2JCUUU980,Catania esplosa,8000034,267054,32,18
32,#2CC20JVVU,Christos,8000057,266907,33,20
33,#2J0URR00,СПИДРАН 50К,8000055,263469,34,30
34,#29GQ8Y0VY,EFSANEVİLER,8000049,258385,35,30
35,#YCCRLU2C,KlanKe,8000027,254351,36,15
36,#209Y0ULVY,Portugal☆Brawl,8000029,253142,37,18
37,#2YPG8VV8Y,PsychoKids,8000004,243974,38,16
38,#Q2YV8L8Y,игроки 404,8000049,243782,39,20
39,#C89VPGCV,YalnızKurtlar😈,8000018,240595,40,30
40,#2CGRCR0R9,김부강뱃쨜,8000018,238083,41,25
41,#20VPRL2UP,Лисы и кошки❤,8000047,234068,42,21
42,#VY2QQ2P0,duter,8000035,232308,43,22
43,#QJYRL22R,NFG|nikokos,8000047,232232,44,27
44,#VVYUU80U,suomi,8000016,232190,45,30
45,#2PJ0VLC00,-BrAwLs-,8000053,231301,46,16
46,#299UGJC9Y,првяр,8000027,223382,47,30
47,#U09Y8L0G,les competiteur,8000055,222303,48,30
48,#290VRVLUQ,END GHOST,8000035,222201,49,16
49,#202UGYP99,les sardines,8000007,219971,50,28
50,#20CULYGUC,❤️BRAWL STARS❤️,8000007,218573,51,30
51,#2G9VRYGCC,LALE SPOR FK,8000035,217787,52,13
52,#YYG220RR,волки паца,8000016,217549,53,29
53,#2RRCQJ0R,brawl no stars,8000008,216183,54,28
54,#CUJUPRPQ,Azəri Stars,8000002,214499,55,19
55,#2G02Y0QGV,ķõbřã🐍,8000045,210212,56,11
56,#2YUPPGJLU,KİNGS👑,8000029,207155,57,20
57,#VCR0YYRC,muhsin,8000000,204172,58,22
58,#CVVCG2VU,MAMİ VE ZİYA,8000029,203372,59,23
59,#9R08JCJ2,deine Mutter,8000013,202682,60,21
60,#2J000CQVQ,ŞANSLİLAR,8000055,200678,61,13
61,#JGPQURJ0,5 ВПР,8000023,200383,62,21
62,#Q2PGRUUR,Master Kings,8000022,199850,63,12
63,#U8UP22Y2,hule und cie,8000013,198929,64,30
