,tag,name,badgeId,trophies,rank,memberCount
0,#228UY9LGR,Barman’s Band,8000029,1352692,1,17
1,#29Q2L8R9J,Los Señores,8000018,1088207,2,30
2,#28ULGPRRV,Remnant,8000035,1081561,3,30
3,#2G8GGLL2C,WWE ~BS,8000007,1049149,4,2
4,#22QYR0QRG,/ToXiC/IO/,8000031,786179,5,30
5,#VQGYPGG,UnknownWarriors,8000006,785807,6,1
6,#2YV8C80QL,新ブロスタ旅団,8000035,736778,7,30
7,#99C029J,Y3 WO KROM,8000029,669063,8,30
8,#2GGQLY28J,MITCLUB,8000013,667465,9,30
9,#2GRV889J0,FC OWEE 🦑,8000023,565859,10,16
10,#20GJ2GVJL,shadow assasin,8000004,520438,11,25
11,#UQQRV0Y,Brawler del Rio,8000025,509251,12,26
12,#2RQGJLQGL,КРУТЫЕ Samurai,8000034,452647,13,27
13,#288PLLGPU,꧁WARRIORSシ꧂,8000037,427746,14,24
14,#2YU00222P,MECH BRAWLERZ,8000049,409445,15,30
15,#JQYRC,GH Assasins,8000004,408113,16,24
16,#2Q8JV2QQL,DOLBAEBI ESPORT,8000040,398387,17,29
17,#2LPPYUGGC,Заложницы Винкс,8000018,397027,18,27
18,#R9UY09UP,Elephant Gaming,8000029,395571,19,21
19,#28JL9VJ8R,SS | SUICIDE,8000059,393360,20,27
20,#29LG9P9V9,ABSOLUTE????,8000051,385183,21,29
21,#PUYLJCU2,맨유,8000029,369661,22,30
22,#LVYRUVYY,w i neri,8000049,360681,23,22
23,#2JR2L9VQC,🐬Likein🌈,8000034,360283,24,24
24,#2GCYR2VU0,Los poderosos,8000047,356178,25,5
25,#28ULYGCLY,ATW,8000051,354743,26,26
26,#UGYQ902C,копчёный гей,8000029,351325,27,21
27,#V9PR2CJ,Team Larry,8000012,349989,28,26
28,#2VYJPVQC,starguys,8000029,336539,29,22
29,#RQLPU9L2,Волки,8000057,333009,30,20
30,#2QU02VP29,bite a snack,8000057,332875,31,26
31,#LJV0Y0RU,Ankle Skin,8000005,328550,32,27
32,#LQQVQ2C8,Crazy frends x,8000037,312530,33,30
33,#2GPV8UY2J,ТОШЛО СКВАД,8000022,306764,34,20
34,#LJG0JPLQ,Крутые ребята.,8000021,306738,35,26
35,#L008U2JR,Coconut Team,8000014,303691,36,30
36,#2LPPGG2R0,TEAM GHOST,8000039,287697,37,11
37,#229PR0898,тнк,8000009,282392,38,30
38,#LCG8J9VY,MANU KIN,8000019,279352,39,22
39,#9P9JGGGY,ТИК_ТОК_,8000023,268286,40,27
40,#2G2CLCQRU,Gaming group🎮,8000048,259854,41,27
41,#20P98U9LJ,Brawlly boys,8000041,247100,42,26
42,#2QQY0Y9RR,АнтиЧестеры 👎,8000003,245550,43,16
43,#L9R80GP0,Los Insanos,8000027,244081,44,28
44,#ULLJP0,TYLKO NAJLEPSI,8000019,239335,45,3
45,#VU0RV88P,Spaghetti BOY$$,8000018,233478,46,28
46,#29JC9URVY,…⏰…,8000034,230790,47,17
47,#299JY0GJR,Efe ile Berke,8000059,230350,48,19
48,#9LR022UY,무과금원정대,8000012,228818,49,23
49,#V9C0LUUQ,12345рай,8000000,225442,50,25
50,#2R8R9CLGL,Bard,8000018,224569,51,28
51,#2P8YJGUJU,тут тик ток,8000023,222625,52,29
52,#C9YUP8Y8,5d,8000003,222365,53,26
53,#YUYV90PC,культ пельменей,8000047,221281,54,30
54,#2G8Q9PPYY,scemo chi legge,8000039,219167,55,30
55,#20V0C2U9P,scorpioni,8000004,215984,56,26
56,#CYLVJQV9,under score,8000007,214700,57,16
57,#2PPLLLLR8,паварешка,8000041,212991,58,18
58,#2J8G2GGJP,плюшкины,8000008,211994,59,29
59,#RJQ0VGG2,maxM,8000023,211497,60,29
60,#20P0Y2Y9C,粉碎吧！,8000035,210300,61,30
61,#UV282V8U,POP it Emma,8000002,209163,62,29
62,#VGLY0CC2,MemeFace,8000059,203986,63,26
63,#2RL00L0UC,ЖАК ФРЕСКО,8000031,195745,64,8
64,#CQURLRRR,Гремлены,8000045,195014,65,12
65,#29002C9YV,6А | SqaD,8000007,194468,66,14
66,#2G0V8992Y,Bomj squad,8000029,193540,67,3
67,#YR0G8929,СкиФФы...,8000016,190850,68,29
68,#2Y2RP8L8L,Кибер клуб,8000020,189770,69,30
69,#CP8Y20VR,Razulpatuf,8000018,184633,70,24
70,#2J8QJJQ9U,иван,8000059,183948,71,12
71,#298UYUGR2,ЧЁРНЫЕ БАНДИТЫ,8000029,181852,72,29
72,#C08VVGGC,арс23,8000042,181141,73,24
73,#2C90QQ2RJ,SigmaSquad,8000033,180942,74,16
74,#VQV0GUGR,WHISKAS,8000059,180329,75,12
75,#2PGY8L9Q,Los Chobanos,8000004,179841,76,13
76,#RPVURLQ0,екуц,8000001,179734,77,30
77,#2QQLU0QG0,la zone 29,8000014,178859,78,30
78,#2QU0RJQQ8,RagedKillers,8000007,178085,79,27
79,#UU2QLRGU,Seig Heil Primo,8000004,177131,80,30
80,#CGJGQ908,Boruto Naruto,8000029,177036,81,28
81,#2JUUQQLGR,BlackRed⚫🔴,8000037,175738,82,9
82,#2LYCCLYYR,LA ORDEN CALVA,8000039,175428,83,11
83,#29RYCQU22,버즈군단,8000033,174704,84,28
84,#UCY2G8JG,давид и эдем,8000001,173766,85,28
85,#22YJ90GPJ,падик57,8000034,171133,86,9
86,#2P289CLL2,КАЛАБОЧЕК,8000017,169297,87,25
87,#PCPPG8YU,Grom's Club,8000035,169247,88,9
88,#2C8RUCVRU,pro-Jo,8000037,168960,89,30
89,#QC8Q8G02,Gasbros Gaming,8000023,167343,90,19
90,#22U2VL9P8,Club NJ PRO,8000007,167324,91,30
91,#2QJLY0GL0,no cap,8000011,166525,92,29
92,#29LPG9QR2,ZERO😈,8000019,166277,93,23
93,#2QRGJLYRR,TAI LEG£NDS,8000033,166184,94,30
94,#Q0LVU9CY,<c4>一人国王</c>​,8000055,164535,95,10
95,#2YLP8PVJY,alojaaaa,8000006,163175,96,30
96,#20PJ0V8GQ,KexxIm,8000035,163170,97,27
97,#2G8YPYPPL,ZŁOTY BROŁL,8000059,162706,98,26
98,#LUV8QGLQ,КМДШ,8000010,162301,99,23
99,#QQGPVLJL,Giorgio,8000007,161313,100,17
100,#VVJCURQ2,🇹🇷|Lord,8000023,160575,101,17
101,#2Y02QQG2Q,В ПЕРЁД,8000037,160088,102,9
102,#CC09RJR0,Иосиф топ,8000006,157585,103,29
103,#G2LQJ280,relatiecasino,8000028,157448,104,17
104,#220Q0JYG9,путь леги и сон,8000037,157371,105,26
105,#22RQ98820,все анакилы,8000053,156902,106,9
106,#PJPR2QQJ,edik fun tube,8000024,155614,107,30
107,#29PLQJJ0L,FlarryTeam,8000018,155436,108,28
108,#2Q0JLVJQ8,Die Brudi Rudis,8000029,155295,109,30
109,#PGLYRQCG,IDINI IL PAZZO,8000018,154308,110,28
110,#2L2LUUP2Y,위미초 4학년 1반,8000004,153821,111,28
111,#YQGY9YGY,Mystic Supreme,8000003,153585,112,17
112,#QQ8GGGU2,Linajes y Soria,8000026,152656,113,25
113,#JCRQ0UVV,BICE JOHNA CENY,8000018,152654,114,30
114,#2Y9RGJYQP,Бойцы,8000049,149707,115,30
115,#2298JVR9U,гей клуб,8000056,149330,116,29
116,#29GGR0JLY,JTIR,8000047,149216,117,30
117,#29U8G0JJV,фк сатка,8000029,148965,118,30
118,#2JL9VQ2Y0,Miko,8000035,148185,119,30
119,#28QUPPGJQ,heat,8000037,147636,120,23
120,#YY2JRRQL,Ben komm Club,8000013,147480,121,25
121,#20PLGRY09,Weihnachten,8000018,147187,122,20
122,#2228L2VRG,Амир фи,8000021,146657,123,30
123,#RVGYP2L8,бо-бо,8000004,145408,124,27
124,#UPY0UJLL,4 бббб,8000027,145047,125,24
125,#2J9R2PVGU,üç kardeş,8000042,144111,126,28
126,#GVJ2RYVP,дт проблема,8000005,141961,127,28
127,#PG9RGJGR,банда ютубера,8000004,141733,128,29
128,#299PC92V9,очко,8000056,140901,129,23
129,#2892JCQRQ,САМАРА ТОП,8000000,140799,130,17
130,#288QRQJ8P,[лесные],8000023,140433,131,30
131,#2Y2VUQYYU,nashe 🏃‍♀️,8000036,139960,132,28
132,#2J8R8JLVY,i ciruzzi,8000041,139611,133,25
133,#YVQRL2JJ,home,8000027,139491,134,6
134,#QUUPJ9L8,ч5рный STALKER,8000016,138988,135,15
135,#9Y2C9UP,time joueurs,8000016,138421,136,22
