,tag,name,badgeId,trophies,rank,memberCount
0,#29P82YG02,AnGeL OF Death,8000007,1705509,1,29
1,#2GPYQ2PGL,Just <c8>NA</c>,8000041,1144363,2,30
2,#YULUG8YJ,🧡BS-SAGA|™️🏆ı,8000049,1008301,3,27
3,#2CRQ0GJVG,Natalino,8000013,891602,4,30
4,#2992YLRQV,gwadaclub,8000041,866011,5,30
5,#28LYUJYQU,gwada perf,8000041,847346,6,30
6,#2PYVQ0LLP,Golden Hills,8000025,812493,7,30
7,#299LCV0J0,Ｂｌｕｅ♕ｌａｇｏｎ༻ᴳᵒᵈ꧂,8000059,730263,8,23
8,#LCYUG99Q,🔥fire force🔥,8000037,709871,9,30
9,#2PUGJLVG,Deadly Sins,8000007,700413,10,30
10,#2LRRU2990,BrawlerSquad971,8000037,670627,11,30
11,#RG9YQ0RJ,maco115,8000031,654871,12,30
12,#2CPU9LPGG,<c5>PTW!</c>,8000054,648952,13,30
13,#29JURC2YG,KING971,8000029,640645,14,30
14,#G2QL8QR0,<c9>PSY</c>CHO,8000004,615840,15,30
15,#2G0RVPGLJ,Light Dragon🐉,8000049,578594,16,30
16,#2JJUVU9PU,Antilla FANclub,8000019,565847,17,30
17,#2YGRY9G29,Team fr,8000037,561046,18,30
18,#29R9UVQ9G,GUADELOUPE,8000007,545538,19,29
19,#2998YQURR,Stars_Familly,8000018,508014,20,23
20,#2G2LUJQPL,Fc.G₩ada,8000049,488360,21,23
21,#PPJPQLGR,france,8000021,487169,22,25
22,#QQV8VR82,Apera,8000007,479676,23,24
23,#2G0G9J88R,la vavan army,8000023,477900,24,30
24,#29LCY9JYJ,gang🐉,8000032,462916,25,30
25,#2Y9CQUP00,가나,8000037,445014,26,29
26,#2G8JR9CCL,🖤🤍🖤🤍,8000017,437195,27,16
27,#2JCP9UY82,조잼민 클럽,8000029,433034,28,30
28,#2R8P0LVPU,blp,8000037,427827,29,30
29,#2L0VPPYV2,ДрАкУлЫ🦇🦇🦇,8000037,420354,30,24
30,#2GPQVQR9G,Just NA 2,8000041,414290,31,30
31,#2JJY8RC8R,NEW Generation,8000023,412841,32,27
32,#2QP09RCGQ,Le fantôme lusd,8000031,409692,33,25
33,#9QRG222,Midori,8000022,404790,34,24
34,#2PCRUG8LC,RUGBY GWADA,8000021,401908,35,22
35,#2JJYPQQRL,SOLEIL PIQUANT,8000037,390585,36,30
36,#2GLGG9Y0U,Клуб 7г,8000034,370246,37,30
37,#2CRLCYQQ8,The <c7>WIN</c>,8000034,368910,38,30
38,#2JRPGQ0VR,OG|Aegis🛡,8000025,364189,39,14
39,#922G9LP8,GUADELOUPE,8000007,361666,40,30
40,#2VPRP2J9,Team Hihaan,8000049,358042,41,25
41,#2C2JC0QGG,KNS,8000021,357343,42,25
42,#2CGVU8Y8L,SOUL SOCIETY,8000035,355770,43,30
43,#8YVCULR9,gwada971,8000018,342235,44,30
44,#VP8V2LUG,Boss💍💍,8000059,339500,45,27
45,#2R0Q2P0GG,LONG SILVER,8000023,324128,46,30
46,#QJPJPJG0,fr.club,8000058,322536,47,30
47,#2P8LL2LJC,Elite Gwada,8000023,321838,48,28
48,#CQ0G2800,StratosFame,8000004,307062,49,25
49,#2YQGUYYCQ,nounours,8000039,301926,50,30
50,#90L0P2V9,LES ALPHA,8000037,290516,51,29
