,tag,name,badgeId,trophies,rank,memberCount
0,#8C2J2LGR,Kukavice,8000019,1752563,1,30
1,#VQC2JJYY,☠KillerMachines,8000004,1669825,2,30
2,#88Q8CQ2Y,Golden Kings,8000037,1635984,3,30
3,#2QJLCG2J8,Chapulines 🦗,8000043,1443126,4,30
4,#C9RV02YJ,Demons Sikarius,8000040,1407792,5,30
5,#2Q9C8VUGJ,TheWarriorS,8000059,1399925,6,30
6,#PLYQ0CLU,Dark warriors⚔️,8000005,1344227,7,29
7,#2C8LYYQGU,1st Generation,8000051,1327813,8,30
8,#2Y9GQ2Q2,CR Sports,8000010,1318612,9,30
9,#98Y0J808,❤Jass&Crispin❤,8000053,1306012,10,30
10,#2CPRPGVUU,ElitePhoenix🔥,8000037,1276933,11,30
11,#RLGUL29G,DoomStars,8000004,1259777,12,30
12,#2QLPYCU8Q,RawrLovers,8000041,1255221,13,30
13,#29V2YVL8R,Guatemala 502,8000059,1254737,14,27
14,#28CP8QC9J,RεЪσяหLεgεหdร,8000023,1253261,15,7
15,#2C0YL8LVJ,Brawlsito,8000030,1252260,16,30
16,#229UVLYYU,Hermanos Santiz,8000056,1246384,17,30
17,#2228Q0V,atake real,8000059,1232481,18,30
18,#2JRY0QPYR,Unión Soviética,8000035,1223682,19,30
19,#29L8RYV8C,CHAPIN GT,8000021,1216231,20,30
20,#22CCR2QJL,Los Papus,8000039,1211071,21,30
21,#2G9YPPL98,outcasts,8000023,1207881,22,28
22,#QG0RUQ22,ThunderPlayers☣,8000007,1197748,23,30
23,#V0R8U8LU,Los Tortrix,8000055,1194488,24,30
24,#U9CUU2R9,|GT|Dark|Slayer,8000023,1176521,25,30
25,#2G0Y0V8VV,Clarity Realms,8000010,1176235,26,30
26,#2RQC8LJ29,WARZONE,8000027,1171168,27,30
27,#299GRGC2J,Lasting Guard🎲,8000002,1169583,28,30
28,#2QJJL09JC,❤️PSH ELITE❤️,8000045,1169505,29,30
29,#P9YYJQ88,ᴛᴇᴀᴍ♰ᴇʟɪᴛᴇ,8000043,1157575,30,30
30,#Y90QLYPU,los pro#1,8000025,1151314,31,30
31,#2C8Q0YG8U,TD | Canelitas★,8000023,1149680,32,30
32,#2R0VRU8QU,Ecu SPORT 200Cc,8000036,1149222,33,30
33,#GGJC0822,Legion Trueno,8000019,1146967,34,30
34,#PPGVQYQP,mikan,8000052,1135131,35,30
35,#QP9V889R,THE Dark Ones,8000035,1130861,36,30
36,#20RGQQ90C,Guatemala Pros,8000049,1130336,37,30
37,#R98P8CP,Guatemala,8000035,1119945,38,30
38,#2LL8UGG98,LOS_MASTER😈😼,8000004,1117241,39,30
39,#20YL9288C,GT brawl,8000045,1112784,40,30
40,#2PLVUG88P,🥀ßl00D M00N🌙,8000039,1111412,41,30
41,#P2LPLLLG,NOVA I GT,8000003,1108376,42,30
42,#R0YQQ0U0,Guate,8000023,1107065,43,30
43,#2JQLRY9J,Guatemala,8000042,1103395,44,30
44,#2YLPGR80Y,Team22,8000023,1098498,45,30
45,#22220VLR,Gt Brawl Stars.,8000004,1096303,46,30
46,#2Q8PGPVP8,All stars ⭐️,8000018,1095877,47,30
47,#PRVUQG,Brawlers,8000037,1090780,48,30
48,#UU2LVPQC,Kings Army,8000055,1086536,49,30
49,#2V9CG98,Xela Forever™,8000040,1084862,50,30
50,#2JLVLVC00,POCHITAS GT,8000037,1084812,51,30
51,#2L2G89UL8,TNT,8000029,1082897,52,30
52,#2LVJ28YV0,Los de 0,8000013,1075248,53,30
53,#P8LG2LRV,Darkness Of Man,8000010,1068447,54,30
54,#28C2JGV29,☢TEM NOVATOS☢,8000049,1056389,55,30
55,#PQ9QJ9,RealG4Life,8000004,1050823,56,30
56,#YVYLJ8P,LOS VATOS GT,8000018,1049245,57,30
57,#29LV0089P,Team Lan’s,8000055,1044473,58,30
