,tag,name,badgeId,trophies,rank,memberCount
0,#GUV0PPV2,♞KoT♞,8000029,1195935,1,30
1,#2JPLLLR9J,Пусюшички,8000057,971033,2,30
2,#2GU9U0PJC,♞KoT♞²,8000023,789602,3,25
3,#28GRYCV0G,Україна,8000017,768166,4,30
4,#2GUVL9V99,ЛКК+,8000057,672041,5,29
5,#22QLPUGJG,TINDOWAR-SK,8000037,669812,6,26
6,#2JL2GVQQJ,Brawl Kings One,8000059,611756,7,25
7,#2G99GLY0Q,ggs💔,8000037,608829,8,29
8,#22LU89VLL,caramelitos,8000023,595956,9,30
9,#2980PG2YV,ブースター,8000027,556260,10,30
10,#C9CG809C,MiliJ. Club,8000023,525948,11,29
11,#2R92LULYG,Bacagorda,8000008,510449,12,29
12,#U8RJG0YC,香港人,8000016,483586,13,30
13,#Y2GVVP2J,YILDIZLAR,8000000,471796,14,3
14,#2JQ8P8J9P,Kloob dlya laki,8000039,461801,15,19
15,#8VRJU9J,Deeno,8000026,422870,16,29
16,#2LGJPC2Q0,МЫ ИМБА,8000057,339539,17,30
17,#29QV2UPUV,Legend's club,8000044,333848,18,29
18,#C2G0LQ9,TEAM yarrabandı,8000059,331514,19,30
19,#2JCGC0GGL,Golden Wind💨💽,8000049,327853,20,13
20,#QLJ8GVQJ,пацани,8000029,326986,21,17
21,#2GQCUQJ9R,كونت لين,8000059,319424,22,22
22,#2QR0UVVP9,Орда шлёпиков,8000059,318258,23,30
23,#RCQCJJ98,ДддддддддД,8000042,306027,24,28
24,#QJJ0LV2C,GOOD BYE CLUB,8000027,300552,25,28
25,#2GP8GQGCU,Третий рейх,8000001,293192,26,30
26,#JG2Y0CGL,joke,8000055,275020,27,27
27,#C80C92QC,Боевые Хомячки,8000047,272378,28,13
28,#29R2UVJUG,8642,8000029,269784,29,30
29,#2JG0JGVUV,Team,8000057,256101,30,29
30,#2PR8YQCPY,ZINK,8000018,254590,31,30
31,#22GC0QQRR,sebas 90,8000029,254343,32,30
32,#2UYVPUPC,舌忝女乃豆頁幫,8000022,243162,33,28
33,#PLVQUYL0,pillow people,8000059,242551,34,25
34,#PYVPRJ2J,Tara's Club,8000033,240875,35,30
35,#20CVPQUGC,великий пабло 2,8000057,236744,36,29
36,#2CGRQVCGY,OyunMahkemesi😡,8000057,230206,37,30
37,#2LUYG8UJ0,♞KoT³√♞,8000055,229262,38,11
38,#2GRPPVQL2,🕊Angel👼,8000057,228068,39,29
39,#2J8U0PJGJ,киберспорт клуб,8000025,227437,40,17
40,#2JY22P29G,Meme Kings,8000056,224982,41,11
41,#2Y99CRV0Q,Не Кактус,8000004,215207,42,14
42,#2G902C0L2,9-K,8000059,210178,43,23
43,#2JR9PCCJR,BoysNEXTdooR🥵,8000005,207370,44,10
44,#VUJLVLG,C H O N K,8000010,200835,45,30
45,#2GRU9U2UP,7А-школьники,8000055,199249,46,13
46,#2JG2J2CLJ,Zdf_Bidonville,8000059,198545,47,13
47,#2Y0LV90YJ,👋LEON BS🏆,8000008,198423,48,30
48,#2GQ0L9GJV,кибер|play,8000018,198414,49,23
49,#GPUL9V20,мама я дубая,8000020,197711,50,27
50,#UGURGYG0,Love_Brawl❤️tt,8000049,194429,51,23
51,#2QQJ8RUY0,Tikers,8000017,193790,52,24
52,#2YCYPY80Y,十五勝加減打,8000057,186308,53,8
53,#G9CL8LY9,МАРКЕЛЛ БоБиК 3,8000012,186272,54,27
54,#CQG8P8Y2,Эдгар и Колетт,8000035,185874,55,29
55,#2GRRCU9YY,DREAM TEAM,8000051,181432,56,10
56,#VV20LG02,ЭТО ШД БРАТИг,8000057,180219,57,27
57,#URL2VRYY,Вова и миха,8000057,180132,58,27
58,#2Q9L2YQRY,кеге,8000029,179069,59,30
59,#2R2LVCRQ9,Tatari,8000000,176955,60,8
60,#VJP90JV,ApEs,8000009,175714,61,22
61,#2QCJGRQV9,Rip_Family_Rus,8000037,172058,62,30
62,#28LQQQLLL,Uchihaklan,8000031,165939,63,30
63,#YR9Q9JQQ,Bot Like Bandit,8000013,165485,64,16
64,#VPR8JU9V,Таверна Гримма,8000045,164270,65,28
65,#2GYYPP2R0,"""клан""",8000034,160920,66,15
66,#JJ9LQYU0,PortugalPower,8000029,158484,67,28
67,#RUCCCG99,hahajoe1234,8000006,157104,68,24
68,#28JVCRQCQ,ПоТДерЖка Miksi,8000023,156621,69,30
69,#LPV9YV02,als ich bin jet,8000012,154685,70,30
70,#29P8URC88,НЮХАЙ БЕБРУ 🦅,8000029,153362,71,29
71,#9GR8QRCL,StArIj_DeD,8000005,152337,72,28
72,#2PVUYRRCG,Суета и бебра,8000004,149967,73,11
73,#2CLC92RJV,YouTube캐리하는사람,8000021,148981,74,30
74,#2J99VQ8PR,pocosolo_pcs,8000016,148842,75,10
75,#2J0JJCURU,банбанана,8000025,148397,76,22
76,#8QY0YLUR,xd123,8000029,148192,77,25
77,#URCPURLJ,чотки леони,8000000,147196,78,30
78,#GQGCPL8J,PRO 100 Я,8000029,146966,79,29
79,#VLYU9PVL,наш бс,8000035,146923,80,17
80,#2JVQVVYCU,SALATALIK🇹🇷,8000055,146658,81,30
81,#28J09G888,Ретро⚡,8000038,144761,82,16
82,#RV2R9VV0,Акбар и самир,8000029,144061,83,22
83,#280QGGJ00,pribish gang,8000001,143976,84,30
84,#2YY09JCR2,Нубыツ,8000018,143733,85,14
85,#RPCYJ990,Old's Elite🥀,8000037,141328,86,9
86,#28RLCU2GC,LAST BEBRA,8000000,136432,87,5
87,#22CQUL82P,Fortnite gamers,8000020,135695,88,30
88,#V09R2QYQ,|🇦🇿Pr1sOneR,8000035,135508,89,20
89,#C88VUY20,sunfall,8000016,134184,90,29
90,#290UU2UQP,fgyfoitrurukggj,8000003,133984,91,29
91,#L2GUCP8G,мы киберы,8000020,133592,92,30
92,#QQRQJYRC,WLMB23,8000046,133482,93,20
93,#282C00P8R,турой,8000059,131998,94,30
94,#22RVY88UY,•Death Squad 36,8000053,130488,95,6
95,#P2Q9VYYR,die drei Punkte,8000013,130364,96,27
96,#8UCJL98G,CTC,8000025,130326,97,23
97,#22V999GPY,GG|Sqůað,8000039,130006,98,7
98,#2QLCVCURP,ANTI TOKSIK🇺🇦,8000043,128940,99,6
99,#2RJJ2C0YY,pan,8000037,128899,100,29
100,#U98PJ088,Miro Gaming YT,8000057,127141,101,7
101,#9PGQRLP,Da Bos Bois,8000003,127072,102,25
102,#2YQJUCQ09,🍕Анти ПрИмОс🍕,8000027,126592,103,25
103,#2JJL8CRLQ,ONW|ESPORTS🇹🇷,8000023,126433,104,29
104,#QQRC2VC8,🇭​🇪​🇩​🇪​🇫​,8000023,125907,105,30
105,#2J2QULRUY,7 Deadly Sins,8000023,124948,106,26
106,#29JY0CJ2R,lavuk,8000029,124300,107,16
107,#U9CYQ0LC,ми все топ,8000005,123597,108,12
108,#U0RJJPYL,BRAUTW,8000027,123041,109,8
109,#2C8QRUGJU,ВОЛЬТЫ ЖИВОТНЫЕ,8000004,122331,110,26
110,#QYJ2QUYP,1vs1,8000006,121010,111,30
111,#2YRL0UU9Q,1vs1,8000018,120122,112,24
112,#22VRU2JPU,25 РАНГ АПАЕМ,8000000,119920,113,18
113,#20PV902VQ,tt.ToxaBorzov,8000007,119702,114,14
114,#2GJ8LQ2JR,[BAN] DEDDY,8000054,119683,115,8
115,#2L29VVY8R,клан пошлых,8000023,119364,116,7
116,#2JUPQC092,club coins,8000029,119184,117,8
117,#9JRVQYGY,Pikteam,8000004,118479,118,23
118,#2QJCVG22Q,шахзат,8000013,118342,119,30
119,#2LJ8L8QJG,GGWPBIBIXMORTIS,8000029,116334,120,29
120,#JR2QVUG,САМАКРУТЕРЫ,8000027,115998,121,29
121,#2JCQQ90J2,Thebestclubever,8000059,111504,122,29
122,#2GP0UPGPU,HAYELET,8000057,111317,123,24
123,#YQVJ8VGY,King clube,8000013,111085,124,30
124,#2QVU9CJ0C,Jupiter🪐,8000029,109246,125,12
125,#8G82YUGV,Топики🏆,8000029,109048,126,27
126,#28JQRJQYR,Tank_TT,8000029,108102,127,29
127,#JY9GQVCU,ЛОЛКА КЕКА,8000018,107315,128,16
128,#CGPQV8VY,🌏СУПЕР СИТИ🌏,8000004,106450,129,21
129,#Q0GVVVQQ,Spikes Salsa,8000005,105987,130,27
130,#JVQ0RCVQ,LOS ADOPTADOS,8000053,105735,131,6
131,#U2JR0GQ0,BRAWL GUERREIRO,8000023,103226,132,30
132,#2GCUCC2QQ,Funny|gg,8000059,102412,133,10
133,#29Q9RJRRR,KERIMOOOO,8000055,102166,134,13
134,#UVPQYLUG,GERÇEK DOST,8000013,100917,135,27
135,#YGYYQ9JP,⚡BrAwLeR Elite⚡,8000015,99545,136,14
136,#29GVRQ9YG,Gece Yıldızları,8000029,99184,137,9
137,#G8LYVRVL,друзья 220,8000013,98980,138,30
138,#20800LP8R,др рр,8000039,98264,139,19
139,#U2Q0980Q,САМУРАЙ,8000023,98027,140,28
140,#CV92C89U,Скуик,8000057,97918,141,29
141,#2YL2GUY9U,bany,8000034,97863,142,9
142,#92RU089R,клклк,8000050,96310,143,10
143,#VYGP2YRL,YT:sk.luca,8000037,96284,144,9
144,#L0UR20L0,YENİLMEZLER,8000055,93863,145,9
145,#GCRV29JP,杯杯,8000029,92462,146,23
146,#2RPVUU9C,Team Fat,8000004,92201,147,26
147,#V8R99GU9,маман,8000029,90664,148,28
148,#2CPUC2PJY,гг,8000035,89982,149,7
149,#2PC8L8J0R,33квас,8000017,88970,150,17
150,#LL2YJ0R,А4,8000020,88935,151,27
151,#20Y922RR9,дэи ми,8000029,87712,152,28
152,#U9RCULRP,Bro Team👿,8000029,87609,153,8
153,#22YGCYV0C,Town lads,8000028,87379,154,12
154,#UQVJ92QG,крутой ратой,8000007,87013,155,24
155,#2J8JPL92,Krumpir Tim,8000027,86645,156,28
156,#QP9JJCV8,125 SOK.Ćoçukla,8000029,86240,157,26
157,#20LGU8CJ,arian352,8000029,86160,158,21
158,#YPVPCY8V,Figgers,8000024,85886,159,13
159,#C8RQ29VQ,ΔΧ,8000029,84790,160,23
160,#PRJYJUYJ,gsy goblins,8000015,84403,161,14
161,#2GC8PC2JJ,лучие,8000059,83697,162,4
162,#9G2YLR,N.P.S,8000004,83417,163,16
163,#9L88J8GR,(TOP_SO_TOP),8000057,83404,164,19
164,#PC9JP2G9,супер😎😎🤑,8000008,82698,165,30
165,#99CCJ2R2,쿠마몬,8000018,82358,166,6
166,#JC8PCYC2,spike222,8000013,82004,167,26
167,#29Q920JGQ,рио же Жанейро,8000017,81383,168,3
168,#L9QUJ09Q,춘포윤하,8000019,80701,169,28
169,#2Y80GCGRG,dermi fake,8000034,80662,170,29
170,#2GCGUP0CC,стэндов2,8000039,79940,171,30
171,#V0CRJ2LR,Russia Elite,8000029,79171,172,14
172,#UPQYQ0JJ,шэдэшка,8000024,79125,173,22
173,#2Q080YG2G,LÊGÂSSY:LÂVÂ,8000029,78375,174,4
174,#20UQY0VUL,ГАЧИ МУЧИ,8000059,78321,175,6
175,#29RR2YL98,Latvijas banani,8000048,78093,176,28
176,#2GQVRCUP9,Australia,8000019,77825,177,4
177,#20V2QUCQ9,CRAW nr 1,8000029,76998,178,28
178,#28CLJ2GC0,BRAWL_ELITE,8000029,76896,179,6
179,#28UU0Q2VG,PKGFC,8000029,76854,180,12
180,#2GJ22L0PR,DarkHold🖤,8000023,76646,181,3
181,#JCCGP90J,spaki,8000026,76614,182,11
182,#90LVVYLU,tarkinskie,8000003,76503,183,21
183,#29CL9RJY0,1сезон имба,8000035,76375,184,4
184,#299YQPP02,<c5>🔱Zeg🔱</c>,8000026,73875,185,21
185,#2YPVUY8Y2,מעיע,8000019,73790,186,30
186,#2989J9L2,Ninja's Team,8000003,73330,187,29
187,#2209LPVV2,тянучка,8000029,72743,188,27
188,#2C9U9Y99L,WB MONSTER,8000013,72412,189,8
189,#2GLRJ9QGV,ilmiocanerank35,8000043,72201,190,7
190,#2L8GJP2Y8,клан учиха,8000027,72050,191,26
191,#22LGYPGUC,миро20,8000012,71997,192,29
192,#2GLY9V9YC,Les Français😋,8000037,71489,193,5
193,#PGLPG9J8,Squeak's Club,8000034,71465,194,27
194,#2YR2YCP8L,Fortnite,8000047,70843,195,4
195,#2C0LJCPUR,🦢 CIGNI🦢,8000055,70163,196,10
196,#2Q2C8J2J,JubJub Crew,8000000,69930,197,15
197,#289U0VQ2G,Alpha N33Ks,8000023,69127,198,5
198,#2GG9R8U9G,ÖĞLENÇİLER 3B,8000016,68418,199,21
199,#2Q828PV9V,Mortified,8000025,68396,200,15
