,tag,name,badgeId,trophies,rank,memberCount
0,#2C8YCYU8V,ziomki z 3a,8000029,790335,1,29
1,#Y2YUGPYC,Сатур,8000037,709765,2,30
2,#2C0VGC9G0,papulinces,8000007,648355,3,28
3,#2YVRLUQ2P,Clan Crafton,8000044,586831,4,30
4,#2G9Y8G8RP,payo_Ecotorep,8000023,583936,5,30
5,#2CRP9P9QR,X7 E- Sport,8000021,521462,6,28
6,#2GY9YCY8Y,KIRICILAR,8000037,456031,7,27
7,#2CRC2R082,YUSUF TEKİN İST,8000045,441922,8,30
8,#GQ0VPVCQ,Арбузяны,8000012,371976,9,24
9,#YVR088RP,Zortingen,8000023,321042,10,30
10,#2LCVQYUUY,ВОЛГОГРАД,8000004,287908,11,15
11,#2GPCV8LJR,יחד ננצח,8000033,279303,12,30
12,#2R8JJY8RQ,Der Banana-Clan,8000017,277428,13,19
13,#2PJ920CQP,K+S,8000005,276898,14,30
14,#2Y0J2JGQU,Ярик крыса 2.0,8000022,275303,15,30
15,#GYYUCYQ,Brudisundhoes,8000004,272564,16,30
16,#22G2JYC20,Непобедимые,8000043,269858,17,30
17,#2R8CUGJPL,El primo,8000010,268662,18,19
18,#2RVYJQ2GU,кекс гом,8000010,266431,19,26
19,#2C9PQ8JVL,akke|squad,8000024,266426,20,19
20,#QCP089CL,Настя борщ,8000030,265035,21,30
21,#2J8U9VQ89,30к,8000049,257631,22,30
22,#V802PP0,Kirodios Clan,8000029,255254,23,22
23,#28VVRQLPC,"""я краш""",8000019,229077,24,29
24,#22V8PC2U2,войдëм в топ,8000034,228176,25,27
25,#VU2J9R0Q,すとぺー,8000043,221564,26,30
26,#20P29J8P9,Adi+Juli=LOVE,8000008,219574,27,1
27,#2Y20RPUCC,Mike-sINaN4o,8000031,217497,28,21
28,#QJRYQPVQ,777 ази,8000043,216297,29,17
29,#8YJLYQ9,Mexico compa,8000017,205818,30,30
30,#22VLL28QV,/kill,8000005,201019,31,14
31,#CLYV90UJ,ивдат,8000006,199794,32,27
32,#Q8P99JJU,断水流,8000033,194708,33,30
33,#2C9C82LUJ,Zyud🌍old,8000000,193118,34,30
34,#2JU0UGVJR,1000-7,8000022,191125,35,13
35,#VGCYG8L2,АПАЕМСЯ ВМЕСТЕ),8000049,189360,36,22
36,#CR9UC8RQ,капитоли,8000035,188807,37,27
37,#929R8URV,попа,8000037,188653,38,17
38,#2JCPPVRY9,🌵спайкуша❤️🌵,8000013,186193,39,29
39,#29QYYJJY9,我沒K,8000054,184648,40,15
40,#228JPVVVG,'_'BK|E'SPORT●|,8000023,184609,41,19
41,#2GYPQRGP2,친구클럽,8000047,184285,42,29
42,#QVYLQQ8R,бесплатные гемы,8000027,177645,43,30
43,#VYGJ20Y,про,8000016,172625,44,21
44,#2JJU9Q20U,смертний прецел,8000015,171112,45,30
45,#U20LQGYQ,25нр,8000012,170983,46,25
46,#20PULCU89,SATISFY ME,8000057,170357,47,30
47,#22R9URQ0U,TASTAR,8000055,170137,48,27
48,#28RJ880R2,друг лайкосик,8000049,170131,49,23
49,#2GCVVGG9L,Polskie mordy 6,8000053,169869,50,29
50,#U00Q90QQ,anime,8000029,169454,51,26
51,#UV08RRLP,Кот бутербрд,8000029,168603,52,30
52,#2J2VGR2CV,PloPlayery,8000055,166419,53,27
53,#22UY08892,сони лэнд,8000001,165745,54,29
54,#V2GJL0Q9,Дмитро 🇺🇦,8000004,163746,55,9
55,#2YQG0JPJ0,HyPreX,8000025,162489,56,10
56,#JV2CRUC8,браулёры,8000023,160406,57,29
57,#2JRCRJVGP,pizdec blyat,8000031,145447,58,11
58,#22JL9UCJ0,Hoopier,8000025,143799,59,12
59,#P2LR2CQ,9 мая,8000047,143465,60,15
60,#28RUL2P8C,👍Не Токсики👍,8000057,142456,61,14
61,#JQUP88C2,деревнов,8000003,142436,62,29
62,#2JVYYLUJY,초보군단,8000022,140876,63,30
63,#JURUUPUR,1528 ibo,8000057,139614,64,10
64,#U02URCJL,ауе17,8000029,139306,65,29
65,#G9YVYRJC,ATSHUA,8000007,138294,66,21
66,#2YPYGQQYP,Xar_tt&Bee_bs4,8000037,137606,67,22
67,#2R98QU8QC,MAMI KUPA LIGI,8000007,137574,68,23
68,#UQLRR00U,Klaas,8000055,136977,69,30
69,#2QGYVQG9U,Delta Soul,8000029,136473,70,8
70,#200229JL2,ÖLÜ KRAL,8000023,136382,71,28
71,#28J9GRLLG,💕VERI AMICI 💕,8000010,135984,72,30
72,#2009G99GV,NEW EMPİRE,8000004,135717,73,10
73,#L9V9L0GR,ТУТ ТОКА ТОПЫ!,8000047,132964,74,28
74,#GP99C2JG,KIZIL EJDER,8000027,131104,75,1
75,#20VQC89P9,мелис и миша,8000022,130034,76,30
76,#2PQG2UPRV,пельмешки,8000043,129733,77,28
77,#2C2YJUQY9,HAHAHAHAH,8000021,129517,78,14
78,#JGV02Y89,нуб донатер,8000011,129190,79,11
79,#2RR09PYQ0,Notorious,8000021,126475,80,6
80,#2RRGG982G,Akatsuki🥷🏻,8000037,126448,81,8
81,#2LGQCQV9U,нара5403,8000012,126119,82,30
82,#2QY0Q2P2G,CUGULİ,8000057,124992,83,11
83,#2LGRLLGLG,нова хаски,8000059,124960,84,30
84,#2RRJP89J0,TTClub,8000058,123767,85,5
85,#JL8Q282R,CROCOPETLİ,8000018,123724,86,30
86,#RC002JG0,Tunir,8000029,123178,87,26
87,#2889LCVUV,affet beni,8000019,121779,88,13
88,#2R8U8R8Q8,Dark Tom,8000031,121579,89,14
89,#2YJUJ99GL,митмитмитмит,8000054,121274,90,28
90,#2GVV28JPQ,клановые войны,8000037,121081,91,15
91,#QY9QY0UQ,leon team,8000004,119581,92,30
92,#22QVGGJRG,ABOBA,8000029,119104,93,28
93,#29YY09J8J,السعودية,8000027,116643,94,29
94,#2JL2CUVLR,❦︎nice⁸⁷⁵❦︎ ..',8000033,116613,95,6
95,#29GRPG9QY,EA7 SPORTS💥💥,8000041,116119,96,13
96,#CJC0QGY0,пабибон,8000029,114812,97,30
97,#CVPRYRVJ,7z,8000014,114195,98,28
98,#229G9G28Q,crazybanan,8000013,113912,99,30
99,#2R20PQCJL,neu,8000059,113337,100,29
100,#2829YRJY,жмыхни,8000025,112722,101,28
101,#P9QCQ98G,ФИЛА,8000001,112130,102,29
102,#CJ2GUR8C,3°,8000059,111543,103,28
103,#2QY2LRC89,Crab|❄️,8000049,111484,104,9
104,#20RCU0RJY,😎PROLAR 😎🇹🇷,8000041,111233,105,18
105,#P0C889J9,битків,8000014,111184,106,29
106,#QRJY98JU,попа тика,8000022,110531,107,8
107,#2LVJ909J9,Дима и Андрей,8000023,110416,108,29
108,#28QLU8LY2,хачу фенга,8000024,109317,109,10
109,#CV9YYPV9,❤ASIKLAR❤,8000017,109295,110,14
110,#20L0C8C0J,ЛЮТЫЙ____123ПРО,8000044,107637,111,30
111,#2YY9R9R29,Индийский чай,8000047,106945,112,6
112,#2GP0PG002,💂🏾‍♀️⛈🥷🏾,8000039,106814,113,12
113,#20Y9YVQ8Q,моара,8000019,106459,114,27
114,#2LUVRVQLR,Вася котофей,8000013,106208,115,29
115,#29L88V2R,666,8000004,105810,116,29
116,#289YGUCQY,А МНЕ ПОФИК 😂,8000049,105401,117,30
117,#8GQUYYV9,Guinea Brawl,8000004,105148,118,28
118,#20UC92GQ2,МЫ БРАНИРОВАНЫЕ,8000049,104633,119,25
119,#LJ2Q8CG0,двтбдб,8000048,104134,120,25
120,#22YRLCP2G,hello (つ･･)つ,8000057,103229,121,30
121,#L9C0YV8Y,ИБ,8000003,103061,122,14
122,#20C9VJCY2,💎Dia👑,8000029,102371,123,27
