,tag,name,badgeId,trophies,rank,memberCount
0,#VUPPVGYR,AllStars_Team,8000049,1502703,1,8
1,#29Q8898PU,The Leviathan’s,8000027,1012707,2,30
2,#208VGCL9Y,<c3>OLS™</c> ツ✅,8000014,972057,3,30
3,#2JVCRR8JG,Survivors 🦉,8000037,871652,4,30
4,#2080YJLGG,Skeleton Family,8000049,869385,5,30
5,#2JP0C0JU0,EJDERHALAR,8000023,578543,6,30
6,#LYCQPJPG,Aogiri,8000035,551888,7,23
7,#GRGPU298,Los Chimuelos,8000052,546228,8,17
8,#2G0VYU89Y,Panecitos 🍞,8000049,531805,9,30
9,#PJ8C9LQY,TEAM SVEGLIO12,8000003,525218,10,13
10,#VGL28CQQ,Cursed Sandy,8000010,521282,11,24
11,#JVRY8LJU,frendly games,8000054,503991,12,29
12,#PG9VRJRC,Les copains,8000023,492309,13,30
13,#8VRUYPJG,tóxicos pros,8000049,474716,14,30
14,#2GQP28JC8,Die Ehrenmänner,8000023,421128,15,30
15,#2C0GGPG,Two Brothers,8000029,366881,16,28
16,#2J0RPY8VU,oBOSSru,8000043,364073,17,16
17,#UCQU02UC,KoStik Omlet,8000000,345674,18,7
18,#2JCRPC0P9,SoSaQ,8000023,344747,19,17
19,#2LVJP80LR,Malachi Club 😱,8000048,335488,20,28
20,#2LY8CYUJR,Blackfly squad,8000031,329916,21,30
21,#2JUL2QPJV,G9 | CLAN,8000049,327827,22,1
22,#2C989LC2Q,FC Banany,8000051,325944,23,26
23,#2QLVUL82L,OG|team,8000013,317580,24,26
24,#2YQRP9UL2,Shlipik,8000037,312536,25,24
25,#QJPGPG00,Balabins@,8000013,302547,26,26
26,#PY9VYY9,gallegueros,8000029,298737,27,24
27,#2098LGVRY,Romania Fortza,8000059,297965,28,26
28,#QRRCP28G,🍔🍟🤢 1.0,8000059,295321,29,30
29,#2Q0VCU9JY,ghost and dead,8000027,282905,30,13
30,#20QVJJJG9,100%,8000003,271313,31,27
31,#2QVCLUGRC,АРМИЯ ДРУЗЕЙ🤘,8000004,266042,32,30
32,#GRU8QYY2,веке 2012 года,8000029,262437,33,25
33,#GU88GVGL,RYFERA,8000019,258760,34,19
34,#2880GUQ0C,GLI AMICI STARS,8000006,258457,35,12
35,#2PQRYQ9VU,Мега Омега 🥀🕷,8000011,252568,36,28
36,#2RLURQ28J,Задний Проход,8000013,252076,37,24
37,#22UGPP988,EBEBUL TURUP,8000003,250346,38,5
38,#CL2JUJJ,Muhammad Ali,8000023,249580,39,30
39,#2RV2PQCUY,КукурузнаяМафия,8000017,246785,40,13
40,#P9GPQV2C,oi tropa,8000017,243018,41,19
41,#229Q9CC9Y,MangalEsport`s,8000029,228700,42,26
42,#P8QC2P8,보평 클럽,8000028,227818,43,29
43,#2PYGLPPGR,free legendary,8000019,227522,44,25
44,#2C8GL8G2L,Самые добрые,8000006,227085,45,30
45,#RQ8RQGYR,Clan Aguacate™,8000027,227011,46,20
46,#22QCUQ0LG,코아 tv,8000007,226801,47,29
47,#20U8LRPQR,QTM|WĄÞĮX⛩,8000013,226251,48,30
48,#2QYY090V8,vs kulübü,8000007,225501,49,24
49,#QQVJ9QL8,القوا في النتحد,8000049,216808,50,30
50,#29R8UP29L,Brawl IT,8000037,216798,51,17
51,#2YCVYC8UL,∅Ли₱ТоН∅ⁿⁿⁿ,8000004,208887,52,18
52,#822R02JP,유럽,8000017,208386,53,29
53,#2QQR02VPR,Министерство,8000046,203530,54,14
54,#2JUG0LPCV,LOS FALCON,8000023,202858,55,14
55,#2YQUCCJ20,Barmaley696,8000013,202805,56,22
56,#2JV0JR9LC,Gena Cidarmyan,8000005,199671,57,29
