,tag,name,badgeId,trophies,rank,memberCount
0,#PQ9CCG02,Les Pingouins,8000021,1280828,1,30
1,#2C2UJ80V9,Винная Штопора,8000037,1169958,2,30
2,#VCGLJV,SUPER,8000022,1080235,3,30
3,#VY88UCQ,GermanDucks,8000029,1053437,4,30
4,#CYCG8J0J,САМОБАН,8000025,1016371,5,3
5,#2U8LPVJ,Dark Dream,8000047,989359,6,28
6,#2Q0RJ2PP,SDRAG GANG [S7],8000052,977166,7,1
7,#29290V0LG,The extreme sus,8000037,926178,8,30
8,#2JVCCLJGC,*Bc |Familly*,8000029,903801,9,30
9,#290PJQ0Q2,Club #290PJQ0Q2,8000025,884621,10,29
10,#2PGJYV0JU,En<c4>X</c>Štar,8000002,880696,11,30
11,#2G8JR20RL,✨™ ZipBopZip ™✨,8000029,863741,12,28
12,#2C2YQGL2J,Universal🌍,8000059,853822,13,28
13,#2CQULV9PC,MeLa,8000059,841003,14,30
14,#RUUURUJV,brawl celovekai,8000029,836266,15,29
15,#2GC0UL2G2,420|CREW,8000057,782922,16,30
16,#9RV0PP0G,TM mermelada 🍓,8000034,760586,17,30
17,#QY2CPUV9,Fc Bassem,8000013,732191,18,30
18,#VV90UP,MW Alliance,8000039,728601,19,30
19,#2PUQQ9VLQ,Super isaac,8000007,706319,20,7
20,#2PUYLVJY9,high life,8000013,696181,21,27
21,#2JLYY2LRL,Ghost,8000057,684060,22,30
22,#2YQ80P8CJ,YelloJuiceX,8000019,667097,23,30
23,#2RPU2899C,HEADLESS RIDERS,8000059,661536,24,30
24,#29QVJY09V,Lgk,8000000,656190,25,29
25,#2PQ0PPYL8,Party girl,8000025,642214,26,30
26,#29LYP9G90,|BS TEAM|,8000028,614919,27,30
27,#2C0YQ00UC,Peolonisecond,8000034,605422,28,30
28,#28RLVVUP8,the toppats,8000005,602029,29,30
29,#2YYYQJLUJ,Brumoment,8000053,570232,30,30
30,#2JJ8009GL,Your Trash,8000040,570147,31,30
31,#9JJQ8GLP,Irkutsk Band,8000023,566164,32,30
32,#2PUR2LC,NO RULES,8000049,563729,33,28
33,#200G2V9LG,Империя Горошка,8000045,562752,34,30
34,#29Q0PPJ0C,CB|Army™,8000041,562555,35,30
35,#2C2UP8LR9,3nose,8000035,560469,36,30
36,#CP2J0V2U,Troppa de Elite,8000013,559257,37,27
37,#29GU2YRRY,DemonReapers😈,8000036,556996,38,30
38,#VJPPY0U,hao2lean,8000019,544476,39,30
39,#288PCVLQL,Клуб МАЙНКРАФТ,8000047,535061,40,24
40,#2G0U2QRRL,teman baik,8000048,525747,41,30
41,#29YLU2C9L,1 FCU,8000033,525649,42,30
42,#ULLY8C8U,TBH | ESPORTS,8000011,494152,43,30
43,#2C922CCGV,kondam,8000021,493724,44,30
44,#VQY08CJ9,NA HORNETS,8000023,492211,45,30
45,#RCRCJL,Ok Buddy,8000018,491174,46,30
46,#2GPJ8GRRC,MACA TEAM,8000055,489359,47,28
47,#J8VL9UGY,fidanzati,8000008,486497,48,29
48,#2GR8Q0GG2,gaYmers,8000004,485043,49,28
49,#2J9L9VPQQ,CR7 FC,8000053,481225,50,29
50,#2GGVLV9C8,ICE CLUB,8000013,468820,51,25
51,#2G9YY8P28,AufzugPro's,8000023,461194,52,30
52,#2Q80R92JL,tolek 001,8000020,458363,53,28
53,#2C8U8Y8Y8,mamaguebo,8000041,455075,54,28
54,#2JVYJCCQJ,troka,8000029,452831,55,27
55,#29LPLYUQV,Graß Club,8000013,449606,56,21
56,#2G9VP00U0,Multi-Thons,8000039,444843,57,26
57,#2G8L9L8PY,Eevee The Boss,8000028,442130,58,29
58,#JR9VY9R9,GERÇEK KNKALAR❤,8000021,435976,59,29
59,#29LURJJ98,Rivers,8000055,432848,60,30
60,#2CLR8922U,Los wazin,8000039,423519,61,26
61,#2Q2QLQGC8,💦|Water|🏝,8000059,421382,62,29
62,#2RVR9UQPY,MMA Elite,8000026,414022,63,30
63,#289208Y9R,Los Insanos🌹💜,8000057,410474,64,30
64,#V9L9VCJ,Lion Pack,8000024,399489,65,24
65,#9VRRQUUV,Free for all,8000029,395622,66,28
66,#U0PYQCVV,Fate/Next World,8000028,395307,67,30
67,#2GJUPLUPV,der nita,8000057,394141,68,19
