,tag,name,badgeId,trophies,rank,memberCount
0,#2QG2CV9YV,Edelweiss🐙,8000021,3696530,1,1
1,#2G822VG2J,Halloween 🎃👻,8000016,1735829,2,29
2,#2CC0GJ8J8,Reply Totem HU,8000043,1664317,3,30
3,#J9JCYRL,Magyar ördögök,8000008,1636878,4,29
4,#2JVU8Q2L9,<c3>D1</c>,8000027,1473574,5,30
5,#2JJRQRJ2Q,🧊LDT|W@rriOrs,8000055,1472660,6,30
6,#QYV2RQ2G,Phoenix Hungary,8000023,1447181,7,30
7,#202PJ8U29,Frozen|Academy,8000051,1406956,8,30
8,#2Q2GCYU0,HungaroCell,8000023,1377225,9,30
9,#UQG2RGCY,MÖ|Academy,8000008,1377116,10,30
10,#2980L088C,❄️ICE TEAM❄️,8000033,1376831,11,28
11,#2QCY0JLCR,🇭🇺HU|Elite,8000053,1349293,12,30
12,#2G9JQY99V,Golden Warriors,8000029,1345983,13,30
13,#299PLJGCG,Magyarok,8000037,1343476,14,30
14,#2G09QLL2Y,☕☕,8000059,1343174,15,30
15,#22VJJCV0R,UseCode: Csuszy,8000023,1331062,16,29
16,#2GYQVQL9R,Star's Home,8000018,1321409,17,30
17,#2JG9U9PQJ,Magyar harcosok,8000007,1320704,18,30
18,#2CQ9V2RVL,Royal Hun,8000023,1312266,19,30
19,#2G2GVJL9U,MÖ | Legacy,8000008,1288865,20,30
20,#29GL2LCRR,Hungary_FC,8000037,1270156,21,30
21,#QCRUQRYC,MyS|Showdown,8000023,1264780,22,30
22,#29C9URY90,Nova Ace ♠️,8000010,1256694,23,30
23,#U9J0QC2C,Nyugdíjasok👴🏻,8000023,1236648,24,30
24,#2QQURLPLQ,Elite Squad,8000029,1230585,25,29
25,#22RRJ90C8,magyar banda,8000033,1229807,26,30
26,#2JQL8CJLP,Killer Instinct,8000012,1222227,27,30
27,#2G0JG202L,Céltalanok😉👍,8000057,1218802,28,30
28,#VLUCLVJR,Alita's Angels,8000041,1207836,29,30
29,#28RV9YRVQ,In The Darkness,8000025,1206821,30,28
30,#29YQQJ0J9,ElektroHUN™,8000003,1192678,31,30
31,#2Q2GL0Y2G,⚡The Warriors⚡,8000055,1188106,32,30
32,#2C0C8PCGG,<c4>ExoDus</c>,8000003,1187720,33,30
33,#2CLCGVC8Y,h¥dro™,8000045,1187103,34,30
34,#LR0G820U,Hősmagyarok,8000048,1181683,35,30
35,#2R28Q9JY0,Brawler Század¹,8000026,1172008,36,30
36,#29GPRUJPY,❄️Ice Force☃️💙,8000021,1171835,37,30
37,#28QJ8QGP,Brawl Stars Hun,8000041,1170040,38,30
38,#28CRYV9RY,⚔Valhalla♥️,8000035,1166349,39,30
39,#2PVP9PLCL,rossz a nev,8000038,1153831,40,30
40,#2PVRJJV8C,Tyupi's TEAM,8000018,1141948,41,30
41,#822GJYQ2,The Great Army,8000004,1141021,42,29
42,#2QCG8UR8J,OREOS,8000001,1138664,43,30
43,#2PP20YC,Magyar Casino,8000029,1135623,44,30
44,#2RQCVUJ0J,SP|Legend,8000029,1123565,45,30
45,#2C82GJC0P,HUNS,8000023,1116692,46,30
46,#2GYPG82C0,Leader Gang,8000018,1114035,47,30
47,#UGUUQUJR,Code: Zsomac,8000033,1113871,48,30
48,#2998PGY9Q,DEAC-Hackers,8000018,1113561,49,30
49,#2GJ2RUPLV,TTL | XTREME,8000022,1111777,50,29
50,#G0CU9Q9,Halálos Osztag,8000036,1108271,51,30
51,#20RP0VQJQ,New Magyars,8000021,1090818,52,29
52,#2PV2RQRG8,mindent bele™,8000059,1081774,53,30
53,#2GL92QGUP,Mask🤟,8000047,1076538,54,29
54,#2JU9RRYJ0,cigánykirályok,8000029,1073582,55,30
55,#2YQG98CVR,"osztály 1,2,3,4",8000019,1073157,56,30
56,#2RGPGQYUP,TURBODIESEL,8000039,1067613,57,30
57,#QY2Y2GYC,A visszatérők,8000005,1062762,58,30
58,#20ULJJ8QQ,Magyar Nyerők,8000006,1059422,59,29
59,#UPPUY2,L€G€ND$™,8000029,1058435,60,29
60,#YJPVCJ8V,HAJRÁ,8000005,1058239,61,28
61,#2GRVY2Q0Y,Archers,8000059,1057713,62,30
62,#2GQUYUJ8U,L E G I O N,8000037,1055649,63,30
63,#2909JV8Q9,<c8>Geper</c>,8000039,1048427,64,30
64,#2RUVYQCQ8,A beastek,8000029,1048308,65,30
65,#P90CCPCP,black bajnokok,8000004,1042516,66,30
66,#LV289LQ,Cryptic Legion,8000050,1031167,67,30
67,#QRJGGYRC,HU|Legends,8000055,1029734,68,30
68,#2CGG9V9UV,Hungarian Bulls,8000029,1028990,69,30
69,#CPV29R2L,reka,8000013,1028969,70,30
70,#2Y9PJRJJ8,BSZ |EvoGen²,8000042,1027943,71,30
71,#298VJGVLU,Township,8000029,1023557,72,30
72,#288RQLLLP,Killer Beasts,8000012,1022377,73,30
73,#2R9VYQ8RR,RageTeam,8000011,1014994,74,30
74,#V2VYPCL0,Brawl Bárka,8000055,1009877,75,30
75,#2RGV9LCP8,Game Over,8000004,1009616,76,29
76,#2G2CYJUGU,Balaton BS,8000055,1003620,77,30
77,#29JGYP9JG,Bear Cave🐻,8000027,998995,78,29
78,#2CP909GC0,Team OÁG,8000037,996729,79,29
79,#2J2J9U2QU,HungaryStrom,8000013,994612,80,30
80,#LCJV8JCL,zora kecskéje,8000037,994206,81,30
81,#2CG0CCQJQ,Local Top Clan,8000037,991446,82,26
