,tag,name,badgeId,trophies,rank,memberCount
0,#2JRRC0YLV,PotatoGang,8000059,1090477,1,30
1,#2L2Q8JPY9,🌃 GECE,8000003,1015220,2,30
2,#28Y9C8QCJ,best team,8000018,911283,3,30
3,#2GY0PJPYP,➳<c2>FiRe</c>,8000027,901915,4,30
4,#Q8G8ULV,Team Genesis,8000029,826930,5,30
5,#2GPYQCRG0,Mega Pig,8000010,789413,6,30
6,#CGQ8G9P0,Vatn Clan,8000013,708989,7,30
7,#28UGGU9CJ,TBS|TheBOIS,8000017,675971,8,30
8,#2R2UCJUV0,mörgæsir,8000035,632392,9,30
9,#2J9LJYL9G,VIKINGS,8000000,613749,10,29
10,#2L0QUQCUU,боссы досы,8000029,599703,11,28
11,#Q2GVVVPQ,Eyjafjallajökul,8000053,591350,12,27
12,#CL09U8UR,БиБибанда,8000029,562790,13,28
13,#Y0GRR80U,🇮🇸ÍSLAND🇮🇸,8000002,542204,14,29
14,#9RJJQLPR,Los aguacate,8000013,537584,15,28
15,#2JJLUJYR0,69,8000004,536137,16,30
16,#22CRCJYPL,❄Winter❄,8000008,534016,17,29
17,#298VURGLL,dragonfire gang,8000043,521461,18,30
18,#29CPPJCGY,Brekko,8000034,519723,19,30
19,#2JQPPC0CQ,Beyond eSports,8000000,516435,20,26
20,#99RGRCJR,Star club,8000053,504213,21,29
21,#2RUVCGPCR,noobarnir,8000037,452303,22,23
22,#29RVC9JQY,LGR,8000017,443119,23,27
23,#QL9VYU0,WyRd,8000014,432543,24,26
24,#2GGQUL9RR,Балтика,8000035,427383,25,27
25,#20PJCLYGJ,Farell The Best,8000006,420568,26,30
26,#YRQ0YCJ,Heaven eSports,8000052,417318,27,19
27,#Q99UCVJL,GEVÓK,8000029,404485,28,29
28,#L0LPLU,The Icelanders,8000055,392130,29,25
29,#2C02YP2UL,cube team⬜️,8000034,389851,30,30
30,#PPGU0RG9,viktor og noi,8000015,357901,31,30
31,#29RRLYRJG,iceland gang,8000016,356159,32,23
32,#8LJRGVGV,Fehu,8000027,354402,33,30
33,#2Q892909U,G4MER TEAM,8000045,350037,34,30
34,#LCL9LVC,Ísland,8000025,346121,35,25
35,#28CY228CV,Клуб Мандаринов,8000059,339478,36,21
36,#QPCY0QYJ,club league,8000040,339236,37,29
37,#29YPYQYU2,Orange Cosmos,8000018,338929,38,16
38,#2URU8RJ,getrekt,8000000,332587,39,24
39,#2RYJ92QPG,zxcfam,8000023,326348,40,30
40,#QYGGRVQV,CAPYBARAFAN#1,8000039,326228,41,29
41,#LPU0PGC9,bred👍,8000017,319044,42,27
42,#2YRRPQ08Q,LRE creators,8000058,316963,43,28
43,#C99CPRV2,Power Derector,8000023,312654,44,30
44,#RLLC9Y8L,WERSTO SPIKE,8000009,303731,45,30
45,#2GPYGPRQ2,PurpleBaby gang,8000041,278136,46,29
46,#2G8P92RP2,WE ROCK,8000057,277376,47,30
47,#8CJPLQJG,ICELAND CLUB,8000017,276804,48,16
48,#2RP0VJGQ0,MAXED,8000007,275107,49,27
49,#LU8CCL29,Dark Leggendary,8000011,274843,50,30
50,#2JRC0PP9U,<c7>Toxic</c>,8000047,272384,51,9
51,#29GCLQPGV,6. bekkur,8000046,268645,52,27
52,#2RYYR2C98,SpartanBrawlios,8000037,265638,53,16
53,#2CGYRPVVV,FLAME,8000037,263889,54,29
54,#2Q82JYJYY,AveRt1,8000048,258909,55,9
55,#RCCQRRQY,PRO/TEHM,8000029,256997,56,29
56,#J0G9URYQ,BLC,8000055,253693,57,21
57,#2GYGJ22UR,САЛЫЧ ГУЛЬ,8000019,251543,58,30
58,#YQYR0PVV,The Pigins,8000009,249548,59,30
59,#2JPYYU0V9,AIDAROVCKIE,8000028,249186,60,13
60,#209UPQPQU,cool god,8000029,247591,61,25
61,#PGUCRGP9,THE HOOD,8000037,245600,62,30
62,#JYUYPV8J,PLAY_YT,8000023,245125,63,29
63,#2J0QJ9YY0,FCamma þín,8000019,244756,64,30
64,#C0LR22Y0,Fótbolti,8000011,244506,65,29
65,#2LRLJRC0Q,SNZ | club,8000034,241001,66,14
66,#280YP9P9R,Slef Kettirnir,8000046,238446,67,27
67,#2GU9G2CVL,Dynamic Energy,8000053,237053,68,24
68,#20VQG8QQ,(ОПАСНИЕ),8000013,236297,69,22
69,#2CGGJLGR,kobekjöt,8000026,235796,70,28
70,#Q22V09Y8,Ísland,8000025,228478,71,20
71,#Q8GUVLLL,ísland er best,8000029,227348,72,29
72,#2LLJVRC29,闇企業,8000002,227205,73,16
73,#PJV2VCQQ,nevzat,8000004,225041,74,28
74,#G9992QQ2,шарик,8000004,224960,75,28
75,#2GG2YRJUC,tomas arnason,8000047,223200,76,25
76,#L0GQ2R22,balli 10,8000003,222799,77,21
77,#2029UJU2L,aular,8000057,220746,78,28
78,#2029G0UG,BIG 14,8000004,220700,79,27
79,#2JYRY2GV8,TiKi-TaKa🥵,8000029,217635,80,18
80,#CVLRR00R,ísland,8000029,213481,81,29
81,#2J2L8Y9R9,SOLNCEVO3,8000037,209827,82,26
82,#2RUUL82GP,A FEW GOOD MEN2,8000023,208240,83,17
83,#QGQ0Q98V,FOOTDABB,8000034,207513,84,27
84,#Q0JCVUJY,Fellógang,8000002,207129,85,26
85,#29YL8RPQR,Lindó brawl,8000018,202506,86,30
86,#LY928VUQ,ролеры,8000004,200852,87,29
87,#2Q8PY0LC0,🔥TEAM FOX🔥,8000029,200507,88,27
88,#QULPVJY,EurAsia,8000019,198906,89,28
89,#CQL9QJU0,KERALA,8000027,196824,90,16
90,#R0Y9880G,ÍSLAND!!!!!,8000021,194571,91,26
91,#YYR2YJ2J,sissi,8000015,192147,92,29
92,#2P8JGU0U2,GRUNDÓ,8000007,190226,93,27
93,#VQ8CR9C8,við jó,8000017,189773,94,16
94,#PJ0GJ28L,icecream,8000005,189285,95,30
95,#8CLVCG9Q,Súrir krakkar,8000022,187779,96,21
96,#20RQ0QQYQ,ЭЭЭЭЛЬПРИМОСЫ,8000037,187319,97,15
97,#UPRCRR2Q,ЖМЫХ ЖМЫХ ЖМЫХ,8000013,186463,98,14
98,#2PRPCG8YY,ДИКИЕ ОГУРЦЫ,8000012,186280,99,29
99,#VY9J9CGG,ísland!!!!!!,8000004,186188,100,30
100,#29UR9GJ0G,zaket_tv,8000049,185684,101,30
101,#2QRJYJ8RY,F2P BANDITS,8000056,185669,102,29
102,#2J9GJ28QQ,brawl star lab,8000057,185512,103,30
103,#292QCP0JL,ядулик,8000000,185414,104,27
104,#28U2YPV0U,The best Fish,8000019,182287,105,18
105,#2R02PYGUL,FLATASKÓLI,8000029,181382,106,24
106,#2902UQVL,ThunderGods,8000059,181208,107,24
107,#2PUJULVPV,банда миниигр,8000027,180880,108,18
108,#90CRVV2C,El Club XD,8000037,179741,109,9
109,#2CRQL8VQ8,DarkElite💜,8000041,179545,110,8
110,#2CGPR82PC,🔥superclub🔥,8000046,179424,111,17
111,#2JJGP28G,THE BEANS,8000028,179069,112,25
112,#2PR9U8V02,KingKong,8000030,178427,113,9
113,#JG8PUUPC,Абу Бандты,8000034,178409,114,14
114,#VUYU9RQY,halo gemer,8000057,177909,115,30
