,tag,name,badgeId,trophies,rank,memberCount
0,#2LV2UVGU2,OG Drivers™️☔️,8000011,2242883,1,30
1,#2C9Y2R22Q,Arab Empire,8000000,1779980,2,30
2,#U28LQU,القوات الخاصه,8000004,1583580,3,30
3,#2C9UPLVVV,𝐒𝐊| 𝐋𝐈𝐆𝐇Ƭ,8000055,1465477,4,30
4,#2CRUY8QUP,درع الجزيرة,8000033,1464854,5,29
5,#29L9YPYQC,جعويط,8000047,1453930,6,29
6,#2G09PGC02,KURD🏴‍☠️,8000023,1353548,7,30
7,#2GQU8U9VQ,🍃H✨M❄️Y🔥,8000004,1340049,8,27
8,#2R9CG9RC8,AR|FØRÇEᵏⁱˡˡ,8000059,1310230,9,28
9,#2C0R0JUPR,ᴳᵒᵈ♔𝐓𝐨𝐤𝐲𝐨个,8000000,1301547,10,30
10,#290J0CUUQ,Soft Drinks,8000055,1287739,11,30
11,#2J80YQ099,🖤ضباب😞مضلم🖤,8000002,1226032,12,30
12,#28JQJ9CPY,Pros Brawl😩❤️,8000029,1217771,13,28
13,#2GYJLLG9J,SF|DARK AGE,8000004,1212665,14,30
14,#2GPJ0CU9U,<ccj0000>XF</c>,8000029,1190356,15,30
15,#2C0JLCGLC,<ccj0000>𝚃</c>,8000029,1183181,16,30
16,#GPL0P2Q,Kurdish empire,8000018,1175521,17,30
17,#2C9QVU2QV,<ccf0000>CR</c>,8000023,1170843,18,30
18,#Q8JUVVPC,Galaxy Valkyrie,8000052,1170840,19,30
19,#2R28C8YJL,جمهورية العرب👑,8000029,1157222,20,30
20,#2QQU89V29,<c5>HoT</c>➰♥️,8000059,1151087,21,29
21,#2GU8CGCQG,SF|NEW AGE,8000004,1140367,22,30
22,#2LP2YRGP0,موسم الكرز✨❤,8000035,1120400,23,29
23,#QRGLR2VR,╾━╤デ╦︻𝐓𝐊,8000004,1119826,24,30
24,#2QRPP28PJ,OHT,8000003,1117606,25,28
25,#2JUCC90JY,فرسان العرب🫡,8000055,1116961,26,28
26,#29GQYQV8R,جعويط2,8000047,1115037,27,30
27,#PG8PJ9CQ,الحان الموت,8000025,1108155,28,30
28,#2JLRQV282,زعماء العراق,8000055,1104961,29,29
29,#2CY9LPVGP,YJ COMMUNITY,8000025,1096983,30,30
30,#2CP2C08QL,AR | FØRÇEᴷⁱˡˡ②,8000037,1093580,31,30
31,#28GUY820C,Iraq Legends🇮,8000029,1089242,32,26
32,#2RG8JC0PP,أساطير الظلام,8000029,1088682,33,28
33,#VQ92L9RQ,...ABC...,8000059,1085751,34,30
34,#2J2PPPG0R,🎋| MS |🖤,8000021,1083195,35,30
35,#2CQ08999J,❄️𝖙𝖍𝖊ˢⁿᵒʷシ︎,8000025,1075609,36,30
36,#2Q8CP92PR,Adventure time,8000023,1072154,37,30
37,#29Q2UGGL0,عرب متحدين,8000037,1060478,38,29
38,#2C2PQL2PY,سبايك الملتهب,8000037,1055144,39,30
39,#2RQ9J9VQ8,جبابره✊,8000023,1052094,40,29
40,#22YQP2JRR,عراقيين,8000023,1050016,41,29
41,#2G8R0JVRG,✨STU✨♥,8000035,1037695,42,30
42,#2QY0C2QRY,么MVP么IRAQ,8000029,1034343,43,28
43,#28GV2GR08,الاسطوزيونx,8000039,1016176,44,30
44,#29LRLRVQ8,سكره✨💓,8000042,1003286,45,30
45,#2JVRLPVUQ,Natro YT,8000048,984379,46,30
46,#29PQ9V28Q,íQ TŐXíĆ 🔥🇮🇶,8000003,974217,47,29
47,#2JVQRQLG0,WARRIORS,8000057,972297,48,30
48,#2C9RU08CL,MR Dream💫💙🌚,8000056,969240,49,30
49,#2Y822JUV2,جمهورية العرب👑,8000055,964103,50,30
50,#2C8Q8J0JY,شياطين♕براول😈,8000057,961053,51,30
51,#QL0JJRQP,Clan legends🏆,8000029,950469,52,30
52,#29Q0VP2LC,🔥IRAQ🔥STARS🔥,8000057,948457,53,28
53,#2RQRQGUR8,العصافير🐤👍🏻,8000049,941617,54,28
54,#2Q98LPL9J,سكون الليل,8000056,940054,55,28
55,#29G9LP890,MRS | 321,8000029,934520,56,30
56,#2CP2UC29J,IQ | NEMESIS,8000035,932571,57,28
57,#29LY9CC92,🇮🇶|الحكـومه|⚡,8000034,924993,58,29
58,#2J9YC8UJG,اتحادالطيبين🙂,8000037,920409,59,30
59,#LJ8C2Q2R,أبطال العرب,8000007,913938,60,30
60,#2982UPPRL,✨𝑰𝑸♥️,8000023,894393,61,30
61,#2C89JG9V2,شباب وبنات star,8000010,891776,62,29
62,#QJLG29L2,IEC MORTES ❄️⛄,8000037,888457,63,24
63,#L90GL0J2,سبايك_عمك🌵⁦,8000013,887662,64,30
64,#2JRJP82J0,البؤساء,8000029,885212,65,30
65,#QJC802JR,ѕɴᴇㅤʟᴇᴀᴅᴇʀㅤ⁵¹⁵,8000039,882112,66,29
66,#29R8P20JC,𝐒𝐊|𝐋𝐈𝐆𝐇Ƭ2,8000055,878236,67,23
67,#2C2L099J2,| المافيا |,8000023,873198,68,30
68,#2CPJ9UY8,KURDISTAN™,8000052,871682,69,30
69,#QRUCGJVV,⚔️المحاربين👑,8000047,870998,70,28
70,#2G2UGU2QY,A FEW GOLD MAN,8000030,862661,71,26
71,#2C9CVPYCR,么MVP么IRAQ|2,8000029,858313,72,30
72,#PU8LR9L,أساطير العراق,8000018,855742,73,30
73,#29992LJ99,العصابة,8000000,854822,74,30
74,#290R90PG0,<c8>𝕭𝖃</c>,8000025,854730,75,30
75,#29GYUJLCV,The Kings,8000021,848048,76,30
76,#2C00LGGPJ,TNE,8000020,845969,77,30
77,#QQQULPJU,💎ڪرٍستآلُِ💎💎,8000055,844557,78,29
78,#2C9P8GPYJ,ألعراق,8000023,844489,79,29
79,#29P28PL2R,🦅الصقور العرب,8000007,840355,80,30
80,#2YJ229CRG,IraqWIN,8000029,838958,81,29
81,#2G29Q9QP8,🍃H✨M❄Y🔥II,8000016,834725,82,29
82,#YJVVGLJP,كوكب الاصدقاء,8000011,834625,83,30
83,#22YYGPVCG,GOLD,8000029,834037,84,29
84,#Y8YUV0C2,Otakus 2.0,8000000,832471,85,7
85,#2QJG2QUVV,أبطال العراق,8000037,824643,86,29
86,#QRUUJLYV,إآلُمـثـقفَيَن,8000018,823712,87,30
87,#2G2UQLULQ,<c4>❄️ICE❄️</c>,8000055,821188,88,29
88,#2CP8JV8PJ,Arab brawl,8000045,820801,89,29
89,#8LP9R2CC,XعراقيينX,8000029,819551,90,30
90,#22GULRJRJ,نسور العراق,8000029,816980,91,29
91,#2GJ88GLY8,30 Thieves,8000045,811421,92,29
92,#2RJPLGVGY,ذئاب الظلام,8000018,809663,93,26
93,#29G0C8GL9,SK|IRAQ,8000036,808445,94,30
94,#2JJU0PCV9,⏱️الوقت time⏱️,8000029,797830,95,30
95,#YUJU292Q,IQ_,8000039,790456,96,30
96,#20RYP0VPJ,kurdstan,8000021,787968,97,30
97,#92CR80VY,عشيرة الاوتشيها,8000037,786787,98,30
98,#2JUCYV0VY,A-G-R,8000038,782531,99,30
99,#280YCU2C2,ICE MONSTERS 🎩,8000035,779413,100,30
100,#2R29VPQC0,OrsettoBruno,8000059,778152,101,30
101,#2G9GLCJYV,🔥son_goku🔥,8000037,770888,102,30
102,#28PCLLQQ8,بتيتة )IQ(,8000047,757687,103,24
103,#2C80U00Y8,Kurdish clan,8000029,757386,104,30
104,#2JVLV9RCU,IRQ🇮🇶,8000041,754401,105,28
105,#2JY9PPJLP,الحوت الابيض,8000055,753886,106,29
106,#2C02UYU80,TiQ,8000021,751944,107,29
107,#2RQUUQ2UU,اوتاكو,8000029,749135,108,30
108,#2GLRPLR9C,محترفين العراق,8000053,745496,109,30
109,#2PG2PLC8V,TEAM RUSSIA,8000029,736321,110,27
110,#2GPLUYPQ9,ابطال اسيا🔥👽,8000025,734706,111,29
111,#2RLGLP9GL,a3.a2.a1,8000044,727971,112,30
112,#QC9RVVLV,PKC|Ø₦ ₮ⱧɆ ₮Ø₱™,8000028,726119,113,30
113,#2C8J2QYL0,اعصار 🌪فوضى⚡️,8000053,725066,114,30
114,#QGL28GV8,CR7,8000029,723626,115,30
115,#8Y2YC8P0,برول ستارز ❤,8000029,722702,116,30
116,#2LL0RJPVP,ملوك العراق,8000001,722406,117,29
117,#29QVVLYR0,عراق,8000003,715825,118,30
118,#QR0U8G0V,ARحارق,8000023,713937,119,29
119,#2CR9VYRLR,|the night🖤✨|,8000046,713503,120,30
120,#29L0U0JUL,Legion of doom,8000023,712259,121,29
121,#QL0U29L9,ʚ Iяαq ɞ✨🍧,8000051,712258,122,30
122,#2VRGYLP,💘الملوك💘,8000029,711730,123,29
123,#292YVY9PR,منو وين هلا بيك,8000023,710288,124,30
124,#2CR99QPLC,عراق³¹³,8000057,709766,125,26
125,#QQ8P2P28,الهجرة,8000059,708980,126,29
126,#Q9UGRVG2,عراقيون♡,8000025,707956,127,30
127,#2LCV8RG9U,🤠ابطال براول😎,8000027,707326,128,30
128,#2GY22GCUR,<cff0000>XF</c>,8000029,705385,129,30
129,#2YRUGPRRU,الابطال,8000036,704771,130,29
130,#L8VGYLRJ,TheDarkSouls,8000008,703999,131,30
131,#Q0V0QP8P,اتحاد الاصدقاء,8000047,695932,132,28
132,#29GC8GLGQ,شراسه ⚔️🇮🇶👿,8000023,694436,133,30
133,#29JPCC2P8,KE|New Era,8000027,694008,134,30
134,#UCVQYJPJ,JoJo TK,8000021,693215,135,25
135,#2C0QV0VC8,اساطير براول,8000001,692673,136,30
