,tag,name,badgeId,trophies,rank,memberCount
0,#99CC2L8P,Radiation-X,8000034,1542055,1,28
1,#QQ9RJQ82,Rebirth Knights,8000027,1519245,2,30
2,#2GQ2GLRUQ,youhappyjiuok,8000010,1466983,3,30
3,#9YVP2GY,STEALTH,8000037,1270994,4,30
4,#G9C00J0P,Immortals,8000044,1258313,5,29
5,#2GC0GYJRC,Tempest Rising,8000037,1240347,6,29
6,#2PVRY9RRL,Touch of Class,8000025,1233376,7,30
7,#LCQV2V,FieryTale start,8000037,1113711,8,30
8,#2G8RYQG92,Chaz Stars,8000013,1107760,9,30
9,#VPLJR0P8,SKY LEGENDS,8000018,1078976,10,30
10,#2RGRLC2C8,Mystic Empire 2,8000049,1074486,11,30
11,#2G2YLYRJL,Gamer Legends,8000021,980072,12,30
12,#QR2VQVUP,Rebirth Knights,8000025,979461,13,29
13,#Q8QRGRVP,Ireland,8000016,924815,14,28
14,#8QJRC8RQ,Irish Rebellion,8000045,921072,15,26
15,#29G8YLJRC,The destroyers,8000048,915705,16,30
16,#QRQ9VJ0J,Panthers Army🔥,8000023,896327,17,28
17,#2RVV29QYQ,Makhnovschina,8000004,891131,18,29
18,#2L099G2V9,need for speed,8000023,877485,19,30
19,#2CR20JYLV,SkyFall,8000019,877279,20,30
20,#2QJ28UPLL,pepapig,8000041,875228,21,29
21,#UY2P89U,Rominate Team,8000004,861706,22,30
22,#GCVRVJLL,Rmond,8000041,844697,23,30
23,#298LJ9Y9V,ThePancakes,8000029,844355,24,30
24,#92QP0V0Y,Space Jellies,8000055,833102,25,30
25,#QRRRYPPG,Rebirth Knights,8000055,827955,26,28
26,#2P9UR9R99,SHADOW ARMY,8000039,819430,27,25
27,#29Q2PY00J,THE BEST,8000009,817062,28,28
28,#2LJ0JL0C8,DE BRAWL BROZ,8000037,787695,29,30
29,#29Y88CQL,ITZY,8000040,781819,30,29
30,#2RLP920CY,cow stars,8000013,769015,31,30
31,#2GRPQLGLV,Exp Friends,8000012,758333,32,26
32,#28LCQLRYY,clash for gains,8000016,748250,33,30
33,#2RQGRYL0Q,The Sky Clan,8000029,746290,34,29
34,#8CJRGRLC,mucholocos,8000000,744700,35,30
35,#28VV02GJU,ForDaBros,8000046,736913,36,30
36,#2Y08PRJLV,Jakub and Nadia,8000017,711147,37,30
37,#2CYG9Y2V9,DeathSkillers,8000057,702083,38,30
38,#2QYJQV202,STG|Gaming,8000021,686870,39,28
39,#2C29GY9PP,TK|TRIBE,8000023,680112,40,22
40,#QL2VVP02,lou and nita,8000057,679197,41,30
41,#209P8PPV9,tha supreme,8000004,667689,42,1
42,#290CLRJG8,.#AVENGERS#.,8000025,657308,43,30
43,#2G899LGPV,waffle,8000043,644055,44,29
44,#2J9PQYCL2,Serenity,8000052,637673,45,30
45,#2G0VJUYJC,A Few Good Lads,8000006,635237,46,30
46,#9V9CRGLR,Ireland,8000026,631687,47,30
47,#2J2JVLUUR,PopBS GANG,8000057,630543,48,30
48,#22UR8PPCG,EmmDee FanClub,8000050,629869,49,30
49,#2G0PJU8VQ,baby spuds,8000003,629340,50,30
50,#2QU0RUPYY,Tree Huggers,8000013,623869,51,30
51,#2JUJ2CLV2,Irish Kings,8000027,623327,52,30
52,#2C2UC2GPQ,Champs,8000032,618776,53,30
53,#2C8UP2C8P,AE Synchro,8000023,613844,54,30
54,#QYUV8PRV,brawlers,8000057,602259,55,29
55,#Q2CVU8V,IRELAND,8000035,597857,56,30
56,#2G90RPGVQ,KINGS,8000010,584769,57,30
57,#2LQVUPGQ,Derwins,8000000,578627,58,30
58,#2Y9VQLVUY,PopBS Gang,8000029,577997,59,30
59,#2QLRYJGJ8,ANC,8000032,576220,60,29
60,#QGY2GGYY,(RTM),8000036,574137,61,30
61,#2Q880YPCL,The Invincibles,8000035,573583,62,29
62,#2CPPQ8P2J,the brawl gods,8000024,569869,63,30
63,#29PPYCGV9,ZQR|Verseless,8000021,569491,64,30
64,#QPL2YURP,the best club,8000037,555943,65,27
65,#22C2P2JL0,club meteorológ,8000056,553264,66,30
66,#9L899JL0,SZUKAM CHŁOPAKA,8000029,551492,67,26
67,#2LGPUG2PJ,STS|CLUB,8000023,546536,68,30
68,#2LV9JJYRJ,dream team IE,8000013,542756,69,30
69,#2QL0RPC90,cousin gang,8000053,523458,70,30
70,#28RLYJ8RC,UnknownBrawlers,8000002,521148,71,30
71,#29YPLP0J2,FRIENDLY FELLES,8000059,520588,72,30
72,#29QJJQ0QV,Golden Bullets,8000028,512428,73,30
73,#2CP2P288C,Colour eSports,8000019,511108,74,30
74,#2JR8PGY9Y,The Wimp Gang,8000053,510822,75,30
75,#2JRLYYL2,DobriyMsi,8000057,508704,76,29
76,#29LJV9YRC,Glebas1k|Team,8000059,503053,77,30
77,#28RU92Q0V,<c5>脑洞乌托邦</c>,8000021,488549,78,15
78,#2JUPV2QC9,LK old scúl,8000027,488052,79,28
79,#2J0LL0Q0Y,다함께합시다,8000036,478038,80,30
80,#Q8URY98C,devious monks,8000041,474014,81,24
81,#QL8V0802,Tha boyzz,8000029,469807,82,30
82,#2G2RLLG2U,quit,8000027,464289,83,26
83,#QQ0YUR0P,cartoony winter,8000005,458319,84,30
84,#2JUC22QPY,StB boys,8000015,455812,85,26
85,#28GY8V08V,yt,8000049,454719,86,30
86,#VU0R28VJ,[Банда]ASRORUS,8000022,447832,87,28
87,#U02GJJU,club dei tornei,8000007,446110,88,3
88,#2JQC9J8VY,Proyers,8000032,440743,89,30
89,#YCCVR8QL,Sports Mini,8000059,436239,90,28
90,#C9Q9Y28G,Der lucky pro2,8000015,421910,91,8
91,#LJ9RLP0U,ACTIVE CLUB,8000048,417816,92,30
92,#QCQQC0LV,MIGHTY IRISH,8000027,416077,93,30
93,#VJ8VQ98,EUSKADI,8000004,412190,94,30
94,#2G8UJQYRR,Dusk Invaders,8000036,410584,95,14
95,#29PURLRYV,Thunder ⚡,8000019,403818,96,12
96,#8VRGPUYV,nongabetable,8000009,395454,97,25
97,#2980RRQUL,F2P,8000034,392887,98,30
98,#2CYUJRPCY,toilets brusher,8000007,385469,99,27
99,#2JVJUL8QG,toilet paper69,8000021,380876,100,29
100,#Q2RC2QV2,join if u good,8000029,378720,101,30
101,#20R2CL28,Extreme Gamers™,8000025,378120,102,17
102,#QG8R88YU,Bandits,8000027,377007,103,30
103,#2JC2UJ2UR,IRA,8000027,373643,104,30
104,#8P8YCQUG,Random club,8000029,372348,105,30
105,#8CJ8YGVU,ihai,8000037,371364,106,25
106,#29PRVL80Q,monkey on top,8000037,369391,107,26
107,#QQQPQGY,Fragsters,8000012,361638,108,22
108,#Q9Q8J2J,Brawlin Bandits,8000029,351092,109,19
109,#290JVRC8P,big battys,8000014,350530,110,21
110,#2YJV0PGUY,club wars,8000037,348066,111,30
111,#YR2J9L2C,sweaty gamers😈,8000057,346317,112,30
112,#QQ9PP082,<c6>MK</c>Brawl,8000025,340641,113,28
113,#2098VRJ0,the boyos,8000013,340157,114,29
114,#2JUYPUGCQ,SpikesVoice,8000013,334784,115,30
115,#QGL8JJLU,Croom dudes,8000047,333448,116,30
116,#QG88RU29,<c4>KING.P</c>,8000021,333050,117,29
117,#LULY8J2,feed nuts7,8000007,331590,118,27
118,#QQC8L9GC,ANEJAS 4,8000037,330273,119,30
119,#2Y09Y082Y,Steel,8000039,329281,120,30
120,#2CRCP0VG8,HyperStars,8000046,326920,121,30
121,#P0C2LLQG,The greatest,8000015,325395,122,30
122,#28RYJJPJQ,Hot Bozo,8000017,325324,123,30
123,#LU0R808,Sp0o0o0pyKrew,8000057,323995,124,24
124,#P0UUURLY,Club,8000037,323040,125,26
125,#LJRVGV8,patman,8000012,320931,126,16
126,#QJPYQG8L,🥵sweats🥵,8000032,320349,127,29
127,#2R2GRVYRU,ROAD.TO.MASTER,8000005,319019,128,18
128,#2C0VP209L,The Hyper Brawl,8000050,317496,129,15
129,#2G8V8QV2P,Banana Bandits,8000046,316800,130,30
130,#GY9JP9Q,BigBrawlers,8000029,316646,131,30
131,#JG09CY82,Genesis,8000023,315209,132,16
132,#2QRVG8UVJ,True Blue,8000049,313813,133,26
133,#20QU80L0U,//New Light\\,8000019,311855,134,27
134,#PU8R0PVL,The end game,8000004,309344,135,30
135,#29Y0CL0YR,join if u goat,8000039,307820,136,26
136,#2JP82900J,The fireshots,8000049,307713,137,30
137,#9VLGQC88,Team bad Wifi,8000015,304513,138,30
138,#PUYCYYCQ,Ice cream lover,8000031,304485,139,30
139,#298Y0LVQU,TheCrimsonClan,8000037,303317,140,30
140,#LYPPR880,Toilet Brushers,8000051,303059,141,15
141,#2C22J2V2R,ØG,8000023,302574,142,30
142,#VRLPU2G9,LightAngels,8000039,300301,143,26
143,#29RYJP98Q,the bandits,8000037,298334,144,28
144,#28L02YLYC,Kings Klan,8000029,297825,145,13
145,#2C82GQ82C,Макс Ди,8000026,295450,146,30
146,#LR280QGV,10k,8000049,294677,147,15
147,#RJ8PYRC0,death,8000023,294432,148,29
148,#29LRCU28P,snappy HQ,8000017,293051,149,21
149,#2GRUQ2R9J,Azure,8000059,289810,150,18
150,#QLG0PJR2,Hokey Pokey,8000043,289320,151,15
151,#LP8YJQQV,Toxic Blades,8000011,287606,152,30
152,#R90929J,Shadows knights,8000006,287219,153,18
153,#GQRC0QL,STICKER ARTISTS,8000020,286649,154,14
154,#9L2GLU9C,Steel Bullets,8000004,286304,155,21
155,#208J00LP0,Pingwiny Szymon,8000059,286198,156,27
156,#G8JPPUC,Harrons,8000017,286087,157,30
157,#28Q92CU,YyooooyY,8000053,284883,158,26
158,#LVPGJ0U2,Squad Busters🐋,8000037,284636,159,14
159,#28CPCQ8RJ,Team Quest,8000039,283906,160,16
160,#RCR88JV,LOS FARIÑAS,8000007,283863,161,29
161,#200820VYL,koolkidz,8000037,280635,162,11
162,#2Q2CR0LR8,Mighty brawlers,8000021,276000,163,20
163,#2G89P92VP,Surge|Army,8000046,274799,164,14
164,#PYLR2G89,Reeseburger,8000012,273439,165,30
165,#GLU90J8V,B.O.T.S,8000004,272928,166,17
166,#P0GQU8GC,Mystic Masters,8000008,272233,167,29
167,#2G2G20GC2,penny,8000055,269749,168,15
168,#2QPCQGVVG,water park,8000000,269200,169,30
169,#QPYQV98G,F2p Shronkie's,8000040,268477,170,28
170,#Q0JU000,roache,8000008,268431,171,27
171,#JYJG8YYJ,1 IQ PLAYS,8000013,267815,172,30
172,#2Q8UGQV2P,крутия парни,8000056,267162,173,29
173,#209R9P2JC,lol,8000053,266561,174,11
174,#2CGP89L8V,the food fam,8000040,266533,175,30
175,#20LQQG2GV,hospolis😘,8000041,265746,176,29
176,#RRLPRVL,BULGARIA,8000000,265209,177,28
177,#2JUR2LJ82,Zaga,8000014,265162,178,15
178,#QR9UVGRP,DINGLE BERRY,8000021,264446,179,25
179,#2Y82V89C2,eimhins club,8000007,262475,180,30
180,#90Q8LR8G,BTS,8000024,261933,181,30
181,#298VVC9UL,Team FRAMK,8000021,261694,182,17
182,#2G22GCVJ9,The Godly Ghost,8000039,261591,183,30
183,#LJR92PVU,HI,8000043,259576,184,16
184,#QLGVRLPY,Better,8000037,259372,185,30
185,#LJULGUUU,spike spike,8000013,258777,186,29
186,#2JC80U9C2,The Goats,8000036,258570,187,17
187,#UVU989L8,BeloradoLoMejor,8000007,258002,188,29
188,#QR8YCVQU,the silly geese,8000048,257741,189,30
189,#80CCQPCY,PP clan,8000007,257659,190,24
