,tag,name,badgeId,trophies,rank,memberCount
0,#2G889R2L0,BOSTA STARS,8000008,2667691,1,30
1,#28JURQC29,Dawkiss,8000018,943127,2,27
2,#2228C2JG,*STELARGAMERS*,8000045,858421,3,28
3,#C09VURV,HoisS,8000016,749630,4,29
4,#2QVRUVRQP,STRONGERJM,8000016,739573,5,30
5,#G8JC89QY,HapeloN,8000003,726599,6,30
6,#2JU0C2UQL,Beton liga,8000006,714257,7,29
7,#8YJCVUP,BeLi,8000029,703822,8,30
8,#2R8V0UJLC,Blue Blood S/A,8000033,674435,9,30
9,#29V00LY,EncocADE,8000057,635641,10,30
10,#228PCQ8YR,Goodfellaz,8000028,634027,11,26
11,#29U9GVP08,jamaican mafia,8000037,614303,12,30
12,#2JG2U829C,Real Blunt FC,8000042,612100,13,28
13,#9GYQGCRR,Banterbury,8000016,611815,14,22
14,#PV2JPPL0,High Society,8000045,574951,15,23
15,#VP00U2L,Thief Clan,8000007,559832,16,27
16,#8U0PG09,ALMULUK,8000013,556791,17,30
17,#22YU0RPP,AutoNines,8000013,554506,18,27
18,#8QLRJG8Q,インキャーズ(移行),8000019,553362,19,28
19,#28PY9JYRP,DL TEAM,8000029,541990,20,26
20,#22CCQ2Y9C,Начальство СВУ,8000037,533790,21,29
21,#9VL2R0,SQUASHY,8000013,533274,22,26
22,#22CU0VQJC,Light Warriors,8000046,529037,23,30
23,#2Y0Q2JV,Bombo Y Caja,8000025,528482,24,28
24,#VV89V98,Team Yuinta,8000013,522593,25,30
25,#QQJG2JP0,Batty,8000046,509439,26,30
26,#29PV0GL8,Brawl Buddys,8000008,470933,27,29
27,#222JGJLP,CerviaCity,8000012,457897,28,30
28,#PG9Y89Q9,A-Z SQAD,8000023,435887,29,30
29,#2YLRPRUP,Kozaki z Poręby,8000042,432524,30,23
30,#2JPPUQ0VG,こみプリモ,8000055,423395,31,23
31,#8RULR9,SuperLemonHaze,8000013,412915,32,29
32,#VGYPPV2U,JAKKURT&TEAM,8000027,390609,33,29
33,#82JRC8Y,V STARS,8000012,389833,34,20
34,#2L8208U00,420_CLUB,8000027,388128,35,30
35,#20YUP922Q,THCCANABIS.CLUB,8000013,383169,36,22
