,tag,name,badgeId,trophies,rank,memberCount
0,#2G0UCPY80,Бурый Медведь,8000021,4042471,1,30
1,#2PUUYJLQL,XIII Legion,8000029,4000441,2,29
2,#2QG2CV9YV,Edelweiss🐙,8000021,3479228,3,1
3,#VL9JLRJ,ILKA GAME,8000014,3129455,4,30
4,#RVUURC9G,🔥Red Dragons🔥,8000029,2566537,5,1
5,#2QJR0008C,MagicalStar🧙‍♂,8000014,2415803,6,21
6,#898292CL,Legion Inferior,8000049,1623419,7,30
7,#299GVL0V2,Legio X Gemina,8000029,1621692,8,29
8,#2GPYYU0VL,Legion Traiana,8000029,1611077,9,29
9,#2GYPL0UUR,Legion Ferrata,8000029,1608483,10,29
10,#8JJPRP2L,Legion Dacia,8000029,1606363,11,29
11,#2PUGVGRJL,Legion I Flavia,8000029,1605670,12,29
12,#2CQGYQVGC,Legio Fretensis,8000029,1603123,13,29
13,#UVLLLLYQ,Legio X Victrix,8000049,1601320,14,30
14,#29P0Q8CPC,Goliathus💫,8000010,1456634,15,30
15,#2QGGGQV0R,World,8000027,1426499,16,30
16,#2JY9LLRJR,X Legion,8000029,1402057,17,29
17,#2JLL2QG20,Born⛩to☘️Win,8000051,1346410,18,30
18,#2J8PVL8LG,Bloods Mind,8000007,1325999,19,30
19,#2GP88URCV,Performance🕊️,8000023,1295396,20,29
20,#29Q2PC9R8,Bulls Team,8000023,1294516,21,30
21,#2G8922G0P,papitos 👅🤟,8000025,1266353,22,30
22,#2JJJP0C2G,Zaka Team🥵🧨,8000058,1263466,23,30
23,#290L28QGG,Новая надежда,8000039,1253267,24,28
24,#29VJ9Y8PP,Red Armi,8000023,1249000,25,30
25,#8PJ288R,-6е3_п0нт08-,8000027,1245912,26,30
26,#29R92G8LJ,DieDmasters🌹,8000025,1232872,27,30
27,#2GCYGJP8Y,House Whent,8000016,1228804,28,30
28,#2RRPRRCYC,⚜️,8000010,1228155,29,30
29,#299QPGL82,брошенные🤧,8000037,1221479,30,30
30,#2C0QG8RJ8,bs_pouler,8000027,1218613,31,30
31,#29J8QJ88C,Trouble Maker,8000007,1211964,32,28
32,#2QLRRLP9U,ГлАвА_МиРа,8000055,1193219,33,29
33,#29LLC99UL,Euphoria,8000049,1192109,34,26
34,#2C8UQC8CG,tat clan,8000029,1185638,35,30
35,#28C9YJJJ8,KAZ TEAM🇰🇿,8000055,1170328,36,30
36,#2889UJR8Y,💥EasyGame💥,8000034,1169144,37,30
37,#2GG8JU9V9,House Bulwer,8000034,1166300,38,30
38,#2C8RUJYLJ,Hanter|Elite,8000016,1157097,39,30
39,#QC0CU9PG,Bloody Knights,8000023,1144140,40,29
40,#29YRV90GV,МАЗУРЕНКО ЯРИК,8000025,1138348,41,28
41,#209JLPU8Y,Heets,8000059,1133471,42,30
42,#20RLRC8JR,Клуб:  #20RLRC8JR,8000037,1129880,43,30
43,#2JRL29LV9,House Martell,8000049,1128042,44,30
44,#2GY8GUCGL,LoVe Almaz💎🔥,8000059,1122515,45,30
45,#2CGL0JCU9,Kazak. Team🇰🇿,8000050,1121490,46,30
46,#2GPPR28VQ,ДОЛБИТ НОРМ,8000037,1119960,47,28
47,#28QJVC9JL,МАЖОРЫ,8000029,1113397,48,30
48,#29JUR2G82,Наш двор,8000059,1109446,49,30
49,#2GQP9LJC0,PUBLO,8000013,1108048,50,25
50,#202PCQQPQ,⚔️👑SM|Bella👑⚔,8000052,1106799,51,30
51,#28VQ2PPV0,Красная армия,8000006,1104947,52,30
52,#2JRLQV9G0,автомойщики,8000059,1104906,53,30
53,#V9GR0YLU,Отомстители,8000004,1104109,54,30
54,#LY8V9CCQ,SQUAD,8000035,1103184,55,29
55,#GV9RRCVJ,☝️братья☝️💪😠,8000012,1101783,56,30
56,#2YUVGUY9R,Brawl Hunters,8000057,1101328,57,30
57,#2808288PY,DoubleLove❤️,8000037,1100966,58,30
58,#2GJ0QYPQJ,Kotak Elite,8000059,1090952,59,30
59,#29GL20JJU,A Few Bad Man,8000038,1089522,60,30
60,#2JPJVVQVV,Ｙｏｋａｎｉｙｍ ❃,8000037,1086589,61,30
61,#2CRU0JQP2,Хижина снайпов,8000000,1085443,62,30
62,#2CYCG0YL2,ONE-PIECE,8000023,1080506,63,30
63,#VVLYRPP8,Legion Fulmina,8000029,1075943,64,30
64,#2JGQLL2G9,Supercall,8000029,1074640,65,30
65,#2CYYUGPLY,Wandenreich☠️⛓️,8000032,1073490,66,30
66,#QR29Q2R0,фанаты ару,8000035,1071558,67,28
67,#2CP9PUY98,sshrhhasf-TT-Kl,8000046,1071033,68,30
68,#2CLGRQC0P,ЖитиПариж,8000049,1067335,69,30
69,#2C888GJVY,WESTEROS,8000023,1066964,70,30
70,#2C00VPQGJ,🔥FIERY🔥,8000037,1064811,71,30
71,#229LQUPGP,клубная лига,8000046,1064072,72,30
72,#GCV9VU9G,[DATA DELETED],8000037,1063984,73,29
73,#2CPUU8J9L,Ａｎｔｅｉｋｕ,8000039,1061748,74,30
74,#2JQQYJQYY,❄️Ice Team❄️,8000055,1058313,75,30
75,#2GUY2QGQG,👑Drama Kings👑,8000029,1057802,76,30
76,#28GVUULVQ,Ot4im,8000018,1053525,77,30
77,#220UYVVGJ,Legendary Brawl,8000037,1051316,78,30
78,#2G9V02G2G,🐺BERZLOY🐺,8000037,1049716,79,30
79,#JY82LVUG,Wickedly KZ,8000021,1047118,80,30
80,#28YYLRGR0,GoldeN_Bee,8000049,1041190,81,30
81,#2CJ08U2RP,M # Marvel|YT,8000059,1036783,82,30
82,#2CGRVCUVC,Legacy,8000049,1031346,83,30
83,#2RV2LY0QG,Madness87,8000050,1029726,84,30
84,#2GQRR8Q0Q,Casual,8000055,1026547,85,30
85,#2GPCUVJUY,Scarlet Agony,8000023,1025858,86,29
86,#2QCGU2YR2,SUPER PRYNIK,8000057,1024448,87,30
87,#2GL0YQYLL,Клуб:  #2GL0YQYLL,8000008,1021505,88,30
88,#2C9YY2VQJ,MILLAKS🥶,8000029,1018441,89,30
89,#2GJQLYPLP,Yakuza,8000023,1016377,90,30
90,#2QLVPQGPC,Winner_Team,8000057,1006145,91,29
91,#299CGV0LJ,BRAWL CHAMPIONS,8000029,1004143,92,30
92,#QLC28R2C,Kazakhstan,8000037,1000664,93,30
93,#2RUCC0LC0,Besties,8000049,1000466,94,30
94,#QL0UQLVP,Brawl Kings,8000029,999613,95,30
95,#2GYV89V9G,|tmre|,8000023,999359,96,30
96,#2CGP8L9YY,Spike🌵,8000013,998509,97,30
97,#29JGVUVUC,House BlackFyre,8000023,998454,98,30
98,#2CYV9J0RG,Пустота,8000004,998025,99,28
99,#8P9UJRCL,Боевые Выхухоли,8000016,990238,100,30
100,#2UY080VP,Karma,8000039,989554,101,30
101,#2LJJ2RVYU,Senox.House🥶,8000027,987903,102,28
102,#2J08VYCQV,Lick time,8000035,984458,103,30
103,#29C2U9022,AlignedStars,8000059,981085,104,30
104,#YLVQU,Brawl_Xed,8000022,978295,105,30
105,#2QC0YCVCL,Larient Aglagor,8000055,974983,106,30
106,#2Y8CU2Y88,Dark Team,8000021,974570,107,29
107,#GGRJJPPJ,Mixter,8000023,973247,108,26
108,#2GRLUR90Y,Суета МГН[174],8000047,972166,109,30
109,#QJY8LP8C,Sbornayablya,8000004,971840,110,30
110,#2YLU9R8YJ,Brawl Stars,8000024,970363,111,30
111,#2G2V08LQP,Kazakh Elite,8000023,966034,112,29
112,#2G0G8QLY9,Club,8000025,965858,113,30
113,#2CRJ9UL88,ハピネス,8000009,961850,114,30
114,#2J8089P8U,World Elite 🌍,8000000,960880,115,30
115,#2C2LRU20U,NLEBOY,8000023,959088,116,30
116,#PRJRRV82,Nike,8000037,958660,117,30
117,#229U0QJCQ,QWERTY,8000027,957660,118,30
118,#2QVVVLPUC,Великие хромики,8000059,957487,119,30
119,#2CR88QU9Y,Cloud|☁️😶‍🌫️,8000056,956705,120,29
120,#2L82J0LQQ,🎋Fire Dragon🐉,8000015,955037,121,28
121,#29JLQVR82,SNE|Sniper Elit,8000048,953148,122,30
122,#Q99CG9R2,🔥Fenix team⚔️,8000033,952679,123,30
123,#2CJ9CCQG2,жоские пушеры🏆,8000034,952598,124,29
124,#2C0Q2U88U,мама миши😍💥😘,8000002,950209,125,30
125,#22LQRJJRR,Kazahstan🔆,8000029,947919,126,30
126,#2CQ9J8P0L,Shanderland 🕊️,8000055,947453,127,30
127,#PULUPYLJ,быстрые пули,8000026,946688,128,30
128,#2QU9PGLYV,Старперы,8000037,944973,129,30
129,#22Y88GVV8,Brawler•_•Team,8000023,941047,130,30
130,#2G8220Q9C,Angels team,8000059,940611,131,30
131,#2G020PU88,ELITA,8000025,938055,132,28
132,#22UUQU9V8,КОПИМ НА БП💰,8000029,937736,133,30
133,#2G9PQPGLY,JJS30,8000053,936973,134,30
134,#GU2RGQGR,Команда Bull's,8000004,936222,135,30
135,#2QVC9QRJ9,KAZAK TEAM,8000042,935882,136,25
136,#QYGUQYVQ,♡♡♡,8000041,935285,137,30
137,#2CQU0Y88U,TrollHeim,8000031,934798,138,29
138,#292JG8RVR,Prodigy,8000052,933562,139,30
139,#J2RJQ902,🥑Ａｖｏｃａｄｏ🥑,8000059,933502,140,28
140,#2Y9009L2,Star of KZ,8000018,932510,141,30
141,#2LQP2P9J9,звуки любви,8000041,931328,142,30
142,#2GY20Q28L,renascense,8000059,929165,143,30
143,#2C22U228G,Dark Club ♠️,8000023,928857,144,30
144,#C82LVQ89,🖤DREAM TEAM🖤,8000018,924767,145,30
145,#2G88PCL0J,[ДН]КЛУБ,8000017,923178,146,29
146,#2GQGCQVJJ,❄️meow<3,8000057,922514,147,30
147,#VYQ9RULR,Terra,8000016,921082,148,30
148,#2CPQQL882,Rising Stars🌠,8000010,919674,149,30
149,#2GPYG9JLG,Akamd,8000033,919542,150,30
150,#2CGLP8L00,NIS KOSTANAY,8000003,917171,151,30
151,#2U9UQRPL,ОрдаКилеров,8000029,916591,152,30
152,#JVU08QRV,nest of crows,8000049,916224,153,30
153,#2JYG8C89R,Клуб:  #2JYG8C89R,8000059,914900,154,30
154,#2Q9PPGYGQ,<c9>MONSTER</c>,8000037,914780,155,30
155,#29RLJJ2GC,KZ🐉Drayton🇰🇿,8000027,910128,156,30
156,#2JC9VULC2,Solarya’s🔆🔱,8000049,908723,157,30
157,#2GYLUYP8R,Bs|Family❤️‍🔥,8000025,908022,158,30
158,#2C29GJ9U8,Firsterenko,8000023,906971,159,30
159,#2QYVPLQ08,Windup31,8000059,905902,160,30
160,#29G20UP0Y,Night moon,8000003,904925,161,30
161,#299UJ9PGG,ZX|M.A.D.F,8000046,899067,162,28
162,#2YJL89RC8,Energy Drink,8000011,898593,163,30
163,#2QVC20C9L,SunRise,8000049,895701,164,30
164,#2GPJR2Y9G,Раньше было gut,8000049,894003,165,30
165,#280JY9Y0R,EA | SQUAD,8000011,893814,166,30
166,#2GPCCLVGG,NIS ALMATY,8000023,892540,167,30
167,#2P22RP0R,Механики,8000007,892068,168,30
168,#2GPGYLVGG,Bloody Stars,8000034,891906,169,30
169,#2JJ0GVPCY,gg warsyy😭,8000034,891836,170,30
170,#202YL00Q,Мстители KZ,8000023,890644,171,30
171,#29Q0JQ2Q8,🤬Hero_Team_Two,8000037,889901,172,30
172,#2Q9URG9UJ,крутые пацаны,8000036,887357,173,30
173,#2C82LURPG,genZ,8000012,884227,174,30
174,#29P0UQGUL,<c2>bilyash</c>,8000034,884013,175,30
175,#2JCGV88R2,kz.шреки,8000027,883107,176,27
176,#LV0VURRR,НОВАЯ ЖИЗНЬ,8000029,883095,177,29
177,#QPQLPG80,ASTRAL|FAMILY👹,8000004,882373,178,30
178,#2992RY9R2,DOSTAR+,8000022,880081,179,29
179,#CRUU00J,♤OLD♤《Team》,8000004,879720,180,30
180,#QYQL9L2U,XUEPLETY,8000034,876492,181,29
181,#2CJLCPLCY,Mugiwara’s🏴‍☠️,8000004,874595,182,30
182,#QQ99Y2UG,Force Noise🌵,8000027,874072,183,30
183,#2RUQPGGPU,Valley Winners,8000037,873298,184,30
184,#2QVG2R9GG,Fatal mistake,8000037,872843,185,29
185,#LR8R9U8U,☝🐺АУФ 🐺👆,8000035,872782,186,29
186,#2CJLJCU22,NAVI|gooD#1✨,8000029,872209,187,30
187,#28Y09PQQR,REA|Team,8000027,870993,188,28
188,#2QUCL90LY,Winners House,8000055,870346,189,30
189,#2Y2JJP9VR,🐼БРАТВА🐺,8000032,869929,190,30
190,#29P8UR822,Totem Fandom 2,8000059,869730,191,29
191,#QPPJJU2V,DuelBs,8000037,866251,192,27
192,#2CQJJJVPC,Astronomia | Bs,8000018,864339,193,29
193,#228JVUQRR,MiSTiK ELITA,8000023,864134,194,30
194,#2LYYYUVRU,darty man's🦠,8000047,863369,195,30
195,#2CGYL9VUY,alliance,8000007,862916,196,29
196,#2CRGUYCRQ,club baynex🤡,8000055,861492,197,30
197,#28L2VCR2Y,☺Креветка☺,8000006,858523,198,29
198,#2JJRP0Q0L,NobleKillers,8000029,858247,199,30
199,#2G9L0YPQ0,Newy Stars,8000052,858092,200,30
